NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	7.63414e-10	8.01051e-10	8.89225e-10	1.04835e-09	1.3116e-09	1.73344e-09	2.40628e-09	3.48014e-09	5.19702e-09	7.94615e-09	1.23688e-08	1.95371e-08	3.13735e-08	5.17852e-08	9.01976e-08	1.457e-07	2.1673e-07	2.8972e-07	3.78687e-07	4.81806e-07	5.8962e-07	6.75729e-07	7.72328e-07	8.76104e-07	9.7421e-07	1.03388e-06	1.10582e-06	1.18609e-06	1.26013e-06	1.29178e-06	1.34444e-06	1.41377e-06	1.48428e-06	1.51709e-06	1.58492e-06	1.68454e-06	1.80099e-06	1.89216e-06	2.04518e-06	2.26383e-06	2.53967e-06	2.82955e-06	3.26241e-06	3.87685e-06	4.70952e-06	5.7613e-06	7.35593e-06	9.78705e-06	1.35136e-05	1.91997e-05	2.8843e-05	4.56922e-05	7.58484e-05	0.000130513	0.00023467	0.000435582	0.000822906	0.00155831	0.00294286	0.00547131	0.00989935	0.0172549	0.028833	0.0458873	0.0692052	0.0985496	0.132323	0.167299	0.198772	0.220129	
N2	2.21972e-08	1.43614e-08	1.27344e-08	1.39344e-08	1.67682e-08	2.0851e-08	2.61289e-08	3.26248e-08	4.03577e-08	4.92833e-08	5.93671e-08	7.05485e-08	8.2827e-08	9.64023e-08	1.12199e-07	1.28374e-07	1.44537e-07	1.59677e-07	1.76549e-07	1.95855e-07	2.18324e-07	2.44141e-07	2.79407e-07	3.28661e-07	3.98273e-07	4.95887e-07	6.44167e-07	8.70442e-07	1.21475e-06	1.72947e-06	2.52864e-06	3.76706e-06	5.67086e-06	8.53955e-06	1.29836e-05	1.98574e-05	3.04267e-05	4.6439e-05	7.13645e-05	0.000110267	0.000170959	0.000265054	0.000414465	0.00065245	0.00103096	0.00162801	0.00257278	0.00404627	0.00629382	0.00961908	0.0143854	0.0209274	0.0294584	0.0399361	0.0519332	0.0645627	0.0765088	0.0862126	0.0920993	0.093113	0.088953	0.0801953	0.0680707	0.0543516	0.0408007	0.0288017	0.0191289	0.0120161	0.00723382	0.0042977	
N3	1.39575e-05	9.46388e-06	8.97344e-06	1.02471e-05	1.25004e-05	1.54982e-05	1.92459e-05	2.38594e-05	2.95535e-05	3.66684e-05	4.57703e-05	5.77643e-05	7.41045e-05	9.71009e-05	0.000130448	0.000180582	0.000258193	0.00038232	0.000586435	0.000932196	0.00152895	0.00256129	0.00430934	0.00717086	0.0116398	0.0182326	0.0272817	0.0387949	0.0522516	0.0665316	0.0798154	0.0901794	0.0959608	0.0962245	0.0907741	0.080622	0.0674743	0.0532812	0.0396571	0.0278546	0.0184865	0.0116124	0.00690021	0.00388455	0.00207512	0.001054	0.000508945	0.000234048	0.000102685	4.30715e-05	1.72715e-05	6.63197e-06	2.44209e-06	8.63726e-07	2.93256e-07	9.56686e-08	3.00058e-08	9.05515e-09	2.62551e-09	7.3143e-10	1.95739e-10	5.03194e-11	1.24001e-11	2.92715e-12	6.6119e-13	1.42762e-13	2.93698e-14	5.75408e-15	1.09337e-15	2.45926e-16	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	6.73377e-06	4.53096e-06	4.30071e-06	5.00912e-06	6.31597e-06	8.14832e-06	1.05526e-05	1.36307e-05	1.75391e-05	2.25371e-05	2.91477e-05	3.85143e-05	5.32363e-05	7.92716e-05	0.000130523	0.000240771	0.000491572	0.0010744	0.00239951	0.00524953	0.010886	0.0209271	0.0366995	0.0582634	0.0833933	0.10743	0.124221	0.129009	0.120487	0.101393	0.0768718	0.0526338	0.0326337	0.0183828	0.00942101	0.00440924	0.0018927	0.000749065	0.000274382	9.36231e-05	2.99695e-05	9.06822e-06	2.60837e-06	7.17724e-07	1.89783e-07	4.83309e-08	1.18435e-08	2.78983e-09	6.30474e-10	1.36367e-10	2.81575e-11	5.54552e-12	1.04126e-12	1.86339e-13	3.17727e-14	5.16667e-15	8.01859e-16	1.18884e-16	1.68225e-17	2.27215e-18	2.92761e-19	3.59562e-20	4.1978e-21	4.65043e-22	4.87793e-23	4.83413e-24	4.5088e-25	3.94735e-26	3.25891e-27	3.06772e-28	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.7429e-08	1.02556e-08	7.697e-09	7.12705e-09	7.4651e-09	8.25898e-09	9.34816e-09	1.06827e-08	1.22697e-08	1.41421e-08	1.64024e-08	1.92072e-08	2.28117e-08	2.76232e-08	3.43874e-08	4.39811e-08	5.79245e-08	7.84473e-08	1.0964e-07	1.57479e-07	2.3115e-07	3.44358e-07	5.20611e-07	7.95284e-07	1.22278e-06	1.8847e-06	2.91736e-06	4.5262e-06	7.02433e-06	1.08781e-05	1.68455e-05	2.60559e-05	4.02094e-05	6.18242e-05	9.49051e-05	0.000145436	0.000222476	0.000339691	0.000518631	0.000792031	0.0012097	0.00184639	0.00281307	0.00426807	0.00642704	0.00956548	0.0139943	0.020026	0.0278908	0.0376273	0.0488899	0.0609465	0.072648	0.082575	0.0891347	0.0912016	0.0883238	0.0808883	0.0698803	0.0569351	0.0437579	0.0317527	0.0217438	0.0140773	0.00863916	0.00504485	0.00281479	0.0015169	0.000810778	0.000461328	
N6	6.25622e-08	4.45646e-08	4.70067e-08	6.18568e-08	8.85241e-08	1.30197e-07	1.93128e-07	2.86908e-07	4.25539e-07	6.29073e-07	9.26135e-07	1.35729e-06	1.98001e-06	2.8758e-06	4.16067e-06	6.00655e-06	8.66091e-06	1.24905e-05	1.80255e-05	2.60643e-05	3.77963e-05	5.49964e-05	8.02248e-05	0.000117275	0.000171645	0.000251234	0.000366893	0.000533954	0.000773603	0.00111507	0.00159679	0.00227202	0.00321303	0.0045176	0.00630636	0.00873473	0.0119857	0.0162579	0.021696	0.0283853	0.0362755	0.0451323	0.0543858	0.0633051	0.0710209	0.0766779	0.0794009	0.0787917	0.0748893	0.0681836	0.0593464	0.0494027	0.0393628	0.0300619	0.0219929	0.0154425	0.0104328	0.00680412	0.00429012	0.00262508	0.00156497	0.000912566	0.000520952	0.000291554	0.000159949	8.59206e-05	4.50654e-05	2.31614e-05	1.1946e-05	6.77131e-06	
N7	9.38673e-06	6.93774e-06	7.40572e-06	9.3183e-06	1.22697e-05	1.62458e-05	2.14031e-05	2.7977e-05	3.62627e-05	4.66153e-05	5.94875e-05	7.54789e-05	9.54492e-05	0.000120696	0.000153227	0.00019666	0.000256335	0.000340407	0.000459594	0.000628847	0.000866827	0.00119534	0.00163395	0.00220216	0.00291754	0.00380152	0.00488386	0.00625064	0.00809153	0.0107634	0.0147938	0.0208776	0.0296843	0.041549	0.0559684	0.0715182	0.0859043	0.0965041	0.100898	0.0981035	0.0887383	0.0747809	0.0586889	0.0429982	0.0294944	0.0190117	0.0115345	0.00661262	0.0035963	0.00186294	0.000920302	0.000434581	0.000196431	8.50496e-05	3.51984e-05	1.39108e-05	5.2432e-06	1.88291e-06	6.42368e-07	2.07978e-07	6.3847e-08	1.85791e-08	5.11381e-09	1.33075e-09	3.27185e-10	7.59656e-11	1.66125e-11	3.42266e-12	6.77298e-13	1.57105e-13	
