NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.187254	0.176357	0.157143	0.132784	0.106492	0.0810532	0.0585076	0.0400104	0.0258857	0.0158195	0.00911675	0.00494583	0.00252133	0.00120581	0.000540128	0.000226286	8.85529e-05	3.23331e-05	1.10047e-05	3.4886e-06	1.02938e-06	2.8257e-07	7.21294e-08	1.71157e-08	3.77451e-09	7.73452e-10	1.47252e-10	2.60444e-11	4.27942e-12	6.53254e-13	9.93635e-17	3.60701e-17	1.26223e-17	4.25831e-18	1.38509e-18	4.34413e-19	1.31389e-19	3.83267e-20	1.0784e-20	2.92724e-21	7.6665e-22	1.93759e-22	4.72627e-23	1.11286e-23	2.5299e-24	5.55369e-25	1.17748e-25	2.41155e-26	4.77197e-27	9.12514e-28	1.68658e-28	3.01362e-29	5.20682e-30	8.70059e-31	1.4064e-31	2.19959e-32	3.32923e-33	4.87763e-34	6.91878e-35	9.5039e-36	1.26451e-36	1.63001e-37	2.03613e-38	2.46534e-39	2.89438e-40	3.29714e-41	3.65303e-42	3.9809e-43	4.54254e-44	7.93651e-45	
N2	0.0562493	0.0633815	0.0707941	0.0782614	0.0840295	0.0877973	0.0879972	0.0852166	0.0787713	0.0702692	0.0597231	0.0490535	0.0383335	0.0290344	0.0208935	0.014645	0.00973532	0.00635213	0.00392216	0.00240311	0.00138813	0.000806609	0.000439335	0.00024437	0.00012617	6.74532e-05	3.30705e-05	1.69843e-05	7.88133e-06	3.865e-06	1.69121e-06	7.88269e-07	3.23636e-07	1.42537e-07	5.48573e-08	2.28264e-08	8.21733e-09	3.22142e-09	1.08794e-09	4.03422e-10	1.27688e-10	4.46715e-11	1.33206e-11	4.42413e-12	1.24039e-12	3.89297e-13	1.03282e-13	3.08654e-14	7.71349e-15	2.17778e-15	5.16369e-16	1.39013e-16	3.10444e-17	7.88386e-18	1.67232e-18	4.05254e-19	8.08704e-20	1.84601e-20	3.50534e-21	7.65909e-22	1.37502e-22	2.8549e-23	4.9993e-24	1.02986e-24	1.84398e-25	3.98617e-26	8.33624e-27	2.14152e-27	6.07884e-28	2.77278e-28	
N3	0.0012473	0.00175351	0.00278638	0.00462413	0.00755174	0.011944	0.0179625	0.0258094	0.0351575	0.0458713	0.0570013	0.0681299	0.0776703	0.0850755	0.0885307	0.0881101	0.0828658	0.0742563	0.0626486	0.0502831	0.0379219	0.0272123	0.0183317	0.0117658	0.00708603	0.00407466	0.00219825	0.00113551	0.000550202	0.000256121	0.000111818	4.70792e-05	1.85811e-05	7.10097e-06	2.54213e-06	8.84837e-07	2.88152e-07	9.15956e-08	2.72029e-08	7.91501e-09	2.14753e-09	5.72771e-10	1.42206e-10	3.48159e-11	7.91835e-12	1.78111e-12	3.71617e-13	7.69095e-14	1.47384e-14	2.80974e-15	4.95548e-16	8.72171e-17	1.41857e-17	2.31013e-18	3.47805e-19	5.26408e-20	7.37445e-21	1.04394e-21	1.37516e-22	1.84433e-23	2.32489e-24	3.01332e-25	3.73709e-26	4.80514e-27	6.01867e-28	7.79602e-29	9.93473e-30	1.29701e-30	1.76544e-31	3.84525e-32	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	9.41736e-06	1.68323e-05	3.7889e-05	9.08994e-05	0.000212892	0.000476552	0.00100156	0.00197944	0.00365817	0.00642434	0.0108078	0.0177238	0.0281653	0.0431997	0.0624706	0.0844219	0.104492	0.118496	0.121406	0.113238	0.0949459	0.0724771	0.0496487	0.0310786	0.0174499	0.00901614	0.0041794	0.00180245	0.000697508	0.00025502	8.36193e-05	2.64105e-05	7.45761e-06	2.07051e-06	5.10541e-07	1.26014e-07	2.73292e-08	6.00883e-09	1.14799e-09	2.2423e-10	3.76706e-11	6.50919e-12	9.61377e-13	1.46861e-13	1.90796e-14	2.57819e-15	2.95693e-16	3.54973e-17	3.6052e-18	3.85768e-19	3.48939e-20	3.35021e-21	2.70864e-22	2.34192e-23	1.704e-24	1.33746e-25	8.78743e-27	6.28124e-28	3.76008e-29	2.47553e-30	1.35997e-31	8.32876e-33	4.33126e-34	2.57751e-35	1.36098e-36	8.49514e-38	5.12231e-39	3.55259e-40	2.47425e-41	2.66168e-42	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0263209	0.0311413	0.0378897	0.0467095	0.056642	0.0671459	0.0763497	0.0835559	0.0868658	0.086545	0.0816735	0.0738907	0.063257	0.0520234	0.0404455	0.0303021	0.0214238	0.0146628	0.00944661	0.00593184	0.00349314	0.00202481	0.00109514	0.000590976	0.000295234	0.000149594	6.94287e-05	3.32791e-05	1.43927e-05	6.54061e-06	2.63858e-06	1.13616e-06	4.26364e-07	1.7301e-07	6.0293e-08	2.29856e-08	7.41003e-09	2.63799e-09	7.86804e-10	2.61545e-10	7.19345e-11	2.22114e-11	5.64699e-12	1.62482e-12	3.80457e-13	1.01431e-13	2.19736e-14	5.46266e-15	1.0894e-15	2.5063e-16	4.63346e-17	9.96328e-18	1.69534e-18	3.37127e-19	5.33226e-20	9.94259e-21	1.44674e-21	2.49194e-22	3.381e-23	5.4827e-24	6.85513e-25	1.03043e-25	1.22241e-26	1.77895e-27	2.08179e-28	3.09268e-29	4.23381e-30	7.4414e-31	1.40075e-31	4.65972e-32	
N6	0.0127947	0.0153209	0.0190419	0.0241594	0.0304149	0.0378001	0.0456415	0.0537116	0.0609609	0.0671627	0.071217	0.0732917	0.07261	0.0699185	0.064831	0.0584959	0.0507562	0.0428685	0.0347251	0.0273991	0.0206715	0.0152323	0.0107063	0.00739246	0.00485844	0.00316575	0.00195897	0.00121641	0.000714403	0.000426502	0.00023926	0.00013801	7.40617e-05	4.12044e-05	2.10967e-05	1.1261e-05	5.47017e-06	2.78142e-06	1.27616e-06	6.15372e-07	2.65634e-07	1.21024e-07	4.91095e-08	2.11423e-08	8.05656e-09	3.27496e-09	1.1743e-09	4.52072e-10	1.52571e-10	5.56288e-11	1.77384e-11	6.15452e-12	1.85495e-12	6.12119e-13	1.7529e-13	5.53436e-14	1.50551e-14	4.54e-15	1.18234e-15	3.43837e-16	8.61572e-17	2.43224e-17	6.05318e-18	1.72718e-18	4.52457e-19	1.38129e-19	4.17012e-20	1.47751e-20	6.02589e-21	4.01876e-21	
N7	4.12935e-05	7.06777e-05	0.000145727	0.000312608	0.000648209	0.00127831	0.0023661	0.00416665	0.00694449	0.0109732	0.0161171	0.0220084	0.0276711	0.0326613	0.0366891	0.0409751	0.0463566	0.0541586	0.0634118	0.0734079	0.080919	0.0851388	0.0833487	0.0772109	0.066091	0.0536101	0.0400812	0.0285422	0.0186983	0.0117489	0.00677772	0.00378064	0.00193012	0.00096064	0.000435892	0.000194286	7.8533e-05	3.13795e-05	1.13126e-05	4.05292e-06	1.3029e-06	4.18115e-07	1.19927e-07	3.44893e-08	8.82992e-09	2.27636e-09	5.21349e-10	1.208e-10	2.47951e-11	5.17341e-12	9.55313e-13	1.80265e-13	3.00277e-14	5.13791e-15	7.75972e-16	1.21089e-16	1.66437e-17	2.37827e-18	3.00203e-19	3.9729e-20	4.6683e-21	5.82232e-22	6.59421e-23	8.0718e-24	9.30222e-25	1.16911e-25	1.4355e-26	1.88517e-27	2.57066e-28	5.6612e-29	
