NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.170741	0.163369	0.149705	0.131207	0.109686	0.0871861	0.0656858	0.0467679	0.0313857	0.0198051	0.0117266	0.00650227	0.0033707	0.00163096	0.000735612	0.000308874	0.00012061	4.37552e-05	1.47358e-05	4.60364e-06	1.33341e-06	3.57886e-07	8.89762e-08	2.04837e-08	4.36565e-09	8.61227e-10	1.57242e-10	2.6569e-11	4.15469e-12	6.0128e-13	9.48293e-17	3.33926e-17	1.13142e-17	3.68897e-18	1.15755e-18	3.49607e-19	1.01644e-19	2.84518e-20	7.66876e-21	1.99067e-21	4.97745e-22	1.199e-22	2.78305e-23	6.22572e-24	1.34248e-24	2.79105e-25	5.59568e-26	1.08207e-26	2.01867e-27	3.63396e-28	6.31383e-29	1.05901e-29	1.71514e-30	2.68283e-31	4.05394e-32	5.91908e-33	8.35268e-34	1.13945e-34	1.50302e-35	1.91751e-36	2.36657e-37	2.8263e-38	3.26694e-39	3.65601e-40	3.9625e-41	4.162e-42	4.24517e-43	4.24609e-44	4.41101e-45	6.94795e-46	
N2	0.0519742	0.0587792	0.0665368	0.0747236	0.0818172	0.0871482	0.0887064	0.0870304	0.0814925	0.073122	0.0625265	0.0515827	0.0403148	0.0304913	0.0219905	0.0153089	0.0101577	0.00661094	0.00405563	0.00246282	0.00142465	0.000813193	0.000440425	0.000242137	0.000123107	6.42446e-05	3.13512e-05	1.55036e-05	7.08709e-06	3.38837e-06	1.44539e-06	6.49938e-07	2.64377e-07	1.11257e-07	4.20462e-08	1.70029e-08	5.95295e-09	2.2457e-09	7.50393e-10	2.64609e-10	8.20136e-11	2.77604e-11	7.99615e-12	2.53132e-12	6.97896e-13	2.05822e-13	5.28571e-14	1.50785e-14	3.59298e-15	9.53546e-16	2.19064e-16	5.44555e-17	1.16146e-17	2.7825e-18	5.53359e-19	1.24112e-19	2.37253e-20	4.95046e-21	8.85556e-22	1.8021e-22	3.00313e-23	5.72659e-24	9.46848e-25	1.76027e-25	2.92765e-26	5.83672e-27	1.1185e-27	2.63626e-28	6.94639e-29	2.91799e-29	
N3	0.00101336	0.00145342	0.00239117	0.00410452	0.00692499	0.0112669	0.0173232	0.0253476	0.0350918	0.0461992	0.0577967	0.0693203	0.0789219	0.0861824	0.0895148	0.0885888	0.0830559	0.0742746	0.0624358	0.0499509	0.0376498	0.0268559	0.018017	0.0115056	0.00686566	0.00390424	0.00208726	0.00105858	0.000504605	0.000230503	9.82076e-05	4.02107e-05	1.54879e-05	5.7001e-06	1.97273e-06	6.6102e-07	2.06046e-07	6.23726e-08	1.77481e-08	4.86478e-09	1.25194e-09	3.15054e-10	7.34689e-11	1.68009e-11	3.60238e-12	7.49837e-13	1.46202e-13	2.81342e-14	4.99801e-15	8.78677e-16	1.44556e-16	2.3278e-17	3.50539e-18	5.2592e-19	7.27495e-20	1.00616e-20	1.30417e-21	1.67362e-22	2.02202e-23	2.47311e-24	2.83354e-25	3.3216e-26	3.76298e-27	4.35375e-28	4.95779e-29	5.83501e-30	6.76088e-31	8.02573e-32	9.90547e-33	1.92457e-33	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	5.74666e-06	1.08684e-05	2.64762e-05	6.83043e-05	0.000170885	0.000405057	0.000893793	0.00184508	0.00354989	0.00641933	0.011004	0.0181467	0.0286403	0.043411	0.0621908	0.0833639	0.10311	0.117469	0.121014	0.113615	0.0961023	0.0734397	0.0503666	0.0314783	0.0175129	0.00893105	0.00409873	0.00172249	0.000652368	0.000232505	7.3607e-05	2.22668e-05	6.09093e-06	1.58376e-06	3.7075e-07	8.56766e-08	1.72521e-08	3.46832e-09	6.18925e-10	1.08358e-10	1.67075e-11	2.61856e-12	3.49825e-13	4.7929e-14	5.71456e-15	6.8643e-16	7.1537e-17	7.77084e-18	7.11282e-19	6.84151e-20	5.67305e-21	4.86187e-22	3.57993e-23	2.81728e-24	1.85227e-25	1.31153e-26	7.95028e-28	5.08238e-29	2.78277e-30	1.66963e-31	8.29724e-33	4.56377e-34	2.18244e-35	1.14103e-36	5.39805e-38	2.98951e-39	1.58044e-40	9.69618e-42	6.05457e-43	5.72988e-44	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0225977	0.026966	0.0335367	0.0424364	0.0530332	0.0647208	0.075385	0.0841844	0.089137	0.08971	0.0853842	0.0776646	0.0664805	0.0545254	0.0423498	0.0314389	0.0220991	0.0150388	0.00959978	0.0059711	0.00351493	0.00200897	0.00108284	0.000581439	0.000287749	0.000143658	6.68539e-05	3.11102e-05	1.33304e-05	5.93581e-06	2.33659e-06	9.68514e-07	3.59446e-07	1.37922e-07	4.67723e-08	1.71092e-08	5.27813e-09	1.77473e-09	5.14595e-10	1.5897e-10	4.18601e-11	1.22332e-11	2.92789e-12	7.84765e-13	1.76359e-13	4.31524e-14	8.82945e-15	2.05469e-15	3.81295e-16	8.0886e-17	1.42035e-17	2.76682e-18	4.41068e-19	8.15441e-20	1.18564e-20	2.01256e-21	2.76635e-22	4.27495e-23	5.37905e-24	8.01112e-25	9.13011e-26	1.23818e-26	1.3695e-27	1.75316e-28	1.86506e-29	2.49516e-30	3.02223e-31	4.74389e-32	8.08949e-33	2.40982e-33	
N6	0.0112492	0.0135453	0.0171148	0.0221391	0.028524	0.0362662	0.0446438	0.0534277	0.0616103	0.0685367	0.0732916	0.0758494	0.0751994	0.072236	0.0667928	0.059692	0.0513461	0.0429687	0.0344003	0.0268385	0.0201403	0.0146687	0.0102626	0.00706722	0.00462289	0.00299733	0.00186574	0.00114532	0.000672512	0.000399394	0.000221654	0.000125398	6.70566e-05	3.60357e-05	1.81424e-05	9.43368e-06	4.45093e-06	2.17995e-06	9.83516e-07	4.52523e-07	1.90389e-07	8.40302e-08	3.29527e-08	1.3638e-08	5.1032e-09	1.97876e-09	6.9112e-10	2.57843e-10	8.40697e-11	2.94273e-11	9.21248e-12	3.03329e-12	8.8885e-13	2.82868e-13	7.77384e-14	2.33028e-14	6.18652e-15	1.74537e-15	4.36498e-16	1.20314e-16	2.84235e-17	7.45785e-18	1.76303e-18	4.5674e-19	1.10721e-19	3.11022e-20	8.58312e-21	2.79922e-21	1.05867e-21	6.60897e-22	
N7	2.55253e-05	4.53688e-05	9.86938e-05	0.000222561	0.000484428	0.000999378	0.00192244	0.00349176	0.00597776	0.00967375	0.0146886	0.0209678	0.0277732	0.0346653	0.0409931	0.0469638	0.0528432	0.0595623	0.0661527	0.0729098	0.0778854	0.0802607	0.078375	0.0732058	0.0633967	0.0521666	0.0398484	0.0286509	0.0190461	0.0120958	0.00700191	0.00389265	0.00199439	0.000973112	0.000436248	0.000190346	7.47675e-05	2.87364e-05	1.00839e-05	3.41837e-06	1.05381e-06	3.21354e-07	8.71897e-08	2.35222e-08	5.739e-09	1.37236e-09	2.96243e-10	6.42774e-11	1.23134e-11	2.38293e-12	4.15058e-13	7.19529e-14	1.12058e-14	1.78268e-15	2.49309e-16	3.5794e-17	4.61308e-18	6.00315e-19	7.02729e-20	8.55721e-21	9.20482e-22	1.04152e-22	1.08652e-23	1.18839e-24	1.24147e-25	1.40981e-26	1.56153e-27	1.8571e-28	2.30015e-29	4.53045e-30	
