NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.165178	0.158934	0.147064	0.130521	0.110652	0.0892222	0.0681434	0.0491216	0.0333243	0.0212249	0.0126692	0.00707582	0.00369349	0.00179984	0.00081812	0.000346576	0.00013674	5.02105e-05	1.71496e-05	5.44522e-06	1.6065e-06	4.40198e-07	1.11985e-07	2.64408e-08	5.7927e-09	1.17731e-09	2.21944e-10	3.88061e-11	6.29284e-12	9.4643e-13	1.22341e-16	4.40084e-17	1.52479e-17	5.08901e-18	1.63625e-18	5.06879e-19	1.51306e-19	4.35271e-20	1.20693e-20	3.22619e-21	8.3148e-22	2.06653e-22	4.95379e-23	1.14555e-23	2.55598e-24	5.5036e-25	1.14385e-25	2.29512e-26	4.44682e-27	8.32124e-28	1.50422e-28	2.6273e-29	4.43483e-30	7.23612e-31	1.14154e-31	1.7415e-32	2.56982e-33	3.66878e-34	5.0685e-35	6.77752e-36	8.77394e-37	1.0999e-37	1.33551e-38	1.57107e-39	1.79126e-40	1.98079e-41	2.12927e-42	2.2484e-43	2.47403e-44	4.12359e-45	
N2	0.0529459	0.0594328	0.0670186	0.0748119	0.0819092	0.0872778	0.0888324	0.0870341	0.0817334	0.072976	0.0623804	0.0513316	0.0399838	0.0300468	0.0217216	0.0149561	0.00992371	0.00642333	0.00392481	0.00235114	0.00136826	0.000761553	0.000412079	0.000222391	0.000111933	5.65524e-05	2.78502e-05	1.31311e-05	6.01368e-06	2.80411e-06	1.18931e-06	5.16248e-07	2.15888e-07	8.6743e-08	3.34874e-08	1.33896e-08	4.7426e-09	1.74988e-09	6.15016e-10	2.09242e-10	6.75388e-11	2.28963e-11	6.7616e-12	2.11222e-12	6.22585e-13	1.78101e-13	4.79943e-14	1.37903e-14	3.39802e-15	8.94886e-16	2.20512e-16	5.31797e-17	1.2001e-17	2.92142e-18	6.00263e-19	1.33437e-19	2.76401e-20	5.63132e-21	1.06836e-21	2.20422e-22	3.82159e-23	7.27049e-24	1.3007e-24	2.33508e-25	4.06649e-26	8.1713e-27	1.58704e-27	3.76782e-28	1.0466e-28	4.54148e-29	
N3	0.00113458	0.00161052	0.00263424	0.00448981	0.00756727	0.0123025	0.0188823	0.0275317	0.0380467	0.0495997	0.0614363	0.0726315	0.0811673	0.086761	0.0885653	0.0857877	0.0793199	0.0702029	0.0586476	0.0468081	0.0355636	0.0254933	0.0173581	0.011273	0.00686011	0.00397993	0.00219276	0.00113584	0.000558638	0.000262812	0.000115508	4.86164e-05	1.94841e-05	7.34857e-06	2.6403e-06	9.13572e-07	2.94713e-07	9.17023e-08	2.72675e-08	7.64469e-09	2.04827e-09	5.32305e-10	1.28711e-10	3.02414e-11	6.80849e-12	1.4482e-12	2.95181e-13	5.87855e-14	1.08702e-14	1.96695e-15	3.4172e-16	5.62902e-17	8.90683e-18	1.38726e-18	2.00357e-19	2.85517e-20	3.92258e-21	5.1455e-22	6.52924e-23	8.26237e-24	9.82915e-25	1.1792e-25	1.3986e-26	1.64101e-27	1.93705e-28	2.35126e-29	2.82662e-30	3.49222e-31	4.55973e-32	9.3389e-33	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.85965e-06	7.7012e-06	2.02759e-05	5.6249e-05	0.00015122	0.000382778	0.000896547	0.00195472	0.00396574	0.00746294	0.0131333	0.0217311	0.0335737	0.048908	0.0669989	0.0855574	0.101966	0.113153	0.114754	0.10711	0.0914354	0.0704662	0.0493684	0.0316304	0.0181044	0.00949594	0.0045514	0.00196369	0.000776569	0.000286718	9.43141e-05	2.91939e-05	8.39877e-06	2.19548e-06	5.34315e-07	1.25226e-07	2.58565e-08	5.1771e-09	9.68762e-10	1.66139e-10	2.65752e-11	4.18913e-12	5.7382e-13	7.81337e-14	9.90773e-15	1.16719e-15	1.27915e-16	1.41611e-17	1.34897e-18	1.30764e-19	1.1747e-20	9.99838e-22	7.8909e-23	6.43986e-24	4.46524e-25	3.22079e-26	2.15086e-27	1.3785e-28	8.16983e-30	5.09277e-31	2.68542e-32	1.50468e-33	7.89031e-35	4.06288e-36	2.02124e-37	1.12682e-38	5.99586e-40	3.67533e-41	2.39243e-42	2.3513e-43	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Blysmus_rufus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0223724	0.026542	0.0330038	0.0417308	0.0524669	0.0644613	0.0755266	0.0846828	0.0902865	0.0907374	0.0864765	0.0785249	0.0669393	0.0544865	0.0422643	0.0309666	0.0216653	0.014623	0.00926239	0.00568398	0.00335746	0.00188028	0.00101443	0.000539021	0.000265837	0.000129966	6.15472e-05	2.76366e-05	1.19816e-05	5.24999e-06	2.07443e-06	8.33898e-07	3.21403e-07	1.17671e-07	4.11015e-08	1.48598e-08	4.66261e-09	1.52617e-09	4.70355e-10	1.38989e-10	3.84148e-11	1.12165e-11	2.76534e-12	7.27908e-13	1.77277e-13	4.17191e-14	9.05099e-15	2.12341e-15	4.10616e-16	8.62704e-17	1.65168e-17	3.10111e-18	5.30362e-19	1.00002e-19	1.51554e-20	2.54464e-21	3.86446e-22	5.80192e-23	7.86254e-24	1.18979e-24	1.42903e-25	1.93596e-26	2.37705e-27	2.91971e-28	3.32529e-29	4.49732e-30	5.52492e-31	8.63693e-32	1.56527e-32	4.87008e-33	
N6	0.0112667	0.0134938	0.0170492	0.0220282	0.0285102	0.0364251	0.045024	0.0540392	0.0626557	0.0696581	0.0745965	0.0771491	0.0762404	0.072798	0.0670863	0.0592775	0.0506049	0.0419655	0.0332778	0.0256859	0.0192592	0.0138768	0.00972167	0.00669233	0.00438938	0.00283805	0.00179573	0.00109162	0.00064892	0.000385121	0.000214806	0.00011995	6.55326e-05	3.42981e-05	1.75053e-05	9.03461e-06	4.28465e-06	2.06138e-06	9.6204e-07	4.30436e-07	1.86107e-07	8.23279e-08	3.28914e-08	1.35191e-08	5.3436e-09	2.03362e-09	7.42314e-10	2.81296e-10	9.48652e-11	3.33171e-11	1.11596e-11	3.62625e-12	1.12303e-12	3.65526e-13	1.04263e-13	3.13464e-14	8.95474e-15	2.4928e-15	6.58346e-16	1.84464e-16	4.50968e-17	1.18027e-17	2.96492e-18	7.43132e-19	1.84642e-19	5.16079e-20	1.42466e-20	4.66766e-21	1.84836e-21	1.18836e-21	
N7	1.53477e-05	2.77804e-05	6.24104e-05	0.000145268	0.000328674	0.000705936	0.0014143	0.0026641	0.00471982	0.0078357	0.0122956	0.0183183	0.0256656	0.0342716	0.0436716	0.0528955	0.0614848	0.069077	0.0741412	0.0774969	0.0788254	0.0772462	0.0732777	0.0673068	0.0580677	0.0478846	0.0373579	0.0271079	0.0184964	0.0120017	0.0071252	0.00402648	0.00214112	0.00105349	0.000487573	0.000216764	8.73211e-05	3.38875e-05	1.23978e-05	4.20569e-06	1.34378e-06	4.17381e-07	1.16597e-07	3.17935e-08	8.17803e-09	1.95983e-09	4.42916e-10	9.86362e-11	1.96491e-11	3.87076e-12	7.19448e-13	1.25667e-13	2.0723e-14	3.41247e-15	4.99902e-16	7.33917e-17	1.01873e-17	1.34007e-18	1.66809e-19	2.10153e-20	2.36655e-21	2.72662e-22	3.02951e-23	3.30078e-24	3.57547e-25	4.1283e-26	4.67872e-27	5.70259e-28	7.44977e-29	1.53885e-29	
Scirpus_pendulus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
