NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.213899	0.196994	0.1683	0.134215	0.100423	0.0707844	0.0471429	0.0297297	0.0177771	0.0100877	0.00543475	0.00278049	0.00135099	0.000623397	0.000273143	0.000113747	4.50193e-05	1.69329e-05	6.05177e-06	2.0548e-06	6.62662e-07	2.02925e-07	5.89897e-08	1.62736e-08	4.2592e-09	1.05729e-09	2.48866e-10	5.55331e-11	1.17455e-11	2.35429e-12	4.47172e-13	8.85406e-17	3.65631e-17	1.46974e-17	5.75116e-18	2.19087e-18	8.12652e-19	2.93411e-19	1.03124e-19	3.52841e-20	1.17536e-20	3.81217e-21	1.20398e-21	3.70306e-22	1.10927e-22	3.23665e-23	9.20007e-24	2.54785e-24	6.87545e-25	1.80813e-25	4.63467e-26	1.15806e-26	2.82118e-27	6.70171e-28	1.55262e-28	3.50872e-29	7.73594e-30	1.66438e-30	3.49518e-31	7.16633e-32	1.43516e-32	2.8088e-33	5.37678e-34	1.00807e-34	1.85539e-35	3.36587e-36	6.06102e-37	1.09649e-37	2.03235e-38	4.00846e-39	1.0408e-39	
N2	0.0047167	0.00576142	0.00756217	0.0103736	0.0142193	0.0193137	0.0253808	0.0324852	0.039906	0.0476359	0.0546193	0.0610509	0.065764	0.0693073	0.0704887	0.0702292	0.0674118	0.0632357	0.0568978	0.0498903	0.0417843	0.0340513	0.0264289	0.0199604	0.0143294	0.0100222	0.00665487	0.00431382	0.00265183	0.00159525	0.000909346	0.000508628	0.000269311	0.000140308	6.91554e-05	3.36077e-05	1.54245e-05	6.99075e-06	2.98691e-06	1.26257e-06	5.02354e-07	1.98068e-07	7.34377e-08	2.70261e-08	9.34018e-09	3.20907e-09	1.03479e-09	3.32305e-10	1.00051e-10	3.00561e-11	8.46537e-12	2.38434e-12	6.29483e-13	1.66638e-13	4.14153e-14	1.03583e-14	2.43843e-15	5.80437e-16	1.30914e-16	3.00452e-17	6.59665e-18	1.48311e-18	3.23245e-19	7.23124e-20	1.58366e-20	3.53967e-21	7.78045e-22	1.73015e-22	3.85117e-23	9.49154e-24	3.68852e-24	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.177352	0.17736	0.162691	0.139517	0.110786	0.0829651	0.0578489	0.038301	0.0236675	0.0139744	0.00770302	0.00408727	0.002021	0.000971672	0.000433799	0.000191258	7.78657e-05	3.19657e-05	1.20047e-05	4.66788e-06	1.63369e-06	6.086e-07	1.99995e-07	7.17219e-08	2.20895e-08	7.55869e-09	2.17558e-09	7.05985e-10	1.88745e-10	5.76007e-11	1.44696e-11	4.21936e-12	1.02262e-12	2.91331e-13	7.22385e-14	1.95061e-14	4.39632e-15	1.04418e-15	2.1155e-16	4.45791e-17	8.03439e-18	1.50232e-18	2.42971e-19	4.11552e-20	5.96124e-21	9.17001e-22	1.2099e-22	1.74083e-23	2.08747e-24	2.8016e-25	3.13009e-26	4.06236e-27	4.18839e-28	5.1439e-29	5.03392e-30	6.04787e-31	5.47293e-32	6.15356e-33	5.3167e-34	5.82687e-35	4.67586e-36	4.80787e-37	3.8198e-38	4.00128e-39	3.32073e-40	3.7175e-41	3.88363e-42	5.15974e-43	6.79002e-44	1.03212e-44	1.81908e-45	
N4	0.176942	0.177077	0.162617	0.139644	0.111015	0.083218	0.0580347	0.0384179	0.0236991	0.0139661	0.00766351	0.00404976	0.00198578	0.00094893	0.000418045	0.000182989	7.30265e-05	2.97815e-05	1.08631e-05	4.21235e-06	1.41347e-06	5.29193e-07	1.64041e-07	5.99615e-08	1.70711e-08	6.05989e-09	1.5785e-09	5.44997e-10	1.28366e-10	4.26244e-11	9.16231e-12	2.98213e-12	5.92431e-13	1.93014e-13	4.39542e-14	1.37627e-14	2.69032e-15	7.18861e-16	1.28506e-16	3.13162e-17	4.97214e-18	1.08501e-18	1.56303e-19	3.24568e-20	4.07034e-21	7.77778e-22	8.87521e-23	1.72371e-23	1.67737e-24	3.05903e-25	2.77152e-26	5.49712e-27	4.18471e-28	7.63812e-29	5.66151e-30	1.15988e-30	7.118e-32	1.25575e-32	7.85103e-34	1.57279e-34	8.03406e-36	1.31512e-36	7.13089e-38	1.36323e-38	5.93601e-40	8.95022e-41	4.50685e-42	9.17987e-43	1.00729e-43	3.84921e-44	1.81193e-44	
N5	0.155704	0.159017	0.151502	0.136621	0.11493	0.091574	0.0679517	0.0478705	0.0313405	0.0195809	0.0113368	0.00632413	0.00325255	0.00163845	0.000754457	0.000349976	0.00014615	6.40643e-05	2.46459e-05	1.0499e-05	3.76165e-06	1.5743e-06	5.28178e-07	2.16693e-07	6.74256e-08	2.6452e-08	7.61101e-09	2.83422e-09	7.45035e-10	2.58334e-10	6.35279e-11	2.13524e-11	5.2744e-12	1.84092e-12	5.51251e-13	1.77638e-13	4.42226e-14	1.14555e-14	2.46239e-15	5.47375e-16	1.01633e-16	1.95352e-17	3.19902e-18	5.53078e-19	7.90449e-20	1.22153e-20	1.57015e-21	2.3132e-22	2.62733e-23	3.60345e-24	3.82234e-25	5.37715e-26	5.1099e-27	6.76419e-28	6.22924e-29	8.62643e-30	7.03923e-31	8.73916e-32	6.98472e-33	8.9532e-34	6.30945e-35	7.13503e-36	5.06416e-37	6.0867e-38	4.14433e-39	5.00942e-40	4.97889e-41	8.2723e-42	1.28008e-42	2.49616e-43	5.49824e-44	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.147178	0.151671	0.146822	0.135127	0.116259	0.0948004	0.071942	0.0517941	0.034594	0.0220358	0.0129751	0.00736148	0.00383513	0.00196025	0.000909416	0.000427448	0.000178514	7.93486e-05	3.02195e-05	1.31151e-05	4.58653e-06	1.97078e-06	6.3461e-07	2.70707e-07	7.92608e-08	3.27437e-08	8.70972e-09	3.48256e-09	8.28287e-10	3.11932e-10	6.78158e-11	2.49758e-11	5.20147e-12	2.01674e-12	6.12809e-13	2.13616e-13	4.97083e-14	1.33139e-14	2.72572e-15	6.3671e-16	1.12744e-16	2.26501e-17	3.56409e-18	6.57838e-19	8.84502e-20	1.44664e-20	1.75152e-21	2.86468e-22	2.92588e-23	4.37112e-24	4.19484e-25	6.96945e-26	5.56251e-27	8.23332e-28	6.55706e-29	1.12857e-29	7.24734e-31	1.01198e-31	6.75763e-33	1.10935e-33	5.86445e-35	7.42296e-36	4.25659e-37	6.5597e-38	2.94089e-39	3.47094e-40	2.07318e-41	3.88822e-42	5.33823e-43	1.36745e-43	4.58696e-44	
N7	0.0896099	0.0969238	0.102467	0.106155	0.105167	0.100479	0.0906617	0.078618	0.0640807	0.0504603	0.037273	0.0269298	0.0181951	0.0122868	0.00771415	0.00501736	0.00299574	0.00194406	0.00113023	0.000751726	0.000429225	0.000291147	0.000162406	0.00011038	5.90497e-05	3.91034e-05	1.99553e-05	1.28498e-05	6.21032e-06	3.86266e-06	1.83829e-06	1.1692e-06	5.99154e-07	4.14152e-07	2.58929e-07	1.68962e-07	9.02981e-08	4.90258e-08	2.30343e-08	1.09478e-08	4.5299e-09	1.90337e-09	7.06571e-10	2.71582e-10	9.01825e-11	3.1816e-11	9.71751e-12	3.33424e-12	9.32971e-13	3.09547e-13	8.33786e-14	2.88862e-14	7.28819e-15	2.46076e-15	6.13438e-16	2.15512e-16	4.94343e-17	1.60953e-17	3.63798e-18	1.21299e-18	2.5208e-19	7.80061e-20	1.67079e-20	5.57609e-21	1.26628e-21	4.59307e-22	1.48375e-22	6.77096e-23	2.97644e-23	1.62738e-23	1.18623e-23	
