NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.289485	0.248543	0.186615	0.124513	0.0747165	0.0406638	0.0201949	0.00918689	0.00383931	0.00147653	0.000523361	0.000171138	5.16765e-05	1.4419e-05	3.72024e-06	8.88007e-07	1.96193e-07	4.01349e-08	7.60462e-09	1.33487e-09	2.17121e-10	3.27282e-11	4.57264e-12	5.92212e-13	7.16083e-17	2.38928e-17	7.67698e-18	2.37554e-18	7.07982e-19	2.03242e-19	5.62064e-20	1.4976e-20	3.84508e-21	9.5145e-22	2.26941e-22	5.2188e-23	1.1573e-23	2.47535e-24	5.10788e-25	1.0171e-25	1.95483e-26	3.62738e-27	6.50026e-28	1.12522e-28	1.88207e-29	3.04259e-30	4.75537e-31	7.1876e-32	1.05091e-32	1.48681e-33	2.03599e-34	2.69933e-35	3.46593e-36	4.31116e-37	5.19642e-38	6.07124e-39	6.87765e-40	7.55649e-41	8.05473e-42	8.33241e-43	8.36815e-44	8.1621e-45	7.73584e-46	7.12952e-47	6.39702e-48	5.60071e-49	4.80778e-50	4.09111e-51	3.53923e-52	3.29202e-53	4.1015e-54	
N2	0.0025113	0.00354315	0.0055071	0.00879357	0.0136082	0.0203091	0.0282996	0.0377508	0.0475475	0.0571598	0.0653092	0.072544	0.076437	0.0788394	0.07818	0.0751917	0.0691981	0.0622065	0.0524689	0.0429773	0.0332018	0.024492	0.0169286	0.0113207	0.00695647	0.0041358	0.00229039	0.00120905	0.000592754	0.000282884	0.000122914	5.21203e-05	2.04879e-05	7.73172e-06	2.70121e-06	9.28679e-07	2.88877e-07	8.86805e-08	2.51838e-08	6.92784e-09	1.75967e-09	4.44682e-10	1.01353e-10	2.30528e-11	4.84131e-12	9.93387e-13	1.88129e-13	3.58313e-14	6.13529e-15	1.05887e-15	1.68725e-16	2.64997e-17	3.83715e-18	5.64248e-19	7.45336e-20	1.00245e-20	1.24568e-21	1.54057e-22	1.76684e-23	2.08642e-24	2.24135e-25	2.50522e-26	2.67149e-27	2.93824e-28	3.17085e-29	3.6347e-30	4.1042e-31	4.83986e-32	5.70064e-33	7.11163e-34	1.39952e-34	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.231883	0.227994	0.191864	0.142681	0.093801	0.0562822	0.0298956	0.0147399	0.00656872	0.00272212	0.00102148	0.000373379	0.000120009	3.88316e-05	1.13072e-05	3.31888e-06	8.57466e-07	2.4363e-07	5.59416e-08	1.46462e-08	3.1552e-09	7.47626e-10	1.42061e-10	3.24387e-11	5.3579e-12	1.08606e-12	1.68886e-13	3.06817e-14	4.14246e-15	7.16484e-16	8.52359e-17	1.32616e-17	1.48218e-18	2.01311e-19	2.00367e-20	2.70968e-21	2.31536e-22	2.68685e-23	2.25037e-24	2.38955e-25	1.71844e-26	1.72351e-27	1.10683e-28	1.0136e-29	6.14726e-31	4.80316e-32	2.63318e-33	2.11257e-34	9.83283e-36	6.61687e-37	3.08379e-38	1.94376e-39	7.76502e-41	4.62874e-42	1.68642e-43	9.33567e-45	3.20994e-46	1.5034e-47	4.80187e-49	2.37986e-50	6.44035e-52	2.66882e-53	7.55666e-55	3.00864e-56	7.29876e-58	2.81369e-59	7.02466e-61	3.02549e-62	1.16858e-63	7.4787e-65	6.18699e-66	
N4	0.231741	0.227977	0.191978	0.142853	0.0939066	0.0563259	0.0298484	0.0146758	0.00650162	0.00267721	0.000992275	0.00036004	0.000113136	3.62862e-05	1.02458e-05	2.9822e-06	7.3149e-07	2.10558e-07	4.44685e-08	1.20075e-08	2.35186e-09	5.82935e-10	9.65027e-11	2.46794e-11	3.34602e-12	7.8439e-13	1.00457e-13	2.18617e-14	2.24139e-15	5.13166e-16	4.34784e-17	9.61805e-18	7.68193e-19	1.45754e-19	9.73183e-21	2.24448e-21	1.14149e-22	2.18593e-23	1.2318e-24	2.30748e-25	9.52667e-27	1.78217e-27	6.61012e-29	1.27078e-29	4.55644e-31	6.13876e-32	2.01737e-33	3.83257e-34	8.99951e-36	1.14798e-36	3.50037e-38	4.90055e-39	9.95485e-41	1.21921e-41	2.53639e-43	3.59209e-44	6.64377e-46	5.38923e-47	1.07167e-48	1.51559e-49	1.86634e-51	1.43154e-52	2.94794e-54	3.02601e-55	3.29812e-57	2.53575e-58	3.31098e-60	3.57922e-61	4.50483e-63	3.9828e-64	7.47444e-65	
N5	0.202003	0.206054	0.184811	0.148969	0.106954	0.0703242	0.0407406	0.0218871	0.0105342	0.00471244	0.00188232	0.000746617	0.000251828	8.95334e-05	2.75236e-05	9.09041e-06	2.45065e-06	8.2232e-07	1.93122e-07	6.06327e-08	1.33781e-08	3.77179e-09	7.19543e-10	2.01656e-10	3.24036e-11	7.88364e-12	1.2178e-12	2.67012e-13	3.45837e-14	7.272e-15	8.24733e-16	1.58557e-16	1.68786e-17	2.68093e-18	2.55752e-19	4.45521e-20	3.42105e-21	4.68417e-22	3.78265e-23	5.05093e-24	3.24948e-25	3.93886e-26	2.30631e-27	2.71545e-28	1.46987e-29	1.32461e-30	6.7395e-32	7.21108e-33	2.83176e-34	2.19853e-35	9.44911e-37	7.59787e-38	2.57682e-39	1.84895e-40	5.98103e-42	4.30915e-43	1.25028e-44	6.60488e-46	1.89735e-47	1.25511e-48	2.74633e-50	1.30205e-51	3.40122e-53	1.74645e-54	3.41699e-56	1.51769e-57	3.00413e-59	1.50249e-60	4.34433e-62	3.25685e-63	3.44338e-64	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.190418	0.197292	0.181608	0.150977	0.111894	0.0759002	0.0452523	0.0249889	0.0123224	0.00564225	0.00229357	0.000929288	0.000315555	0.00011442	3.50539e-05	1.18178e-05	3.10213e-06	1.08388e-06	2.39904e-07	7.97938e-08	1.63639e-08	4.93411e-09	8.4343e-10	2.6664e-10	3.67069e-11	1.02188e-11	1.37046e-12	3.50451e-13	3.72586e-14	9.5504e-15	8.70499e-16	2.11519e-16	1.81762e-17	3.44573e-18	2.61932e-19	6.14882e-20	3.47261e-21	5.86463e-22	3.85541e-23	6.77628e-24	3.14071e-25	4.79441e-26	2.09931e-27	3.43826e-28	1.34653e-29	1.39394e-30	5.39525e-32	8.4426e-33	2.15342e-34	1.93785e-35	6.5524e-37	7.30339e-38	1.57814e-39	1.36715e-40	3.12157e-42	3.3071e-43	6.09785e-45	3.41112e-46	7.19528e-48	7.31529e-49	9.14577e-51	4.64259e-52	9.44895e-54	6.96028e-55	7.5872e-57	3.78504e-58	4.75615e-60	3.25079e-61	4.15372e-63	2.66458e-64	3.20896e-65	
N7	0.109071	0.123514	0.13278	0.134814	0.125921	0.110274	0.0868113	0.0646415	0.0440285	0.0285304	0.0169317	0.0102905	0.00548473	0.00319897	0.00167127	0.000970363	0.000478	0.000296188	0.000135579	8.19455e-05	3.70251e-05	2.10437e-05	8.71955e-06	5.12483e-06	1.90281e-06	1.02707e-06	3.85667e-07	1.97881e-07	6.62843e-08	3.42626e-08	1.05923e-08	5.21737e-09	1.58459e-09	6.80758e-10	1.92422e-10	9.08018e-11	2.18107e-11	8.5778e-12	2.16554e-12	8.32095e-13	1.76674e-13	6.36229e-14	1.24794e-14	4.34467e-15	8.07727e-16	2.29759e-16	4.03133e-17	1.30033e-17	1.86073e-18	4.69043e-19	7.1798e-20	1.81645e-20	2.30913e-21	5.4672e-22	6.58693e-23	1.52554e-23	1.71424e-24	3.12249e-25	3.41138e-26	7.35752e-27	6.45106e-28	1.07438e-28	1.0814e-29	1.85698e-30	1.4825e-31	2.32573e-32	1.88143e-33	3.27349e-34	4.03878e-35	1.07249e-35	4.49422e-36	
