NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	1.86475e-09	1.21643e-08	5.8273e-08	2.06154e-07	5.91029e-07	1.44365e-06	3.12914e-06	6.1664e-06	1.12667e-05	1.93315e-05	3.14867e-05	4.90661e-05	7.36277e-05	0.000106922	0.000150912	0.000207738	0.000279693	0.000369127	0.00047836	0.00060976	0.000765762	0.000948843	0.00116147	0.00140597	0.00168437	0.00199863	0.00235065	0.00274226	0.00317519	0.00365112	0.00417157	0.00473788	0.00535111	0.00601203	0.00672013	0.00746937	0.00825503	0.00907662	0.00993359	0.0108255	0.0117518	0.0127121	0.0137058	0.0147325	0.0157916	0.0168823	0.018002	0.0191427	0.0203002	0.0214735	0.0226617	0.0238638	0.025079	0.0263063	0.0275451	0.0287945	0.0300537	0.0313219	0.0325984	0.0338824	0.0351732	0.03647	0.0377721	0.0390786	0.0403888	0.0417018	0.0430168	0.0443326	0.0456451	0.0469324	0.0480515	
N2	2.48937e-06	2.95551e-05	0.000158687	0.000535605	0.00132048	0.00267643	0.00449217	0.0068494	0.0094791	0.012246	0.0149312	0.0179235	0.0200433	0.0226216	0.0245239	0.0262945	0.027425	0.0291238	0.0292272	0.0303368	0.0304299	0.0307104	0.0302856	0.0307064	0.0295429	0.0295932	0.0286827	0.0281371	0.026976	0.0266699	0.0250841	0.0245793	0.0233012	0.0224376	0.0211312	0.0205497	0.0190763	0.0184872	0.0173879	0.0166487	0.0156006	0.015099	0.0139839	0.0134868	0.0126127	0.0120064	0.0111864	0.0107487	0.00989027	0.00946706	0.00879743	0.00832032	0.00769446	0.00732956	0.00669199	0.00633836	0.00581992	0.00543206	0.00495347	0.0046398	0.00416265	0.00386499	0.00347803	0.00317581	0.00282938	0.00258655	0.002267	0.00205263	0.00180114	0.00160731	0.00141722	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	1.41652e-10	2.32696e-09	1.85704e-08	9.41739e-08	3.537e-07	1.08395e-06	2.78701e-06	6.38492e-06	1.32311e-05	2.52266e-05	4.49791e-05	7.62337e-05	0.00012208	0.000188779	0.000281136	0.000405083	0.000567606	0.000778854	0.00103804	0.00136323	0.00175507	0.00222022	0.0027666	0.00341103	0.00412752	0.00495963	0.00588437	0.00690577	0.00802925	0.00928365	0.0105911	0.0120499	0.0135906	0.0152193	0.0169352	0.0187809	0.0205884	0.022533	0.0244557	0.0263463	0.0281581	0.0299205	0.0313083	0.0325527	0.0333583	0.0337209	0.0336083	0.0331686	0.0320963	0.0309341	0.0294835	0.0279632	0.0264688	0.0252804	0.0239766	0.0231609	0.0224008	0.0218014	0.0212822	0.0210469	0.020482	0.0202699	0.019874	0.0194734	0.0189892	0.018717	0.0180048	0.0176556	0.017074	0.0165351	0.0158853	
N4	1.07102e-10	1.89162e-09	1.59664e-08	8.44084e-08	3.27926e-07	1.03154e-06	2.71428e-06	6.33434e-06	1.33394e-05	2.57838e-05	4.65339e-05	7.96321e-05	0.000128731	0.000200539	0.000300672	0.00043576	0.000613835	0.000845548	0.00113171	0.00149043	0.00192394	0.00243891	0.00304465	0.00375677	0.00455203	0.0054713	0.00649441	0.00762318	0.00886546	0.0102454	0.0116904	0.0132901	0.0149792	0.0167544	0.0186142	0.0205825	0.0224904	0.0244836	0.0263947	0.0281799	0.0297815	0.0312008	0.032131	0.0328015	0.032976	0.0326919	0.0319998	0.0310936	0.0297422	0.028483	0.0271353	0.0258608	0.024723	0.0239177	0.0230029	0.0225076	0.0220095	0.0215818	0.0211736	0.0209708	0.0204167	0.0201615	0.019718	0.0192503	0.0186974	0.0183149	0.0174923	0.0169467	0.0161326	0.0153538	0.0145332	
N5	2.52814e-11	5.77452e-10	6.10608e-09	3.88858e-08	1.76808e-07	6.33821e-07	1.86863e-06	4.80074e-06	1.09952e-05	2.28595e-05	4.39786e-05	7.95879e-05	0.000135226	0.000220062	0.000343017	0.000514457	0.000746901	0.0010567	0.00144747	0.00194543	0.00255575	0.00328897	0.00415904	0.00519091	0.00634749	0.00769134	0.00918552	0.0108255	0.0126077	0.014555	0.0165089	0.0185852	0.0206151	0.0225409	0.0242955	0.0258938	0.0270087	0.0279325	0.0284218	0.0285452	0.0283567	0.0280949	0.0274041	0.0269167	0.0263106	0.0257444	0.0252254	0.0250116	0.0244664	0.0243485	0.0240656	0.0237967	0.0234405	0.0233332	0.0226915	0.0224717	0.021956	0.0214948	0.0208983	0.0206314	0.0198402	0.0195489	0.0189301	0.0184659	0.0177926	0.0174737	0.0166321	0.016279	0.0155739	0.0150991	0.0143764	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.53254e-11	3.70884e-10	4.09993e-09	2.74789e-08	1.31177e-07	4.93474e-07	1.52149e-06	4.07346e-06	9.6809e-06	2.08199e-05	4.12859e-05	7.67406e-05	0.000133619	0.000222131	0.000352892	0.000538272	0.000793234	0.0011366	0.00157524	0.00213778	0.00283274	0.00367243	0.00467339	0.00586072	0.00719511	0.00873572	0.0104373	0.0122791	0.0142417	0.0163238	0.0183342	0.0203708	0.0222425	0.0238807	0.0252366	0.0263557	0.0269435	0.027372	0.0274463	0.0272756	0.0269505	0.0267129	0.0261633	0.0259251	0.0256116	0.0253355	0.0250727	0.025059	0.0246297	0.024567	0.0242703	0.0239542	0.0235204	0.0233316	0.0226253	0.0223505	0.021786	0.0213074	0.0206735	0.0203546	0.0195244	0.019153	0.0184465	0.0178973	0.0171194	0.0166648	0.015714	0.0152088	0.0143954	0.0138312	0.0130894	
N7	7.11865e-11	1.4259e-09	1.37994e-08	8.5217e-08	3.85954e-07	1.39409e-06	4.19402e-06	1.09716e-05	2.55891e-05	5.41226e-05	0.000105632	0.00019285	0.000330702	0.000539737	0.000841908	0.00125979	0.00181938	0.00254766	0.00344992	0.00455363	0.00585081	0.00731857	0.00893684	0.0106777	0.0124143	0.0141653	0.0158154	0.0172905	0.0185847	0.019739	0.020562	0.0213363	0.0219348	0.0223922	0.0227904	0.0232775	0.0234522	0.0238543	0.0241124	0.0243016	0.0244152	0.0246983	0.0244968	0.0246288	0.0244771	0.0243111	0.0239834	0.0239222	0.0232894	0.0231213	0.0226096	0.0222362	0.0216631	0.0214867	0.0207492	0.0205677	0.020023	0.0196963	0.0191232	0.0189559	0.0182198	0.018008	0.0174201	0.0170534	0.0164435	0.0162252	0.0155005	0.0152689	0.0147067	0.0143651	0.0137894	
