NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.121865	0.119105	0.113832	0.106401	0.0972459	0.0868592	0.0757603	0.0644653	0.0534536	0.0431371	0.0338344	0.0257557	0.0189987	0.0135576	0.00934181	0.00624718	0.0040502	0.00254324	0.00154538	0.000908011	0.000515534	0.000282671	0.000149604	7.63944e-05	3.76252e-05	1.7868e-05	8.18006e-06	3.60963e-06	1.53522e-06	6.29372e-07	2.48764e-07	9.48605e-08	3.49476e-08	1.23711e-08	4.2078e-09	1.37516e-09	4.3183e-10	1.303e-10	3.77802e-11	1.05268e-11	2.81885e-12	7.25481e-13	1.68152e-16	8.20022e-17	3.92116e-17	1.83868e-17	8.45561e-18	3.81409e-18	1.68779e-18	7.32891e-19	3.12421e-19	1.30874e-19	5.37559e-20	2.16519e-20	8.55269e-21	3.31358e-21	1.25934e-21	4.69593e-22	1.7185e-22	6.17436e-23	2.17913e-23	7.56089e-24	2.58216e-24	8.69549e-25	2.89506e-25	9.56646e-26	3.15472e-26	1.04633e-26	3.53725e-27	1.27103e-27	5.92088e-28	
N2	0.00801807	0.0087173	0.00990998	0.0116647	0.0140576	0.0171573	0.0210042	0.0255878	0.030825	0.0365433	0.0424759	0.0482717	0.0535219	0.0578032	0.0607296	0.0623162	0.0624023	0.0609532	0.0580644	0.053947	0.0487753	0.0429115	0.0367364	0.0306071	0.0248222	0.0196013	0.0150779	0.0113041	0.00826556	0.00589958	0.00411484	0.00280843	0.00187892	0.00122789	0.000784595	0.00049069	0.000300662	0.000180664	0.000106551	6.13165e-05	3.44232e-05	1.88497e-05	1.00663e-05	5.24202e-06	2.66174e-06	1.31787e-06	6.36309e-07	2.99669e-07	1.37708e-07	6.17866e-08	2.70961e-08	1.16365e-08	4.87827e-09	1.9982e-09	8.00583e-10	3.14124e-10	1.2087e-10	4.56779e-11	1.698e-11	6.2187e-12	2.24722e-12	8.02334e-13	2.83324e-13	9.90247e-14	3.42714e-14	1.17522e-14	4.00214e-15	1.36554e-15	4.81642e-16	1.93664e-16	1.12459e-16	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.109347	0.110237	0.108488	0.104214	0.0976621	0.0892093	0.0793422	0.0686224	0.0576378	0.0469482	0.0370322	0.0282467	0.0208052	0.0147775	0.0101089	0.00669011	0.00428533	0.00265961	0.00160248	0.000940474	0.000534337	0.000293986	0.000156704	8.09735e-05	4.05931e-05	1.97609e-05	9.35103e-06	4.30671e-06	1.93342e-06	8.47866e-07	3.64407e-07	1.54341e-07	6.50049e-08	2.7437e-08	1.17776e-08	5.21577e-09	2.40131e-09	1.14505e-09	5.57678e-10	2.49251e-10	1.03811e-10	4.06645e-11	1.50727e-11	5.30916e-12	1.78267e-12	5.71937e-13	1.75646e-13	5.17082e-14	1.46088e-14	3.96516e-15	1.03512e-15	2.60367e-16	6.29378e-17	1.46355e-17	3.27789e-18	7.08148e-19	1.47864e-19	2.99186e-20	5.88548e-21	1.13253e-21	2.15573e-22	4.13641e-23	8.22302e-24	1.7451e-24	4.02607e-25	1.00493e-25	2.65509e-26	7.25595e-27	2.02341e-27	5.79043e-28	2.02799e-28	
N4	0.108593	0.109567	0.107998	0.103962	0.0976622	0.0894326	0.0797258	0.0690862	0.0581034	0.047353	0.0373383	0.028442	0.0208991	0.0147927	0.0100732	0.00662903	0.00421798	0.0025977	0.00155174	0.000902663	0.00050769	0.000276194	0.000145417	7.41457e-05	3.66402e-05	1.75637e-05	8.17515e-06	3.69921e-06	1.62959e-06	7.00239e-07	2.94341e-07	1.21576e-07	4.96993e-08	2.02001e-08	8.25774e-09	3.44599e-09	1.49877e-09	7.0175e-10	3.66012e-10	1.62904e-10	6.61471e-11	2.51938e-11	9.10723e-12	3.14155e-12	1.03729e-12	3.28515e-13	9.99519e-14	2.92498e-14	8.24049e-15	2.23677e-15	5.85467e-16	1.48028e-16	3.60595e-17	8.47449e-18	1.92436e-18	4.2305e-19	9.02829e-20	1.87552e-20	3.7832e-21	7.4075e-22	1.40933e-22	2.61057e-23	4.72238e-24	8.38298e-25	1.4754e-25	2.66836e-26	5.75303e-27	2.0572e-27	1.23259e-27	8.73519e-28	7.48425e-28	
N5	0.0968697	0.0984848	0.0985019	0.0968028	0.0933003	0.0879885	0.0809867	0.0725637	0.063131	0.0532039	0.0433367	0.0340483	0.0257552	0.018726	0.0130678	0.0087912	0.00570583	0.00358101	0.00218374	0.0013054	0.000756619	0.000425652	0.000232704	0.000123792	6.41589e-05	3.24276e-05	1.59913e-05	7.69364e-06	3.60923e-06	1.64971e-06	7.34647e-07	3.19496e-07	1.36892e-07	5.86922e-08	2.61525e-08	1.27305e-08	6.96593e-09	4.18402e-09	2.60697e-09	1.32656e-09	5.97982e-10	2.46957e-10	9.50826e-11	3.44754e-11	1.18438e-11	3.86943e-12	1.20484e-12	3.58017e-13	1.01607e-13	2.75592e-14	7.14951e-15	1.77689e-15	4.21993e-16	9.5903e-17	2.09009e-17	4.38189e-18	8.8744e-19	1.74364e-19	3.32723e-20	6.17673e-21	1.12004e-21	2.00468e-22	3.63595e-23	7.0722e-24	1.6035e-24	4.44135e-25	1.43403e-25	4.95694e-26	1.73595e-26	6.09326e-27	2.5442e-27	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0923557	0.0941704	0.0947186	0.0938332	0.0913451	0.0871402	0.0812177	0.0737328	0.0650088	0.0555128	0.0457966	0.0364174	0.0278574	0.0204619	0.0144091	0.00976959	0.00638215	0.00402625	0.00246554	0.00148041	0.000860826	0.000485345	0.000265725	0.000141482	7.33498e-05	3.70576e-05	1.82497e-05	8.75794e-06	4.0925e-06	1.86052e-06	8.22611e-07	3.54229e-07	1.49387e-07	6.21716e-08	2.62163e-08	1.18017e-08	6.11462e-09	3.79891e-09	2.67642e-09	1.37528e-09	6.09986e-10	2.47161e-10	9.37548e-11	3.3665e-11	1.15012e-11	3.74733e-12	1.16574e-12	3.46431e-13	9.83693e-14	2.66935e-14	6.92552e-15	1.72076e-15	4.08424e-16	9.27485e-17	2.01981e-17	4.23393e-18	8.59195e-19	1.69823e-19	3.25943e-20	6.06679e-21	1.09552e-21	1.92204e-22	3.28445e-23	5.50601e-24	9.34846e-25	1.82524e-25	5.30653e-26	2.35077e-26	1.19376e-26	6.1954e-27	4.32949e-27	
N7	0.0726458	0.074533	0.075907	0.0766453	0.0765929	0.0755889	0.0734976	0.07024	0.0658207	0.0603429	0.0540086	0.0471023	0.0399595	0.0329264	0.0263191	0.0205012	0.0155783	0.0115846	0.0084886	0.00620623	0.00448401	0.00321312	0.00229119	0.0016298	0.00115768	0.000820536	0.000578971	0.000405318	0.000280517	0.00019142	0.000128754	8.57459e-05	5.72666e-05	3.91024e-05	2.8259e-05	2.23019e-05	1.93132e-05	1.78573e-05	1.69427e-05	1.387e-05	1.03377e-05	7.18669e-06	4.72104e-06	2.95318e-06	1.76748e-06	1.01517e-06	5.60585e-07	2.97965e-07	1.52557e-07	7.52858e-08	3.58402e-08	1.64849e-08	7.30174e-09	3.11846e-09	1.28699e-09	5.151e-10	2.01001e-10	7.69738e-11	2.90796e-11	1.09123e-11	4.11019e-12	1.5823e-12	6.4237e-13	2.87486e-13	1.47368e-13	8.66794e-14	5.65053e-14	3.93633e-14	2.90865e-14	2.38349e-14	2.45024e-14	
