NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00317893	0.00350489	0.0042001	0.00535056	0.00707833	0.0095298	0.0128569	0.0171899	0.0226025	0.0290728	0.036447	0.0444155	0.0525118	0.0601417	0.066646	0.0713881	0.0738542	0.0737429	0.0710231	0.0659459	0.0590049	0.0508547	0.0422054	0.0337187	0.0259256	0.0191799	0.0136504	0.00934452	0.0061521	0.00389492	0.00237107	0.00138782	0.000780986	0.000422531	0.000219772	0.000109895	5.28303e-05	2.44169e-05	1.08496e-05	4.63516e-06	1.904e-06	7.52039e-07	2.85635e-07	1.0433e-07	3.66493e-08	1.23827e-08	4.02437e-09	1.25821e-09	3.78462e-10	1.09536e-10	3.05076e-11	8.1777e-12	2.11005e-12	5.24164e-13	1.82747e-16	8.77191e-17	4.13297e-17	1.91182e-17	8.68504e-18	3.87627e-18	1.70067e-18	7.34085e-19	3.12109e-19	1.3093e-19	5.43252e-20	2.23707e-20	9.18712e-21	3.79094e-21	1.59637e-21	7.20728e-22	4.13751e-22	
N2	0.00340111	0.00370504	0.00431412	0.0052815	0.00667909	0.00859009	0.0110982	0.0142739	0.0181579	0.0227444	0.0279651	0.0336785	0.0396663	0.0456407	0.0512625	0.0561701	0.0600166	0.0625094	0.0634458	0.06274	0.060435	0.056698	0.0517994	0.0460803	0.0399116	0.0336547	0.0276268	0.0220768	0.0171729	0.0130031	0.00958383	0.00687571	0.00480157	0.00326394	0.00215973	0.00139112	0.000872269	0.000532442	0.000316406	0.000183058	0.000103115	5.65545e-05	3.02029e-05	1.57069e-05	7.95461e-06	3.92341e-06	1.88474e-06	8.81895e-07	4.01965e-07	1.78485e-07	7.72129e-08	3.25456e-08	1.33674e-08	5.35056e-09	2.08735e-09	7.93767e-10	2.94277e-10	1.06383e-10	3.75101e-11	1.29044e-11	4.33374e-12	1.42182e-12	4.56218e-13	1.43423e-13	4.43018e-14	1.3511e-14	4.10508e-15	1.26599e-15	4.13807e-16	1.5889e-16	8.80661e-17	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.00173819	0.00199848	0.0025483	0.00347258	0.00489761	0.00698733	0.00993156	0.0139225	0.0191169	0.0255866	0.0332629	0.0418892	0.0509973	0.0599232	0.0678717	0.0740244	0.0776754	0.0783623	0.075961	0.0707159	0.0631981	0.0541994	0.0445918	0.0351862	0.0266224	0.0193106	0.013426	0.00894626	0.00571251	0.00349513	0.00204887	0.00115069	0.000619114	0.000319111	0.000157567	7.45308e-05	3.37723e-05	1.46605e-05	6.09694e-06	2.42923e-06	9.27344e-07	3.392e-07	1.1889e-07	3.99336e-08	1.28552e-08	3.96647e-09	1.17317e-09	3.32663e-10	9.04445e-11	2.35807e-11	5.89644e-12	1.41434e-12	3.2548e-13	7.18772e-14	1.52353e-14	3.1004e-15	6.05931e-16	1.1377e-16	2.05316e-17	3.5633e-18	5.9515e-19	9.5751e-20	1.48567e-20	2.22664e-21	3.23012e-22	4.548e-23	6.23934e-24	8.39622e-25	1.12774e-25	1.621e-26	3.54752e-27	
N4	0.00155462	0.0018062	0.00234112	0.00324678	0.00465408	0.00673425	0.00968732	0.0137177	0.0189947	0.0255991	0.0334642	0.0423238	0.0516867	0.0608537	0.0689873	0.0752287	0.0788441	0.079364	0.0766818	0.071082	0.0631889	0.053849	0.0439778	0.0344104	0.0257896	0.0185101	0.0127205	0.00836893	0.00527043	0.00317679	0.00183255	0.00101163	0.000534386	0.000270111	0.000130639	6.04557e-05	2.67693e-05	1.13416e-05	4.59792e-06	1.78365e-06	6.62121e-07	2.35216e-07	7.99694e-08	2.60219e-08	8.10486e-09	2.41647e-09	6.89742e-10	1.88498e-10	4.93278e-11	1.23621e-11	2.96734e-12	6.82301e-13	1.5031e-13	3.17302e-14	6.41971e-15	1.2451e-15	2.3155e-16	4.13004e-17	7.06763e-18	1.16085e-18	1.831e-19	2.77521e-20	4.04592e-21	5.68151e-22	7.70222e-23	1.01192e-23	1.29759e-24	1.64753e-25	2.14323e-26	3.17269e-27	7.88513e-28	
N5	0.000696109	0.000831795	0.00113007	0.00165838	0.00252522	0.00388597	0.00594384	0.00894007	0.0131274	0.018723	0.0258417	0.0344201	0.0441495	0.0544421	0.0644551	0.0731844	0.0796205	0.0829365	0.082661	0.0787863	0.0717776	0.0624796	0.0519449	0.0412355	0.0312469	0.0225971	0.0155927	0.0102646	0.00644545	0.00386016	0.00220475	0.00120083	0.000623658	0.000308845	0.000145832	6.56574e-05	2.81859e-05	1.15374e-05	4.50325e-06	1.67612e-06	5.94931e-07	2.01391e-07	6.50219e-08	2.00244e-08	5.88273e-09	1.64878e-09	4.4092e-10	1.12517e-10	2.74029e-11	6.37014e-12	1.41364e-12	2.99525e-13	6.06041e-14	1.17118e-14	2.16212e-15	3.81388e-16	6.42981e-17	1.03634e-17	1.59751e-18	2.35633e-19	3.32783e-20	4.50412e-21	5.84972e-22	7.30339e-23	8.78824e-24	1.02296e-24	1.1578e-25	1.28375e-26	1.41546e-27	1.65e-28	2.9742e-29	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000503332	0.000595903	0.000803239	0.00118133	0.00182365	0.00287036	0.0045148	0.00700156	0.0106087	0.0156076	0.0221984	0.0304267	0.0400974	0.0507145	0.0614749	0.0713389	0.0791811	0.0839948	0.0851024	0.0823099	0.0759592	0.0668577	0.0561064	0.0448779	0.0342055	0.0248374	0.0171781	0.0113144	0.00709596	0.00423706	0.0024085	0.00130324	0.000671226	0.000329049	0.000153528	6.8177e-05	2.88147e-05	1.15909e-05	4.43771e-06	1.61714e-06	5.60925e-07	1.85204e-07	5.82114e-08	1.74184e-08	4.96235e-09	1.3461e-09	3.47712e-10	8.55374e-11	2.00416e-11	4.47301e-12	9.5106e-13	1.92669e-13	3.71939e-14	6.84302e-15	1.20007e-15	2.0064e-16	3.19857e-17	4.86302e-18	7.05275e-19	9.7593e-20	1.28887e-20	1.62508e-21	1.95705e-22	2.25237e-23	2.47946e-24	2.61451e-25	2.6492e-26	2.60234e-27	2.55479e-28	2.82977e-29	5.68114e-30	
N7	0.000223576	0.000268249	0.000367939	0.000548573	0.000853819	0.00135053	0.00213457	0.00333537	0.00511622	0.00766711	0.0111865	0.0158497	0.021765	0.0289224	0.0371452	0.0460598	0.0550969	0.063535	0.0705867	0.0755167	0.0777664	0.0770578	0.0734494	0.0673286	0.0593417	0.05028	0.040949	0.0320521	0.0241099	0.0174273	0.0121043	0.00807806	0.00518	0.00319157	0.00188945	0.00107481	0.0005875	0.000308591	0.000155768	7.55649e-05	3.52321e-05	1.57894e-05	6.80203e-06	2.81706e-06	1.12171e-06	4.29473e-07	1.58129e-07	5.59958e-08	1.90732e-08	6.24991e-09	1.97045e-09	5.97806e-10	1.74555e-10	4.90631e-11	1.32774e-11	3.46023e-12	8.68645e-13	2.10118e-13	4.89944e-14	1.10185e-14	2.39171e-15	5.01608e-16	1.01802e-16	2.00396e-17	3.83982e-18	7.2022e-19	1.33467e-19	2.4839e-20	4.79632e-21	1.04297e-21	3.39615e-22	
