NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.094235	0.0934356	0.0918275	0.0893542	0.0859397	0.0815229	0.0760903	0.0697034	0.0625118	0.0547511	0.0467233	0.0387632	0.0311978	0.0243077	0.0184041	0.0135215	0.00962798	0.006637	0.00442503	0.002851	0.00177374	0.00106489	0.000616582	0.00034414	0.000185078	9.58765e-005	4.78304e-005	2.29765e-005	1.06287e-005	4.73603e-006	2.03412e-006	8.43145e-007	3.35681e-007	1.28347e-007	4.71203e-008	1.66082e-008	5.619e-009	1.82452e-009	5.68497e-010	1.69956e-010	4.87442e-011	1.34104e-011	3.53882e-012	8.95662e-013	1.99409e-016	9.62145e-017	4.54644e-017	2.10413e-017	9.5394e-018	4.23844e-018	1.84741e-018	7.88457e-019	3.29509e-019	1.34848e-019	5.40407e-020	2.12088e-020	8.15162e-021	3.06845e-021	1.13125e-021	4.08485e-022	1.44476e-022	5.00559e-023	1.69917e-023	5.6539e-024	1.84655e-024	5.94173e-025	1.90474e-025	6.2882e-026	2.3506e-026	1.24514e-026	
N2	0.101252	0.10239	0.101144	0.0976489	0.0921683	0.0850663	0.0767736	0.0677506	0.0584499	0.049284	0.0405997	0.0326613	0.0256447	0.0196387	0.0147232	0.0108054	0.00776322	0.0054612	0.00376298	0.0025411	0.00167792	0.00108337	0.00068401	0.000422365	0.000255126	0.000150806	8.72802e-005	4.94964e-005	2.75335e-005	1.50466e-005	8.09521e-006	4.30058e-006	2.25373e-006	1.16856e-006	6.01575e-007	3.08663e-007	1.58446e-007	8.16382e-008	4.23091e-008	2.16046e-008	1.08478e-008	5.34626e-009	2.58247e-009	1.22121e-009	5.6484e-010	2.55367e-010	1.12807e-010	4.86817e-011	2.05267e-011	8.46162e-012	3.4149e-012	1.34568e-012	5.18186e-013	1.95209e-013	7.20546e-014	2.61154e-014	9.32049e-015	3.2875e-015	1.15107e-015	4.02154e-016	1.40955e-016	4.98052e-017	1.78011e-017	6.44406e-018	2.36168e-018	8.76225e-019	3.31227e-019	1.31309e-019	5.98141e-020	3.87962e-020	
N3	0.113263	0.113909	0.111316	0.105779	0.0977974	0.0880112	0.0771215	0.0658177	0.054715	0.044309	0.0349532	0.0268554	0.0200914	0.0146297	0.01041	0.00724051	0.00492435	0.00327642	0.00213401	0.00136175	0.000849525	0.000518205	0.000309146	0.000180413	0.000103028	5.7597e-005	3.15383e-005	1.69271e-005	8.91388e-006	4.61198e-006	2.34903e-006	1.18106e-006	5.85449e-007	2.86854e-007	1.39348e-007	6.73366e-008	3.24768e-008	1.56805e-008	7.59502e-009	3.62272e-009	1.69881e-009	7.81999e-010	3.52915e-010	1.55986e-010	6.74698e-011	2.85423e-011	1.18051e-011	4.77305e-012	1.8869e-012	7.29791e-013	2.76561e-013	1.0243e-013	3.71097e-014	1.31673e-014	4.58324e-015	1.56841e-015	5.29172e-016	1.76653e-016	5.85944e-017	1.9403e-017	6.44559e-018	2.1571e-018	7.29311e-019	2.49345e-019	8.61542e-020	3.00786e-020	1.06721e-020	3.95559e-021	1.67918e-021	1.02866e-021	
N4	0.101545	0.102774	0.101679	0.0983534	0.093012	0.0859753	0.0776486	0.0684896	0.0589699	0.0495358	0.0405733	0.0323828	0.0251661	0.0190264	0.0140426	0.0101147	0.00710842	0.00487384	0.00326059	0.00212918	0.00135272	0.000835732	0.000501901	0.000292908	0.000166088	9.15044e-005	4.89942e-005	2.55076e-005	1.29243e-005	6.38213e-006	3.07805e-006	1.45449e-006	6.72912e-007	3.05761e-007	1.36933e-007	6.06578e-008	2.66612e-008	1.16526e-008	5.06777e-009	2.13963e-009	8.75304e-010	3.46459e-010	1.32547e-010	4.89783e-011	1.74732e-011	6.01705e-012	2.00003e-012	6.41815e-013	1.98926e-013	5.95996e-014	1.72919e-014	4.84834e-015	1.31514e-015	3.45622e-016	8.81649e-017	2.1884e-017	5.30265e-018	1.2594e-018	2.94643e-019	6.82988e-020	1.57832e-020	3.65665e-021	8.52669e-022	2.00373e-022	4.73779e-023	1.1233e-023	2.66524e-024	6.40371e-025	1.68846e-025	6.85432e-026	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0733496	0.0756279	0.0776161	0.0790502	0.0794887	0.0784629	0.0756536	0.0710268	0.0648712	0.0577235	0.0502154	0.0429069	0.0361697	0.0301563	0.0249599	0.0204421	0.0164793	0.0130024	0.00999574	0.00746999	0.00537826	0.00372148	0.00247134	0.00157404	0.000961452	0.000563357	0.000316824	0.000171152	8.89229e-005	4.4523e-005	2.15564e-005	1.01512e-005	4.66984e-006	2.12118e-006	9.63455e-007	4.42618e-007	2.06858e-007	9.80612e-008	4.66569e-008	2.04427e-008	8.32352e-009	3.16848e-009	1.13249e-009	3.81276e-010	1.21211e-010	3.6459e-011	1.03929e-011	2.81166e-012	7.22876e-013	1.76883e-013	4.12855e-014	9.177e-015	1.94518e-015	3.9376e-016	7.62677e-017	1.41709e-017	2.53492e-018	4.38827e-019	7.40709e-020	1.23369e-020	2.06336e-021	3.54151e-022	6.36184e-023	1.20546e-023	2.38795e-024	4.84698e-025	9.88229e-026	2.01324e-026	4.33357e-027	1.40145e-027	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.141264	0.140406	0.134012	0.122878	0.108237	0.0915613	0.0743484	0.0579141	0.0432465	0.0309358	0.0211833	0.0138745	0.00868496	0.00519008	0.00297109	0.00162921	0.000855931	0.000431005	0.000208168	9.65329e-005	4.28748e-005	1.8243e-005	7.43864e-006	2.90774e-006	1.09015e-006	3.92221e-007	1.3552e-007	4.501e-008	1.43871e-008	4.43309e-009	1.31978e-009	3.80931e-010	1.06595e-010	2.9022e-011	7.71999e-012	2.01534e-012	5.18538e-013	1.31946e-013	3.32663e-014	8.09925e-015	1.90071e-015	4.2935e-016	9.32599e-017	1.94662e-017	3.90309e-018	7.51654e-019	1.39039e-019	2.47105e-020	4.22142e-021	6.93787e-022	1.09879e-022	1.67415e-023	2.45681e-024	3.47777e-025	4.75809e-026	6.30791e-027	8.13069e-028	1.02337e-028	1.26449e-029	1.54347e-030	1.87373e-031	2.27617e-032	2.77855e-033	3.4126e-034	4.20923e-035	5.19522e-036	6.40433e-037	7.9571e-038	1.04796e-038	1.93788e-039	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.159578	0.156954	0.146747	0.130522	0.110472	0.088975	0.0681744	0.049672	0.0343934	0.022615	0.0141097	0.00834516	0.00467373	0.00247503	0.00124317	0.000592179	0.000267563	0.000114746	4.67743e-005	1.81701e-005	6.69812e-006	2.34419e-006	7.79425e-007	2.46432e-007	7.41773e-008	2.1287e-008	5.8336e-009	1.52943e-009	3.84367e-010	9.27879e-011	2.15689e-011	4.84574e-012	1.05353e-012	2.23488e-013	4.70616e-014	1.01518e-014	2.33971e-015	5.92782e-016	1.63009e-016	3.89549e-017	8.43775e-018	1.69308e-018	3.18775e-019	5.67596e-020	9.60143e-021	1.54685e-021	2.37616e-022	3.48176e-023	4.86702e-024	6.49163e-025	8.27038e-026	1.00428e-026	1.16298e-027	1.28517e-028	1.35643e-029	1.3689e-030	1.32279e-031	1.22559e-032	1.08932e-033	9.30791e-035	7.69837e-036	6.28439e-037	5.31362e-038	5.07522e-039	5.89613e-040	8.08827e-041	1.18485e-041	1.72626e-042	2.52896e-043	5.01007e-044	
Fimbristylis_littoralis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.166983	0.163561	0.151674	0.133247	0.110916	0.0874631	0.0653026	0.0461306	0.0308042	0.0194244	0.0115535	0.0064739	0.00341262	0.00168932	0.000787592	0.000345828	0.000143157	5.60337e-005	2.08827e-005	7.51684e-006	2.58294e-006	8.50303e-007	2.6929e-007	8.23989e-008	2.44498e-008	7.05057e-009	1.97597e-009	5.37058e-010	1.41037e-010	3.56358e-011	8.63534e-012	2.00787e-012	4.49862e-013	9.9545e-014	2.30196e-014	6.02826e-015	1.8528e-015	6.30648e-016	2.17314e-016	5.6336e-017	1.25407e-017	2.51337e-018	4.63917e-019	7.98329e-020	1.28952e-020	1.96235e-021	2.81881e-022	3.82581e-023	4.90894e-024	5.9579e-025	6.84925e-026	7.44474e-027	7.65702e-028	7.461e-029	6.90184e-030	6.08367e-031	5.14011e-032	4.19325e-033	3.31193e-034	2.54308e-035	1.91581e-036	1.45094e-037	1.17601e-038	1.14269e-039	1.43724e-040	2.17038e-041	3.43943e-042	5.30038e-043	8.04362e-044	1.65874e-044	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.163076	0.160272	0.14957	0.132552	0.111492	0.0889166	0.0671501	0.047953	0.0323329	0.0205535	0.0122998	0.00691889	0.00365267	0.00180645	0.000839438	0.000366745	0.0001511	5.92344e-005	2.25939e-005	8.78043e-006	3.36878e-006	1.27876e-006	4.79173e-007	1.7622e-007	6.31001e-008	2.18157e-008	7.22708e-009	2.27993e-009	6.8181e-010	1.92736e-010	5.14798e-011	1.30577e-011	3.18944e-012	7.89502e-013	2.20945e-013	7.78942e-014	3.33188e-014	1.50745e-014	6.55075e-015	2.01543e-015	5.23401e-016	1.21412e-016	2.5812e-017	5.09717e-018	9.41767e-019	1.63445e-019	2.67007e-020	4.11035e-021	5.9667e-022	8.17286e-023	1.058e-023	1.29217e-024	1.49054e-025	1.62728e-026	1.68925e-027	1.68435e-028	1.64406e-029	1.61061e-030	1.59396e-031	1.59286e-032	1.6021e-033	1.62798e-034	1.72171e-035	2.05347e-036	3.05904e-037	5.68092e-038	1.16788e-038	2.40113e-039	4.92441e-040	1.44248e-040	
Fimbristylis_ferruginea	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.123033	0.126013	0.126709	0.123676	0.115784	0.102891	0.0860928	0.0674295	0.0492275	0.0334013	0.0210187	0.0122483	0.00660159	0.00328741	0.00151879	0.000652391	0.000261728	9.89194e-005	3.57609e-005	1.26618e-005	4.32975e-006	1.43333e-006	4.58692e-007	1.41251e-007	4.15962e-008	1.16408e-008	3.07988e-009	7.67775e-010	1.80139e-010	3.98624e-011	8.37943e-012	1.69977e-012	3.40312e-013	6.95986e-014	1.49924e-014	3.42448e-015	8.10872e-016	1.92183e-016	4.42607e-017	8.65349e-018	1.50306e-018	2.36974e-019	3.43229e-020	4.6015e-021	5.73933e-022	6.68437e-023	7.28946e-024	7.45951e-025	7.17634e-026	6.502e-027	5.5628e-028	4.49273e-029	3.43338e-030	2.49122e-031	1.72536e-032	1.14986e-033	7.45912e-035	4.77485e-036	3.05063e-037	1.96685e-038	1.29524e-039	8.85343e-041	6.413e-042	5.01144e-043	4.23041e-044	3.7792e-045	3.46151e-046	3.16286e-047	2.89541e-048	3.76583e-049	
Fimbristylis_dichotoma	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.00851112	0.0148429	0.029926	0.0568126	0.0946785	0.134802	0.161934	0.163103	0.137328	0.0965532	0.0567022	0.02785	0.0114646	0.0039653	0.00116137	0.00028986	6.21935e-005	1.16172e-005	1.92404e-006	2.89877e-007	3.94571e-008	4.88956e-009	5.53869e-010	5.73876e-011	5.4301e-012	4.68111e-013	3.66962e-014	2.61451e-015	1.69552e-016	1.00529e-017	5.49864e-019	2.82076e-020	1.3881e-021	6.76235e-023	3.3533e-024	1.70659e-025	8.77134e-027	4.42656e-028	2.13854e-029	8.74508e-031	3.14765e-032	1.01705e-033	2.98462e-035	8.01607e-037	1.9812e-038	4.52453e-040	9.57867e-042	1.88488e-043	3.45554e-045	5.91499e-047	9.47901e-049	1.42307e-050	2.00686e-052	2.66821e-054	3.36218e-056	4.04635e-058	4.70104e-060	5.34134e-062	6.00702e-064	6.77346e-066	7.77e-068	9.22887e-070	1.15739e-071	1.55398e-073	2.22876e-075	3.34566e-077	5.10828e-079	7.7327e-081	1.14218e-082	1.96156e-084	
