NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.34675	0.27602	0.182876	0.104207	0.0522443	0.0233944	0.00944283	0.00345221	0.00114511	0.000344555	9.39247e-005	2.31562e-005	5.15379e-006	1.03366e-006	1.86501e-007	3.02217e-008	4.39166e-009	5.71453e-010	6.64956e-011	6.91085e-012	6.40785e-013	5.69092e-017	1.54382e-017	3.95063e-018	9.53375e-019	2.16914e-019	4.65233e-020	9.40529e-021	1.7922e-021	3.2191e-022	5.4509e-023	8.70293e-024	1.31048e-024	1.86161e-025	2.49568e-026	3.15866e-027	3.77582e-028	4.265e-029	4.5545e-030	4.60046e-031	4.39786e-032	3.98111e-033	3.41465e-034	2.77669e-035	2.14196e-036	1.56844e-037	1.09087e-038	7.21098e-040	4.53329e-041	2.71209e-042	1.54506e-043	8.3871e-045	4.34089e-046	2.14349e-047	1.01044e-048	4.55001e-050	1.95839e-051	8.0618e-053	3.17594e-054	1.19806e-055	4.33014e-057	1.50036e-058	4.98658e-060	1.59063e-061	4.87227e-063	1.43397e-064	4.05784e-066	1.10612e-067	2.95689e-069	1.0791e-070	
N2	0.207946	0.212852	0.185462	0.146543	0.102124	0.0662924	0.0385395	0.0212191	0.0104944	0.00498932	0.0021289	0.000890632	0.000332396	0.000124671	4.13547e-005	1.41742e-005	4.2134e-006	1.32595e-006	3.54963e-007	1.02858e-007	2.46643e-008	6.51493e-009	1.4047e-009	3.4043e-010	6.58237e-011	1.45458e-011	2.56125e-012	5.26327e-013	8.43414e-014	1.59821e-014	2.37514e-015	4.24354e-016	5.7772e-017	9.50214e-018	1.20361e-018	1.8638e-019	2.14585e-020	3.02276e-021	3.22248e-022	4.25307e-023	4.07702e-024	4.83722e-025	4.28178e-026	4.75688e-027	3.77248e-028	3.7564e-029	2.76138e-030	2.58766e-031	1.70069e-032	1.42294e-033	8.7064e-035	6.89224e-036	3.7831e-037	2.68297e-038	1.38249e-039	9.3496e-041	4.32054e-042	2.60897e-043	1.13755e-044	6.58722e-046	2.59603e-047	1.35628e-048	5.16757e-050	2.67291e-051	1.00057e-052	5.23514e-054	2.49316e-055	1.59707e-056	1.02189e-057	1.07432e-058	
N3	0.203099	0.208346	0.182665	0.145883	0.103524	0.0687729	0.0413083	0.0235545	0.0121914	0.00604044	0.00271272	0.00117661	0.000460169	0.000175952	6.0354e-005	2.05811e-005	6.23658e-006	1.91393e-006	5.16956e-007	1.4414e-007	3.47968e-008	8.81002e-009	1.90752e-009	4.39579e-010	8.50411e-011	1.77133e-011	3.07308e-012	5.8154e-013	9.01483e-014	1.5403e-014	2.1514e-015	3.35627e-016	4.20746e-017	5.94568e-018	6.77157e-019	8.80424e-020	9.05252e-021	1.07003e-021	1.00794e-022	1.10383e-023	9.42161e-025	9.38923e-026	7.38768e-027	6.85646e-028	4.90197e-029	4.14545e-030	2.74742e-031	2.17533e-032	1.31159e-033	9.4627e-035	5.31359e-036	3.60787e-037	1.84846e-038	1.14691e-039	5.5055e-041	3.23568e-042	1.41953e-043	7.62932e-045	3.15404e-046	1.61686e-047	6.16058e-049	2.9224e-050	1.08161e-051	5.10851e-053	1.93666e-054	9.67303e-056	4.61003e-057	2.74823e-058	1.65134e-059	1.57114e-060	
N4	0.112052	0.131635	0.142865	0.145735	0.132665	0.112073	0.0842926	0.0591562	0.0369698	0.0217148	0.0113186	0.00558077	0.00241656	0.000996761	0.000356572	0.000122879	3.61446e-005	1.04022e-005	2.52306e-006	6.10409e-007	1.22417e-007	2.49485e-008	4.17748e-009	7.25639e-010	1.02344e-010	1.53031e-011	1.86835e-012	2.49367e-013	2.72728e-014	3.373e-015	3.48653e-016	4.19059e-017	4.14485e-018	4.76849e-019	4.45709e-020	4.81767e-021	4.07643e-022	3.96369e-023	3.01651e-024	2.65307e-025	1.77721e-026	1.37878e-027	8.26064e-029	5.79269e-030	3.05644e-031	1.89366e-032	9.0046e-034	5.08516e-035	2.13899e-036	1.07103e-037	4.09478e-039	1.88616e-040	6.42236e-042	2.64066e-043	8.25363e-045	3.15398e-046	8.82279e-048	3.02053e-049	7.8252e-051	2.51457e-052	5.89517e-054	1.72137e-055	3.859e-057	1.1051e-058	2.49126e-060	7.41215e-062	2.08016e-063	7.31907e-065	2.54874e-066	1.29871e-067	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0225605	0.0377211	0.0636141	0.0980091	0.129849	0.154625	0.148735	0.118351	0.0796089	0.0560044	0.0384041	0.0261587	0.0146269	0.00749594	0.00287835	0.00101965	0.000257723	6.47385e-005	1.20869e-005	2.78801e-006	6.26862e-007	2.43697e-007	8.69411e-008	4.0496e-008	1.30915e-008	5.10609e-009	1.33895e-009	4.3176e-010	8.90655e-011	2.29145e-011	3.8212e-012	8.22713e-013	1.07854e-013	1.8472e-014	1.99857e-015	2.93644e-016	2.5258e-017	2.9668e-018	2.17181e-019	2.25127e-020	1.32443e-021	1.09877e-022	5.64135e-024	4.23357e-025	1.77538e-026	1.08108e-027	4.06646e-029	2.2999e-030	7.12243e-032	3.27484e-033	9.25316e-035	4.03948e-036	9.55891e-038	3.4584e-039	7.66586e-041	2.70099e-042	5.01886e-044	1.45488e-045	2.55921e-047	7.35452e-049	1.10356e-050	2.66966e-052	3.9142e-054	9.65703e-056	1.23584e-057	2.67966e-059	4.3503e-061	1.26689e-062	3.45185e-064	1.59109e-065	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.202674	0.212816	0.191682	0.15466	0.107319	0.0667863	0.035762	0.0172583	0.00715628	0.00268847	0.000863665	0.000253155	6.29942e-005	1.44919e-005	2.81697e-006	5.16813e-007	7.95086e-008	1.18305e-008	1.46616e-009	1.80382e-010	1.82265e-011	1.86997e-012	1.56085e-013	1.35069e-014	9.35251e-016	6.82472e-017	3.96644e-018	2.47234e-019	1.20897e-020	6.43034e-022	2.6869e-023	1.24247e-024	4.43918e-026	1.77731e-027	5.53311e-029	1.96302e-030	5.30859e-032	1.65245e-033	3.96502e-035	1.11189e-036	2.34457e-038	5.81488e-040	1.10319e-041	2.49507e-043	4.19646e-045	8.44696e-047	1.29284e-048	2.39755e-050	3.26986e-052	5.41267e-054	6.77496e-056	1.04211e-057	1.16926e-059	1.61431e-061	1.67745e-063	2.17208e-065	2.03016e-067	2.36453e-069	2.06213e-071	2.27226e-073	1.79852e-075	1.80371e-077	1.3689e-079	1.34989e-081	1.02263e-083	1.04306e-085	9.94326e-088	1.22447e-089	1.49807e-091	2.53549e-093	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
