NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.760228	0.210087	0.0274583	0.00211629	0.000106534	3.54461e-006	7.95556e-008	1.20177e-009	1.22233e-011	8.32753e-014	3.02631e-018	1.66882e-019	7.53603e-021	2.79858e-022	8.60659e-024	2.21121e-025	4.78442e-027	8.76214e-029	1.36036e-030	1.78982e-032	1.99529e-034	1.88726e-036	1.51939e-038	1.04608e-040	6.19435e-043	3.1745e-045	1.41701e-047	5.54399e-050	1.91274e-052	5.85289e-055	1.59702e-057	3.9054e-060	8.59964e-063	1.71259e-065	3.09704e-068	5.10512e-071	7.69766e-074	1.06519e-076	1.35689e-079	1.59568e-082	1.737e-085	1.75465e-088	1.6487e-091	1.44415e-094	1.1817e-097	9.05065e-101	6.50031e-104	4.38561e-107	2.78412e-110	1.66567e-113	9.40549e-117	5.01971e-120	2.53551e-123	1.21366e-126	5.51194e-130	2.3779e-133	9.75538e-137	3.80995e-140	1.41795e-143	5.0337e-147	1.70611e-150	5.5259e-154	1.71179e-157	5.07578e-161	1.4418e-164	3.92635e-168	1.02581e-171	2.57309e-175	6.2049e-179	1.56268e-182	
N2	0.400453	0.366955	0.166322	0.0529752	0.0107333	0.00228093	0.000245126	3.31874e-005	2.61207e-006	2.02668e-007	8.71734e-009	6.88479e-010	1.6558e-011	6.85786e-013	1.49961e-014	4.7591e-016	6.08359e-018	1.91151e-019	1.6348e-021	3.46976e-023	2.8344e-025	3.43537e-027	2.15962e-029	4.17991e-031	1.46006e-033	1.2845e-035	6.49211e-038	4.99995e-040	1.33888e-042	1.17635e-044	2.648e-047	2.04744e-049	4.23076e-052	1.5863e-054	3.03764e-057	2.37639e-059	2.49572e-062	7.49845e-065	1.28382e-067	5.09831e-070	5.34109e-073	2.02384e-075	1.82932e-078	6.9794e-081	8.73402e-084	1.79101e-086	2.07299e-089	1.06909e-091	6.11149e-095	1.0374e-097	8.59463e-101	1.74032e-103	9.64038e-107	2.53386e-109	1.12508e-112	2.17005e-115	9.98892e-119	9.55427e-122	4.64062e-125	1.06858e-127	2.79628e-131	2.66956e-134	1.49286e-137	1.81958e-140	4.26497e-144	4.46363e-147	1.09738e-150	1.38237e-153	1.45459e-156	4.80654e-159	
N3	0.291744	0.337517	0.220757	0.10542	0.0333125	0.00954536	0.00146487	0.000218298	2.04216e-005	1.61325e-006	7.71282e-008	5.00843e-009	1.32392e-010	4.83513e-012	1.04543e-013	2.63349e-015	3.4052e-017	8.10114e-019	6.87065e-021	1.09607e-022	8.74829e-025	8.98273e-027	5.31135e-029	7.11906e-031	2.62164e-033	1.96396e-035	9.04711e-038	5.60358e-040	1.53483e-042	1.0464e-044	2.35563e-047	1.34254e-049	3.00391e-052	1.02917e-054	2.01925e-057	1.2016e-059	1.46253e-062	4.16814e-065	7.1047e-068	2.20364e-070	2.43078e-073	7.33332e-076	6.52788e-079	1.77238e-081	1.99036e-084	3.27062e-087	3.18698e-090	1.05907e-092	6.2771e-096	9.31686e-099	7.60258e-102	1.24224e-104	7.32738e-108	1.54824e-110	7.60586e-114	1.23493e-116	6.61966e-120	6.39849e-123	3.41687e-126	6.61511e-129	2.2015e-132	2.15722e-135	1.31285e-138	1.43919e-141	4.59845e-145	5.1794e-148	1.71951e-151	2.31305e-154	3.22548e-157	1.11391e-159	
N4	0.0548266	0.15841	0.254202	0.266744	0.16526	0.078613	0.0182156	0.00338238	0.000322483	2.2531e-005	8.90496e-007	4.43616e-008	8.78765e-010	2.34322e-011	3.84785e-013	7.81247e-015	8.84599e-017	1.87573e-018	1.42318e-020	1.9392e-022	1.28394e-024	1.04449e-026	4.76918e-029	4.78848e-031	1.33891e-033	7.59577e-036	2.68154e-038	1.28063e-040	2.73545e-043	1.43665e-045	2.49112e-048	1.06918e-050	1.80417e-053	4.59496e-056	6.73859e-059	3.03559e-061	2.96066e-064	7.20698e-067	1.13461e-069	3.44852e-072	3.90949e-075	1.22135e-077	1.12472e-080	3.08128e-083	3.43296e-086	5.44126e-089	4.98518e-092	1.51019e-094	8.05661e-098	1.04778e-100	7.33847e-104	1.00556e-106	4.89182e-110	8.33945e-113	3.26397e-116	4.13919e-119	1.71027e-122	1.25423e-125	5.00479e-129	7.11862e-132	1.72916e-135	1.2173e-138	5.263e-142	4.03239e-145	8.98786e-149	6.96781e-152	1.57692e-155	1.42832e-158	1.33318e-161	2.99081e-164	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00318569	0.0253862	0.0996739	0.271259	0.294372	0.185033	0.0878427	0.0297395	0.00284048	0.000619742	4.33393e-005	3.84938e-006	3.23213e-007	8.22123e-008	7.53878e-009	8.74033e-010	1.15264e-011	5.67294e-013	2.05582e-014	4.25597e-015	1.70089e-016	5.57327e-018	4.54827e-020	1.24947e-021	4.16871e-024	3.75073e-025	4.22611e-026	9.08751e-027	3.42765e-028	5.55163e-029	1.16749e-030	9.82004e-032	7.04165e-034	8.20757e-036	3.18504e-038	7.50451e-040	9.05181e-043	4.01378e-045	7.94408e-048	5.21861e-050	3.97794e-053	1.69421e-055	9.15568e-059	3.50084e-061	2.61784e-064	3.69058e-067	2.67045e-070	1.49023e-072	3.70932e-076	3.95558e-079	1.6362e-082	2.84076e-085	6.96185e-089	1.70734e-091	3.63399e-095	7.07656e-098	1.32303e-101	8.02172e-105	1.96043e-108	4.53175e-111	4.83501e-115	3.08428e-118	1.11045e-121	1.18618e-124	1.10749e-128	8.01649e-132	8.16903e-136	7.8857e-139	3.69077e-142	1.05689e-144	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0672547	0.197329	0.304019	0.274421	0.120124	0.0325282	0.00386846	0.000425191	2.82374e-005	1.42144e-006	3.59266e-008	1.06882e-009	1.07279e-011	1.3663e-013	9.0735e-016	6.68733e-018	2.2702e-020	1.42234e-022	2.85772e-025	1.10957e-027	1.98176e-030	4.5703e-033	5.74109e-036	1.7269e-038	1.26811e-041	1.98182e-044	1.82958e-047	2.34028e-050	1.21332e-053	1.67572e-056	7.02231e-060	8.06214e-063	3.27831e-066	2.12546e-069	7.56402e-073	8.98302e-076	1.8907e-079	9.92116e-083	3.006e-086	1.77661e-089	3.33459e-093	1.85733e-096	2.77095e-100	1.3861e-103	2.62641e-107	7.50393e-111	1.23565e-114	7.6739e-118	7.22577e-122	1.81582e-125	2.39569e-129	6.8573e-133	6.34272e-137	2.36221e-140	1.80845e-144	5.11756e-148	4.16833e-152	6.51691e-156	5.37092e-160	1.79387e-163	8.74991e-168	1.36438e-171	1.28635e-175	2.31326e-179	1.05133e-183	1.85033e-187	8.57333e-192	1.76099e-195	3.44998e-199	1.79531e-202	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
