NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.000199219	0.000240433	0.000337005	0.000519983	0.000842526	0.00138689	0.00227169	0.00365685	0.0057422	0.00875529	0.0129239	0.0184315	0.0253588	0.0336202	0.0429122	0.0526909	0.062199	0.070547	0.0768433	0.080348	0.0806149	0.0775847	0.0716015	0.0633479	0.0537154	0.0436441	0.0339725	0.0253297	0.0180869	0.0123672	0.00809664	0.00507475	0.00304484	0.00174873	0.000961299	0.000505769	0.000254674	0.000122727	5.65994e-005	2.49799e-005	1.05505e-005	4.26439e-006	1.64948e-006	6.10588e-007	2.16305e-007	7.33354e-008	2.37958e-008	7.38996e-009	2.19662e-009	6.24967e-010	1.70204e-010	4.43725e-011	1.10742e-011	2.64603e-012	6.05322e-013	1.81711e-016	8.32205e-017	3.72978e-017	1.63591e-017	7.02235e-018	2.95047e-018	1.21352e-018	4.88744e-019	1.9289e-019	7.47353e-020	2.85657e-020	1.09139e-020	4.31739e-021	1.9314e-021	1.16767e-021	
N2	0.0189236	0.019771	0.0214325	0.0238964	0.0271274	0.031052	0.0355437	0.0404138	0.0454106	0.05023	0.0545365	0.0579952	0.0603078	0.0612493	0.0606971	0.0586491	0.0552249	0.0506514	0.0452348	0.039323	0.0332663	0.0273811	0.0219234	0.0170728	0.0129294	0.00952088	0.00681635	0.00474416	0.00320969	0.0021107	0.00134903	0.00083796	0.00050583	0.000296721	0.000169135	9.36805e-005	5.04175e-005	2.63645e-005	1.33955e-005	6.61288e-006	3.17186e-006	1.47818e-006	6.69316e-007	2.94461e-007	1.2587e-007	5.22784e-008	2.10976e-008	8.27302e-009	3.1523e-009	1.16717e-009	4.19952e-010	1.46838e-010	4.9896e-011	1.64779e-011	5.28887e-012	1.64996e-012	5.00324e-013	1.47477e-013	4.22591e-014	1.17727e-014	3.18891e-015	8.40073e-016	2.15331e-016	5.37664e-017	1.31159e-017	3.14989e-018	7.60033e-019	1.94303e-019	5.99142e-020	2.88119e-020	
N3	0.0666684	0.0668669	0.0670975	0.0672604	0.0672189	0.066815	0.0658892	0.0643016	0.0619528	0.0588011	0.0548722	0.0502607	0.0451217	0.0396546	0.0340807	0.0286194	0.0234661	0.0187759	0.0146532	0.0111497	0.00826897	0.00597564	0.00420694	0.00288482	0.00192654	0.00125283	0.000793268	0.000489017	0.000293479	0.000171458	9.751e-005	5.39805e-005	2.90878e-005	1.52569e-005	7.7893e-006	3.87085e-006	1.87237e-006	8.81574e-007	4.04028e-007	1.80242e-007	7.82711e-008	3.30871e-008	1.36156e-008	5.45447e-009	2.12724e-009	8.07688e-010	2.98574e-010	1.07463e-010	3.76599e-011	1.2851e-011	4.27021e-012	1.38178e-012	4.35438e-013	1.3364e-013	3.99477e-014	1.1631e-014	3.29867e-015	9.11354e-016	2.45298e-016	6.43281e-017	1.6439e-017	4.09478e-018	9.94743e-019	2.35975e-019	5.48302e-020	1.25741e-020	2.90193e-021	7.08751e-022	2.07756e-022	9.55231e-023	
N4	0.030982	0.0330239	0.036885	0.0422263	0.0485573	0.0552689	0.0616824	0.0671154	0.0709583	0.0727492	0.0722355	0.0694073	0.0644951	0.0579303	0.0502771	0.0421469	0.0341161	0.0266579	0.0201028	0.0146268	0.0102663	0.00694981	0.00453687	0.00285563	0.00173286	0.00101366	0.000571561	0.000310631	0.000162713	8.21454e-005	3.99693e-005	1.87437e-005	8.4718e-006	3.69067e-006	1.54975e-006	6.27293e-007	2.44771e-007	9.20801e-008	3.33982e-008	1.16808e-008	3.93967e-009	1.28154e-009	4.02105e-010	1.21712e-010	3.55447e-011	1.00165e-011	2.72407e-012	7.15065e-013	1.81201e-013	4.43331e-014	1.04741e-014	2.38998e-015	5.26781e-016	1.12175e-016	2.30814e-017	4.58991e-018	8.82259e-019	1.6395e-019	2.94599e-020	5.11957e-021	8.60621e-022	1.39984e-022	2.20399e-023	3.36143e-024	4.97444e-025	7.17305e-026	1.01985e-026	1.48294e-027	2.49437e-028	7.20005e-029	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00138523	0.00192355	0.00310882	0.00515398	0.00835285	0.0130362	0.0194973	0.0278876	0.0380983	0.0496611	0.0617087	0.0730361	0.0822753	0.0881569	0.0897939	0.0869009	0.0798733	0.0696979	0.0577227	0.0453599	0.0338148	0.0239102	0.0160341	0.0101967	0.00614899	0.00351614	0.00190657	0.000980336	0.000478036	0.000221077	9.69771e-005	4.03545e-005	1.59321e-005	5.96877e-006	2.12229e-006	7.16339e-007	2.29572e-007	6.98724e-008	2.02016e-008	5.54968e-009	1.44901e-009	3.59684e-010	8.49066e-011	1.90663e-011	4.07409e-012	8.28659e-013	1.60489e-013	2.96066e-014	5.2042e-015	8.71955e-016	1.39305e-016	2.12287e-017	3.08695e-018	4.28493e-019	5.67972e-020	7.19189e-021	8.70271e-022	1.00676e-022	1.11384e-023	1.17899e-024	1.1944e-025	1.15854e-026	1.07636e-027	9.58247e-029	8.17941e-030	6.70318e-031	5.30083e-032	4.13863e-033	3.56341e-034	5.5838e-035	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.127633	0.124887	0.119317	0.111219	0.101028	0.0893079	0.0767076	0.0639103	0.0515661	0.040227	0.0302946	0.0219935	0.0153725	0.0103329	0.0066724	0.00413564	0.0024585	0.00140082	0.000764607	0.00039961	0.000199899	9.56813e-005	4.38106e-005	1.91861e-005	8.03502e-006	3.21768e-006	1.23207e-006	4.51078e-007	1.57908e-007	5.28585e-008	1.69205e-008	5.18015e-009	1.51689e-009	4.24919e-010	1.13885e-010	2.92087e-011	7.16998e-012	1.68489e-012	3.79106e-013	8.1692e-014	1.68627e-014	3.33506e-015	6.32139e-016	1.14858e-016	2.00105e-017	3.34361e-018	5.35974e-019	8.24439e-020	1.21724e-020	1.72547e-021	2.34897e-022	3.07184e-023	3.86004e-024	4.66202e-025	5.41334e-026	6.04483e-027	6.49307e-028	6.71095e-029	6.67587e-030	6.39363e-031	5.89715e-032	5.24036e-033	4.48899e-034	3.71057e-035	2.96595e-036	2.30426e-037	1.76268e-038	1.37358e-039	1.19512e-040	1.62707e-041	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.148073	0.143475	0.134428	0.121707	0.106368	0.0896264	0.0727044	0.0566907	0.042422	0.0304163	0.0208631	0.01367	0.00854432	0.00508807	0.00288334	0.00155332	0.000794791	0.000385943	0.000177736	7.75805e-005	3.20805e-005	1.25621e-005	4.65667e-006	1.63369e-006	5.42324e-007	1.70329e-007	5.06088e-008	1.42252e-008	3.78261e-009	9.51589e-010	2.26502e-010	5.1017e-011	1.08753e-011	2.19447e-012	4.19243e-013	7.58486e-014	1.29981e-014	2.11043e-015	3.24745e-016	4.73713e-017	6.55268e-018	8.59778e-019	1.07042e-019	1.26491e-020	1.41923e-021	1.51242e-022	1.53132e-023	1.47363e-024	1.3483e-025	1.17332e-026	9.7146e-028	7.65545e-029	5.74391e-030	4.10477e-031	2.79493e-032	1.81388e-033	1.12242e-034	6.62475e-036	3.7308e-037	2.00543e-038	1.02929e-039	5.04602e-041	2.36372e-042	1.05838e-043	4.5321e-045	1.85781e-046	7.31661e-048	2.81562e-049	1.1545e-050	8.17114e-052	
Fimbristylis_littoralis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.158364	0.152671	0.141596	0.126242	0.108073	0.0887115	0.0697082	0.0523445	0.0374937	0.025572	0.0165782	0.010199	0.00594508	0.00327894	0.00170897	0.000840758	0.000390045	0.000170487	7.01589e-005	2.71655e-005	9.89174e-006	3.38583e-006	1.08906e-006	3.29097e-007	9.34123e-008	2.49026e-008	6.23482e-009	1.46603e-009	3.23759e-010	6.71592e-011	1.30873e-011	2.39624e-012	4.12319e-013	6.66898e-014	1.01419e-014	1.45057e-015	1.95182e-016	2.47155e-017	2.94623e-018	3.3074e-019	3.49772e-020	3.48598e-021	3.27546e-022	2.90268e-023	2.42705e-024	1.91552e-025	1.42758e-026	1.00509e-027	6.68781e-029	4.20744e-030	2.50377e-031	1.40994e-032	7.51661e-034	3.79531e-035	1.81578e-036	8.23489e-038	3.54176e-039	1.44522e-040	5.59746e-042	2.05861e-043	7.19234e-045	2.38816e-046	7.53946e-048	2.26405e-049	6.46993e-051	1.76064e-052	4.57084e-054	1.14252e-055	2.92385e-057	1.27649e-058	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.157587	0.152132	0.141449	0.126504	0.108633	0.089384	0.0703073	0.0527437	0.0376517	0.0255219	0.0163947	0.00996292	0.00571854	0.003096	0.00157913	0.000758043	0.000342178	0.000145137	5.78117e-005	2.16148e-005	7.5827e-006	2.49521e-006	7.70038e-007	2.22836e-007	6.04646e-008	1.53836e-008	3.67015e-009	8.21147e-010	1.72321e-010	3.39246e-011	6.26691e-012	1.08659e-012	1.76879e-013	2.7041e-014	3.88377e-015	5.24233e-016	6.65274e-017	7.94061e-018	8.91791e-019	9.42785e-020	9.38624e-021	8.80428e-022	7.78426e-023	6.49027e-024	5.10544e-025	3.79084e-026	2.65813e-027	1.76103e-028	1.10285e-029	6.53185e-031	3.66049e-032	1.94195e-033	9.75764e-035	4.64592e-036	2.09716e-037	8.97913e-039	3.64831e-040	1.40739e-041	5.15713e-043	1.7959e-044	5.94627e-046	1.87283e-047	5.61369e-049	1.60213e-050	4.35563e-052	1.12866e-053	2.79125e-055	6.63395e-057	1.60254e-058	6.67451e-060	
Fimbristylis_ferruginea	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	0.122018	0.122313	0.121739	0.11881	0.112183	0.101286	0.0866457	0.0697588	0.0526049	0.037031	0.0242768	0.0147974	0.00837635	0.00440015	0.00214394	0.000968675	0.000405808	0.000157638	5.67889e-005	1.89775e-005	5.88479e-006	1.69398e-006	4.52864e-007	1.12493e-007	2.59787e-008	5.58076e-009	1.11588e-009	2.07808e-010	3.60675e-011	5.83807e-012	8.81903e-013	1.24416e-013	1.64038e-014	2.02273e-015	2.33438e-016	2.52325e-017	2.55638e-018	2.4293e-019	2.16694e-020	1.81569e-021	1.43013e-022	1.05966e-023	7.39141e-025	4.85696e-026	3.00875e-027	1.75831e-028	9.70053e-030	5.05571e-031	2.49087e-032	1.16089e-033	5.12142e-035	2.14009e-036	8.47609e-038	3.18388e-039	1.13497e-040	3.84194e-042	1.23571e-043	3.77868e-045	1.09921e-046	3.04358e-048	8.02609e-050	2.01688e-051	4.8323e-053	1.10449e-054	2.40953e-056	5.02e-058	9.99516e-060	1.90843e-061	3.64435e-063	1.19662e-064	
Fimbristylis_dichotoma	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
