NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.00329835	0.00371065	0.00460663	0.00612894	0.00848287	0.0119164	0.0166822	0.0229768	0.0308613	0.0401745	0.0504657	0.0609754	0.0706914	0.078489	0.0833344	0.0845049	0.0817607	0.0754138	0.0662673	0.055442	0.0441426	0.0334334	0.0240802	0.0164882	0.0107304	0.00663599	0.0038992	0.00217656	0.00115411	0.000581271	0.00027806	0.000126333	5.45134e-005	2.23411e-005	8.69614e-006	3.21502e-006	1.12901e-006	3.76607e-007	1.19341e-007	3.59283e-008	1.0277e-008	2.79332e-009	7.2152e-010	1.77132e-010	4.13356e-011	9.17032e-012	1.93437e-012	3.88017e-013	1.31931e-016	5.62032e-017	2.3354e-017	9.46633e-018	3.74339e-018	1.44429e-018	5.43742e-019	1.99772e-019	7.16368e-020	2.50766e-020	8.57083e-021	2.861e-021	9.33097e-022	2.97515e-022	9.28247e-023	2.83804e-023	8.52261e-024	2.52285e-024	7.40274e-025	2.17128e-025	6.45347e-026	2.01845e-026	8.14687e-027	
N2	0.0108608	0.0113228	0.0121756	0.0134406	0.0151418	0.0172996	0.0199237	0.023004	0.0265032	0.030349	0.0344307	0.0385988	0.0426704	0.0464391	0.0496906	0.0522208	0.0538557	0.0544694	0.0539982	0.0524481	0.0498953	0.0464786	0.0423857	0.0378342	0.0330514	0.0282547	0.0236345	0.0193434	0.015489	0.0121341	0.0092996	0.00697253	0.00511421	0.00366966	0.00257591	0.00176886	0.00118828	0.000780919	0.000502071	0.000315792	0.000194321	0.000116985	6.89036e-005	3.97068e-005	2.23876e-005	1.23505e-005	6.66661e-006	3.52114e-006	1.81983e-006	9.20367e-007	4.55501e-007	2.20612e-007	1.04568e-007	4.85076e-008	2.20233e-008	9.78662e-009	4.2568e-009	1.81242e-009	7.55427e-010	3.08276e-010	1.23194e-010	4.823e-011	1.85123e-011	6.9778e-012	2.59137e-012	9.54745e-013	3.5397e-013	1.35887e-013	5.70274e-014	2.86626e-014	1.94576e-014	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.00287462	0.00327626	0.00413455	0.00559955	0.00788865	0.0112686	0.016016	0.0223512	0.0303506	0.0398529	0.0503871	0.0611569	0.0711061	0.0790716	0.0839984	0.085165	0.0823523	0.0759029	0.0666497	0.0557337	0.0443677	0.0336138	0.0242303	0.0166148	0.0108354	0.00671949	0.00396199	0.00222088	0.00118339	0.000599365	0.000288529	0.000132009	5.7401e-005	2.37211e-005	9.31641e-006	3.47749e-006	1.23367e-006	4.15972e-007	1.33316e-007	4.06141e-008	1.1762e-008	3.23835e-009	8.47709e-010	2.11003e-010	4.99444e-011	1.12429e-011	2.40708e-012	4.90138e-013	9.49125e-014	1.74742e-014	3.05729e-015	5.07961e-016	8.00647e-017	1.1957e-017	1.68946e-018	2.25523e-019	2.84072e-020	3.37459e-021	3.78437e-022	4.02384e-023	4.1052e-024	4.13224e-025	4.337e-026	5.13501e-027	7.23354e-028	1.18667e-028	2.13485e-029	4.05524e-030	8.17026e-031	1.85783e-031	6.15951e-032	
N4	0.0205425	0.0217734	0.0240368	0.0272427	0.0312457	0.0358455	0.0407911	0.0457905	0.0505263	0.0546772	0.0579441	0.060077	0.0608998	0.0603288	0.0583815	0.0551747	0.050911	0.045856	0.0403099	0.0345768	0.0289365	0.0236229	0.0188102	0.0146074	0.0110618	0.00816789	0.00588018	0.004127	0.00282366	0.00188322	0.00122428	0.000775773	0.000479127	0.000288417	0.000169214	9.67611e-005	5.39276e-005	2.92936e-005	1.55093e-005	8.00351e-006	4.02577e-006	1.97385e-006	9.43388e-007	4.39541e-007	1.99647e-007	8.84105e-008	3.81722e-008	1.60702e-008	6.59714e-009	2.64107e-009	1.03116e-009	3.92673e-010	1.45858e-010	5.28519e-011	1.86839e-011	6.44464e-012	2.16926e-012	7.1266e-013	2.28564e-013	7.15875e-014	2.19077e-014	6.55621e-015	1.92142e-015	5.5277e-016	1.56743e-016	4.41106e-017	1.24622e-017	3.60224e-018	1.1009e-018	3.82146e-019	1.85496e-019	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00255461	0.00289666	0.00363003	0.00489141	0.00688472	0.0098704	0.0141345	0.0199314	0.0274002	0.0364688	0.0467707	0.0576074	0.0679874	0.0767552	0.0827923	0.0852476	0.08373	0.0784056	0.0699659	0.0594758	0.0481478	0.0371092	0.0272245	0.0190077	0.0126277	0.0079814	0.00479898	0.00274468	0.00149304	0.000772445	0.000380063	0.000177838	7.91349e-005	3.34876e-005	1.34765e-005	5.15766e-006	1.87728e-006	6.49867e-007	2.13974e-007	6.70137e-008	1.99649e-008	5.65854e-009	1.52586e-009	3.91507e-010	9.55927e-011	2.22134e-011	4.91317e-012	1.03445e-012	2.07349e-013	3.95711e-014	7.19055e-015	1.24411e-015	2.04953e-016	3.21434e-017	4.79831e-018	6.81579e-019	9.20902e-020	1.18302e-020	1.44429e-021	1.67504e-022	1.84508e-023	1.9307e-024	1.92135e-025	1.82384e-026	1.663e-027	1.47892e-028	1.32408e-029	1.26818e-030	1.4425e-031	2.3198e-032	7.35919e-033	
N6	0.000411891	0.000482966	0.000636514	0.000902641	0.00133009	0.00199007	0.00297949	0.0044218	0.00646305	0.00926083	0.0129643	0.0176852	0.0234626	0.0302267	0.03777	0.0457354	0.0536297	0.0608654	0.0668287	0.0709645	0.0728604	0.0723146	0.0693706	0.0643111	0.0576122	0.0498689	0.0417067	0.0336998	0.0263076	0.0198408	0.0144564	0.0101762	0.00692055	0.00454706	0.00288648	0.00177038	0.00104915	0.000600767	0.000332419	0.000177747	9.185e-005	4.58714e-005	2.21421e-005	1.03309e-005	4.65943e-006	2.03159e-006	8.56409e-007	3.49064e-007	1.37577e-007	5.24376e-008	1.93303e-008	6.89246e-009	2.37739e-009	7.93348e-010	2.56167e-010	8.00462e-011	2.42098e-011	7.08868e-012	2.00994e-012	5.52079e-013	1.46976e-013	3.7953e-014	9.51651e-015	2.32097e-015	5.51983e-016	1.28522e-016	2.94928e-017	6.75754e-018	1.59741e-018	4.31049e-019	1.7817e-019	
