NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.271697	0.237951	0.185641	0.130185	0.0825001	0.047409	0.0247591	0.0117617	0.00508034	0.00199234	0.000707891	0.000227342	6.58419e-05	1.71592e-05	4.01613e-06	8.42657e-07	1.58237e-07	2.65537e-08	3.97662e-09	5.30834e-10	6.30975e-11	6.67276e-12	6.27393e-13	6.28454e-17	1.71208e-17	4.3955e-18	1.06343e-18	2.4246e-19	5.21011e-20	1.05535e-20	2.01551e-21	3.63017e-22	6.16823e-23	9.89105e-24	1.49743e-24	2.14122e-25	2.89328e-26	3.69616e-27	4.4665e-28	5.10831e-29	5.53252e-30	5.67749e-31	5.52374e-32	5.09818e-33	4.46649e-34	3.71667e-35	2.93933e-36	2.21065e-37	1.58212e-38	1.07814e-39	7.00009e-41	4.333e-42	2.55859e-43	1.44212e-44	7.76352e-46	3.9942e-47	1.96505e-48	9.25003e-50	4.16859e-51	1.79954e-52	7.44569e-54	2.95446e-55	1.12517e-56	4.12271e-58	1.48827e-59	7.58991e-61	
N2	0.181681	0.191417	0.176291	0.148307	0.111914	0.0785815	0.0500527	0.029989	0.0163467	0.00845578	0.00397793	0.00179612	0.000735338	0.000293545	0.000105794	3.79659e-05	1.21828e-05	3.98445e-06	1.15104e-06	3.47012e-07	9.06236e-08	2.51929e-08	5.97204e-09	1.53534e-09	3.29957e-10	7.80998e-11	1.53201e-11	3.36602e-12	6.02251e-13	1.22217e-13	2.01261e-14	3.81288e-15	5.74177e-16	1.00248e-16	1.39236e-17	2.26792e-18	2.86991e-19	4.27642e-20	4.9874e-21	6.91908e-22	7.31363e-23	9.21172e-24	8.97118e-25	1.05191e-25	9.25802e-27	9.82167e-28	7.9824e-29	7.90967e-30	5.79941e-31	5.1871e-32	3.52368e-33	2.95764e-34	1.81544e-35	1.37797e-36	7.88643e-38	5.65966e-39	2.93699e-40	1.91406e-41	9.45469e-43	6.00773e-44	2.92071e-45	1.88761e-46	1.1183e-47	8.65085e-49	6.76882e-50	8.99281e-51	
N3	0.185427	0.19404	0.176885	0.147143	0.110059	0.0767787	0.0488559	0.0293067	0.0160979	0.00838287	0.00399452	0.00181433	0.000751771	0.000299323	0.000108385	3.81784e-05	1.21686e-05	3.83332e-06	1.08622e-06	3.09887e-07	7.86651e-08	2.04612e-08	4.68141e-09	1.11498e-09	2.29781e-10	4.99014e-11	9.27014e-12	1.83608e-12	3.0637e-13	5.50414e-14	8.27909e-15	1.35642e-15	1.83564e-16	2.73198e-17	3.35311e-18	4.58105e-19	5.08957e-20	6.34882e-21	6.45433e-22	7.45136e-23	6.89857e-24	7.29782e-25	6.23097e-26	6.13883e-27	4.79316e-28	4.33479e-29	3.13979e-30	2.65698e-31	1.76299e-32	1.36944e-33	8.46425e-35	6.17677e-36	3.50376e-37	2.3505e-38	1.24827e-39	7.91524e-41	3.8779e-42	2.27838e-43	1.07127e-44	6.17686e-46	2.9347e-47	1.76752e-48	1.01207e-49	7.16598e-51	5.1713e-52	6.14328e-53	
N4	0.0981123	0.117185	0.13168	0.139307	0.133036	0.11744	0.0931187	0.0684444	0.0451772	0.0277264	0.0152025	0.00776073	0.00350691	0.00148111	0.000548739	0.000191894	5.83057e-05	1.69897e-05	4.26666e-06	1.04912e-06	2.19847e-07	4.609e-08	8.16737e-09	1.48158e-09	2.25202e-10	3.59214e-11	4.82298e-12	7.01443e-13	8.62929e-14	1.18441e-14	1.38509e-15	1.83535e-16	2.02692e-17	2.52562e-18	2.57828e-19	2.96205e-20	2.71114e-21	2.7913e-22	2.28533e-23	2.12164e-24	1.53491e-25	1.26481e-26	8.19213e-28	6.10599e-29	3.50564e-30	2.32502e-31	1.2046e-32	7.28248e-34	3.35968e-35	1.81315e-36	7.60664e-38	3.77204e-39	1.41677e-40	6.30455e-42	2.17235e-43	8.97027e-45	2.78923e-46	1.04399e-47	3.05782e-49	1.10363e-50	3.19544e-52	1.17972e-53	4.07474e-55	1.7526e-56	7.50854e-58	4.91321e-59	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0184333	0.0309078	0.0532786	0.0845923	0.116864	0.143008	0.144108	0.123306	0.0931451	0.0711985	0.051272	0.0348613	0.0196303	0.00982928	0.00379912	0.00131549	0.000340947	8.61618e-05	1.74694e-05	4.52506e-06	1.24394e-06	5.3867e-07	2.0362e-07	9.43566e-08	3.1195e-08	1.21003e-08	3.24763e-09	1.04034e-09	2.21875e-10	5.73277e-11	9.88906e-12	2.13064e-12	2.92677e-13	5.10063e-14	5.78716e-15	8.63936e-16	7.91557e-17	9.63918e-18	7.52377e-19	8.08162e-20	5.15906e-21	4.52971e-22	2.52643e-23	2.00153e-24	9.24163e-26	6.02814e-27	2.48877e-28	1.49758e-29	5.15541e-31	2.56006e-32	8.00816e-34	3.74087e-35	9.88491e-37	3.86334e-38	9.47641e-40	3.56245e-41	7.41144e-43	2.32797e-44	4.56014e-46	1.40869e-47	2.43843e-49	6.76178e-51	1.3965e-52	4.93599e-54	1.62236e-55	9.53505e-57	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.188463	0.201159	0.187429	0.156698	0.114067	0.074247	0.0419725	0.0212361	0.00931123	0.00366265	0.00124419	0.000380927	0.000100316	2.40466e-05	4.94803e-06	9.42231e-07	1.53553e-07	2.36677e-08	3.11126e-09	3.96746e-10	4.27643e-11	4.58149e-12	4.10969e-13	3.74597e-14	2.81577e-15	2.18825e-16	1.38974e-17	9.27461e-19	4.98827e-20	2.85729e-21	1.31477e-22	6.54239e-24	2.58216e-25	1.11603e-26	3.83143e-28	1.46318e-29	4.37461e-31	1.47142e-32	3.8953e-34	1.17762e-35	2.75161e-37	7.4038e-39	1.55521e-40	3.8118e-42	7.13808e-44	1.5678e-45	2.67051e-47	5.39631e-49	8.24221e-51	1.49716e-52	2.09728e-54	3.53162e-56	4.45773e-58	6.7741e-60	7.90487e-62	1.12308e-63	1.18794e-65	1.53449e-67	1.53481e-69	1.91738e-71	1.89018e-73	2.41032e-75	2.85298e-77	4.29741e-79	6.4673e-81	1.38774e-82	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
