NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.000750337	0.000896995	0.00123135	0.00184093	0.00286422	0.00449339	0.00696909	0.0105604	0.0155242	0.0220425	0.0301444	0.0396284	0.0500093	0.0605169	0.0701639	0.0778857	0.0827277	0.0840372	0.0816066	0.0757254	0.0671228	0.0568169	0.0459141	0.0354136	0.0260649	0.0183031	0.0122604	0.00783302	0.00477254	0.00277279	0.00153601	0.000811234	0.000408459	0.000196055	8.97059e-05	3.9126e-05	1.62669e-05	6.44665e-06	2.43533e-06	8.7696e-07	3.01028e-07	9.85037e-08	3.07276e-08	9.13806e-09	2.59088e-09	7.00376e-10	1.80522e-10	4.43683e-11	1.03989e-11	2.32436e-12	4.95515e-13	1.55074e-16	6.82983e-17	2.93803e-17	1.23454e-17	5.06733e-18	2.03199e-18	7.96141e-19	3.04864e-19	1.14169e-19	4.18835e-20	1.51205e-20	5.44062e-21	2.02167e-21	8.51261e-22	4.93735e-22	
N2	0.026389	0.027891	0.0302938	0.033557	0.0375807	0.042191	0.0471327	0.0520751	0.0566328	0.0604012	0.0630038	0.064141	0.0636332	0.0614482	0.0577077	0.0526706	0.0466972	0.0402001	0.033592	0.0272399	0.021431	0.0163557	0.0121065	0.00869028	0.00604878	0.00408204	0.0026707	0.00169387	0.00104138	0.000620579	0.00035844	0.000200656	0.000108865	5.72425e-05	2.91695e-05	1.44052e-05	6.89414e-06	3.19753e-06	1.43722e-06	6.26055e-07	2.64293e-07	1.08131e-07	4.28765e-08	1.64779e-08	6.13782e-09	2.21601e-09	7.75515e-10	2.63082e-10	8.65154e-11	2.75818e-11	8.52511e-12	2.55478e-12	7.42355e-13	2.09172e-13	5.71562e-14	1.51472e-14	3.89369e-15	9.71049e-16	2.35046e-16	5.5275e-17	1.2662e-17	2.84551e-18	6.39827e-19	1.51921e-19	4.37066e-20	2.02075e-20	
N3	0.0729046	0.0741931	0.0750307	0.0753142	0.0749162	0.0737065	0.071577	0.0684664	0.0643803	0.0594015	0.0536894	0.0474671	0.0409976	0.0345557	0.0283974	0.0227355	0.0177225	0.0134434	0.00991908	0.00711636	0.00496298	0.00336374	0.0022152	0.00141725	0.000880778	0.000531657	0.000311677	0.000177444	9.8102e-05	5.26673e-05	2.74562e-05	1.38986e-05	6.83166e-06	3.2607e-06	1.51122e-06	6.80114e-07	2.97223e-07	1.26137e-07	5.19839e-08	2.08056e-08	8.08712e-09	3.05299e-09	1.11942e-09	3.98675e-10	1.3792e-10	4.63485e-11	1.51312e-11	4.79914e-12	1.47888e-12	4.42805e-13	1.28833e-13	3.64259e-14	1.0009e-14	2.67301e-15	6.93874e-16	1.75095e-16	4.29577e-17	1.02492e-17	2.37923e-18	5.37991e-19	1.18832e-19	2.5827e-20	5.631e-21	1.29672e-21	3.60126e-22	1.60888e-22	
N4	0.0297048	0.0325542	0.0374262	0.0439389	0.0514974	0.0593416	0.0666214	0.0724964	0.0762477	0.0773818	0.0757061	0.0713554	0.0647633	0.0565822	0.0475715	0.0384781	0.0299347	0.0223941	0.0161068	0.0111358	0.00739952	0.00472499	0.0028991	0.00170904	0.000967911	0.000526613	0.000275237	0.000138189	6.66487e-05	3.08796e-05	1.37444e-05	5.87724e-06	2.41459e-06	9.53163e-07	3.61561e-07	1.31803e-07	4.61797e-08	1.55526e-08	5.03548e-09	1.56754e-09	4.69245e-10	1.35098e-10	3.74138e-11	9.96829e-12	2.55557e-12	6.30532e-13	1.49746e-13	3.42385e-14	7.53814e-15	1.5984e-15	3.26485e-16	6.42513e-17	1.21851e-17	2.22738e-18	3.92522e-19	6.67015e-20	1.09322e-20	1.72863e-21	2.63806e-22	3.88829e-23	5.54363e-24	7.67582e-25	1.0442e-25	1.4482e-26	2.32637e-27	6.54141e-28	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00104853	0.00154853	0.00266116	0.00463948	0.00783799	0.0126679	0.0195097	0.0285808	0.0397793	0.0525478	0.0658214	0.0781155	0.0877706	0.0933099	0.0938073	0.0891404	0.0800341	0.0678735	0.0543548	0.0410961	0.0293306	0.0197585	0.0125622	0.00753777	0.0042686	0.00228143	0.00115088	0.00054802	0.000246349	0.000104557	4.19058e-05	1.58632e-05	5.67269e-06	1.91677e-06	6.12117e-07	1.84799e-07	5.27574e-08	1.42468e-08	3.64026e-09	8.80391e-10	2.01601e-10	4.37258e-11	8.98609e-12	1.75047e-12	3.23341e-13	5.66579e-14	9.42173e-15	1.48748e-15	2.23052e-16	3.17819e-17	4.30487e-18	5.54547e-19	6.79679e-20	7.92956e-21	8.80984e-22	9.3251e-23	9.40806e-24	9.05111e-25	8.30725e-26	7.27744e-27	6.089e-28	4.87273e-29	3.74849e-30	2.83651e-31	2.36136e-32	3.61076e-33	
Bulbostylis_densa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bulbostylis_hispidula	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.131115	0.130084	0.12511	0.116584	0.10516	0.0917043	0.0772027	0.0626502	0.048933	0.0367317	0.0264636	0.0182764	0.012086	0.00764535	0.00462241	0.00266917	0.00147112	0.000773498	0.000387809	0.000185342	8.44125e-05	3.66288e-05	1.51411e-05	5.96164e-06	2.23577e-06	7.98612e-07	2.71711e-07	8.80575e-08	2.71867e-08	7.99706e-09	2.24157e-09	5.98821e-10	1.52492e-10	3.70248e-11	8.57296e-12	1.8935e-12	3.99033e-13	8.02548e-14	1.5409e-14	2.82512e-15	4.94753e-16	8.27858e-17	1.32395e-17	2.02425e-18	2.95989e-19	4.14035e-20	5.54227e-21	7.10177e-22	8.7139e-23	1.02415e-23	1.15336e-24	1.24495e-25	1.28844e-26	1.27893e-27	1.21798e-28	1.11323e-29	9.76889e-31	8.23368e-32	6.66926e-33	5.19651e-34	3.9028e-35	2.83926e-36	2.02674e-37	1.46997e-38	1.19239e-39	1.53305e-40	
Abildgaardia_ovata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
