NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	2.0291e-030	1.35888e-029	1.73065e-028	2.17108e-027	2.39688e-026	2.17586e-025	1.50467e-024	8.86648e-024	5.45891e-023	3.50446e-022	2.04557e-021	9.44018e-021	3.13502e-020	7.36646e-020	1.34078e-019	2.22841e-019	3.92389e-019	7.97713e-019	1.94004e-018	5.65993e-018	1.87167e-017	6.32637e-017	4.81976e-013	3.70187e-012	2.07036e-011	8.21273e-011	2.31097e-010	4.7404e-010	7.51175e-010	9.97749e-010	1.20776e-009	1.41348e-009	1.6749e-009	2.08765e-009	2.82465e-009	4.24483e-009	7.16905e-009	1.36274e-008	2.90754e-008	6.9671e-008	1.88529e-007	5.77258e-007	1.97123e-006	7.24384e-006	2.72999e-005	0.00010067	0.000349838	0.00111564	0.00320836	0.00822994	0.0187095	0.0375727	0.066612	0.104468	0.145717	0.182592	0.208845	0.222441	
N2	1.49449e-032	1.13047e-031	2.31994e-030	5.63733e-029	1.28302e-027	2.52678e-026	4.20182e-025	6.19074e-024	8.43277e-023	1.02959e-021	1.0488e-020	8.31278e-020	4.9425e-019	2.2641e-018	8.84998e-018	3.36367e-017	1.3612e-016	6.03382e-016	2.85989e-015	1.36379e-014	6.10337e-014	2.43086e-013	8.36111e-013	2.46015e-012	6.25277e-012	1.41474e-011	2.99199e-011	6.24336e-011	1.33618e-010	2.97499e-010	6.83648e-010	1.61901e-009	3.9878e-009	1.03368e-008	2.83291e-008	8.16672e-008	2.45258e-007	7.60872e-007	2.42219e-006	7.83944e-006	2.53989e-005	8.06856e-005	0.00024593	0.0007058	0.00187983	0.00459847	0.0102563	0.0207469	0.0379059	0.0623237	0.0918722	0.120929	0.141482	0.146399	0.133338	0.106524	0.0746335	0.0460419	
N3	1.45767e-027	5.62126e-027	5.21208e-026	6.01373e-025	7.17137e-024	8.19017e-023	8.81882e-022	8.72662e-021	7.581e-020	5.58276e-019	3.492e-018	1.97969e-017	1.12993e-016	6.86799e-016	4.33695e-015	2.70918e-014	1.61116e-013	8.86778e-013	4.41653e-012	1.95577e-011	7.60907e-011	2.58727e-010	7.71455e-010	2.04854e-009	5.00408e-009	1.1841e-008	2.88025e-008	7.48179e-008	2.07479e-007	6.00121e-007	1.76333e-006	5.18368e-006	1.50856e-005	4.30057e-005	0.000118723	0.000313757	0.000785656	0.00184818	0.00405703	0.00826748	0.0155779	0.0270567	0.0432128	0.0633393	0.0850662	0.104538	0.117413	0.120401	0.112614	0.0959835	0.0744816	0.0525727	0.0337276	0.0196599	0.0104255	0.00506408	0.00231424	0.00109495	
N4	1.30819e-017	2.65862e-017	1.50132e-016	1.20523e-015	1.00023e-014	7.78673e-014	5.4502e-013	3.29334e-012	1.69929e-011	7.95039e-011	3.70124e-010	1.77526e-009	8.41637e-009	3.68796e-008	1.40863e-007	4.49737e-007	1.16961e-006	2.45451e-006	4.19021e-006	5.99588e-006	7.6437e-006	9.65932e-006	1.40403e-005	2.65781e-005	6.56127e-005	0.000188671	0.000557998	0.00156938	0.00403908	0.00935426	0.0193538	0.0356741	0.0585189	0.0854401	0.111075	0.128723	0.133113	0.123055	0.101837	0.0756343	0.0505005	0.0304143	0.0165565	0.00818393	0.00368235	0.00151827	0.000575199	0.000202186	6.60763e-005	2.03438e-005	5.89178e-006	1.63018e-006	4.26753e-007	1.07481e-007	2.55274e-008	5.84653e-009	1.28535e-009	3.44113e-010	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	3.97584e-025	1.83664e-024	1.77114e-023	1.99526e-022	2.33646e-021	2.67409e-020	2.83967e-019	2.71708e-018	2.34213e-017	1.84165e-016	1.33686e-015	8.97141e-015	5.51216e-014	3.07297e-013	1.55186e-012	7.13078e-012	3.00197e-011	1.1659e-010	4.21175e-010	1.43466e-009	4.70424e-009	1.51712e-008	4.86905e-008	1.55208e-007	4.86839e-007	1.48982e-006	4.42522e-006	1.27168e-005	3.52372e-005	9.37378e-005	0.000238139	0.000575386	0.00131781	0.00285198	0.00581184	0.0111065	0.0198132	0.0328402	0.0503496	0.0711236	0.0922642	0.109629	0.119077	0.118063	0.106745	0.0879512	0.0660143	0.0451321	0.0281083	0.0159533	0.00825746	0.00390253	0.00168742	0.000669861	0.000245708	8.44582e-005	2.83206e-005	1.08151e-005	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.26015e-023	9.81769e-023	1.44914e-021	2.25642e-020	3.39882e-019	4.55931e-018	5.337e-017	5.90555e-016	6.15631e-015	5.62558e-014	4.36102e-013	2.80899e-012	1.49573e-011	6.85494e-011	2.95494e-010	1.30711e-009	5.99921e-009	2.71914e-008	1.17085e-007	4.75132e-007	1.82218e-006	6.57008e-006	2.19331e-005	6.66561e-005	0.000182307	0.00044689	0.000984595	0.00196835	0.00362947	0.00631198	0.010598	0.0174439	0.0281263	0.0437458	0.064254	0.0874531	0.108815	0.122733	0.124876	0.114319	0.0940461	0.0694968	0.0461333	0.02752	0.0147611	0.00712444	0.00309708	0.00121408	0.000429862	0.000137797	4.01422e-005	1.06951e-005	2.6336e-006	6.09714e-007	1.35907e-007	3.00591e-008	6.89425e-009	2.00436e-009	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
