NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.210585	0.199311	0.177267	0.145612	0.108789	0.073113	0.0438708	0.0233841	0.0110332	0.00459663	0.00168795	0.000545644	0.000155128	3.87642e-005	8.51028e-006	1.64104e-006	2.77912e-007	4.13338e-008	5.39961e-009	6.19674e-010	6.24934e-011	5.54034e-012	4.31979e-013	5.04682e-017	1.24039e-017	2.86146e-018	6.19816e-019	1.2611e-019	2.41112e-020	4.33371e-021	7.32601e-022	1.16532e-022	1.74504e-023	2.46131e-024	3.27154e-025	4.10011e-026	4.84765e-027	5.41004e-028	5.70226e-029	5.67962e-030	5.34894e-031	4.7659e-032	4.0198e-033	3.21146e-034	2.43163e-035	1.74599e-036	1.18959e-037	7.6952e-039	4.72894e-040	2.7624e-041	1.53476e-042	8.11485e-044	4.08561e-045	1.95987e-046	8.96466e-048	3.92355e-049	1.71319e-050	1.24949e-051	
N2	0.0359836	0.0571039	0.0836828	0.110699	0.130632	0.137421	0.12892	0.108382	0.0817523	0.0556226	0.0341086	0.0189649	0.00952451	0.00436162	0.00180539	0.000688468	0.000237311	7.71975e-005	2.26804e-005	6.64504e-006	1.74406e-006	5.02399e-007	1.24385e-007	3.7158e-008	8.70625e-009	2.58316e-009	5.49948e-010	1.52316e-010	2.85576e-011	7.14062e-012	1.1682e-012	2.62951e-013	3.74736e-014	7.56111e-015	9.46336e-016	1.74247e-016	1.92414e-017	3.20372e-018	3.18616e-019	4.99088e-020	4.48916e-021	6.38569e-022	5.36876e-023	7.44536e-024	5.74438e-025	7.09786e-026	5.21242e-027	6.40027e-028	4.23603e-029	4.47871e-030	2.8074e-031	2.97809e-032	1.64938e-033	1.48486e-034	8.19291e-036	8.5114e-037	7.73906e-038	2.70613e-038	
N3	0.00456427	0.00822116	0.0147912	0.0253361	0.0403323	0.0591819	0.0797313	0.0986339	0.111942	0.116678	0.111602	0.0980697	0.0790921	0.0586252	0.0398855	0.0249585	0.014339	0.00758807	0.0036888	0.00165641	0.000683952	0.000262285	9.26475e-005	3.07245e-005	9.41177e-006	2.76473e-006	7.52792e-007	2.03901e-007	5.11137e-008	1.33587e-008	3.16822e-009	8.13147e-010	1.81763e-010	4.48008e-011	9.21274e-012	2.11316e-012	3.9166e-013	8.19753e-014	1.35674e-014	2.57444e-015	3.79489e-016	6.51963e-017	8.574e-018	1.33849e-018	1.57438e-019	2.23767e-020	2.36699e-021	3.08551e-022	2.94891e-023	3.53087e-024	3.08137e-025	3.43959e-026	2.78993e-027	2.98767e-028	2.56512e-029	3.44124e-030	5.76963e-031	2.43448e-031	
N4	3.2286e-009	9.22729e-009	3.00091e-008	9.49379e-008	2.82148e-007	7.88693e-007	2.08914e-006	5.29259e-006	1.29118e-005	3.06205e-005	7.14315e-005	0.000166301	0.000389391	0.000913298	0.00210667	0.00466817	0.00971551	0.0187013	0.0329416	0.0528197	0.0767681	0.100975	0.11989	0.128438	0.123876	0.10759	0.0839691	0.0589543	0.0371532	0.021066	0.0107199	0.00491598	0.00202519	0.000754585	0.000253125	7.72827e-005	2.13167e-005	5.40414e-006	1.24332e-006	2.6656e-007	5.20923e-008	9.64886e-009	1.63213e-009	2.66186e-010	3.95092e-011	5.73175e-012	7.50148e-013	9.68678e-014	1.11641e-014	1.27946e-015	1.29906e-016	1.32753e-017	1.21118e-018	1.15306e-019	1.04875e-020	1.10804e-021	1.40097e-022	3.96596e-023	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00117029	0.00227219	0.00457908	0.00895643	0.0164564	0.0280467	0.0440564	0.0636628	0.0844652	0.102865	0.114849	0.117561	0.110207	0.0946326	0.0743536	0.0534791	0.0351742	0.0211739	0.0116521	0.00587108	0.00270447	0.0011421	0.000441132	0.000156627	5.09103e-005	1.52959e-005	4.21387e-006	1.0855e-006	2.57078e-007	5.83138e-008	1.22002e-008	2.55603e-009	4.92576e-010	1.00929e-010	1.85399e-011	3.79423e-012	6.61158e-013	1.30932e-013	2.10163e-014	3.86777e-015	5.58991e-016	9.34319e-017	1.20414e-017	1.81381e-018	2.07919e-019	2.81842e-020	2.87663e-021	3.51807e-022	3.20296e-023	3.54255e-024	2.88847e-025	2.91001e-026	2.14627e-027	2.01699e-028	1.46687e-029	1.59406e-030	2.06333e-031	7.15415e-032	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000201477	0.00045525	0.0011002	0.00256997	0.00560452	0.0112787	0.020824	0.0352061	0.0544062	0.0768071	0.0989053	0.116058	0.123855	0.120047	0.105447	0.083828	0.0601914	0.0390033	0.0227707	0.0119764	0.00566756	0.00241516	0.000925691	0.000319742	9.93756e-005	2.78948e-005	7.05283e-006	1.61786e-006	3.3489e-007	6.34955e-008	1.08986e-008	1.74938e-009	2.55592e-010	3.64215e-011	4.74405e-012	6.42413e-013	7.8281e-014	1.04595e-014	1.19728e-015	1.53097e-016	1.59074e-017	1.85321e-018	1.69879e-019	1.75498e-020	1.40282e-021	1.27415e-022	8.86359e-024	7.07956e-025	4.29273e-026	3.02357e-027	1.60349e-028	1.00138e-029	4.67857e-031	2.63267e-032	1.14678e-033	6.71989e-035	4.32346e-036	7.41217e-037	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
