NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	0.215867	0.20257	0.177953	0.144296	0.106536	0.0708912	0.0422154	0.0223891	0.0105405	0.00439475	0.00162014	0.00052747	0.000151533	3.839e-005	8.5734e-006	1.68733e-006	2.92619e-007	4.47149e-008	6.02122e-009	7.14616e-010	7.47699e-011	6.89905e-012	5.61612e-013	5.86552e-017	1.47752e-017	3.49862e-018	7.79003e-019	1.63159e-019	3.21572e-020	5.96636e-021	1.04253e-021	1.71634e-022	2.66351e-023	3.89803e-024	5.38254e-025	7.01613e-026	8.6377e-027	1.00488e-027	1.1053e-028	1.15008e-029	1.13264e-030	1.05637e-031	9.33555e-033	7.82178e-034	6.21665e-035	4.68963e-036	3.35966e-037	2.28704e-038	1.48019e-039	9.11313e-041	5.34036e-042	2.98036e-043	1.5849e-044	8.03561e-046	3.88747e-047	1.80129e-048	8.35476e-050	6.50824e-051	
N2	0.0380079	0.0594698	0.0859412	0.112255	0.131113	0.136768	0.127416	0.106503	0.080043	0.0542858	0.0332634	0.0185089	0.00932099	0.00428302	0.00178821	0.0006849	0.000238669	7.80247e-005	2.3115e-005	6.68099e-006	1.7696e-006	4.85112e-007	1.19228e-007	3.38347e-008	7.83748e-009	2.22292e-009	4.8385e-010	1.29749e-010	2.4944e-011	6.24954e-012	1.04881e-012	2.37233e-013	3.53743e-014	7.18029e-015	9.37525e-016	1.76289e-016	2.02574e-017	3.42726e-018	3.60256e-019	5.61938e-020	5.28731e-021	7.7052e-022	6.64727e-023	9.10609e-024	7.42883e-025	9.07178e-026	6.87029e-027	8.48873e-028	5.77464e-029	6.159e-030	4.08239e-031	4.25583e-032	2.47923e-033	2.32396e-034	1.32626e-035	1.39253e-036	1.34014e-037	4.83508e-038	
N3	0.00504824	0.00894597	0.0158271	0.0266868	0.0419037	0.0607478	0.0809602	0.0992001	0.111695	0.115612	0.110004	0.0963174	0.0775217	0.0574422	0.0391651	0.0245892	0.0142109	0.00758029	0.00372157	0.00169005	0.000708568	0.00027548	9.90673e-005	3.34205e-005	1.04268e-005	3.09738e-006	8.61027e-007	2.32223e-007	5.87201e-008	1.51398e-008	3.57517e-009	8.90129e-010	2.0106e-010	4.80106e-011	9.99059e-012	2.28076e-012	4.29504e-013	8.99705e-014	1.54419e-014	2.94497e-015	4.50338e-016	7.9202e-017	1.08134e-017	1.72862e-018	2.14083e-019	3.11595e-020	3.4648e-021	4.67945e-022	4.69629e-023	5.80187e-024	5.37904e-025	6.14308e-026	5.25129e-027	5.81424e-028	5.13517e-029	6.89091e-030	1.16402e-030	4.96656e-031	
N4	2.24533e-009	6.50513e-009	2.17479e-008	7.14345e-008	2.22641e-007	6.58456e-007	1.85844e-006	5.04158e-006	1.321e-005	3.35851e-005	8.32785e-005	0.00020238	0.000482267	0.00112181	0.00251824	0.00537858	0.0107807	0.020067	0.0343818	0.0539538	0.0771951	0.10039	0.118353	0.126343	0.121784	0.10601	0.0832028	0.0588589	0.0374973	0.0215516	0.0111442	0.00520459	0.00219261	0.000835448	0.000287724	9.02989e-005	2.56393e-005	6.68099e-006	1.58891e-006	3.48907e-007	7.02176e-008	1.33054e-008	2.30318e-009	3.8014e-010	5.78938e-011	8.42822e-012	1.12572e-012	1.46993e-013	1.72756e-014	1.99928e-015	2.09837e-016	2.16907e-017	2.04471e-018	1.99516e-019	1.87228e-020	2.02978e-021	2.6741e-022	7.84548e-023	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.00130019	0.00248926	0.00494694	0.00954756	0.0173317	0.0292096	0.0454021	0.0649659	0.0854383	0.103201	0.114423	0.116459	0.108694	0.0930655	0.0730616	0.0525845	0.0346873	0.0209885	0.0116335	0.00591685	0.00275985	0.00118165	0.000464256	0.000168077	5.58265e-005	1.71585e-005	4.86488e-006	1.28338e-006	3.13336e-007	7.29277e-008	1.56726e-008	3.30917e-009	6.5628e-010	1.315e-010	2.44001e-011	4.88061e-012	8.51142e-013	1.63663e-013	2.69888e-014	4.85008e-015	7.19512e-016	1.21057e-016	1.60305e-017	2.44121e-018	2.92797e-019	4.02868e-020	4.29792e-021	5.42561e-022	5.16706e-023	5.90729e-024	5.09906e-025	5.31198e-026	4.14907e-027	4.08566e-028	3.14952e-029	3.5751e-030	4.89099e-031	1.74588e-031	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.000207513	0.000467214	0.00112714	0.00262817	0.00572441	0.0115091	0.0212266	0.0358331	0.0552601	0.0777582	0.0997192	0.116455	0.123639	0.119247	0.104337	0.0827218	0.0593619	0.0385391	0.0226013	0.0119762	0.00573001	0.00247515	0.000965092	0.000340254	0.000108249	3.11919e-005	8.13506e-006	1.92567e-006	4.13454e-007	8.149e-008	1.45734e-008	2.42811e-009	3.72815e-010	5.43971e-011	7.35806e-012	1.00641e-012	1.24577e-013	1.62346e-014	1.90978e-015	2.35411e-016	2.49848e-017	2.90178e-018	2.72134e-019	2.81999e-020	2.36275e-021	2.16718e-022	1.57839e-023	1.30214e-024	8.27518e-026	6.0406e-027	3.40262e-028	2.20869e-029	1.09699e-030	6.5054e-032	3.02607e-033	1.88114e-034	1.30902e-035	2.37222e-036	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
