NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	
N1	2.69682e-038	1.17481e-037	9.13878e-037	7.84052e-036	6.65356e-035	5.46841e-034	4.33401e-033	3.30877e-032	2.43219e-031	1.72091e-030	1.17176e-029	7.67585e-029	4.83641e-028	2.93041e-027	1.70703e-026	9.55792e-026	5.14283e-025	2.65866e-024	1.32024e-023	6.29629e-023	2.88317e-022	1.26743e-021	5.34763e-021	2.16524e-020	8.41163e-020	3.13478e-019	1.12052e-018	3.84099e-018	1.26246e-017	3.97815e-017	1.44357e-013	1.20997e-012	9.31458e-012	6.58431e-011	4.27301e-010	2.54542e-009	1.39163e-008	6.98193e-008	3.21422e-007	1.35768e-006	5.26178e-006	1.87108e-005	6.10534e-005	0.00018283	0.00050258	0.00126861	0.00294189	0.00627176	0.0123033	0.022237	0.0370944	0.0572456	0.0819874	0.109424	0.136795	0.161136	0.179848	0.190675	
N2	9.36136e-041	6.98061e-040	1.2691e-038	2.77487e-037	6.12151e-036	1.30415e-034	2.6492e-033	5.10741e-032	9.32533e-031	1.61064e-029	2.6296e-028	4.05606e-027	5.90827e-026	8.12443e-025	1.05426e-023	1.29052e-022	1.48966e-021	1.62089e-020	1.66185e-019	1.60483e-018	1.45911e-017	1.24849e-016	1.00494e-015	7.60615e-015	5.411e-014	3.61656e-013	2.27007e-012	1.33762e-011	7.39613e-011	3.83609e-010	1.86563e-009	8.5048e-009	3.63294e-008	1.4537e-007	5.44735e-007	1.91109e-006	6.27561e-006	1.92852e-005	5.54505e-005	0.000149155	0.000375289	0.000883155	0.00194357	0.00399937	0.0076934	0.0138308	0.0232265	0.0364126	0.0532454	0.0725456	0.0919794	0.108372	0.118493	0.120081	0.112677	0.0978137	0.0784266	0.0577676	
N3	5.15016e-027	1.81265e-026	1.32474e-025	1.19155e-024	1.13152e-023	1.07173e-022	9.86987e-022	8.73376e-021	7.38516e-020	5.95169e-019	4.56517e-018	3.33024e-017	2.30927e-016	1.52153e-015	9.52241e-015	5.65897e-014	3.19244e-013	1.70914e-012	8.68114e-012	4.18217e-011	1.91045e-010	8.27298e-010	3.39521e-009	1.3202e-008	4.86267e-008	1.69614e-007	5.60141e-007	1.75097e-006	5.17975e-006	1.44973e-005	3.83808e-005	9.60947e-005	0.000227482	0.000509056	0.00107662	0.00215153	0.00406191	0.00724299	0.012196	0.0193883	0.0290926	0.0411953	0.0550336	0.0693442	0.0823895	0.0922737	0.0973819	0.0968072	0.0906112	0.0798182	0.0661405	0.051536	0.0377566	0.0260279	0.0169328	0.0104835	0.00630781	0.00385683	
N4	7.22106e-020	1.99904e-019	1.25696e-018	1.01171e-017	8.40377e-017	6.7582e-016	5.16414e-015	3.72723e-014	2.53511e-013	1.62292e-012	9.77011e-012	5.52669e-011	2.93542e-010	1.46285e-009	6.83512e-009	2.99233e-008	1.22659e-007	4.70468e-007	1.68746e-006	5.65648e-006	1.77103e-005	5.17657e-005	0.000141182	0.000359126	0.000851656	0.00188226	0.00387579	0.00743356	0.0132771	0.0220809	0.0341903	0.049289	0.0661564	0.0826812	0.0962318	0.104326	0.105376	0.0991948	0.0870542	0.0712542	0.0544169	0.0387932	0.0258276	0.0160668	0.00934345	0.00508194	0.00258641	0.00123224	0.000549762	0.000229747	8.99432e-005	3.29837e-005	1.13273e-005	3.64206e-006	1.09773e-006	3.13182e-007	8.88338e-008	3.04678e-008	
Carex_pulicaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_peregrina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	1.78055e-023	5.82066e-023	3.76954e-022	2.93726e-021	2.41575e-020	1.99821e-019	1.61895e-018	1.2652e-017	9.45477e-017	6.72426e-016	4.53931e-015	2.90418e-014	1.7593e-013	1.00845e-012	5.46717e-012	2.80214e-011	1.35732e-010	6.21153e-010	2.68478e-009	1.09569e-008	4.22099e-008	1.53452e-007	5.26327e-007	1.70277e-006	5.19486e-006	1.49422e-005	4.05121e-005	0.000103515	0.000249223	0.000565283	0.00120772	0.00243008	0.00460442	0.00821431	0.0137962	0.0218121	0.0324593	0.0454624	0.0599243	0.0743299	0.0867579	0.0952836	0.0984632	0.0957328	0.0875722	0.0753669	0.061023	0.0464831	0.0333101	0.0224557	0.0142411	0.00849685	0.00477109	0.0025241	0.0012625	0.000603451	0.000284876	0.000145766	
Carex_microglochin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.60851e-021	6.2412e-021	4.54846e-020	3.71314e-019	3.09769e-018	2.57561e-017	2.09709e-016	1.64804e-015	1.23668e-014	8.79591e-014	5.90124e-013	3.72301e-012	2.20422e-011	1.22304e-010	6.35392e-010	3.08855e-009	1.40393e-008	5.96518e-008	2.36821e-007	8.78199e-007	3.04096e-006	9.83001e-006	2.96563e-005	8.34833e-005	0.000219237	0.000537008	0.00122667	0.00261274	0.00518836	0.00960476	0.0165741	0.0266586	0.0399658	0.0558441	0.0727284	0.0882832	0.0998893	0.105354	0.103589	0.0949618	0.0811723	0.064707	0.0481116	0.0333718	0.0215989	0.0130468	0.00735707	0.00387404	0.00190556	0.000875874	0.000376359	0.000151259	5.68967e-005	2.00564e-005	6.6497e-006	2.10076e-006	6.64327e-007	2.49812e-007	
Schoenoxiphium_ludwigii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.93589e-021	6.94775e-021	5.44737e-020	5.28017e-019	5.23395e-018	4.99546e-017	4.50217e-016	3.80591e-015	3.00988e-014	2.22408e-013	1.53437e-012	9.87727e-012	5.93009e-011	3.31904e-010	1.73108e-009	8.41022e-009	3.80481e-008	1.60232e-007	6.27946e-007	2.28942e-006	7.76325e-006	2.44775e-005	7.17464e-005	0.000195457	0.000494817	0.00116388	0.00254319	0.00516192	0.00973109	0.0170372	0.0277015	0.0418274	0.0586505	0.0763737	0.0923621	0.103741	0.10823	0.10489	0.0944412	0.0790129	0.061435	0.0444015	0.0298356	0.0186436	0.0108366	0.0058606	0.00294994	0.00138245	0.000603415	0.000245422	9.30705e-005	3.29406e-005	1.09006e-005	3.38525e-006	9.95118e-007	2.8285e-007	8.24796e-008	2.95167e-008	
N8	7.06635e-031	7.26887e-030	1.58261e-028	3.81314e-027	8.96723e-026	1.99113e-024	4.13145e-023	7.97871e-022	1.43101e-020	2.37955e-019	3.66265e-018	5.21017e-017	6.8384e-016	8.2675e-015	9.19093e-014	9.37866e-013	8.76851e-012	7.49732e-011	5.85131e-010	4.16032e-009	2.6895e-008	1.57771e-007	8.38161e-007	4.02445e-006	1.74305e-005	6.79671e-005	0.000238153	0.000748517	0.00210669	0.00530121	0.01191	0.0238606	0.0425836	0.0676483	0.0956076	0.12018	0.134361	0.133639	0.118317	0.0933141	0.0656261	0.0412063	0.0231324	0.0116285	0.00524338	0.00212454	0.000775	0.00025502	7.58505e-005	2.04345e-005	4.99741e-006	1.11213e-006	2.25855e-007	4.20168e-008	7.20529e-009	1.15589e-009	1.83553e-010	3.81182e-011	
Schoenoxiphium_burkei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenoxiphium_filiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.31957e-013	2.83097e-013	1.1462e-012	5.95141e-012	3.33202e-011	1.85209e-010	9.84752e-010	4.92899e-009	2.30665e-008	1.00616e-007	4.08462e-007	1.54193e-006	5.40939e-006	1.76281e-005	5.33426e-005	0.000149836	0.000390581	0.000944625	0.00211924	0.0044097	0.00850944	0.0152275	0.0252686	0.0388836	0.0554896	0.0734442	0.0901702	0.102707	0.108558	0.1065	0.0970025	0.0820521	0.0644783	0.0470879	0.0319699	0.0201877	0.0118612	0.00648721	0.0033043	0.0015682	0.000693806	0.000286294	0.000110243	3.96363e-005	1.3313e-005	4.17978e-006	1.22739e-006	3.37318e-007	8.68208e-008	2.09446e-008	4.7401e-009	1.00761e-009	2.0152e-010	3.80201e-011	6.8004e-012	1.16854e-012	2.03672e-013	4.66927e-014	
Schoenoxiphium_ecklonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Schoenoxiphium_sparteum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N10	1.53003e-033	1.00002e-032	1.18878e-031	1.57556e-030	2.16663e-029	3.00563e-028	4.11569e-027	5.47446e-026	6.99892e-025	8.54409e-024	9.92015e-023	1.09277e-021	1.14027e-020	1.12588e-019	1.05105e-018	9.27056e-018	7.72125e-017	6.06918e-016	4.49997e-015	3.14563e-014	2.07209e-013	1.2856e-012	7.50909e-012	4.12716e-011	2.13352e-010	1.03687e-009	4.73517e-009	2.03116e-008	8.18008e-008	3.09169e-007	1.09617e-006	3.64445e-006	1.13577e-005	3.31655e-005	9.07129e-005	0.00023232	0.000556922	0.00124927	0.00262148	0.00514445	0.00943885	0.0161874	0.0259422	0.038843	0.0543246	0.0709521	0.0865222	0.0984901	0.104635	0.10373	0.0959516	0.0828283	0.066768	0.0503486	0.0356637	0.0239418	0.0155044	0.00998331	
Kobresia_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	4.12558e-035	3.19376e-034	4.72244e-033	7.89065e-032	1.36322e-030	2.33807e-029	3.88579e-028	6.17523e-027	9.31869e-026	1.33044e-024	1.79344e-023	2.27971e-022	2.73015e-021	3.07816e-020	3.26526e-019	3.2569e-018	3.0528e-017	2.68751e-016	2.22084e-015	1.72168e-014	1.25146e-013	8.52458e-013	5.43852e-012	3.24794e-011	1.81478e-010	9.4821e-010	4.63047e-009	2.11237e-008	8.99763e-008	3.5768e-007	1.32639e-006	4.58634e-006	1.47808e-005	4.43804e-005	0.000124102	0.000323079	0.000782762	0.00176444	0.00369925	0.00721162	0.0130695	0.0220136	0.0344546	0.0501012	0.0676746	0.0849034	0.0989246	0.107038	0.107556	0.100377	0.0870281	0.0701357	0.0525935	0.036774	0.0240812	0.0149165	0.00894256	0.00544418	
Kobresia_simpliciuscula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	1.68902e-041	3.09459e-040	1.13401e-038	4.54025e-037	1.76348e-035	6.44125e-034	2.19172e-032	6.92261e-031	2.02598e-029	5.487e-028	1.3738e-026	3.17682e-025	6.779e-024	1.33375e-022	2.41745e-021	4.03338e-020	6.18954e-019	8.72946e-018	1.13062e-016	1.34375e-015	1.46441e-014	1.46229e-013	1.33693e-012	1.11838e-011	8.55399e-011	5.97804e-010	3.81485e-009	2.22152e-008	1.17982e-007	5.71117e-007	2.51848e-006	1.01119e-005	3.69485e-005	0.00012281	0.000371161	0.00101958	0.00254482	0.00576958	0.0118788	0.0222047	0.0376787	0.0580326	0.0811233	0.102923	0.118519	0.123885	0.117564	0.10131	0.0793016	0.0564056	0.0364741	0.0214571	0.0114974	0.00562572	0.00252993	0.00106459	0.00044114	0.000205401	
N13	8.6043e-025	3.57247e-024	2.37804e-023	1.90392e-022	1.66939e-021	1.51043e-020	1.35943e-019	1.19086e-018	1.00256e-017	8.05276e-017	6.14482e-016	4.44317e-015	3.03936e-014	1.96466e-013	1.19904e-012	6.90432e-012	3.74866e-011	1.91802e-010	9.24303e-010	4.19306e-009	1.78969e-008	7.18342e-008	2.71003e-007	9.60488e-007	3.19646e-006	9.98386e-006	2.92531e-005	8.03689e-005	0.000206942	0.000499189	0.00112758	0.00238407	0.00471635	0.00872659	0.0150966	0.0244099	0.0368779	0.0520425	0.0685851	0.0843881	0.0969229	0.103895	0.103928	0.0970056	0.0844832	0.0686518	0.0520554	0.0368357	0.0243313	0.0150084	0.00865162	0.00466686	0.00236157	0.00112656	0.000511745	0.00022615	0.000101864	5.15202e-005	
Carex_pauciflora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Carex_backii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N14	1.0005e-042	2.35586e-041	1.03229e-039	4.81167e-038	2.16154e-036	9.08336e-035	3.53682e-033	1.27173e-031	4.21613e-030	1.28739e-028	3.61742e-027	9.34571e-026	2.21816e-024	4.83269e-023	9.65713e-022	1.76858e-020	2.96605e-019	4.55165e-018	6.38652e-017	8.18721e-016	9.58217e-015	1.02313e-013	9.95943e-013	8.83222e-012	7.13097e-011	5.23827e-010	3.49878e-009	2.1236e-008	1.1706e-007	5.85711e-007	2.65872e-006	1.09437e-005	4.08284e-005	0.000138001	0.000422429	0.00117065	0.00293609	0.00666282	0.0136772	0.0253923	0.04263	0.0647132	0.0888209	0.110226	0.123687	0.125511	0.115195	0.0956496	0.0718735	0.0488973	0.0301387	0.0168492	0.00856268	0.00397464	0.0017041	0.000693085	0.000284527	0.000134224	
