NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.221249	0.203034	0.171992	0.135225	0.0991391	0.0680317	0.0438225	0.0265519	0.0151536	0.00815399	0.00413927	0.00198317	0.000897026	0.000383132	0.000154541	5.88738e-005	2.11824e-005	7.19724e-006	2.30901e-006	6.99292e-007	1.99866e-007	5.38926e-008	1.37048e-008	3.28558e-009	7.42319e-010	1.58e-010	3.16721e-011	5.97757e-012	1.06194e-012	1.77548e-013	5.10388e-017	1.96366e-017	7.32803e-018	2.65254e-018	9.31311e-019	3.17176e-019	1.04785e-019	3.35832e-020	1.04424e-020	3.15042e-021	9.22312e-022	2.62044e-022	7.2262e-023	1.93438e-023	5.02723e-024	1.26863e-024	3.10902e-025	7.40057e-026	1.71131e-026	3.84491e-027	8.39488e-028	1.78151e-028	3.67528e-029	7.37226e-030	1.43815e-030	2.72894e-031	5.03806e-032	9.05143e-033	1.58297e-033	2.6957e-034	4.47188e-035	7.23052e-036	1.14042e-036	1.75691e-037	2.64954e-038	3.92626e-039	5.75513e-040	8.43938e-041	1.2608e-041	1.97941e-042	3.93058e-043	
N2	0.0318551	0.0344675	0.0375381	0.0413594	0.045235	0.0493887	0.0529376	0.0561845	0.0581908	0.0594787	0.0591888	0.05811	0.055518	0.0524008	0.048147	0.043789	0.0387688	0.0340356	0.0290668	0.0246499	0.0203019	0.0166256	0.0131968	0.0104318	0.00797408	0.00608233	0.00447633	0.00329539	0.00233473	0.00165907	0.00113186	0.000776671	0.000510157	0.00033795	0.000213742	0.000136689	8.31938e-005	5.13195e-005	3.00545e-005	1.788e-005	1.00679e-005	5.77118e-006	3.12481e-006	1.7261e-006	8.98166e-007	4.7775e-007	2.39032e-007	1.2251e-007	5.89177e-008	2.90825e-008	1.34591e-008	6.40675e-009	2.85385e-009	1.31037e-009	5.6328e-010	2.50267e-010	1.04109e-010	4.49165e-011	1.82324e-011	7.71396e-012	3.09381e-012	1.30141e-012	5.27055e-013	2.25041e-013	9.40818e-014	4.14853e-014	1.82867e-014	8.57996e-015	4.27074e-015	2.5422e-015	2.06544e-015	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.196281	0.19073	0.169255	0.139688	0.106303	0.0760253	0.0504684	0.0317695	0.0186135	0.0104277	0.00543332	0.00273471	0.00127474	0.000582948	0.000245025	0.000103639	3.9734e-005	1.59259e-005	5.66393e-006	2.21318e-006	7.40303e-007	2.85473e-007	9.04459e-008	3.42989e-008	1.01911e-008	3.70472e-009	1.02614e-009	3.5395e-010	9.00854e-011	2.88929e-011	6.79133e-012	2.04775e-012	4.39169e-013	1.22335e-013	2.43495e-014	6.44584e-015	1.17085e-015	2.86585e-016	4.89405e-017	1.15884e-017	1.80599e-018	3.93794e-019	5.8524e-020	1.25222e-020	1.69302e-021	3.30111e-022	4.30264e-023	8.28567e-024	9.73191e-025	1.67903e-025	1.90821e-026	3.25622e-027	3.31367e-028	5.02117e-029	4.96495e-030	7.46359e-031	6.55521e-032	8.65905e-033	7.39955e-034	9.73812e-035	7.39555e-036	8.56709e-037	6.38291e-038	7.43668e-039	4.94255e-040	5.13017e-041	3.65186e-042	4.34232e-043	4.16547e-044	6.7716e-045	1.49915e-045	
N4	0.134247	0.135771	0.130201	0.120219	0.105806	0.0901684	0.0735345	0.0583881	0.0444831	0.0331914	0.0238032	0.0168395	0.0114568	0.00776267	0.00505687	0.00332389	0.00209582	0.00135632	0.000838129	0.000542469	0.000331925	0.000217026	0.000132279	8.7639e-005	5.30845e-005	3.53884e-005	2.12071e-005	1.41332e-005	8.31512e-006	5.48794e-006	3.16442e-006	2.06711e-006	1.16296e-006	7.47746e-007	4.12095e-007	2.62277e-007	1.41121e-007	8.83861e-008	4.67766e-008	2.90918e-008	1.50551e-008	9.20525e-009	4.70212e-009	2.85934e-009	1.42717e-009	8.503e-010	4.19347e-010	2.48356e-010	1.19254e-010	6.88427e-011	3.26331e-011	1.87069e-011	8.60118e-012	4.78719e-012	2.1717e-012	1.20046e-012	5.26479e-013	2.81693e-013	1.21996e-013	6.49819e-014	2.72556e-014	1.41133e-014	5.9344e-015	3.13076e-015	1.3424e-015	7.42234e-016	3.76753e-016	2.57369e-016	1.85014e-016	1.82306e-016	2.207e-016	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.186833	0.183108	0.165062	0.139195	0.10864	0.0799491	0.0546464	0.0355053	0.02143	0.0124176	0.00665898	0.00348126	0.00166734	0.000799726	0.000344644	0.000156132	6.1132e-005	2.71898e-005	9.80742e-006	4.46949e-006	1.49268e-006	7.01714e-007	2.17835e-007	1.04838e-007	2.97703e-008	1.40087e-008	3.67174e-009	1.6966e-009	4.01629e-010	1.73714e-010	3.833e-011	1.62886e-011	3.2225e-012	1.24906e-012	2.35596e-013	9.23618e-014	1.54168e-014	5.35426e-015	8.80759e-016	3.2482e-016	4.6007e-017	1.43539e-017	2.07919e-018	7.26509e-019	8.76188e-020	2.4615e-020	3.15776e-021	1.04431e-021	1.07014e-022	2.67711e-023	3.00236e-024	9.1937e-025	8.05027e-026	1.8014e-026	1.78408e-027	5.06598e-028	3.78676e-029	7.46271e-030	6.3997e-031	1.64639e-031	1.06523e-032	1.89234e-033	1.45429e-034	3.46636e-035	1.93512e-036	3.01629e-037	2.03167e-038	4.49369e-039	3.24547e-040	8.75966e-041	3.75738e-041	
N6	0.0880719	0.0920512	0.0938872	0.0943829	0.0920944	0.0881346	0.0814412	0.073621	0.0640411	0.0545201	0.044578	0.0357778	0.0275329	0.0209085	0.0151978	0.0109902	0.00758669	0.00526952	0.00348099	0.00234689	0.00149464	0.000986365	0.000609104	0.000395346	0.000236807	0.00015078	8.74138e-005	5.43765e-005	3.0338e-005	1.83009e-005	9.80238e-006	5.72219e-006	2.93041e-006	1.64748e-006	8.08136e-007	4.38796e-007	2.05688e-007	1.0746e-007	4.83677e-008	2.44524e-008	1.0534e-008	5.12416e-009	2.12618e-009	1.00253e-009	3.9838e-010	1.80496e-010	6.91958e-011	3.03991e-011	1.11442e-011	4.69067e-012	1.65903e-012	6.76818e-013	2.28401e-013	8.90387e-014	2.89853e-014	1.09538e-014	3.39546e-015	1.22401e-015	3.66533e-016	1.28451e-016	3.67675e-017	1.23759e-017	3.48789e-018	1.17298e-018	3.3494e-019	1.16758e-019	3.80297e-020	1.53722e-020	6.33401e-021	3.27487e-021	2.29185e-021	
