NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.235176	0.213282	0.176767	0.134804	0.0951363	0.0624138	0.03819	0.021846	0.0117017	0.00587564	0.00276774	0.00122379	0.000508136	0.000198194	7.26326e-005	2.50129e-005	8.09468e-006	2.46156e-006	7.03278e-007	1.88732e-007	4.75589e-008	1.12496e-008	2.4969e-009	5.19826e-010	1.01474e-010	1.85673e-011	3.18357e-012	5.11385e-013	8.22319e-017	3.08686e-017	1.12136e-017	3.94198e-018	1.34102e-018	4.41488e-019	1.40667e-019	4.33798e-020	1.29493e-020	3.74205e-021	1.04697e-021	2.83649e-022	7.4423e-023	1.8914e-023	4.65669e-024	1.11088e-024	2.56819e-025	5.75491e-026	1.25022e-026	2.63361e-027	5.38052e-028	1.06633e-028	2.05044e-029	3.8263e-030	6.93082e-031	1.21888e-031	2.08163e-032	3.45315e-033	5.56549e-034	8.71727e-035	1.3273e-035	1.96519e-036	2.83049e-037	3.96786e-038	5.41756e-039	7.21279e-040	9.38214e-041	1.19652e-041	1.50579e-042	1.89201e-043	2.42208e-044	3.27015e-045	5.58506e-046	
N2	0.0301139	0.0330257	0.0364929	0.0408305	0.0452576	0.0500087	0.0540702	0.0577782	0.0600498	0.0614972	0.0611348	0.0599029	0.0569751	0.0535208	0.0488346	0.0441157	0.0387082	0.0336937	0.0284567	0.0238795	0.0194007	0.0156835	0.0122447	0.00952989	0.00714269	0.00534928	0.00384782	0.00277351	0.0019142	0.00132787	0.000879493	0.000587305	0.000373161	0.00023974	0.000146121	9.03044e-005	5.2757e-005	3.13315e-005	1.75439e-005	1.00115e-005	5.36871e-006	2.9409e-006	1.51087e-006	7.94791e-007	3.9095e-007	1.97348e-007	9.3024e-008	4.51031e-008	2.03651e-008	9.47834e-009	4.10523e-009	1.83697e-009	7.63159e-010	3.28275e-010	1.31167e-010	5.44141e-011	2.09567e-011	8.40805e-012	3.14707e-012	1.2334e-012	4.5425e-013	1.76368e-013	6.54676e-014	2.57816e-014	9.89521e-015	4.03002e-015	1.63548e-015	7.07283e-016	3.22616e-016	1.76592e-016	1.36069e-016	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.206991	0.200511	0.175182	0.141056	0.103713	0.0712114	0.045014	0.0268705	0.0148116	0.00779243	0.00378082	0.00177513	0.000764092	0.000325209	0.00012557	4.9662e-005	1.74662e-005	6.61424e-006	2.16126e-006	8.06048e-007	2.47179e-007	9.07353e-008	2.61408e-008	9.32412e-009	2.4838e-009	8.34575e-010	2.0492e-010	6.47004e-011	1.44266e-011	4.19099e-012	8.58736e-013	2.3467e-013	4.34898e-014	1.09005e-014	1.87572e-015	4.50192e-016	7.01196e-017	1.54216e-017	2.26915e-018	4.87874e-019	6.47907e-020	1.26227e-020	1.6065e-021	3.09602e-022	3.53216e-023	6.07326e-024	6.70316e-025	1.14531e-025	1.11945e-026	1.67442e-027	1.58699e-028	2.36457e-029	1.97565e-030	2.56323e-031	2.08972e-032	2.71674e-033	1.93605e-034	2.16662e-035	1.50908e-036	1.70337e-037	1.04023e-038	1.01602e-039	6.13707e-041	6.11789e-042	3.2343e-043	2.79849e-044	1.58442e-045	1.58446e-046	1.21515e-047	1.67428e-048	3.16215e-049	
N4	0.139114	0.141205	0.135018	0.123791	0.107624	0.0903474	0.0722626	0.056182	0.0417445	0.0303681	0.0211533	0.0145567	0.00959593	0.00632553	0.00399148	0.00256096	0.00156714	0.000995877	0.000599288	0.000383441	0.000228989	0.000148503	8.82697e-005	5.79462e-005	3.40743e-005	2.23976e-005	1.29622e-005	8.48043e-006	4.79291e-006	3.09247e-006	1.70802e-006	1.08963e-006	5.85594e-007	3.67044e-007	1.93206e-007	1.20016e-007	6.15776e-008	3.75723e-008	1.89754e-008	1.1511e-008	5.66934e-009	3.36822e-009	1.6373e-009	9.67612e-010	4.57511e-010	2.63451e-010	1.22952e-010	7.03692e-011	3.17874e-011	1.76217e-011	7.84856e-012	4.32254e-012	1.85637e-012	9.86759e-013	4.1793e-013	2.20964e-013	8.99469e-014	4.57512e-014	1.83929e-014	9.33213e-015	3.61168e-015	1.76922e-015	6.85646e-016	3.42035e-016	1.33719e-016	6.9069e-017	3.19875e-017	2.04999e-017	1.37198e-017	1.29995e-017	1.55815e-017	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.196803	0.192516	0.171217	0.141245	0.106815	0.0756992	0.0494047	0.0305366	0.0173813	0.00949398	0.00474989	0.00232981	0.00103168	0.000465388	0.000184246	7.95935e-005	2.85054e-005	1.23498e-005	4.06038e-006	1.83466e-006	5.53041e-007	2.56433e-007	7.10814e-008	3.33517e-008	8.32825e-009	3.74119e-009	8.57758e-010	3.77478e-010	7.7168e-011	3.12252e-011	5.97223e-012	2.40688e-012	4.06109e-013	1.45684e-013	2.37392e-014	8.8775e-015	1.24907e-015	3.98561e-016	5.6543e-017	2.00455e-017	2.36037e-018	6.69439e-019	8.29589e-020	2.77669e-020	2.74562e-021	6.92639e-022	7.53047e-023	2.36609e-023	1.96094e-024	4.3355e-025	4.06059e-026	1.16533e-026	8.17807e-028	1.60438e-028	1.32161e-029	3.49995e-030	2.07781e-031	3.54156e-032	2.49176e-033	5.90521e-034	3.0226e-035	4.64725e-036	2.94938e-037	6.48989e-038	2.84397e-039	3.77425e-040	2.05314e-041	4.10052e-042	2.28548e-043	5.31702e-044	2.00715e-044	
N6	0.0910287	0.0958122	0.0980108	0.0985557	0.0957602	0.0909994	0.0831105	0.0740795	0.0632498	0.0527721	0.042099	0.0329569	0.0246235	0.0181806	0.0127848	0.00897889	0.00598473	0.0040409	0.00257611	0.00169217	0.00103947	0.000669041	0.000397703	0.000251368	0.000144252	8.90054e-005	4.9137e-005	2.94528e-005	1.55429e-005	8.98021e-006	4.52545e-006	2.52008e-006	1.20824e-006	6.45371e-007	2.95497e-007	1.52159e-007	6.63458e-008	3.27647e-008	1.36939e-008	6.53618e-009	2.60535e-009	1.19172e-009	4.56688e-010	2.02164e-010	7.38578e-011	3.12551e-011	1.09897e-011	4.50095e-012	1.505e-012	5.87125e-013	1.88911e-013	7.13152e-014	2.17676e-014	7.80765e-015	2.29385e-015	7.96878e-016	2.21651e-016	7.30286e-017	1.95861e-017	6.26924e-018	1.59718e-018	4.87719e-019	1.21918e-019	3.70892e-020	9.30926e-021	2.91113e-021	8.36688e-022	3.05625e-022	1.13235e-022	5.348e-023	3.46527e-023	
