NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.297081	0.254032	0.188511	0.123064	0.0714078	0.0370903	0.0173336	0.00731056	0.00278927	0.000964089	0.000302263	8.60305e-005	2.22469e-005	5.22988e-006	1.11833e-006	2.17615e-007	3.85515e-008	6.21958e-009	9.14094e-010	1.22414e-010	1.49418e-011	1.66262e-012	1.68702e-013	3.28673e-017	9.55062e-018	2.65123e-018	7.03218e-019	1.78253e-019	4.31898e-020	1.0005e-020	2.21643e-021	4.69684e-022	9.52344e-023	1.8482e-023	3.43405e-024	6.111e-025	1.04188e-025	1.70244e-026	2.66712e-027	4.00765e-028	5.77804e-029	7.99625e-030	1.06262e-030	1.35654e-031	1.66426e-032	1.963e-033	2.22693e-034	2.43083e-035	2.55412e-036	2.58428e-037	2.51898e-038	2.36628e-039	2.14309e-040	1.87203e-041	1.57781e-042	1.2836e-043	1.00835e-044	7.65176e-046	5.6111e-047	3.97779e-048	2.72722e-049	1.80915e-050	1.16179e-051	7.22719e-053	4.35945e-054	2.55443e-055	1.45954e-056	8.2062e-058	4.6443e-059	2.79276e-060	2.15713e-061	
N2	0.0243141	0.0284506	0.0339086	0.0408486	0.0483608	0.0565153	0.0630507	0.0687299	0.0718816	0.072819	0.0708558	0.0677754	0.061782	0.0556495	0.0484399	0.0413687	0.0341374	0.0281217	0.0220227	0.0172569	0.0130142	0.00967795	0.00689394	0.00494289	0.00331174	0.00223789	0.00143611	0.000911614	0.000546394	0.000332452	0.000185695	0.000105569	5.62052e-005	2.97863e-005	1.47364e-005	7.47588e-006	3.43037e-006	1.61857e-006	7.09033e-007	3.11627e-007	1.26639e-007	5.32895e-008	2.01098e-008	7.8822e-009	2.8457e-009	1.0378e-009	3.48335e-010	1.22235e-010	3.81154e-011	1.24483e-011	3.73086e-012	1.13783e-012	3.17313e-013	9.32683e-014	2.42523e-014	6.66219e-015	1.67082e-015	4.29426e-016	1.01065e-016	2.53339e-017	5.63536e-018	1.34614e-018	3.00937e-019	7.10412e-020	1.61879e-020	4.0653e-021	1.00172e-021	2.69991e-022	7.52835e-023	2.46095e-023	1.28408e-023	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.258342	0.243229	0.194163	0.135725	0.0831291	0.0462375	0.0225436	0.010194	0.0041206	0.00155194	0.000520415	0.000174365	4.93647e-005	1.49161e-005	3.86887e-006	1.09475e-006	2.50636e-007	7.21135e-008	1.44335e-008	3.85703e-009	7.21436e-010	1.7115e-010	2.76729e-011	6.43998e-012	8.75637e-013	1.76169e-013	2.29626e-014	4.17312e-015	4.57421e-016	7.96136e-017	7.6803e-018	1.22867e-018	1.11395e-019	1.47672e-020	1.20816e-021	1.74566e-022	1.15445e-023	1.32028e-024	9.1252e-026	1.01061e-026	5.60965e-028	5.61149e-029	2.83672e-030	2.73217e-031	1.26885e-032	9.52225e-034	4.15351e-035	3.57808e-036	1.21847e-037	7.80564e-039	2.85254e-040	1.8564e-041	5.43597e-043	3.18671e-044	8.84433e-046	5.12282e-047	1.27899e-048	5.55561e-050	1.36043e-051	7.17425e-053	1.35356e-054	5.25894e-056	1.16551e-057	4.77036e-059	8.00467e-061	2.86973e-062	4.81688e-064	1.8855e-065	4.53008e-067	2.4509e-068	1.95292e-069	
N4	0.172192	0.174626	0.160748	0.137736	0.109536	0.0831093	0.0584702	0.039794	0.0256035	0.0159604	0.00944515	0.00563752	0.00312676	0.00179839	0.000983813	0.000557682	0.000296294	0.000174715	9.01546e-005	5.30068e-005	2.77356e-005	1.60142e-005	8.05025e-006	4.79964e-006	2.28848e-006	1.31784e-006	6.35605e-007	3.54397e-007	1.6167e-007	9.19988e-008	3.99718e-008	2.19811e-008	9.61221e-009	5.00335e-009	2.09185e-009	1.13418e-009	4.41488e-010	2.23381e-010	8.93947e-011	4.37558e-011	1.62705e-011	8.00474e-012	2.82617e-012	1.34006e-012	4.73543e-013	2.07449e-013	7.00193e-014	3.23337e-014	9.99717e-015	4.21087e-015	1.34994e-015	5.53494e-016	1.6327e-016	6.69731e-017	1.88644e-017	7.47221e-018	2.09646e-018	7.57475e-019	2.05229e-019	7.92005e-020	1.94803e-020	6.79056e-021	1.77446e-021	6.09463e-022	1.47635e-022	5.24127e-023	1.39632e-023	5.84799e-024	2.46516e-024	1.66852e-024	1.72967e-024	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.243536	0.233445	0.19234	0.140074	0.0897539	0.0524869	0.0268081	0.0127957	0.00542306	0.00217295	0.00076032	0.000281585	8.19297e-005	2.88501e-005	7.73299e-006	2.71598e-006	6.13412e-007	2.42083e-007	4.51629e-008	1.75383e-008	3.06527e-009	1.05654e-009	1.55605e-010	5.87906e-011	6.89306e-012	2.17079e-012	2.683e-013	8.06391e-014	7.63176e-015	2.20064e-015	1.90347e-016	5.64159e-017	4.52233e-018	9.09364e-019	7.06757e-020	2.14925e-020	1.12221e-021	2.02112e-022	1.44966e-023	3.36989e-024	1.48686e-025	2.53769e-026	1.19827e-027	2.70183e-028	1.04951e-029	1.21364e-030	5.49742e-032	1.25431e-032	3.24424e-034	3.31852e-035	1.31989e-036	2.13781e-037	4.98291e-039	5.48825e-040	1.53642e-041	2.4392e-042	4.91102e-044	3.42627e-045	9.14584e-047	1.39773e-047	2.04682e-049	1.36729e-050	3.74425e-052	4.37438e-053	5.77932e-055	3.89586e-056	6.16951e-058	6.20911e-059	1.00938e-060	9.83622e-062	1.85397e-062	
N6	0.100731	0.109564	0.114361	0.115457	0.11076	0.102493	0.0883196	0.0733274	0.0572277	0.0427701	0.0300424	0.020826	0.0132996	0.00854113	0.00515792	0.00311894	0.001757	0.00104806	0.00055221	0.000314724	0.000161381	8.70782e-005	4.14984e-005	2.21337e-005	9.70196e-006	4.83226e-006	2.05551e-006	9.55633e-007	3.72597e-007	1.6964e-007	6.08776e-008	2.58266e-008	8.97398e-009	3.50296e-009	1.1244e-009	4.35913e-010	1.27109e-010	4.49484e-011	1.29038e-011	4.25592e-012	1.11003e-012	3.5655e-013	8.55981e-014	2.55907e-014	5.96251e-015	1.6166e-015	3.48327e-016	9.49443e-017	1.84284e-017	4.52112e-018	8.72688e-019	2.00955e-019	3.50839e-020	7.87353e-021	1.27359e-021	2.671e-022	4.19725e-023	7.94508e-024	1.16824e-024	2.25353e-025	2.97848e-026	5.15939e-027	6.95095e-028	1.15069e-028	1.4381e-029	2.4406e-030	3.31544e-031	6.44864e-032	1.26262e-032	3.40693e-033	1.36082e-033	
