NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.106902	0.106554	0.105576	0.103463	0.0996397	0.0936419	0.0852901	0.0748066	0.0628247	0.0502738	0.0381734	0.027406	0.0185464	0.0117973	0.00707497	0.00399434	0.00212065	0.00105796	0.000495743	0.000218182	9.0245e-05	3.49181e-05	1.26369e-05	4.27694e-06	1.35357e-06	4.00529e-07	1.10804e-07	2.8656e-08	6.92798e-09	1.56579e-09	3.30843e-10	6.53607e-11	1.20749e-11	2.08644e-12	3.37272e-13	8.7055e-17	3.27575e-17	1.19274e-17	4.20315e-18	1.43379e-18	4.73558e-19	1.51477e-19	4.69382e-20	1.4095e-20	4.10356e-21	1.15935e-21	3.17415e-22	8.42372e-23	2.16742e-23	5.40815e-24	1.30895e-24	3.07375e-25	7.00473e-26	1.54952e-26	3.32807e-27	6.94205e-28	1.40667e-28	2.7696e-29	5.30015e-30	9.86138e-31	1.78453e-31	3.14235e-32	5.38809e-33	9.00641e-34	1.47046e-34	2.35322e-35	3.71488e-36	5.85041e-37	9.36513e-38	1.57577e-38	3.38568e-39	
N2	0.0162675	0.0178666	0.0201668	0.0232062	0.0269829	0.0314366	0.0364322	0.0417515	0.0470971	0.0521113	0.0564082	0.0596171	0.0614291	0.061639	0.0604135	0.0578008	0.0539655	0.0491657	0.0437194	0.0379646	0.0322216	0.0266508	0.0215056	0.0169544	0.0130817	0.00989996	0.00733145	0.00531725	0.00377975	0.00263525	0.00180312	0.00121139	0.000799374	0.000518231	0.000330114	0.000206637	0.000127116	7.68651e-05	4.57049e-05	2.6742e-05	1.54125e-05	8.76256e-06	4.92391e-06	2.74128e-06	1.51629e-06	8.35927e-07	4.58697e-07	2.50869e-07	1.36827e-07	7.43939e-08	4.02716e-08	2.12488e-08	1.0923e-08	5.46978e-09	2.66853e-09	1.26889e-09	5.88453e-10	2.66406e-10	1.17888e-10	5.10742e-11	2.17084e-11	9.07484e-12	3.74227e-12	1.52768e-12	6.19889e-13	2.51355e-13	1.0272e-13	4.30626e-14	1.93043e-14	1.01563e-14	7.36941e-15	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0925196	0.0971732	0.100599	0.102143	0.101112	0.0969912	0.0896447	0.0794214	0.0671404	0.0539415	0.0410437	0.029488	0.0199512	0.0126815	0.00758907	0.00427163	0.00225977	0.00112299	0.000524126	0.000229815	9.48053e-05	3.67555e-05	1.34768e-05	4.75454e-06	1.67981e-06	6.37439e-07	2.45634e-07	9.52639e-08	3.66641e-08	1.38091e-08	5.03251e-09	1.75959e-09	5.86591e-10	1.85581e-10	5.55242e-11	1.56685e-11	4.16194e-12	1.03906e-12	2.43562e-13	5.35766e-14	1.10586e-14	2.14374e-15	3.91759e-16	6.83363e-17	1.18003e-17	2.19571e-18	4.92345e-19	1.36461e-19	4.21119e-20	1.29618e-20	3.76325e-21	8.12332e-22	1.5045e-22	2.51341e-23	3.87894e-24	5.60177e-25	7.62285e-26	9.80756e-27	1.19453e-27	1.37738e-28	1.50293e-29	1.55128e-30	1.51537e-31	1.40516e-32	1.24874e-33	1.08984e-34	9.83695e-36	9.92843e-37	1.19341e-37	1.74452e-38	3.67282e-39	
N4	0.0930719	0.0963772	0.0973539	0.0959847	0.0923827	0.0867866	0.0795465	0.0710974	0.0619237	0.0525173	0.0433346	0.0347598	0.0270784	0.0204654	0.0150531	0.010771	0.00749528	0.00507227	0.00333916	0.0021405	0.00133898	0.000817181	0.000489723	0.000291678	0.000176212	0.000111174	7.21647e-05	4.82292e-05	3.29913e-05	2.28676e-05	1.58852e-05	1.09526e-05	7.44003e-06	4.95292e-06	3.21971e-06	2.03894e-06	1.25592e-06	7.5183e-07	4.37333e-07	2.47397e-07	1.36425e-07	7.37205e-08	3.94445e-08	2.12905e-08	1.19303e-08	7.17785e-09	4.72172e-09	3.37921e-09	2.5595e-09	1.98623e-09	1.54051e-09	1.07172e-09	6.93326e-10	4.24499e-10	2.48406e-10	1.39752e-10	7.58735e-11	3.98492e-11	2.02813e-11	1.00171e-11	4.80914e-12	2.24976e-12	1.02998e-12	4.65134e-13	2.10123e-13	9.71937e-14	4.76691e-14	2.59444e-14	1.64987e-14	1.29312e-14	1.31028e-14	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0854602	0.0904569	0.0949469	0.0981149	0.099015	0.0968482	0.0912159	0.0822762	0.0707515	0.0577831	0.0446742	0.032604	0.0224048	0.0144622	0.00878735	0.0050206	0.00269516	0.00135865	0.000643009	0.000285772	0.000119425	4.68797e-05	1.74368e-05	6.37566e-06	2.60136e-06	1.47467e-06	7.71302e-07	3.77147e-07	1.74537e-07	7.6768e-08	3.20665e-08	1.2692e-08	4.74974e-09	1.67762e-09	5.58396e-10	1.7492e-10	5.15072e-11	1.42424e-11	3.69527e-12	8.99477e-13	2.05391e-13	4.39958e-14	8.84184e-15	1.66898e-15	2.98266e-16	5.34268e-17	1.2707e-17	6.13805e-18	4.34926e-18	2.93315e-18	1.66871e-18	4.62038e-19	1.03552e-19	2.08517e-20	3.90518e-21	6.8828e-22	1.14582e-22	1.80343e-23	2.68347e-24	3.77327e-25	5.01061e-26	6.27929e-27	7.42148e-28	8.26915e-29	8.69284e-30	8.66362e-31	8.42225e-32	9.1186e-33	1.50829e-33	4.22598e-34	1.95624e-34	
N6	0.0603642	0.0637789	0.066954	0.0697235	0.0718628	0.0731145	0.0732248	0.0719864	0.0692807	0.0651107	0.0596163	0.0530676	0.0458342	0.0383381	0.0311293	0.0245068	0.0186894	0.0137998	0.00986528	0.00683357	0.00459621	0.0030011	0.00191429	0.00120578	0.000762641	0.000495126	0.000324949	0.000215449	0.000143581	9.54236e-05	6.27084e-05	4.04374e-05	2.5432e-05	1.55299e-05	9.17902e-06	5.2405e-06	2.88656e-06	1.53331e-06	7.85799e-07	3.89175e-07	1.86929e-07	8.76624e-08	4.06034e-08	1.89092e-08	9.06223e-09	4.57086e-09	2.44261e-09	1.37212e-09	7.93733e-10	4.62178e-10	2.66046e-10	1.3872e-10	6.71532e-11	3.05784e-11	1.31992e-11	5.42767e-12	2.13337e-12	8.03446e-13	2.90485e-13	1.01007e-13	3.38507e-14	1.09666e-14	3.45092e-15	1.06312e-15	3.24749e-16	1.0028e-16	3.21324e-17	1.10148e-17	4.17338e-18	1.84742e-18	1.15464e-18	
