NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.247112	0.221962	0.180908	0.134693	0.0919758	0.0577072	0.0332734	0.0176161	0.00855237	0.00380193	0.00154565	0.000574054	0.0001946	6.01591e-05	1.69694e-05	4.36531e-06	1.02362e-06	2.18691e-07	4.25519e-08	7.53815e-09	1.21577e-09	1.78304e-10	2.37762e-11	2.8827e-12	3.17821e-13	5.11714e-17	1.54568e-17	4.45446e-18	1.2251e-18	3.2166e-19	8.06621e-20	1.9318e-20	4.42013e-21	9.6662e-22	2.02117e-22	4.0426e-23	7.73785e-24	1.41802e-24	2.48917e-25	4.18755e-26	6.75569e-27	1.04528e-27	1.55183e-28	2.21163e-29	3.02716e-30	3.98117e-31	5.03316e-32	6.11964e-33	7.15935e-34	8.06306e-35	8.74719e-36	9.14191e-37	9.20859e-38	8.94378e-39	8.37923e-40	7.57573e-41	6.61243e-42	5.57436e-43	4.54058e-44	3.57526e-45	2.72293e-46	2.00619e-47	1.43061e-48	9.87992e-50	6.61392e-51	4.29906e-52	2.72348e-53	1.69714e-54	1.06465e-55	7.09805e-57	6.10511e-58	
N2	0.0170664	0.0202291	0.0246144	0.0305251	0.0373174	0.0450482	0.052503	0.0597165	0.0651571	0.0692775	0.070657	0.0704266	0.0674452	0.0633917	0.0573547	0.0511387	0.0438131	0.0370595	0.0300221	0.0240638	0.018405	0.0139536	0.0100428	0.00719484	0.00487383	0.00330227	0.0021082	0.00135308	0.000815026	0.000496012	0.000282634	0.000163004	8.74383e-05	4.75859e-05	2.40276e-05	1.23382e-05	5.86287e-06	2.84006e-06	1.27355e-06	5.83983e-07	2.48076e-07	1.07526e-07	4.30446e-08	1.75825e-08	6.62965e-09	2.55077e-09	9.08247e-10	3.30269e-10	1.11291e-10	3.83481e-11	1.2315e-11	4.02023e-12	1.21544e-12	3.72735e-13	1.06127e-13	3.06271e-14	8.20666e-15	2.23074e-15	5.65724e-16	1.46199e-16	3.54716e-17	8.84968e-18	2.10846e-18	5.24702e-19	1.27715e-19	3.28844e-20	8.48247e-21	2.3105e-21	6.49985e-22	2.13796e-22	1.11569e-22	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.209819	0.207958	0.18235	0.145149	0.103748	0.0682607	0.0405513	0.0223771	0.0111214	0.0051852	0.00216369	0.000862391	0.000303372	0.000105617	3.18245e-05	1.0137e-05	2.69026e-06	8.25416e-07	2.00736e-07	6.21074e-08	1.4717e-08	4.41642e-09	9.47909e-10	2.51453e-10	4.67334e-11	1.06385e-11	1.72691e-12	3.54043e-13	5.35904e-14	1.10594e-14	2.03986e-15	3.91867e-16	5.72823e-17	8.41268e-18	1.01317e-18	1.23838e-19	1.26282e-20	1.37999e-21	1.44472e-22	1.88478e-23	2.57649e-24	2.94097e-25	2.74672e-26	2.3376e-27	1.71296e-28	1.18708e-29	7.41919e-31	4.72696e-32	3.03786e-33	2.34937e-34	2.02666e-35	1.39675e-36	7.99755e-38	4.08921e-39	1.85358e-40	7.76136e-42	2.92831e-43	1.03743e-44	3.34329e-46	1.03351e-47	2.88671e-49	8.04598e-51	1.99031e-52	5.33143e-54	1.19389e-55	3.31403e-57	8.09851e-59	3.26518e-60	1.49669e-61	9.76599e-63	8.41715e-64	
N4	0.147329	0.152995	0.146776	0.133008	0.112606	0.0910039	0.0691758	0.0506618	0.0350281	0.0235774	0.0150154	0.00943763	0.00560548	0.00335287	0.00189095	0.00110727	0.000605902	0.000356981	0.000193736	0.000117506	6.44064e-05	3.99854e-05	2.16938e-05	1.33703e-05	7.0347e-06	4.20931e-06	2.14229e-06	1.25463e-06	6.28513e-07	3.69788e-07	1.94545e-07	1.14924e-07	5.84397e-08	3.23612e-08	1.57118e-08	8.21977e-09	3.80985e-09	1.92448e-09	9.03078e-10	4.76345e-10	2.42943e-10	1.26623e-10	5.96638e-11	2.83066e-11	1.22099e-11	5.31899e-12	2.16267e-12	9.12311e-13	3.72075e-13	1.64163e-13	7.3532e-14	3.21772e-14	1.2921e-14	5.04439e-15	1.82599e-15	6.43311e-16	2.10176e-16	6.71822e-17	2.00274e-17	5.92265e-18	1.62891e-18	4.5496e-19	1.18852e-19	3.31798e-20	8.83668e-21	2.78812e-21	9.41291e-22	4.13366e-22	2.08113e-22	1.38657e-22	1.34582e-22	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.195379	0.19701	0.177951	0.147077	0.109428	0.0750687	0.0463385	0.0266335	0.0136874	0.00666596	0.00286598	0.00121157	0.000437196	0.000167394	5.1355e-05	1.92996e-05	5.10616e-06	2.00812e-06	4.69542e-07	2.03071e-07	5.05188e-08	2.15702e-08	4.78941e-09	1.73847e-09	3.30739e-10	9.99548e-11	1.64997e-11	4.55933e-12	6.82687e-13	2.21686e-13	7.86086e-14	2.11475e-14	3.93393e-15	7.16083e-16	1.07057e-16	1.60195e-17	1.92609e-18	2.40008e-19	2.91588e-20	6.11378e-21	1.85755e-21	2.93399e-22	3.58032e-23	3.89736e-24	3.66527e-25	3.20197e-26	2.4816e-27	1.87954e-28	1.45044e-29	1.85723e-30	3.75037e-31	3.73587e-32	2.90805e-33	1.99332e-34	1.21505e-35	6.78878e-37	3.40985e-38	1.59088e-39	6.72917e-41	2.71021e-42	9.83471e-44	3.66571e-45	1.14479e-46	4.41714e-48	1.17166e-49	5.14655e-51	1.21741e-52	7.30401e-54	3.24191e-55	5.18845e-56	1.18773e-56	
N6	0.0834688	0.0922046	0.0988235	0.103592	0.103751	0.10038	0.0918223	0.0808314	0.0669566	0.0535363	0.0401957	0.0293561	0.0200666	0.0135231	0.00850759	0.00539345	0.00317068	0.00192975	0.00107852	0.000642818	0.000346904	0.000202614	0.000104363	5.85851e-05	2.83969e-05	1.50574e-05	6.8466e-06	3.4384e-06	1.4811e-06	7.14998e-07	3.04138e-07	1.41375e-07	5.64672e-08	2.41737e-08	9.00594e-09	3.56688e-09	1.23872e-09	4.59753e-10	1.54777e-10	5.67135e-11	1.94304e-11	6.80051e-12	2.13407e-12	6.73675e-13	1.91367e-13	5.46396e-14	1.43418e-14	3.8495e-15	9.73441e-16	2.58646e-16	6.73189e-17	1.71759e-17	3.99848e-18	9.05112e-19	1.88293e-19	3.80404e-20	7.05422e-21	1.27495e-21	2.12586e-22	3.49552e-23	5.29079e-24	8.06054e-25	1.1411e-25	1.70251e-26	2.42872e-27	3.98725e-28	6.90077e-29	1.45629e-29	3.35367e-30	9.23492e-31	3.63353e-31	
