NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.232209	0.211546	0.176636	0.135887	0.0966835	0.0637816	0.0390712	0.0222361	0.0117579	0.00577402	0.00263216	0.00111319	0.000436562	0.000158684	5.34419e-05	1.66706e-05	4.81555e-06	1.28788e-06	3.18849e-07	7.30664e-08	1.54969e-08	3.04184e-09	5.52578e-10	9.28995e-11	1.44551e-11	2.08182e-12	2.77547e-13	5.47744e-17	1.8518e-17	6.02508e-18	1.88685e-18	5.68824e-19	1.65102e-19	4.6146e-20	1.24223e-20	3.22141e-21	8.04922e-22	1.9383e-22	4.49937e-23	1.00704e-23	2.1738e-24	4.52668e-25	9.09583e-26	1.76412e-26	3.30334e-27	5.97371e-28	1.04357e-28	1.76163e-29	2.8744e-30	4.53467e-31	6.91893e-32	1.02131e-32	1.4589e-33	2.01732e-34	2.70106e-35	3.50299e-36	4.40167e-37	5.36053e-38	6.32923e-39	7.24765e-40	8.05221e-41	8.68367e-42	9.09544e-43	9.26107e-44	9.18037e-45	8.88423e-46	8.43988e-47	7.9602e-48	7.62411e-49	7.73689e-50	9.9567e-51	
N2	0.024343	0.0274078	0.0314576	0.0366049	0.0423889	0.0487862	0.0545929	0.0599883	0.0639474	0.0663827	0.0667424	0.0657617	0.062448	0.0582428	0.0527345	0.0467178	0.0401938	0.0341535	0.0279649	0.0226563	0.0178152	0.0137659	0.0103062	0.0076727	0.00546579	0.00388037	0.00266035	0.00180025	0.00117304	0.000766368	0.000474194	0.00029491	0.000175685	0.000103874	5.86583e-05	3.34883e-05	1.79008e-05	9.69685e-06	4.9903e-06	2.56425e-06	1.24795e-06	6.18772e-07	2.84749e-07	1.33837e-07	5.93261e-08	2.64136e-08	1.10739e-08	4.76595e-09	1.88921e-09	7.70265e-10	2.94795e-10	1.13996e-10	4.12919e-11	1.54583e-11	5.30599e-12	1.88664e-12	6.27713e-13	2.12444e-13	6.7455e-14	2.23604e-14	6.84154e-15	2.20259e-15	6.78855e-16	2.18352e-16	6.87986e-17	2.32256e-17	7.7714e-18	2.79602e-18	1.05864e-18	4.79259e-19	3.24441e-19	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.201291	0.197539	0.175171	0.142491	0.106164	0.0736152	0.0466776	0.0277244	0.0151802	0.00776812	0.00365711	0.00164437	0.000667899	0.000264035	9.5403e-05	3.38516e-05	1.0838e-05	3.69009e-06	1.06304e-06	3.457e-07	9.51834e-08	2.94609e-08	7.36747e-09	2.26711e-09	5.04586e-10	1.42219e-10	2.97772e-11	7.62726e-12	1.40454e-12	3.4193e-13	5.58366e-14	1.23803e-14	1.88639e-15	3.72201e-16	5.10433e-17	1.00066e-17	1.19772e-18	2.06609e-19	2.43761e-20	3.93558e-21	4.05148e-22	6.25621e-23	5.86968e-24	8.50851e-25	7.57344e-26	9.42059e-27	7.7446e-28	1.0122e-28	7.0625e-30	7.73567e-31	5.48532e-32	5.7913e-33	3.49555e-34	3.40911e-35	1.91855e-36	1.79651e-37	9.30803e-39	7.28276e-40	3.58569e-41	3.00412e-42	1.24187e-43	8.58267e-45	3.71103e-46	2.54631e-47	9.27021e-49	5.82213e-50	2.13818e-51	1.45924e-52	7.41161e-54	7.03063e-55	9.57029e-56	
N4	0.144739	0.14745	0.140682	0.127429	0.109401	0.090301	0.0706316	0.0534637	0.0387407	0.0271652	0.0182844	0.0121139	0.00764281	0.00480075	0.00290981	0.0017581	0.00102388	0.000617355	0.000349405	0.000209377	0.0001193	7.13542e-05	3.99174e-05	2.45756e-05	1.3385e-05	8.14033e-06	4.4528e-06	2.6545e-06	1.39865e-06	8.43158e-07	4.27443e-07	2.51214e-07	1.27018e-07	7.22706e-08	3.52538e-08	2.03925e-08	9.5215e-09	5.31048e-09	2.50373e-09	1.3594e-09	6.13805e-10	3.35947e-10	1.46116e-10	7.76871e-11	3.38738e-11	1.71987e-11	7.23283e-12	3.76196e-12	1.49865e-12	7.39332e-13	2.98805e-13	1.43372e-13	5.48645e-14	2.63265e-14	9.69245e-15	4.5124e-15	1.65215e-15	7.27135e-16	2.57591e-16	1.16735e-16	3.88991e-17	1.66104e-17	5.69939e-18	2.40664e-18	8.03426e-19	3.57214e-19	1.34296e-19	7.17132e-20	4.0481e-20	3.35494e-20	3.81769e-20	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.188419	0.187375	0.170182	0.142868	0.11031	0.0795	0.05233	0.0323242	0.0183551	0.00976873	0.00475537	0.00224371	0.000938355	0.000394982	0.000147929	5.74847e-05	1.89144e-05	7.57021e-06	2.18851e-06	8.87387e-07	2.45104e-07	9.7755e-08	2.35979e-08	1.00731e-08	2.07205e-09	8.22071e-10	1.63164e-10	6.02694e-11	1.01617e-11	3.70087e-12	5.53918e-13	1.90661e-13	2.70268e-14	7.84533e-15	1.01914e-15	3.36477e-16	3.54449e-17	9.2567e-18	1.09082e-18	2.98177e-19	2.71189e-20	6.6577e-21	5.89823e-22	1.58332e-22	1.26417e-23	2.34082e-24	1.91643e-25	5.14399e-26	2.95452e-27	4.99413e-28	3.69591e-29	7.92241e-30	4.00147e-31	6.53008e-32	3.61963e-33	7.48023e-34	3.30717e-35	4.02375e-36	2.06862e-37	4.10114e-38	1.3808e-39	1.54832e-40	7.46196e-42	1.18794e-42	3.59708e-44	3.88209e-45	1.36651e-46	2.02537e-47	7.45093e-49	1.17775e-49	3.34945e-50	
N6	0.0769583	0.0832202	0.0885507	0.092768	0.0943669	0.093569	0.0884967	0.0810328	0.0708342	0.0595521	0.0477191	0.0372251	0.0274197	0.0198094	0.0136591	0.00922296	0.00593649	0.00385609	0.00233635	0.00145281	0.000853865	0.000510881	0.000285592	0.000169246	8.9543e-05	5.08536e-05	2.61907e-05	1.41675e-05	6.84877e-06	3.62944e-06	1.64387e-06	8.25182e-07	3.61656e-07	1.71064e-07	7.03433e-08	3.26752e-08	1.25402e-08	5.47471e-09	2.05145e-09	8.46939e-10	2.96608e-10	1.19731e-10	3.9335e-11	1.50011e-11	4.79984e-12	1.71074e-12	5.1435e-13	1.81411e-13	5.06644e-14	1.66331e-14	4.56694e-15	1.41852e-15	3.61929e-16	1.09711e-16	2.62792e-17	7.52706e-18	1.75238e-18	4.66717e-19	1.02529e-19	2.7205e-20	5.53959e-21	1.36694e-21	2.78606e-22	6.64531e-23	1.30939e-23	3.24607e-24	7.04743e-25	2.00818e-25	5.89121e-26	2.2491e-26	1.22806e-26	
