NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	2.43305e-025	4.44404e-023	3.72958e-021	7.94872e-020	8.32997e-019	6.08328e-018	3.22961e-017	1.09833e-016	4.50057e-013	3.17725e-012	1.89908e-011	1.11764e-010	5.94508e-010	2.37184e-009	6.80261e-009	1.55904e-008	3.4131e-008	7.86681e-008	1.7377e-007	3.63889e-007	7.53626e-007	1.62043e-006	3.67931e-006	8.55903e-006	1.92094e-005	3.92165e-005	7.01604e-005	0.000108799	0.000147895	0.000181081	0.000207365	0.000232031	0.000265149	0.000320751	0.000418562	0.00053919	0.000686723	0.000870815	0.00111108	0.00144271	0.00192549	0.00265829	0.00380073	0.00560114	0.00842414	0.0127594	0.0191778	0.0281949	0.0400228	0.0542575	0.0696407	0.0840862	0.0950914	0.100457	0.0990236	0.0910789	0.0782351	0.0628594	0.0473413	0.0335076	0.0223578	0.0141147	0.00846576	0.00484596	0.00265982	0.00140623	0.00071908	0.000356935	0.000172607	8.16946e-005	
N2	1.23484e-013	1.20339e-013	3.46369e-013	1.64731e-012	1.07385e-011	7.28055e-011	3.94328e-010	1.7642e-009	7.19239e-009	2.75778e-008	9.38822e-008	2.71394e-007	6.65609e-007	1.43602e-006	2.84013e-006	5.37598e-006	1.00318e-005	1.87569e-005	3.48932e-005	6.35114e-005	0.000110604	0.000182026	0.000281167	0.000409578	0.000566529	0.000754488	0.000979341	0.00125881	0.00162144	0.00212041	0.00283633	0.00390508	0.00553027	0.00802802	0.0118275	0.0174817	0.0255401	0.0363932	0.0499095	0.0652193	0.0804856	0.0932726	0.100997	0.101942	0.0956799	0.0834867	0.0676599	0.0509941	0.0357401	0.0233588	0.0142477	0.00815527	0.00439439	0.00225786	0.00111819	0.000549116	0.000272324	0.000140335	7.42394e-005	3.99826e-005	2.10384e-005	1.07075e-005	5.13203e-006	2.33568e-006	9.97297e-007	4.07374e-007	1.57906e-007	5.94723e-008	2.15221e-008	7.69199e-009	
Kyllinga_bulbosa	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Kyllinga_brevifolia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	6.77435e-024	6.57726e-022	1.10684e-019	5.05735e-018	1.70837e-016	2.92271e-015	2.89998e-014	2.12888e-013	1.53136e-012	9.10014e-012	4.18371e-011	1.57822e-010	5.10033e-010	1.46774e-009	3.96715e-009	1.08723e-008	3.2113e-008	9.7104e-008	2.72649e-007	6.9575e-007	1.62102e-006	3.46648e-006	6.79415e-006	1.21418e-005	1.97132e-005	2.91717e-005	3.98213e-005	5.12139e-005	6.3786e-005	7.93183e-005	0.000101203	0.000134999	0.000189025	0.000275315	0.000410855	0.000602077	0.000879803	0.00129729	0.00193994	0.00294313	0.00450416	0.00689958	0.0104683	0.0155791	0.0225107	0.0313229	0.0416486	0.0526358	0.0629237	0.0709762	0.0753643	0.0753133	0.0707827	0.062652	0.0522303	0.0411243	0.0305856	0.0215939	0.0144646	0.00929337	0.0057363	0.0035969	0.00258039	0.00295881	0.00528182	0.0110069	0.0214306	0.0370953	0.0555251	0.0728326	
Cyperus_capitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.37822e-023	8.17654e-021	1.26546e-018	4.67495e-017	1.54476e-015	1.76046e-014	1.17458e-013	8.8927e-013	7.36858e-012	4.33254e-011	1.7766e-010	5.53672e-010	1.47019e-009	3.72837e-009	1.0186e-008	3.19138e-008	9.93929e-008	2.64397e-007	5.9513e-007	1.16105e-006	1.99768e-006	3.09193e-006	4.4118e-006	5.98623e-006	7.97075e-006	1.07346e-005	1.4976e-005	2.21546e-005	3.55088e-005	6.26236e-005	0.000119959	0.00023967	0.000474853	0.000899842	0.00159773	0.00266439	0.00422322	0.00639358	0.00923954	0.0127259	0.0166661	0.0207339	0.0244906	0.0274952	0.0293771	0.029944	0.0291754	0.0272424	0.0244113	0.0210322	0.0174305	0.0139273	0.010747	0.00808744	0.00604082	0.00472714	0.00421704	0.00473557	0.00653008	0.0101035	0.0158416	0.0241846	0.0348541	0.0473373	0.0601121	0.0722467	0.0823201	0.0906046	0.0962813	0.100352	
Cyperus_esculentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	2.80424e-021	4.25121e-020	4.01968e-018	1.4955e-016	3.81413e-015	4.59125e-014	3.40623e-013	2.36362e-012	1.59711e-011	8.53655e-011	3.39522e-010	1.04835e-009	2.7166e-009	6.50848e-009	1.60252e-008	4.23493e-008	1.11008e-007	2.64818e-007	5.64185e-007	1.08471e-006	1.91716e-006	3.18185e-006	5.05529e-006	7.83761e-006	1.20658e-005	1.87948e-005	3.02469e-005	5.16419e-005	9.55629e-005	0.000190555	0.000392411	0.000790983	0.00149934	0.00261942	0.00419111	0.00624201	0.00869102	0.0113501	0.0139374	0.0161323	0.0176418	0.0182784	0.0179944	0.0168936	0.0151823	0.013123	0.0109617	0.00890279	0.00707605	0.00556283	0.00439463	0.00360454	0.00322445	0.00335324	0.00414361	0.00590055	0.00900112	0.0139655	0.0211194	0.0306445	0.0419761	0.0543597	0.066141	0.0762375	0.0827028	0.0852219	0.0827218	0.0774855	0.0705648	0.0653556	
Cyperus_longus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
