NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.0742852	0.0760723	0.079283	0.0832466	0.0870107	0.0894402	0.0894168	0.086112	0.0792494	0.0692432	0.0571345	0.0443272	0.0322186	0.021868	0.0138984	0.00825645	0.0045782	0.00236703	0.00114016	0.000511342	0.000213427	8.28803e-05	2.99407e-05	1.00626e-05	3.14759e-06	9.17454e-07	2.4819e-07	6.23257e-08	1.45321e-08	3.14682e-09	6.33009e-10	1.18319e-10	2.05555e-11	3.32016e-12	4.98762e-13	1.06775e-16	3.85129e-17	1.34058e-17	4.50481e-18	1.46202e-18	4.587e-19	1.38925e-19	4.06275e-20	1.14752e-20	3.13129e-21	8.25707e-22	2.10471e-22	5.18737e-23	1.23658e-23	2.85196e-24	6.3658e-25	1.37561e-25	2.87889e-26	5.83752e-27	1.14745e-27	2.18865e-28	4.04654e-29	7.25409e-30	1.26126e-30	2.12759e-31	3.48323e-32	5.537e-33	8.551e-34	1.28411e-34	1.87811e-35	2.68323e-36	3.76602e-37	5.24946e-38	7.41134e-39	1.09883e-39	2.07025e-40	
N2	0.0145716	0.0158314	0.017764	0.0204167	0.023813	0.0279325	0.0326911	0.0379255	0.0433881	0.0487548	0.0536491	0.0576794	0.0604863	0.0617903	0.0616777	0.0601202	0.0571043	0.0528302	0.0475952	0.0417542	0.0356754	0.0296992	0.0241052	0.0190935	0.0147793	0.0111998	0.0082926	0.00601182	0.00427807	0.00299693	0.00207338	0.00140904	0.000941111	0.00061801	0.000399115	0.00025353	0.000158446	9.74512e-05	5.90167e-05	3.52221e-05	2.07437e-05	1.20225e-05	6.86241e-06	3.86087e-06	2.1427e-06	1.17375e-06	6.25966e-07	3.24935e-07	1.64165e-07	8.07287e-08	3.86465e-08	1.8016e-08	8.18244e-09	3.62325e-09	1.56606e-09	6.61994e-10	2.73155e-10	1.10186e-10	4.35348e-11	1.68883e-11	6.45105e-12	2.43466e-12	9.11289e-13	3.39646e-13	1.26556e-13	4.73381e-14	1.78769e-14	6.904e-15	2.82612e-15	1.34827e-15	9.09326e-16	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.0662029	0.0705683	0.0761077	0.0821398	0.0876358	0.0913669	0.0921467	0.0891377	0.0821279	0.071661	0.0589407	0.0455238	0.032916	0.0222239	0.0140461	0.00830871	0.00458798	0.00236409	0.00113686	0.000510556	0.000214439	8.44408e-05	3.12919e-05	1.09735e-05	3.67014e-06	1.18389e-06	3.72595e-07	1.17046e-07	3.80788e-08	1.34565e-08	5.32529e-09	1.96504e-09	6.78637e-10	2.20745e-10	6.79906e-11	1.98867e-11	5.52561e-12	1.45643e-12	3.6349e-13	8.58434e-14	1.92421e-14	4.11657e-15	8.56015e-16	1.78403e-16	3.86217e-17	8.85372e-18	1.78671e-18	3.29491e-19	5.66831e-20	9.2066e-21	1.42056e-21	2.08631e-22	2.91411e-23	3.8627e-24	4.84688e-25	5.74806e-26	6.41536e-27	6.72932e-28	6.62916e-29	6.13324e-30	5.33177e-31	4.3583e-32	3.36281e-33	2.48077e-34	1.81569e-35	1.436e-36	1.37817e-37	1.64958e-38	2.24868e-39	3.29788e-40	6.29191e-41	
N4	0.0828167	0.0854617	0.0869724	0.0871906	0.0859605	0.0831738	0.0788121	0.0729783	0.0659049	0.0579389	0.049504	0.0410483	0.0329898	0.0256692	0.0194032	0.0142517	0.0101541	0.00701877	0.00470936	0.00307027	0.00194802	0.00120564	0.000730273	0.000434875	0.000256183	0.000150565	8.88884e-05	5.3424e-05	3.32301e-05	2.17582e-05	1.51792e-05	1.06394e-05	7.43351e-06	5.14836e-06	3.52113e-06	2.37169e-06	1.57022e-06	1.02069e-06	6.5132e-07	4.08569e-07	2.52837e-07	1.54629e-07	9.4208e-08	5.77736e-08	3.60566e-08	2.30915e-08	1.42629e-08	8.55344e-09	5.001e-09	2.85733e-09	1.59674e-09	8.72579e-10	4.65923e-10	2.42823e-10	1.23402e-10	6.11301e-11	2.93932e-11	1.37099e-11	6.20352e-12	2.72611e-12	1.1667e-12	4.89048e-13	2.03062e-13	8.5222e-14	3.72886e-14	1.76525e-14	9.31407e-15	5.55297e-15	3.78685e-15	3.06707e-15	3.15363e-15	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.0611831	0.0656555	0.0716398	0.0784391	0.0849787	0.0899503	0.0920557	0.0903171	0.0843713	0.0746314	0.062228	0.0487269	0.0357221	0.0244581	0.015685	0.00943525	0.00530044	0.00278126	0.00136451	0.000627151	0.000270924	0.000110551	4.29086e-05	1.59842e-05	5.7736e-06	2.04343e-06	7.12986e-07	2.49956e-07	9.45798e-08	4.59504e-08	3.13072e-08	1.49722e-08	6.18338e-09	2.35445e-09	8.4511e-10	2.87446e-10	9.25665e-11	2.81519e-11	8.06425e-12	2.1714e-12	5.49589e-13	1.30977e-13	3.01782e-14	7.42835e-15	2.36751e-15	1.00853e-15	2.74693e-16	6.3635e-17	1.35571e-17	2.72465e-18	5.19783e-19	9.4087e-20	1.61243e-20	2.60993e-21	3.98195e-22	5.72173e-23	7.71637e-24	9.7583e-25	1.15701e-25	1.28803e-26	1.34946e-27	1.32797e-28	1.22794e-29	1.06949e-30	8.83044e-32	7.11218e-33	6.51836e-34	1.0443e-34	3.04174e-35	1.03366e-35	4.51997e-36	
N6	0.0520228	0.0546759	0.057643	0.0607907	0.0638968	0.0666613	0.0687312	0.0697421	0.0693736	0.0674077	0.0637794	0.0586045	0.0521755	0.0449227	0.0375072	0.0303565	0.0237504	0.0179552	0.0131163	0.00926292	0.00633054	0.00419394	0.00270016	0.00169562	0.00104402	0.000634992	0.000383734	0.000233215	0.000144594	9.27109e-05	6.19815e-05	4.09584e-05	2.65542e-05	1.68015e-05	1.03395e-05	6.176e-06	3.57741e-06	2.00974e-06	1.09646e-06	5.82617e-07	3.03015e-07	1.54687e-07	7.81172e-08	3.93637e-08	1.99437e-08	1.02029e-08	4.97792e-09	2.32699e-09	1.04538e-09	4.52174e-10	1.88519e-10	7.57944e-11	2.93901e-11	1.09909e-11	3.96432e-12	1.38011e-12	4.62347e-13	1.49091e-13	4.63187e-14	1.38907e-14	4.03562e-15	1.14295e-15	3.19049e-16	8.93489e-17	2.57292e-17	7.82793e-18	2.56753e-18	9.14352e-19	3.54504e-19	1.54878e-19	9.29582e-20	
