NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.207886	0.193307	0.167706	0.136106	0.103488	0.073773	0.0493142	0.0308989	0.0181373	0.00996502	0.0051206	0.00245867	0.00110231	0.000461116	0.000179885	6.54109e-05	2.2164e-05	6.99654e-06	2.05738e-06	5.63525e-07	1.4378e-07	3.41742e-08	7.56775e-09	1.56157e-09	3.00304e-10	5.38325e-11	8.99716e-12	1.40227e-12	2.03859e-13	5.1669e-17	1.83825e-17	6.31868e-18	2.09872e-18	6.73679e-19	2.09018e-19	6.26929e-20	1.81813e-20	5.09894e-21	1.38312e-21	3.62948e-22	9.21548e-23	2.26447e-23	5.38618e-24	1.24036e-24	2.7661e-25	5.97491e-26	1.25037e-26	2.53564e-27	4.98401e-28	9.49762e-29	1.75509e-29	3.14582e-30	5.4705e-31	9.23175e-32	1.51222e-32	2.40508e-33	3.71487e-34	5.57417e-35	8.12768e-36	1.152e-36	1.58783e-37	2.12938e-38	2.78041e-39	3.53884e-40	4.39885e-41	5.35841e-42	6.43769e-43	7.71889e-44	9.43055e-45	1.2168e-45	1.9874e-46	
N2	0.0253204	0.0281653	0.0318624	0.0363739	0.0415737	0.0472938	0.0526621	0.0576668	0.0617192	0.0642278	0.0651367	0.0646182	0.062016	0.0582519	0.0533803	0.0475601	0.0413703	0.0353486	0.0292388	0.0237862	0.0189349	0.0146854	0.0111455	0.0083518	0.00604599	0.00432648	0.0030331	0.00207272	0.00138663	0.00092089	0.000587647	0.000372703	0.000231342	0.000140007	8.2826e-05	4.89141e-05	2.75424e-05	1.55019e-05	8.5164e-06	4.56475e-06	2.38417e-06	1.24959e-06	6.19851e-07	3.09055e-07	1.49882e-07	7.10106e-08	3.26803e-08	1.51758e-08	6.62605e-09	2.92309e-09	1.25009e-09	5.23791e-10	2.12576e-10	8.75211e-11	3.36997e-11	1.31874e-11	4.99614e-12	1.86277e-12	6.73228e-13	2.48898e-13	8.65099e-14	3.09958e-14	1.09252e-14	3.88521e-15	1.38527e-15	5.2147e-16	1.9651e-16	7.97658e-17	3.5026e-17	1.84819e-17	1.41147e-17	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.177129	0.177021	0.163419	0.140087	0.112014	0.0840032	0.0583801	0.0381066	0.0232607	0.0132169	0.00701894	0.00352559	0.00162874	0.000715939	0.000295515	0.000114334	4.15865e-05	1.49629e-05	4.83218e-06	1.58998e-06	4.94214e-07	1.50589e-07	4.27206e-08	1.33129e-08	3.39953e-09	9.8643e-10	2.50838e-10	6.6129e-11	1.489e-11	3.96391e-12	7.85917e-13	1.89266e-13	3.67454e-14	7.8901e-15	1.36139e-15	2.96735e-16	4.4732e-17	8.65238e-18	1.31439e-18	2.28756e-19	3.06989e-20	5.42797e-21	6.41481e-22	1.02028e-22	1.23593e-23	1.71404e-24	1.84001e-25	2.72909e-26	2.53337e-27	3.24302e-28	3.15517e-29	3.65407e-30	3.08819e-31	3.70687e-32	2.75645e-33	2.9543e-34	2.24473e-35	2.07938e-36	1.42529e-37	1.43266e-38	8.33237e-40	7.12512e-41	4.47034e-42	3.50995e-43	1.8775e-44	1.5227e-45	7.80475e-47	6.46143e-48	4.68352e-49	5.484e-50	9.62782e-51	
N4	0.131959	0.135237	0.131258	0.121362	0.107489	0.091759	0.0748117	0.0590209	0.0449655	0.0329951	0.0234408	0.0162695	0.010837	0.00708716	0.00452208	0.00280576	0.00170324	0.00103543	0.000602287	0.000354868	0.000206413	0.000118817	6.74072e-05	3.99424e-05	2.2069e-05	1.28973e-05	7.33733e-06	4.19519e-06	2.31068e-06	1.37342e-06	7.2751e-07	4.20446e-07	2.28462e-07	1.27402e-07	6.6452e-08	3.85023e-08	1.91365e-08	1.06652e-08	5.4686e-09	2.93182e-09	1.43629e-09	7.98406e-10	3.72251e-10	1.9876e-10	9.6058e-11	4.88177e-11	2.24589e-11	1.1952e-11	5.21021e-12	2.63428e-12	1.19401e-12	5.75972e-13	2.47663e-13	1.24859e-13	5.07345e-14	2.42879e-14	1.02645e-14	4.65485e-15	1.87133e-15	8.92587e-16	3.37161e-16	1.52105e-16	6.08271e-17	2.64842e-17	1.02825e-17	4.95512e-18	2.1015e-18	1.19404e-18	7.60793e-19	6.69849e-19	7.94514e-19	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.164489	0.166388	0.157052	0.138667	0.114736	0.0892875	0.0643793	0.0436166	0.02761	0.0162465	0.00892209	0.00465652	0.00221691	0.00101497	0.000435792	0.00017644	6.66841e-05	2.62052e-05	8.69782e-06	3.21444e-06	1.0674e-06	3.72602e-07	1.09982e-07	4.32019e-08	1.09025e-08	4.07066e-09	1.06983e-09	3.60965e-10	8.01089e-11	2.97451e-11	5.62525e-12	1.90453e-12	3.68401e-13	1.0815e-13	1.82397e-14	6.01208e-15	8.41046e-16	2.33765e-16	3.64168e-17	9.16455e-18	1.18764e-18	3.22604e-19	3.591e-20	8.91448e-21	1.10422e-21	2.13197e-22	2.29984e-23	5.98009e-24	4.97443e-25	9.47601e-26	1.00095e-26	1.88234e-27	1.48776e-28	2.98925e-29	2.11343e-30	4.05873e-31	3.02467e-32	4.1039e-33	2.95125e-34	5.96764e-35	3.00722e-36	4.0089e-37	2.88312e-38	4.14372e-39	1.99792e-40	2.77235e-41	1.34152e-42	2.0258e-43	1.2103e-44	2.1582e-45	7.32839e-46	
N6	0.0636279	0.0691241	0.0747079	0.0798393	0.0838452	0.0861881	0.0852817	0.0818108	0.0756306	0.0670209	0.0571097	0.0471261	0.0370056	0.028217	0.0207643	0.0146894	0.0100468	0.00677145	0.00432629	0.00274694	0.00169844	0.00102221	0.000598652	0.000356947	0.000198009	0.000112968	6.23095e-05	3.385e-05	1.76428e-05	9.62648e-06	4.71605e-06	2.43974e-06	1.18913e-06	5.79622e-07	2.64928e-07	1.29816e-07	5.5315e-08	2.5472e-08	1.08472e-08	4.69255e-09	1.86684e-09	8.11138e-10	3.0055e-10	1.22595e-10	4.56004e-11	1.73458e-11	6.01251e-12	2.3151e-12	7.45767e-13	2.67631e-13	8.68261e-14	2.9102e-14	8.78752e-15	2.98371e-15	8.35582e-16	2.64197e-16	7.47282e-17	2.1989e-17	5.80092e-18	1.73865e-18	4.24638e-19	1.18603e-19	2.97724e-20	7.89296e-21	1.90451e-21	5.44982e-22	1.40411e-22	4.53015e-23	1.57444e-23	6.88222e-24	4.35838e-24	
