NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.015917	0.0171819	0.0197869	0.0238984	0.0297008	0.0372886	0.0465311	0.0569425	0.0676096	0.0772403	0.0843647	0.0876631	0.0863262	0.0803161	0.0707094	0.0587873	0.0460825	0.034017	0.0236232	0.0154215	0.0094581	0.00544742	0.00294572	0.00149563	0.000713325	0.00031839	0.000132976	5.19589e-05	1.89908e-05	6.49171e-06	2.07515e-06	6.20263e-07	1.73346e-07	4.52967e-08	1.10676e-08	2.52887e-09	5.40472e-10	1.08079e-10	2.02352e-11	3.552e-12	5.83036e-13	1.37521e-16	5.21175e-17	1.91062e-17	6.7763e-18	2.32535e-18	7.72167e-19	2.48146e-19	7.71836e-20	2.32388e-20	6.77372e-21	1.91175e-21	5.2253e-22	1.3836e-22	3.55206e-23	8.83251e-24	2.12758e-24	4.96532e-25	1.12288e-25	2.46102e-26	5.22837e-27	1.0769e-27	2.15112e-28	4.16926e-29	7.84964e-30	1.43976e-30	2.5928e-31	4.68451e-32	9.06808e-33	2.49285e-33	
N2	0.00484427	0.00542026	0.00638171	0.00780786	0.00979742	0.01246	0.0159005	0.0201972	0.025372	0.0313601	0.0379821	0.0449291	0.0517681	0.0579746	0.0631793	0.0668998	0.068689	0.0683201	0.0657826	0.0612892	0.0552429	0.0481734	0.0406551	0.0332272	0.0263293	0.0201963	0.0150252	0.0108711	0.00767891	0.00532401	0.00364922	0.00246707	0.00165073	0.00109624	0.000723884	0.000475625	0.000310819	0.000201777	0.00012993	8.28862e-05	5.21717e-05	3.23827e-05	1.98261e-05	1.19865e-05	7.16846e-06	4.24908e-06	2.44005e-06	1.35893e-06	7.34726e-07	3.85988e-07	1.97179e-07	9.80047e-08	4.74189e-08	2.23471e-08	1.02672e-08	4.58896e-09	1.99635e-09	8.46186e-10	3.50088e-10	1.41784e-10	5.64515e-11	2.22278e-11	8.72222e-12	3.44187e-12	1.37929e-12	5.67288e-13	2.42933e-13	1.11497e-13	5.89858e-14	4.26455e-14	
N3	0.00262318	0.00301087	0.00371007	0.00481137	0.00643621	0.00872909	0.011842	0.0159097	0.0210153	0.0271518	0.0341834	0.041821	0.0496181	0.0569991	0.0635071	0.0685481	0.0715833	0.0722771	0.0705294	0.0664961	0.0605637	0.0532854	0.0452929	0.0372036	0.0295432	0.0226187	0.0166999	0.0118935	0.00817286	0.00542073	0.00347161	0.00214648	0.00128177	0.00073954	0.000412471	0.000222512	0.000116184	5.87686e-05	2.88301e-05	1.37386e-05	6.34957e-06	2.84895e-06	1.24234e-06	5.27169e-07	2.17972e-07	8.79507e-08	3.46184e-08	1.33062e-08	4.99947e-09	1.838e-09	6.61819e-10	2.33623e-10	8.09274e-11	2.75397e-11	9.22133e-12	3.03345e-12	9.81057e-13	3.12146e-13	9.77687e-14	3.0162e-14	9.16889e-15	2.7471e-15	8.11255e-16	2.36114e-16	6.7727e-17	1.91651e-17	5.38108e-18	1.53746e-18	4.92936e-19	2.38239e-19	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.000669308	0.000767389	0.000946263	0.00123544	0.00168051	0.00234718	0.00332509	0.00472981	0.00670077	0.00939249	0.0129565	0.0175128	0.0231126	0.0296967	0.0371652	0.0452037	0.0532918	0.0608084	0.0670803	0.0714794	0.0735278	0.0729849	0.0698964	0.0645892	0.0576153	0.0494953	0.0409881	0.0327667	0.0253397	0.0190161	0.013911	0.00989254	0.00685364	0.0046367	0.00307033	0.00199442	0.00127341	0.000800559	0.00049632	0.000303928	0.000183551	0.0001095	6.46811e-05	3.79508e-05	2.21985e-05	1.29867e-05	7.32246e-06	3.98084e-06	2.08821e-06	1.05791e-06	5.18077e-07	2.45467e-07	1.12615e-07	5.0069e-08	2.15982e-08	9.02092e-09	3.64976e-09	1.43157e-09	5.45236e-10	2.02226e-10	7.3399e-11	2.62682e-11	9.36958e-12	3.37452e-12	1.2428e-12	4.72502e-13	1.87068e-13	7.9086e-14	3.89499e-14	2.75594e-14	
N5	0.00019639	0.000223032	0.000270786	0.000347677	0.000466454	0.000646245	0.000914674	0.00131034	0.00188536	0.00270755	0.00386135	0.00544656	0.00757351	0.0103532	0.0139193	0.018359	0.0236999	0.0298902	0.0367708	0.0440614	0.0513634	0.0581863	0.0639969	0.0682889	0.0706581	0.0706549	0.068269	0.0637344	0.057493	0.0501246	0.0422577	0.0344466	0.0271699	0.0207572	0.0153811	0.0110748	0.00776624	0.00531953	0.0035714	0.00235983	0.00153625	0.000988978	0.000631654	0.000401297	0.000254049	0.000160419	0.000100091	6.15523e-05	3.72196e-05	2.20851e-05	1.28395e-05	7.3055e-06	4.06585e-06	2.21313e-06	1.17881e-06	6.12998e-07	3.11412e-07	1.54737e-07	7.53551e-08	3.60785e-08	1.70581e-08	8.01065e-09	3.76218e-09	1.77987e-09	8.54186e-10	4.18899e-10	2.12286e-10	1.14023e-10	6.92829e-11	5.51658e-11	
N6	0.000147583	0.000160737	0.000180074	0.000206514	0.000241523	0.000287401	0.000347681	0.000427632	0.000534831	0.000679779	0.000876507	0.00114313	0.00150215	0.00198027	0.00260969	0.00342217	0.00444627	0.00570375	0.00720449	0.00894318	0.0108993	0.0130416	0.0153379	0.0177677	0.0203358	0.0230517	0.0259777	0.0291971	0.0327875	0.0367839	0.0411404	0.0456923	0.0501588	0.0541579	0.0572571	0.0590468	0.0592206	0.0576427	0.0543826	0.0497072	0.0438969	0.0374741	0.0309548	0.024776	0.0192495	0.014549	0.0107098	0.00769311	0.00540203	0.00371338	0.00250143	0.00165226	0.00107047	0.000680359	0.000424336	0.000259012	0.000154755	9.05533e-05	5.19339e-05	2.92243e-05	1.61546e-05	8.78284e-06	4.70251e-06	2.48391e-06	1.29833e-06	6.75838e-07	3.553e-07	1.9468e-07	1.19317e-07	9.37673e-08	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	2.84515e-08	4.7759e-08	7.99828e-08	1.01398e-07	9.79233e-08	9.79531e-08	2.60778e-07	1.14645e-06	3.90861e-06	9.02858e-06	1.39109e-05	1.4306e-05	9.81645e-06	4.49058e-06	1.41179e-06	4.0491e-07	2.90146e-07	4.17213e-07	8.54942e-07	5.15027e-06	4.33924e-05	0.000291731	0.00141676	0.00476397	0.010779	0.0162793	0.0165234	0.0118693	0.00947137	0.0197763	0.0536075	0.112854	0.175743	0.203357	0.175283	0.112114	0.0526757	0.0179053	0.00433448	0.000743704	9.20372e-05	8.47168e-06	5.98262e-07	3.33172e-08	1.49777e-09	5.54297e-11	1.7168e-12	4.51326e-14	1.0193e-15	1.9986e-17	3.43372e-19	5.21176e-21	7.04026e-23	8.52113e-25	9.30032e-27	9.19454e-29	8.27796e-31	6.82228e-33	5.17333e-35	3.62816e-37	2.3658e-39	1.44218e-41	8.26518e-44	4.47842e-46	2.30662e-48	1.13469e-50	5.35127e-53	2.42531e-55	1.05797e-57	5.02135e-60	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	5.51304e-07	4.9906e-07	4.56462e-07	4.86081e-07	6.5996e-07	1.08849e-06	1.93974e-06	3.44338e-06	5.87716e-06	9.57942e-06	1.51865e-05	2.47122e-05	4.49925e-05	9.69089e-05	0.000237436	0.000604111	0.00149229	0.0034606	0.00742127	0.0146143	0.0263268	0.0432798	0.0648152	0.0883055	0.109336	0.122582	0.124423	0.114335	0.0951325	0.0716947	0.0489628	0.030317	0.0170332	0.00869191	0.00403311	0.00170389	0.000656408	0.000230985	7.43937e-05	2.19852e-05	5.95982e-06	1.48495e-06	3.40777e-07	7.21859e-08	1.41468e-08	2.57123e-09	4.34256e-10	6.83129e-11	1.00334e-11	1.37915e-12	1.77836e-13	2.15622e-14	2.46411e-15	2.66079e-16	2.72286e-17	2.64216e-18	2.43758e-19	2.14446e-20	1.80501e-21	1.45883e-22	1.13629e-23	8.5587e-25	6.25065e-26	4.4337e-27	3.05646e-28	2.04894e-29	1.34031e-30	8.68507e-32	5.85265e-33	4.9839e-34	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.63159e-08	1.5398e-08	1.59703e-08	2.06076e-08	3.29139e-08	5.92268e-08	1.10951e-07	2.08642e-07	3.91297e-07	7.45122e-07	1.51007e-06	3.48208e-06	9.42943e-06	2.86216e-05	8.99384e-05	0.000274649	0.000786908	0.00207749	0.00500461	0.0109358	0.0215902	0.0384025	0.0614084	0.0881317	0.113365	0.130184	0.133424	0.122032	0.0996166	0.0726	0.0472583	0.0274919	0.0143034	0.00666169	0.00278044	0.00104132	0.000350466	0.000106181	2.90186e-05	7.17261e-06	1.60306e-06	3.2462e-07	5.97008e-08	9.99976e-09	1.53078e-09	2.15111e-10	2.78939e-11	3.36165e-12	3.80087e-13	4.08027e-14	4.21649e-15	4.25064e-16	4.21887e-17	4.13105e-18	3.97058e-19	3.70141e-20	3.31153e-21	2.82035e-22	2.2755e-23	1.73601e-24	1.25282e-25	8.56734e-27	5.5649e-28	3.4431e-29	2.04095e-30	1.18673e-31	7.42037e-33	6.09769e-34	7.23848e-35	1.2114e-35	
