NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.14987	0.145229	0.136398	0.123895	0.108483	0.0912363	0.0734481	0.0564242	0.0412545	0.0286434	0.0188494	0.011738	0.00690715	0.00383599	0.00200834	0.000990198	0.000459314	0.000200265	8.20047e-005	3.15123e-005	1.13561e-005	3.83552e-006	1.21348e-006	3.59465e-007	9.96629e-008	2.58537e-008	6.27356e-009	1.42369e-009	3.02104e-010	5.99356e-011	1.11164e-011	1.92742e-012	3.12397e-013	7.67278e-017	2.88769e-017	1.05082e-017	3.6975e-018	1.25808e-018	4.13955e-019	1.31726e-019	4.05417e-020	1.20691e-020	3.47561e-021	9.68309e-022	2.61017e-022	6.80833e-023	1.71863e-023	4.19898e-024	9.93072e-025	2.27378e-025	5.04088e-026	1.08221e-026	2.25024e-027	4.5323e-028	8.84395e-029	1.67215e-029	3.06391e-030	5.44145e-031	9.3683e-032	1.56383e-032	2.53148e-033	3.9747e-034	6.05465e-035	8.9518e-036	1.28574e-036	1.79824e-037	2.46603e-038	3.38677e-039	4.98713e-040	1.06889e-040	
N2	0.0262772	0.0306594	0.0364977	0.0436627	0.0513819	0.059169	0.0659302	0.0712699	0.0742266	0.0749278	0.0728611	0.068783	0.0625947	0.0554238	0.0473203	0.0394025	0.0316218	0.0248209	0.0187596	0.0139253	0.00994047	0.00701226	0.00474954	0.00320633	0.00207299	0.00135001	0.000838548	0.000530728	0.000318177	0.000196452	0.000113857	6.85667e-005	3.8331e-005	2.24176e-005	1.20455e-005	6.81047e-006	3.50196e-006	1.90456e-006	9.35089e-007	4.88256e-007	2.28388e-007	1.14223e-007	5.09382e-008	2.4432e-008	1.03817e-008	4.77011e-009	1.9363e-009	8.54863e-010	3.31358e-010	1.40342e-010	5.21309e-011	2.12658e-011	7.5599e-012	2.96115e-012	1.01164e-012	3.82334e-013	1.25202e-013	4.54601e-014	1.43595e-014	5.0522e-015	1.54232e-015	5.27612e-016	1.59912e-016	5.51798e-017	1.74887e-017	6.47233e-018	2.39554e-018	1.07009e-018	5.51282e-019	4.3222e-019	
N3	0.00586103	0.00708963	0.00903267	0.0118775	0.0156962	0.0206195	0.0265307	0.0333812	0.0407502	0.0483922	0.0556187	0.0621169	0.0671118	0.0704349	0.0714725	0.0704002	0.066972	0.0617781	0.0549664	0.0473764	0.039342	0.0316302	0.0244813	0.0183428	0.0132243	0.00923227	0.00620031	0.00403496	0.00252574	0.00153355	0.00089564	0.000508057	0.000277229	0.000147175	7.51639e-005	3.74218e-005	1.79237e-005	8.38814e-006	3.7763e-006	1.66536e-006	7.06299e-007	2.94218e-007	1.17809e-007	4.64579e-008	1.75954e-008	6.58e-009	2.3607e-009	8.38272e-010	2.85172e-010	9.62313e-011	3.10679e-011	9.97059e-012	3.05753e-012	9.34159e-013	2.72598e-013	7.94812e-014	2.21526e-014	6.19398e-015	1.66152e-015	4.4976e-016	1.17654e-016	3.12935e-017	8.13391e-018	2.16369e-018	5.68742e-019	1.53269e-019	4.1342e-020	1.17202e-020	3.78701e-021	1.94207e-021	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00408929	0.00513826	0.00695727	0.00979401	0.0138086	0.0191922	0.0258468	0.0336951	0.0421727	0.0509222	0.0589817	0.066004	0.0709488	0.0738756	0.0739782	0.0719327	0.0672726	0.0612101	0.0535146	0.0456163	0.0372977	0.0298273	0.0228332	0.0171816	0.0123448	0.00878271	0.0059473	0.0040272	0.00258323	0.00167652	0.00102387	0.000640663	0.000373667	0.000225945	0.000125957	7.35412e-005	3.90945e-005	2.19433e-005	1.1092e-005	5.96043e-006	2.85366e-006	1.46057e-006	6.61054e-007	3.21595e-007	1.37246e-007	6.32618e-008	2.54647e-008	1.11291e-008	4.21914e-009	1.74471e-009	6.24227e-010	2.44927e-010	8.25992e-011	3.06882e-011	9.78895e-012	3.45953e-012	1.04214e-012	3.49409e-013	9.9968e-014	3.20489e-014	8.72222e-015	2.6811e-015	7.10869e-016	2.16819e-016	5.90216e-017	1.90216e-017	5.99564e-018	2.31036e-018	1.03785e-018	7.65968e-019	
N5	0.000473043	0.000618634	0.000898946	0.00138747	0.00217806	0.003408	0.00521529	0.00777754	0.0112095	0.0156514	0.0210723	0.0274768	0.034565	0.0421526	0.0496228	0.0566746	0.0624892	0.066897	0.069146	0.0694913	0.0674606	0.063818	0.058345	0.052123	0.0449947	0.0380715	0.0310954	0.0249915	0.0193524	0.0148284	0.0109204	0.00802121	0.00564363	0.00400049	0.00270324	0.00186074	0.001212	0.000812272	0.000510269	0.000332368	0.000200709	0.000126323	7.2969e-005	4.40912e-005	2.42307e-005	1.39701e-005	7.27726e-006	3.9889e-006	1.96378e-006	1.02044e-006	4.74389e-007	2.33616e-007	1.02459e-007	4.77811e-008	1.97914e-008	8.7559e-009	3.42644e-009	1.43907e-009	5.34126e-010	2.14217e-010	7.59272e-011	2.9396e-011	1.02153e-011	3.96664e-012	1.44141e-012	6.07237e-013	2.60017e-013	1.34092e-013	8.00941e-014	6.96281e-014	
N6	2.93016e-006	4.21306e-006	7.127e-006	1.31209e-005	2.47585e-005	4.66503e-005	8.60897e-005	0.000155059	0.000270463	0.000457385	0.000746927	0.00118388	0.00182284	0.0027487	0.00406247	0.00591188	0.00843693	0.0118112	0.0161026	0.0213413	0.0272557	0.0334862	0.0392646	0.0439975	0.0469091	0.0479378	0.0470522	0.0450982	0.0426275	0.0406796	0.0394619	0.0394103	0.039953	0.0410175	0.0416162	0.0417882	0.0406387	0.0387267	0.0354357	0.031758	0.0272361	0.0229571	0.0184793	0.0146866	0.0111195	0.00834728	0.00594975	0.00421829	0.00282792	0.00188976	0.00118905	0.000746872	0.000439973	0.000259083	0.00014267	7.8678e-005	4.05108e-005	2.09519e-005	1.01306e-005	4.94744e-006	2.27282e-006	1.06507e-006	4.76764e-007	2.21137e-007	1.00617e-007	4.84262e-008	2.38382e-008	1.29875e-008	8.12647e-009	6.91598e-009	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.17084e-016	1.87815e-015	3.51234e-014	5.48808e-013	6.74342e-012	6.96673e-011	5.71777e-010	2.50529e-009	1.51523e-008	7.10661e-008	1.3178e-007	2.70403e-007	1.64138e-006	1.08074e-005	3.96703e-005	7.77024e-005	9.5104e-005	8.09361e-005	7.07079e-005	0.00015574	0.000357829	0.000564058	0.000648359	0.000566152	0.000378045	0.000207688	0.000252454	0.00137921	0.00731559	0.0276771	0.0741374	0.14345	0.203482	0.214462	0.1682	0.0980817	0.0419655	0.0129943	0.00285192	0.000441841	4.91777e-005	4.07327e-006	2.58387e-007	1.29506e-008	5.2321e-010	1.7434e-011	4.85214e-013	1.14783e-014	2.32598e-016	4.09543e-018	6.29396e-020	8.548e-022	1.0282e-023	1.10816e-025	1.07068e-027	9.38311e-030	7.45451e-032	5.43904e-034	3.64195e-036	2.27337e-038	1.32316e-040	7.31977e-043	3.85263e-045	1.96769e-047	9.72862e-050	4.71561e-052	2.2191e-054	1.01714e-056	4.48676e-059	2.15583e-061	
