NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.146173	0.142032	0.134067	0.122621	0.10827	0.091929	0.0747787	0.0580844	0.0429614	0.0301863	0.0201092	0.0126797	0.00755655	0.004251	0.00225482	0.00112648	0.000529544	0.000234015	9.71354e-005	3.78414e-005	1.38264e-005	4.73514e-006	1.51917e-006	4.56382e-007	1.2833e-007	3.37651e-008	8.31053e-009	1.91301e-009	4.11779e-010	8.28726e-011	1.55927e-011	2.74266e-012	4.50974e-013	9.35637e-017	3.54679e-017	1.30001e-017	4.60742e-018	1.57903e-018	5.23322e-019	1.67734e-019	5.19975e-020	1.55914e-020	4.52241e-021	1.26905e-021	3.44553e-022	9.05206e-023	2.30146e-023	5.66341e-024	1.34903e-024	3.11094e-025	6.9462e-026	1.50192e-026	3.1452e-027	6.37997e-028	1.25378e-028	2.38737e-029	4.40535e-030	7.87906e-031	1.36606e-031	2.29635e-032	3.74333e-033	5.91856e-034	9.07868e-035	1.35164e-035	1.95487e-036	2.75313e-037	3.80197e-038	5.25826e-039	7.79695e-040	1.6815e-040	
N2	0.0256914	0.0299632	0.035698	0.0427769	0.0504483	0.05824	0.0650731	0.0705517	0.0737085	0.0746513	0.0728441	0.0690184	0.0630495	0.056051	0.0480571	0.0401916	0.0324024	0.025553	0.0194067	0.0144763	0.0103857	0.00736268	0.00501221	0.00340011	0.00220928	0.00144546	0.000902211	0.000573536	0.000345478	0.000214209	0.000124736	7.54307e-005	4.23709e-005	2.48842e-005	1.34368e-005	7.62943e-006	3.94289e-006	2.15361e-006	1.06279e-006	5.57326e-007	2.62044e-007	1.31618e-007	5.89981e-008	2.84174e-008	1.2137e-008	5.5999e-009	2.28462e-009	1.01275e-009	3.94523e-010	1.67768e-010	6.26252e-011	2.56477e-011	9.16225e-012	3.60299e-012	1.23686e-012	4.69282e-013	1.54425e-013	5.62948e-014	1.78694e-014	6.31255e-015	1.93705e-015	6.65544e-016	2.02839e-016	7.03204e-017	2.24201e-017	8.33598e-018	3.1005e-018	1.38926e-018	7.17456e-019	5.62657e-019	
N3	0.00581799	0.00702671	0.00894351	0.0117545	0.0155323	0.020409	0.0262719	0.0330774	0.0404111	0.048034	0.0552634	0.0617905	0.0668413	0.0702457	0.0713828	0.0704209	0.0671008	0.0620041	0.0552664	0.0477245	0.0397073	0.0319875	0.024808	0.0186262	0.0134569	0.00941485	0.00633663	0.00413279	0.00259272	0.00157778	0.000923564	0.000525106	0.000287195	0.000152824	7.82327e-005	3.90425e-005	1.87446e-005	8.79348e-006	3.96835e-006	1.7543e-006	7.45832e-007	3.11443e-007	1.25011e-007	4.9418e-008	1.87623e-008	7.03336e-009	2.52952e-009	9.00384e-010	3.0705e-010	1.03863e-010	3.36139e-011	1.08137e-011	3.32428e-012	1.01814e-012	2.9786e-013	8.70649e-014	2.43308e-014	6.82092e-015	1.83485e-015	4.98055e-016	1.30672e-016	3.48535e-017	9.08529e-018	2.4229e-018	6.38398e-019	1.72366e-019	4.65659e-020	1.32148e-020	4.27168e-021	2.18885e-021	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00394851	0.00495886	0.00671941	0.00947442	0.0133861	0.01865	0.0251813	0.0329166	0.0413135	0.0500296	0.0581205	0.0652415	0.0703533	0.0735002	0.0738582	0.0720782	0.0676657	0.0618136	0.0542671	0.0464573	0.0381549	0.0306521	0.0235746	0.017823	0.0128673	0.0091978	0.00625858	0.00425765	0.00274414	0.00178889	0.00109761	0.000689729	0.000404128	0.000245368	0.000137406	8.05516e-005	4.30174e-005	2.42447e-005	1.23127e-005	6.64433e-006	3.19637e-006	1.6431e-006	7.47326e-007	3.65187e-007	1.56632e-007	7.25257e-008	2.93423e-008	1.28824e-008	4.90896e-009	2.03931e-009	7.3339e-010	2.89074e-010	9.799e-011	3.65718e-011	1.17254e-011	4.16236e-012	1.26024e-012	4.24399e-013	1.22034e-013	3.92923e-014	1.07476e-014	3.31822e-015	8.84338e-016	2.70944e-016	7.41524e-017	2.40068e-017	7.60345e-018	2.94068e-018	1.32513e-018	9.78922e-019	
N5	0.000456501	0.000596347	0.000866429	0.00133812	0.00210303	0.00329566	0.0050523	0.00754906	0.0109023	0.0152546	0.0205825	0.0268977	0.033914	0.0414566	0.0489235	0.0560183	0.0619283	0.0664758	0.0689009	0.0694393	0.0676026	0.0641362	0.0588083	0.0526924	0.0456252	0.0387236	0.0317291	0.0255818	0.0198751	0.0152777	0.0112891	0.00831798	0.00587176	0.00417457	0.00282988	0.00195338	0.00127632	0.000857715	0.000540515	0.000353061	0.000213907	0.000135035	7.82746e-005	4.74501e-005	2.61731e-005	1.51417e-005	7.91807e-006	4.35561e-006	2.15286e-006	1.12277e-006	5.24079e-007	2.59033e-007	1.14072e-007	5.33918e-008	2.22062e-008	9.85981e-009	3.87426e-009	1.63297e-009	6.08569e-010	2.44933e-010	8.7171e-011	3.38688e-011	1.18187e-011	4.60557e-012	1.68044e-012	7.10193e-013	3.05037e-013	1.57603e-013	9.42415e-014	8.18932e-014	
N6	2.88924e-006	4.14701e-006	7.00752e-006	1.28949e-005	2.43312e-005	4.58569e-005	8.46601e-005	0.000152562	0.000266252	0.000450505	0.000736033	0.00116702	0.00179729	0.00271058	0.00400675	0.00583221	0.00832655	0.0116639	0.0159156	0.0211179	0.0270092	0.0332389	0.0390468	0.0438371	0.0468243	0.047928	0.0470967	0.0451625	0.0426733	0.0406775	0.0393994	0.0392936	0.0398057	0.0408703	0.041503	0.0417337	0.0406591	0.0388242	0.035602	0.0319774	0.0274866	0.0232203	0.0187339	0.0149222	0.0113238	0.00851953	0.00608649	0.00432489	0.00290616	0.00194645	0.00122764	0.00077289	0.000456411	0.000269399	0.000148723	8.22154e-005	4.24424e-005	2.20063e-005	1.06696e-005	5.22453e-006	2.40712e-006	1.13116e-006	5.0788e-007	2.36213e-007	1.07767e-007	5.19757e-008	2.56278e-008	1.39733e-008	8.74288e-009	7.43211e-009	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.18992e-016	1.90679e-015	3.56474e-014	5.56867e-013	6.83913e-012	7.06129e-011	5.8003e-010	2.53696e-009	1.53019e-008	7.18739e-008	1.33442e-007	2.72559e-007	1.6475e-006	1.0861e-005	3.99506e-005	7.84146e-005	9.61594e-005	8.19308e-005	7.11933e-005	0.000155757	0.0003582	0.00056568	0.000651394	0.000569813	0.000381135	0.000209358	0.000251161	0.00136565	0.00725337	0.0274887	0.0737625	0.142984	0.203196	0.214568	0.16861	0.0985183	0.042239	0.0131069	0.00288292	0.000447659	4.9941e-005	4.14636e-006	2.63658e-007	1.32472e-008	5.36514e-010	1.7922e-011	5.00041e-013	1.18589e-014	2.40917e-016	4.25271e-018	6.55231e-020	8.92169e-022	1.07591e-023	1.16258e-025	1.1262e-027	9.89579e-030	7.88293e-032	5.76741e-034	3.87266e-036	2.42432e-038	1.41515e-040	7.85161e-043	4.14441e-045	2.12236e-047	1.05182e-049	5.10837e-052	2.40772e-054	1.10492e-056	4.87858e-059	2.34555e-061	
