NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.203519	0.190543	0.167491	0.13805	0.106358	0.0763337	0.0508828	0.031423	0.0179443	0.00946084	0.00459992	0.00206026	0.000849296	0.000321929	0.000112115	3.5842e-005	1.051e-005	2.82457e-006	6.95261e-007	1.56641e-007	3.22843e-008	6.08397e-009	1.0479e-009	1.64909e-010	2.37051e-011	3.11195e-012	3.73044e-013	6.24041e-017	1.97282e-017	5.95979e-018	1.72055e-018	4.74712e-019	1.25189e-019	3.15598e-020	7.60664e-021	1.75313e-021	3.86437e-022	8.14837e-023	1.64392e-023	3.17399e-024	5.86609e-025	1.03804e-025	1.7592e-026	2.85604e-027	4.44304e-028	6.62496e-029	9.47105e-030	1.29853e-030	1.70794e-031	2.1557e-032	2.61178e-033	3.03843e-034	3.39516e-035	3.64509e-036	3.76123e-037	3.73132e-038	3.55996e-039	3.26752e-040	2.88616e-041	2.4541e-042	2.00944e-043	1.58493e-044	1.20461e-045	8.82553e-047	6.23588e-048	4.25301e-049	2.80734e-050	1.8139e-051	1.21167e-052	1.16809e-053	
N2	0.0309846	0.0380968	0.0475138	0.0586072	0.0697347	0.0797906	0.0863496	0.0893812	0.0878168	0.0823934	0.0735304	0.0633385	0.0516963	0.0409503	0.0309975	0.0227397	0.0159343	0.0110326	0.00720119	0.00469629	0.00292022	0.00180798	0.00106018	0.000639692	0.000353937	0.00020388	0.000108904	5.96428e-005	2.98511e-005	1.58816e-005	7.4193e-006	3.71775e-006	1.66177e-006	7.80665e-007	3.24591e-007	1.47436e-007	5.68869e-008	2.41494e-008	8.94717e-009	3.56236e-009	1.22633e-009	4.71443e-010	1.51223e-010	5.45061e-011	1.68286e-011	5.65658e-012	1.62979e-012	5.33772e-013	1.42779e-013	4.34791e-014	1.12797e-014	3.22693e-015	7.76828e-016	2.15055e-016	4.83535e-017	1.25592e-017	2.72328e-018	6.57539e-019	1.33564e-019	3.16663e-020	5.97564e-021	1.32112e-021	2.47583e-022	5.31965e-023	9.92936e-024	2.28953e-024	5.01535e-025	1.41809e-025	4.63746e-026	2.57834e-026	
N3	0.00319224	0.00425706	0.00612753	0.00910206	0.0134134	0.0193341	0.0267092	0.0355432	0.0452374	0.0552186	0.0645255	0.0726995	0.0782662	0.0812851	0.0809321	0.0773899	0.070795	0.0623267	0.0521739	0.0419566	0.032156	0.0235549	0.0164176	0.0109898	0.00695973	0.00423511	0.00245104	0.00135723	0.000714491	0.00036303	0.000174188	8.08429e-005	3.57104e-005	1.51793e-005	6.1383e-006	2.41768e-006	8.97111e-007	3.25057e-007	1.12053e-007	3.74313e-008	1.18781e-008	3.70536e-009	1.08404e-009	3.12472e-010	8.54211e-011	2.27771e-011	5.75008e-012	1.43876e-012	3.35851e-013	7.78653e-014	1.7061e-014	3.67168e-015	7.45675e-016	1.5135e-016	2.85662e-017	5.40408e-018	9.65639e-019	1.71215e-019	2.87677e-020	4.90483e-021	7.88134e-022	1.30009e-022	2.0881e-023	3.44896e-024	5.66839e-025	9.73887e-026	1.67066e-026	2.99242e-027	5.85521e-028	1.90859e-028	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00446156	0.00610477	0.00909169	0.013884	0.0207457	0.0298728	0.0405768	0.052422	0.0639334	0.0740167	0.0811401	0.0853314	0.0848396	0.0813356	0.0743061	0.0653092	0.0546503	0.0445708	0.0342135	0.0257454	0.0183917	0.0128218	0.00844539	0.0055809	0.003398	0.00210228	0.00121302	0.000704055	0.000376151	0.000210225	0.000103774	5.42165e-005	2.53786e-005	1.23295e-005	5.30358e-006	2.4682e-006	9.72471e-007	4.18241e-007	1.55999e-007	6.20873e-008	2.12019e-008	8.04453e-009	2.52051e-009	8.84756e-010	2.62921e-010	8.50759e-011	2.32543e-011	7.23738e-012	1.8142e-012	5.19929e-013	1.24844e-013	3.32349e-014	7.32546e-015	1.87349e-015	3.81187e-016	9.0508e-017	1.76301e-017	3.85459e-018	6.95165e-019	1.48274e-019	2.45241e-020	4.81501e-021	7.81846e-022	1.46568e-022	2.31436e-023	4.57975e-024	8.31701e-025	1.96482e-025	5.26125e-026	2.59593e-026	
N5	0.000473507	0.000685015	0.00112122	0.0019291	0.00330549	0.0055263	0.00881722	0.0134752	0.0195841	0.0271338	0.0357951	0.0453335	0.0546876	0.0636014	0.0709519	0.076217	0.0785441	0.078419	0.0746048	0.0688069	0.0607527	0.0517518	0.0421154	0.0335368	0.0252136	0.0186835	0.0132228	0.00918462	0.00607125	0.00405975	0.00252016	0.00160132	0.000958305	0.000579407	0.000326546	0.000192672	0.000101988	5.69376e-005	2.90192e-005	1.52806e-005	7.26904e-006	3.69474e-006	1.63742e-006	7.79936e-007	3.30092e-007	1.46853e-007	5.76909e-008	2.4645e-008	8.9709e-009	3.56658e-009	1.23845e-009	4.58994e-010	1.47505e-010	5.24371e-011	1.5618e-011	5.16933e-012	1.47292e-012	4.53087e-013	1.19921e-013	3.57338e-014	8.77963e-015	2.44404e-015	5.91403e-016	1.59271e-016	3.87042e-017	1.13573e-017	3.2575e-018	1.18004e-018	5.01049e-019	3.43817e-019	
N6	3.36794e-006	5.53889e-006	1.09969e-005	2.34135e-005	4.98394e-005	0.000103529	0.000205707	0.00039253	0.00071509	0.00124436	0.00206449	0.00328589	0.00501188	0.0074279	0.010725	0.015157	0.0209568	0.0284394	0.0374613	0.0479357	0.0588682	0.0689551	0.0764762	0.0806077	0.0799884	0.0758529	0.0687246	0.0600925	0.0508453	0.0423041	0.0340659	0.0271625	0.0212283	0.0164878	0.0126976	0.0099991	0.00780085	0.00626551	0.00500473	0.00401781	0.0031381	0.00246519	0.00182201	0.00134293	0.000935283	0.000637065	0.000406552	0.000258126	0.000150038	8.68138e-005	4.65836e-005	2.45051e-005	1.19032e-005	5.78369e-006	2.54273e-006	1.1212e-006	4.54408e-007	1.82274e-007	6.71938e-008	2.51238e-008	8.52734e-009	2.97074e-009	9.74259e-010	3.29705e-010	1.08923e-010	3.86853e-011	1.38872e-011	5.54162e-012	2.55557e-012	1.7677e-012	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	6.71472e-018	1.94128e-016	5.85232e-015	1.33591e-013	2.25597e-012	2.7523e-011	2.71745e-010	1.49363e-009	1.12437e-008	4.30744e-008	1.29149e-007	1.02197e-006	5.40325e-006	9.2123e-006	1.79812e-005	4.20652e-005	0.000164379	0.000896253	0.00267593	0.00224052	0.000608882	0.000229979	0.000938255	0.00868511	0.0568108	0.194803	0.291939	0.207918	0.0782151	0.0188885	0.0126211	0.021845	0.030478	0.0306285	0.0222142	0.0116139	0.004258	0.00106385	0.000170791	1.67854e-005	1.07654e-006	4.86714e-008	1.62229e-009	4.1958e-011	8.62912e-013	1.44792e-014	2.0142e-016	2.37538e-018	2.37675e-020	2.06335e-022	1.55649e-024	1.03234e-026	6.03696e-029	3.16374e-031	1.47276e-033	6.222e-036	2.3742e-038	8.28762e-041	2.64625e-043	7.91971e-046	2.19567e-048	5.85747e-051	1.50312e-053	3.80181e-056	9.49565e-059	2.3813e-061	5.84523e-064	1.41171e-066	3.2869e-069	8.03721e-072	
