NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.202063	0.189526	0.167051	0.138154	0.106833	0.076959	0.0514747	0.0318809	0.0182493	0.00963983	0.00469467	0.00210615	0.000870017	0.000330749	0.000115684	3.72123e-005	1.10058e-005	2.9917e-006	7.47247e-007	1.71436e-007	3.6117e-008	6.98466e-009	1.23963e-009	2.01849e-010	3.01479e-011	4.12953e-012	5.18678e-013	7.56142e-017	2.45701e-017	7.6447e-018	2.2776e-018	6.49797e-019	1.7754e-019	4.64593e-020	1.16454e-020	2.7964e-021	6.4338e-022	1.4185e-022	2.9975e-023	6.07207e-024	1.17936e-024	2.19673e-025	3.92483e-026	6.72783e-027	1.10673e-027	1.74751e-028	2.64922e-029	3.85697e-030	5.39403e-031	7.24826e-032	9.36102e-033	1.16225e-033	1.38764e-034	1.59361e-035	1.76088e-036	1.87261e-037	1.91715e-038	1.89009e-039	1.79493e-040	1.64241e-041	1.44847e-042	1.23158e-043	1.0099e-044	7.98939e-046	6.10065e-047	4.50077e-048	3.21772e-049	2.25661e-050	1.64193e-051	1.72484e-052	
N2	0.0343295	0.0415223	0.0509476	0.0616678	0.0724441	0.0819501	0.0877351	0.0898012	0.0876514	0.0811406	0.071759	0.0611189	0.0492779	0.0384232	0.0288765	0.0207494	0.0144036	0.0098233	0.00633227	0.00403628	0.00250794	0.00150141	0.000875111	0.000515222	0.000281456	0.000156401	8.44348e-005	4.40695e-005	2.21856e-005	1.15523e-005	5.39889e-006	2.62532e-006	1.21529e-006	5.48797e-007	2.34767e-007	1.0611e-007	4.17189e-008	1.74298e-008	6.82486e-009	2.63797e-009	9.49643e-010	3.67242e-010	1.21223e-010	4.32745e-011	1.43074e-011	4.68892e-012	1.41926e-012	4.6947e-013	1.30205e-013	3.95038e-014	1.09994e-014	3.06715e-015	7.82781e-016	2.21162e-016	5.15395e-017	1.33187e-017	3.1366e-018	7.44402e-019	1.60841e-019	3.88285e-020	7.66864e-021	1.70292e-021	3.47289e-022	7.26928e-023	1.43499e-023	3.36364e-024	7.52095e-025	2.14793e-025	7.41368e-026	4.24675e-026	
N3	0.00365268	0.00480883	0.00684886	0.0100471	0.0146969	0.0210371	0.0288403	0.0380432	0.0480949	0.0579878	0.0670187	0.0745397	0.0790489	0.0807686	0.0793813	0.0746699	0.0675465	0.0589512	0.0490494	0.039329	0.0303001	0.0222771	0.0157104	0.0106719	0.00687684	0.00426531	0.00253738	0.00143631	0.000779278	0.000408116	0.000202116	9.66794e-005	4.4436e-005	1.94431e-005	8.17362e-006	3.33656e-006	1.28484e-006	4.80913e-007	1.73445e-007	5.9633e-008	1.97424e-008	6.38836e-009	1.94401e-009	5.7881e-010	1.66311e-010	4.56145e-011	1.20622e-011	3.13787e-012	7.64952e-013	1.83595e-013	4.25469e-014	9.43697e-015	2.0197e-015	4.28055e-016	8.47764e-017	1.66521e-017	3.1656e-018	5.79449e-019	1.0288e-019	1.83142e-020	3.08249e-021	5.25986e-022	8.91223e-023	1.50961e-023	2.59107e-024	4.62658e-025	8.29187e-026	1.5579e-026	3.24991e-027	1.12148e-027	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00524571	0.00705191	0.010328	0.0154882	0.022878	0.0326171	0.0438805	0.0561047	0.0679609	0.0776062	0.0841452	0.0872713	0.0853474	0.0801696	0.0721609	0.0617957	0.050807	0.0406075	0.0306137	0.0225245	0.016022	0.0108855	0.00714296	0.00465231	0.00281576	0.00170174	0.000995572	0.000557091	0.000300018	0.000164571	8.12684e-005	4.11291e-005	1.98382e-005	9.2106e-006	4.04908e-006	1.8578e-006	7.40018e-007	3.09783e-007	1.21232e-007	4.63005e-008	1.6406e-008	6.19787e-009	1.98377e-009	6.82845e-010	2.1618e-010	6.74511e-011	1.92712e-011	6.00605e-012	1.55153e-012	4.3847e-013	1.12531e-013	2.88658e-014	6.70541e-015	1.73065e-015	3.6237e-016	8.45325e-017	1.77707e-017	3.76388e-018	7.1669e-019	1.53561e-019	2.63596e-020	5.12563e-021	9.0104e-022	1.61912e-022	2.68631e-023	5.32175e-024	9.71007e-025	2.26748e-025	6.33008e-026	3.19262e-026	
N5	0.0005438	0.000777285	0.00126252	0.00215503	0.0036853	0.00615462	0.00980513	0.0149496	0.0217246	0.0299375	0.0393268	0.0494694	0.0590439	0.0676688	0.0744295	0.078183	0.0789718	0.0772028	0.0718993	0.0649358	0.0567165	0.0474494	0.0383894	0.0304132	0.0228243	0.0168247	0.0120661	0.00828861	0.00553013	0.00368439	0.0022871	0.00142374	0.000861902	0.000500317	0.000281043	0.000160921	8.35477e-005	4.44157e-005	2.26926e-005	1.11903e-005	5.2702e-006	2.5754e-006	1.11667e-006	5.05724e-007	2.17096e-007	9.0882e-008	3.58773e-008	1.49826e-008	5.44695e-009	2.10142e-009	7.58011e-010	2.69765e-010	8.94577e-011	3.18667e-011	9.67683e-012	3.16278e-012	9.58446e-013	2.88092e-013	7.99744e-014	2.41013e-014	6.12322e-015	1.70038e-015	4.40093e-016	1.15184e-016	2.90009e-017	8.49813e-018	2.4374e-018	8.79004e-019	3.86777e-019	2.71131e-019	
N6	2.15059e-006	3.6008e-006	7.40457e-006	1.63356e-005	3.61581e-005	7.79879e-005	0.000160516	0.000316395	0.000595823	0.00106778	0.00183058	0.00301322	0.00473524	0.00716675	0.0104499	0.0146448	0.0198514	0.0261474	0.0332154	0.0410087	0.0490751	0.0565547	0.0630639	0.0683571	0.0712773	0.0724091	0.0715079	0.0679535	0.0624023	0.0555325	0.0468452	0.0381914	0.0300209	0.0225999	0.0165926	0.012139	0.00865566	0.00628055	0.00461447	0.0033773	0.00247758	0.00183858	0.00130156	0.000917792	0.000629269	0.000411974	0.000259841	0.000161962	9.3246e-005	5.29729e-005	2.88146e-005	1.48757e-005	7.32957e-006	3.57951e-006	1.59543e-006	7.05417e-007	2.97236e-007	1.19249e-007	4.55515e-008	1.74189e-008	6.09109e-009	2.15424e-009	7.40559e-010	2.51825e-010	8.5967e-011	3.12446e-011	1.1549e-011	4.76066e-012	2.30593e-012	1.64758e-012	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.72226e-019	5.22008e-018	1.71898e-016	4.42458e-015	8.78407e-014	1.33227e-012	1.39517e-011	1.26441e-010	1.04668e-009	4.5774e-009	2.50376e-008	2.09703e-007	9.82777e-007	1.68636e-006	3.57299e-006	1.24025e-005	7.36715e-005	0.000373879	0.00104116	0.000899317	0.000291846	0.000181594	0.000941129	0.00885636	0.057495	0.197705	0.304841	0.226506	0.0896352	0.0210094	0.00899046	0.0138005	0.0197084	0.0203546	0.0151743	0.00813137	0.00304936	0.000778657	0.000128674	1.31091e-005	8.78906e-007	4.1619e-008	1.45394e-009	3.94301e-011	8.54925e-013	1.50699e-014	2.2154e-016	2.76755e-018	2.93604e-020	2.70851e-022	2.18754e-024	1.5467e-026	9.71484e-029	5.48418e-031	2.75086e-033	1.25519e-035	5.22231e-038	1.974e-040	6.89001e-043	2.25776e-045	6.8428e-048	1.99097e-050	5.59877e-053	1.5247e-055	4.10159e-058	1.09923e-060	2.8704e-063	7.36945e-066	1.83278e-068	4.79485e-071	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.29019e-010	1.85961e-009	1.20826e-008	7.22672e-008	3.82579e-007	1.74372e-006	6.92524e-006	2.40732e-005	7.395e-005	0.000199289	0.000481956	0.00107051	0.00223336	0.00444558	0.00841352	0.0150227	0.0253165	0.0402593	0.0594833	0.0816721	0.103294	0.118894	0.124516	0.118521	0.10086	0.0773754	0.0532302	0.0324843	0.0176818	0.00862929	0.00369864	0.00142139	0.000488046	0.000148147	4.0251e-005	9.9216e-006	2.14876e-006	4.24377e-007	7.58506e-008	1.21161e-008	1.75622e-009	2.36058e-010	2.7998e-011	3.0971e-012	3.14001e-013	2.88232e-014	2.42891e-015	1.93914e-016	1.36973e-017	9.21143e-019	5.72494e-020	3.26743e-021	1.72541e-022	8.79885e-024	3.97408e-025	1.74132e-026	7.09749e-028	2.69484e-029	9.53193e-031	3.31942e-032	1.03294e-033	3.2025e-035	9.46487e-037	2.71894e-038	7.68518e-040	2.27203e-041	6.60151e-043	2.03578e-044	6.7116e-046	2.95776e-047	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	1.37325e-011	8.14601e-011	6.37799e-010	4.85535e-009	3.32359e-008	1.95894e-007	9.94844e-007	4.34972e-006	1.65792e-005	5.5111e-005	0.000163554	0.000441175	0.00109717	0.00253691	0.00544718	0.0108329	0.0199859	0.0342007	0.0537912	0.077697	0.102472	0.122177	0.131435	0.127136	0.109009	0.0830874	0.0560306	0.0330057	0.0170602	0.00777717	0.00305198	0.00105549	0.000321795	8.44427e-005	1.95206e-005	4.12225e-006	7.2299e-007	1.17873e-007	1.76022e-008	2.22618e-009	2.5446e-010	3.15828e-011	2.69629e-012	2.70598e-013	2.46449e-014	1.91849e-015	1.25655e-016	1.21166e-017	5.58755e-019	4.2529e-020	2.22098e-021	1.26353e-022	4.62579e-024	3.18548e-025	8.37787e-027	4.68369e-028	1.30952e-029	5.80353e-031	1.21461e-032	5.87189e-034	9.50628e-036	3.95471e-037	6.5351e-039	2.20014e-040	2.84464e-042	1.0109e-043	1.12717e-045	3.77491e-047	8.46537e-049	6.84764e-050	
N10	2.69488e-012	1.00652e-011	5.60244e-011	3.21135e-010	1.71978e-009	8.34993e-009	3.64368e-008	1.43301e-007	5.12022e-007	1.66804e-006	5.0141e-006	1.40103e-005	3.62393e-005	8.61537e-005	0.000187673	0.000376599	0.000706969	0.00125189	0.00209369	0.003329	0.0050984	0.00765403	0.0114582	0.0174574	0.0273882	0.0438909	0.0685748	0.0985793	0.126312	0.141954	0.137422	0.115515	0.0844451	0.0532022	0.0293086	0.0142899	0.00602549	0.00226867	0.000763223	0.000224856	5.93631e-005	1.4291e-005	2.98415e-006	5.71279e-007	9.90233e-008	1.52213e-008	2.12389e-009	2.77223e-010	3.15594e-011	3.39145e-012	3.34116e-013	2.99705e-014	2.47123e-015	1.96516e-016	1.37146e-017	9.30129e-019	5.82798e-020	3.40474e-021	1.83864e-022	9.81474e-024	4.62629e-025	2.18081e-026	9.70434e-028	4.19518e-029	1.77151e-030	7.91308e-032	3.45849e-033	1.61055e-034	7.67483e-036	5.18571e-037	
Scirpus_mitsukurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_polystachyus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	2.00983e-012	1.19318e-011	1.08098e-010	9.64412e-010	7.63339e-009	5.18674e-008	3.01799e-007	1.51012e-006	6.5706e-006	2.50602e-005	8.50918e-005	0.000260066	0.000720595	0.00182312	0.0042242	0.00897143	0.0174887	0.0312814	0.0511054	0.0761351	0.102929	0.125231	0.136468	0.132373	0.113072	0.0848392	0.0556527	0.0316063	0.015561	0.00665396	0.00243466	0.000772574	0.00021394	5.05104e-005	1.04339e-005	1.97082e-006	3.07269e-007	4.52147e-008	6.55585e-009	7.73194e-010	8.89121e-011	1.30391e-011	1.1088e-012	1.2874e-013	1.40981e-014	1.15927e-015	8.30322e-017	9.33679e-018	4.35584e-019	3.78741e-020	2.04778e-021	1.32992e-022	4.89119e-024	4.0011e-025	1.04858e-026	7.44992e-028	1.95827e-029	1.17072e-030	2.38889e-032	1.4702e-033	2.41258e-035	1.31363e-036	2.10443e-038	9.40405e-040	1.22366e-041	5.48972e-043	6.39467e-045	2.64984e-046	5.79406e-048	6.77594e-049	
