NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	9.01495e-008	1.4176e-007	3.10463e-007	8.19258e-007	2.34142e-006	6.79732e-006	1.93411e-005	5.28934e-005	0.000137525	0.000337847	0.000781276	0.00169676	0.00345529	0.00659051	0.0117641	0.0196391	0.030646	0.0446812	0.0608433	0.0773569	0.091805	0.101675	0.105065	0.101282	0.0910693	0.076372	0.0597287	0.0435604	0.0296241	0.018786	0.0111086	0.00612527	0.00314956	0.00151027	0.000675406	0.00028172	0.00010961	3.97844e-005	1.34726e-005	4.25724e-006	1.25545e-006	3.45571e-007	8.8799e-008	2.13055e-008	4.7738e-009	9.99111e-010	1.95356e-010	3.56941e-011	6.09565e-012	9.73184e-013	1.66488e-016	6.22126e-017	2.24859e-017	7.86205e-018	2.65957e-018	8.70553e-019	2.75772e-019	8.45546e-020	2.5097e-020	7.2123e-021	2.0071e-021	5.41008e-022	1.41295e-022	3.57779e-023	8.79577e-024	2.10652e-024	4.95624e-025	1.17125e-025	2.97111e-026	1.05019e-026	
N2	5.63544e-006	7.63679e-006	1.27353e-005	2.36661e-005	4.58811e-005	8.95148e-005	0.000172521	0.000325273	0.00059674	0.00106185	0.00182886	0.00304445	0.00489318	0.00758702	0.0113416	0.0163373	0.022668	0.0302854	0.0389516	0.0482169	0.0574355	0.0658279	0.072584	0.0769904	0.078554	0.0770929	0.0727713	0.0660686	0.0576919	0.0484527	0.0391388	0.0304081	0.0227235	0.0163334	0.0112929	0.00751084	0.00480552	0.00295793	0.00175168	0.000998095	0.000547228	0.000288721	0.000146601	7.1644e-005	3.37014e-005	1.5261e-005	6.65314e-006	2.7927e-006	1.12882e-006	4.39413e-007	1.64749e-007	5.9501e-008	2.07029e-008	6.94067e-009	2.24228e-009	6.98162e-010	2.09539e-010	6.06299e-011	1.69161e-011	4.55202e-012	1.18178e-012	2.96154e-013	7.16997e-014	1.67978e-014	3.82094e-015	8.50025e-016	1.88141e-016	4.33036e-017	1.16945e-017	4.97808e-018	
N3	0.000475378	0.000549783	0.000714595	0.00100948	0.00149958	0.00228064	0.00348253	0.0052678	0.00782212	0.0113335	0.0159597	0.021785	0.0287743	0.0367332	0.0452877	0.0538942	0.0618854	0.0685512	0.0732406	0.0754663	0.0749877	0.071853	0.0663914	0.0591547	0.0508258	0.0421122	0.0336491	0.0259299	0.0192713	0.0138143	0.00955182	0.00637104	0.00409955	0.00254507	0.00152454	0.000881245	0.000491604	0.000264693	0.00013757	6.90255e-005	3.3439e-005	1.56425e-005	7.06689e-006	3.08371e-006	1.29988e-006	5.2939e-007	2.08332e-007	7.92329e-008	2.91267e-008	1.03509e-008	3.55661e-009	1.18177e-009	3.79784e-010	1.18066e-010	3.55114e-011	1.03358e-011	2.91167e-012	7.94055e-013	2.09693e-013	5.36392e-014	1.32968e-014	3.19663e-015	7.46141e-016	1.69442e-016	3.75771e-017	8.19817e-018	1.78783e-018	4.05621e-019	1.07244e-019	4.45168e-020	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	1.80817e-007	2.62154e-007	4.93577e-007	1.07222e-006	2.47532e-006	5.79347e-006	1.34047e-005	3.02538e-005	6.61283e-005	0.00013943	0.000282943	0.000551863	0.00103368	0.0018583	0.00320522	0.00530252	0.00841192	0.0127944	0.018655	0.0260716	0.0349214	0.0448263	0.0551388	0.064989	0.0733936	0.0794136	0.0823259	0.0817661	0.0778035	0.0709267	0.0619451	0.0518314	0.0415504	0.0319126	0.0234836	0.0165577	0.0111863	0.00724167	0.00449246	0.00267084	0.00152179	0.000831069	0.000435037	0.000218301	0.000105018	4.84384e-005	2.14227e-005	9.08571e-006	3.69565e-006	1.44183e-006	5.39613e-007	1.9375e-007	6.67496e-008	2.20676e-008	7.00192e-009	2.13252e-009	6.23511e-010	1.75037e-010	4.71858e-011	1.22169e-011	3.03843e-012	7.26059e-013	1.66754e-013	3.68364e-014	7.84101e-015	1.61689e-015	3.28248e-016	6.88908e-017	1.71874e-017	7.03428e-018	
N5	7.74756e-009	1.18875e-008	2.46659e-008	6.02066e-008	1.5687e-007	4.1346e-007	1.07317e-006	2.70797e-006	6.60224e-006	1.55067e-005	3.50329e-005	7.60721e-005	0.000158697	0.00031797	0.000611773	0.0011301	0.00200409	0.00341146	0.0055738	0.00874006	0.0131522	0.0189923	0.0263164	0.0349885	0.0446329	0.0546263	0.0641437	0.0722606	0.0780978	0.0809772	0.0805514	0.0768726	0.0703823	0.0618239	0.0521029	0.0421301	0.0326862	0.024333	0.0173824	0.0119159	0.00783927	0.00494976	0.00299975	0.00174506	0.00097453	0.000522492	0.00026897	0.000132957	6.31165e-005	2.87773e-005	1.26032e-005	5.30253e-006	2.14346e-006	8.32592e-007	3.10809e-007	1.11523e-007	3.84697e-008	1.27597e-008	4.07038e-009	1.24924e-009	3.69042e-010	1.05015e-010	2.88216e-011	7.64566e-012	1.96832e-012	4.95699e-013	1.24259e-013	3.23586e-014	9.8097e-015	4.53397e-015	
N6	2.01955e-014	4.48325e-014	1.48138e-013	5.60567e-013	2.19272e-012	8.53147e-012	3.24815e-011	1.20043e-010	4.28787e-010	1.47656e-009	4.89445e-009	1.56017e-008	4.77938e-008	1.40636e-007	3.9737e-007	1.0778e-006	2.80555e-006	7.00713e-006	1.67886e-005	3.85795e-005	8.50137e-005	0.000179612	0.00036377	0.00070614	0.0013136	0.00234142	0.00399836	0.00654051	0.0102475	0.0153762	0.0220931	0.030395	0.0400352	0.0504826	0.0609354	0.070404	0.0778574	0.0824057	0.0834743	0.0809233	0.0750778	0.0666596	0.0566403	0.046058	0.0358434	0.0266962	0.0190301	0.012984	0.0084795	0.005301	0.00317252	0.00181779	0.000997288	0.000523936	0.000263613	0.000127041	5.86514e-005	2.59446e-005	1.0999e-005	4.47027e-006	1.74263e-006	6.52099e-007	2.34571e-007	8.1329e-008	2.73217e-008	8.98992e-009	2.96494e-009	1.03072e-009	4.20253e-010	2.43383e-010	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	7.51379e-055	1.53707e-052	3.7886e-050	9.30609e-048	2.18966e-045	4.83186e-043	9.88909e-041	1.86511e-038	3.22702e-036	5.10257e-034	7.34613e-032	9.59269e-030	1.13147e-027	1.20008e-025	1.13893e-023	9.61881e-022	7.18499e-020	4.71447e-018	2.69634e-016	1.33235e-014	5.63073e-013	2.0115e-011	5.99148e-010	1.46421e-008	2.88022e-007	4.4582e-006	5.28797e-005	0.000466617	0.00297607	0.0134703	0.0434338	0.101164	0.172545	0.217472	0.203178	0.14027	0.0709116	0.0258937	0.00673524	0.00124316	0.00016583	1.64545e-005	1.25096e-006	7.48236e-008	3.60172e-009	1.42217e-010	4.68121e-012	1.30219e-013	3.0973e-015	6.36327e-017	1.13917e-018	1.79091e-020	2.48945e-022	3.07844e-024	3.40509e-026	3.38567e-028	3.03967e-030	2.47433e-032	1.83311e-034	1.24041e-036	7.69268e-039	4.38746e-041	2.30972e-043	1.1271e-045	5.12629e-048	2.18992e-050	8.88712e-053	3.48271e-055	1.34733e-057	5.95072e-060	
