NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.185076	0.181549	0.171233	0.150878	0.12086	0.0861314	0.0537595	0.0290732	0.0135258	0.00538785	0.00183188	0.000530459	0.000130558	2.72105e-05	4.86394e-06	7.45421e-07	9.80064e-08	1.10695e-08	1.07597e-09	9.01888e-11	6.53365e-12	4.10073e-13	4.4525e-17	9.70556e-18	1.98063e-18	3.76893e-19	6.69574e-20	1.11193e-20	1.7281e-21	2.51644e-22	3.4373e-23	4.40897e-24	5.31622e-25	6.03189e-26	6.44631e-27	6.49513e-28	6.17563e-29	5.54604e-30	4.7084e-31	3.78207e-32	2.87688e-33	2.07402e-34	1.4183e-35	9.20754e-37	5.67959e-38	3.33204e-39	1.86164e-40	9.93327e-42	5.04953e-43	2.44734e-44	1.13172e-45	4.99677e-47	2.10789e-48	8.5017e-50	3.28059e-51	1.2119e-52	4.28863e-54	1.45472e-55	4.73272e-57	1.47763e-58	4.42988e-60	1.27595e-61	3.53292e-63	9.40851e-65	2.4112e-66	5.95007e-68	1.41502e-69	3.2507e-71	7.28942e-73	1.68058e-74	5.22101e-76	
N2	0.00184132	0.00259053	0.00395299	0.00631874	0.0102898	0.016643	0.0261362	0.0391465	0.0552353	0.0728446	0.0893583	0.101647	0.106975	0.103925	0.0941525	0.079407	0.0623277	0.0455859	0.0311691	0.0200545	0.0122873	0.00731059	0.00434151	0.00265002	0.00163021	0.000984761	0.000573603	0.000317138	0.000164608	7.96711e-05	3.58289e-05	1.49467e-05	5.7818e-06	2.07469e-06	6.91243e-07	2.1418e-07	6.18704e-08	1.67321e-08	4.26524e-09	1.03649e-09	2.44419e-10	5.7329e-11	1.37388e-11	3.42368e-12	8.8544e-13	2.33135e-13	6.1008e-14	1.48082e-14	3.3085e-15	6.82467e-16	1.3038e-16	2.31344e-17	3.82212e-18	5.89237e-19	8.49243e-20	1.14617e-20	1.45074e-21	1.72455e-22	1.92816e-23	2.03125e-24	2.02154e-25	1.90884e-26	1.72369e-27	1.51117e-28	1.32218e-29	1.20509e-30	1.19938e-31	1.33264e-32	1.62732e-33	2.2104e-34	5.04957e-35	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.163328	0.179792	0.177399	0.157551	0.12542	0.0887081	0.0552049	0.0299731	0.014106	0.00572722	0.00199928	0.000598464	0.000153209	3.33997e-05	6.26153e-06	1.01116e-06	1.40893e-07	1.69765e-08	1.78323e-09	1.74812e-10	2.488e-11	9.092e-12	4.47693e-12	1.91237e-12	4.22511e-13	7.14255e-14	1.01797e-14	1.26547e-15	1.38513e-16	1.33428e-17	1.12749e-18	8.3322e-20	5.3737e-21	3.02121e-22	1.48029e-23	6.32224e-25	2.35504e-26	7.66385e-28	2.18396e-29	5.49227e-31	1.30334e-32	4.7246e-34	4.99249e-35	7.35832e-36	9.56478e-37	1.02509e-37	8.97861e-39	4.10724e-40	1.46315e-41	4.47626e-43	1.21737e-44	2.9719e-46	6.51023e-48	1.27557e-49	2.22833e-51	3.46301e-53	4.78163e-55	5.86306e-57	6.38413e-59	6.17514e-61	5.31307e-63	4.07301e-65	2.78754e-67	1.70954e-69	9.62034e-72	6.20542e-74	1.03831e-75	3.84857e-77	1.47799e-78	5.10387e-80	2.04108e-81	
N4	0.123493	0.139794	0.145491	0.140103	0.125169	0.10381	0.0798717	0.0569396	0.0375523	0.0228751	0.01285	0.00664603	0.00315879	0.00137544	0.000554279	0.000206714	7.14622e-05	2.3099e-05	7.26504e-06	2.5822e-06	1.37965e-06	1.12808e-06	1.05858e-06	9.66247e-07	6.67245e-07	3.89034e-07	2.00109e-07	9.26794e-08	3.90648e-08	1.50745e-08	5.34304e-09	1.74267e-09	5.23565e-10	1.44983e-10	3.70209e-11	8.72074e-12	1.89685e-12	3.82382e-13	7.2601e-14	1.39482e-14	3.41786e-15	1.38348e-15	7.75515e-16	4.54169e-16	2.50193e-16	1.26634e-16	5.87487e-17	2.04436e-17	6.01974e-18	1.56961e-18	3.70027e-19	7.97304e-20	1.57967e-20	2.88751e-21	4.87877e-22	7.62762e-23	1.10417e-23	1.48064e-24	1.83986e-25	2.11939e-26	2.26513e-27	2.24979e-28	2.08824e-29	1.85871e-30	1.78092e-31	2.52271e-32	6.2575e-33	2.00217e-33	6.67546e-34	2.40746e-34	1.41655e-34	
Calyptrocarya_glomerulata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scleria_foliosa	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N5	0.153883	0.17248	0.174529	0.158804	0.129105	0.0931111	0.0591485	0.0328857	0.0159201	0.00668413	0.00242674	0.000760084	0.00020489	4.73421e-05	9.4654e-06	1.63959e-06	2.46439e-07	3.22041e-08	3.67656e-09	3.82293e-10	6.44381e-11	7.00657e-11	1.20713e-10	1.58188e-10	5.10305e-11	1.25764e-11	2.6624e-12	4.96026e-13	8.17087e-14	1.18898e-14	1.52445e-15	1.71774e-16	1.69754e-17	1.46938e-18	1.11325e-19	7.37993e-21	4.27932e-22	2.17513e-23	9.71497e-25	3.82215e-26	1.33379e-27	4.9394e-29	1.06217e-29	8.59997e-30	6.09485e-30	3.28503e-30	1.27612e-30	1.22517e-31	9.13615e-33	5.94968e-34	3.4658e-35	1.81387e-36	8.51938e-38	3.58092e-39	1.34312e-40	4.48506e-42	1.33126e-43	3.50888e-45	8.20775e-47	1.70286e-48	3.13938e-50	5.15427e-52	7.5521e-54	9.89791e-56	1.16696e-57	1.32366e-59	3.73822e-61	7.19538e-62	1.67551e-62	3.20089e-63	7.00981e-64	
N6	0.0386608	0.0519732	0.0710686	0.0936242	0.114713	0.128167	0.129216	0.116903	0.0946363	0.068449	0.0442012	0.0254722	0.0130914	0.00598908	0.00246623	0.000915321	0.000307578	9.50914e-05	2.86136e-05	9.78808e-06	4.64408e-06	2.91876e-06	1.96792e-06	1.26431e-06	6.29091e-07	2.61764e-07	9.44503e-08	3.01105e-08	8.57539e-09	2.19731e-09	5.08998e-10	1.06954e-10	2.04358e-11	3.55718e-12	5.64937e-13	8.19895e-14	1.09041e-14	1.34061e-15	1.57299e-16	1.95967e-17	3.23011e-18	7.75531e-19	2.2264e-19	6.37538e-20	1.70428e-20	4.18431e-21	9.42027e-22	1.64786e-22	2.44258e-23	3.18319e-24	3.71345e-25	3.91718e-26	3.75937e-27	3.2955e-28	2.6457e-29	1.94885e-30	1.31893e-31	8.20944e-33	4.70347e-34	2.4824e-35	1.20853e-36	5.44359e-38	2.29271e-39	9.41287e-41	4.33607e-42	2.89288e-43	2.89102e-44	3.39961e-45	4.07888e-46	5.07645e-47	8.90528e-48	
