NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	2.07035e-012	2.29965e-012	2.83595e-012	3.8413e-012	5.62014e-012	8.72525e-012	1.41501e-011	2.3679e-011	4.05339e-011	7.05947e-011	1.2478e-010	2.23874e-010	4.08262e-010	7.58823e-010	1.44328e-009	2.82256e-009	5.70302e-009	1.19517e-008	2.60354e-008	4.93566e-008	8.56752e-008	1.39715e-007	2.17003e-007	3.23193e-007	4.62344e-007	6.33363e-007	8.23607e-007	9.99277e-007	1.2191e-006	1.50697e-006	1.90326e-006	2.47654e-006	3.34501e-006	4.71681e-006	6.9663e-006	1.07789e-005	1.74244e-005	2.92648e-005	5.06756e-005	8.966e-005	0.000160544	0.000288213	0.000514281	0.000905168	0.00156122	0.00264543	0.00437394	0.00702008	0.0108956	0.0163088	0.0234993	0.0325579	0.0433492	0.0554652	0.0682332	0.0807939	0.0922446	0.101816	0.109039	0.113843	0.11655	0.117711	
N2	7.75982e-007	6.71855e-007	7.22193e-007	9.09247e-007	1.26677e-006	1.88997e-006	2.97196e-006	4.88256e-006	8.3228e-006	1.4616e-005	2.6238e-005	4.77459e-005	8.73323e-005	0.000159284	0.000287628	0.000511107	0.00088931	0.00150912	0.00248972	0.00398851	0.00619194	0.00930131	0.0135045	0.0189352	0.0256248	0.033456	0.0421308	0.051168	0.0598529	0.0674324	0.0731722	0.0764736	0.0769772	0.0746276	0.0696831	0.0626693	0.0542868	0.0452964	0.0364067	0.0281886	0.0210266	0.0151114	0.010465	0.00698485	0.00449501	0.0027864	0.00166405	0.000957554	0.000530997	0.000283796	0.000146205	7.26131e-005	3.47724e-005	1.60583e-005	7.15355e-006	3.0752e-006	1.27675e-006	5.12968e-007	2.00608e-007	7.77555e-008	3.15919e-008	1.56959e-008	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	5.88584e-013	5.73942e-013	7.53508e-013	1.19083e-012	2.08109e-012	3.84005e-012	7.29104e-012	1.40113e-011	2.6939e-011	5.13987e-011	9.67989e-011	1.79427e-010	3.27049e-010	5.86817e-010	1.03956e-009	1.82727e-009	3.20884e-009	5.67907e-009	1.02348e-008	1.73225e-008	2.80935e-008	4.42473e-008	6.83395e-008	1.04263e-007	1.57979e-007	2.38542e-007	3.59267e-007	5.38249e-007	8.39419e-007	1.36544e-006	2.31419e-006	4.07109e-006	7.38997e-006	1.37407e-005	2.59596e-005	4.94247e-005	9.40911e-005	0.000177839	0.000331655	0.000607054	0.00108574	0.00189049	0.00319475	0.00522623	0.00825785	0.0126037	0.018545	0.0262608	0.0357347	0.0466642	0.0584031	0.0699704	0.0801487	0.0876754	0.0914925	0.0909942	0.0861934	0.077745	0.066803	0.054751	0.042886	0.0321565	
N4	5.02392e-012	4.82238e-012	6.07137e-012	8.94067e-012	1.42809e-011	2.39317e-011	4.14841e-011	7.38146e-011	1.34043e-010	2.47137e-010	4.60415e-010	8.63072e-010	1.62205e-009	3.04791e-009	5.71639e-009	1.06966e-008	1.99924e-008	3.74354e-008	7.05932e-008	1.28225e-007	2.26737e-007	3.93936e-007	6.78052e-007	1.1643e-006	2.00421e-006	3.46513e-006	6.00717e-006	1.03892e-005	1.81731e-005	3.19593e-005	5.6199e-005	9.83764e-005	0.000170826	0.00029342	0.000497338	0.000830022	0.00136109	0.00218842	0.00344284	0.0052887	0.00791691	0.0115268	0.0162942	0.0223255	0.0296042	0.0379935	0.0471284	0.0564333	0.0651604	0.0724773	0.077593	0.0798964	0.0790761	0.0751882	0.0686538	0.0601847	0.0506584	0.0409721	0.0319103	0.0240493	0.0177087	0.0129467	
N5	6.67232e-009	6.33622e-009	7.80968e-009	1.11613e-008	1.71522e-008	2.73867e-008	4.47422e-008	7.41367e-008	1.23759e-007	2.06956e-007	3.45089e-007	5.71925e-007	9.40425e-007	1.53421e-006	2.48821e-006	4.02787e-006	6.54588e-006	1.0755e-005	1.79946e-005	2.92689e-005	4.69912e-005	7.49676e-005	0.000118953	0.000187184	0.000290621	0.000442371	0.000655443	0.000937525	0.00131541	0.00180887	0.00243834	0.00322519	0.00419305	0.00537018	0.00679288	0.00850972	0.0105856	0.0131045	0.0161673	0.0198832	0.0243488	0.0296152	0.0356446	0.0422668	0.0491511	0.056024	0.0622632	0.0671748	0.0701185	0.0706397	0.0685711	0.0640743	0.057608	0.049836	0.0414998	0.0332935	0.0257694	0.0192909	0.0140331	0.0100187	0.00717091	0.00536416	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	2.04978e-009	1.6846e-009	1.36271e-009	1.18873e-009	2.96001e-009	1.3082e-008	4.52469e-008	1.09828e-007	1.86263e-007	2.20331e-007	1.80544e-007	1.01643e-007	3.97031e-008	1.27255e-008	9.09569e-009	1.78874e-008	3.29311e-008	4.72936e-008	7.5553e-008	4.09305e-007	3.61482e-006	2.45033e-005	0.00011537	0.000375506	0.00085218	0.00135734	0.0015197	0.00122274	0.00101593	0.00268167	0.0112263	0.0368659	0.0892794	0.160181	0.213445	0.210417	0.151892	0.0790613	0.0292012	0.00761172	0.00142759	0.000198595	2.11315e-005	1.76729e-006	1.18897e-007	6.55559e-009	3.01077e-010	1.16762e-011	3.86832e-013	1.10574e-014	2.7505e-016	5.99848e-018	1.15444e-019	1.97192e-021	3.00466e-023	4.10237e-025	5.03889e-027	5.58767e-029	5.61156e-031	5.1181e-033	4.2537e-035	3.65024e-037	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
