NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	2.13066e-012	2.36745e-012	2.92165e-012	3.96115e-012	5.80119e-012	9.01352e-012	1.46246e-011	2.44759e-011	4.18895e-011	7.2923e-011	1.28818e-010	2.30954e-010	4.2085e-010	7.81578e-010	1.48515e-009	2.90097e-009	5.85184e-009	1.22356e-008	2.65707e-008	5.02979e-008	8.72409e-008	1.42191e-007	2.20737e-007	3.28566e-007	4.6973e-007	6.43087e-007	8.3596e-007	1.01469e-006	1.23873e-006	1.53278e-006	1.93867e-006	2.52757e-006	3.42249e-006	4.84047e-006	7.17254e-006	1.11353e-005	1.80558e-005	3.04002e-005	5.27267e-005	9.33459e-005	0.000167076	0.000299541	0.000533373	0.000936264	0.00160993	0.00271837	0.00447766	0.00715926	0.0110705	0.0165126	0.0237163	0.0327635	0.0435131	0.0555572	0.0682306	0.0806894	0.0920498	0.101561	0.108762	0.113584	0.116331	0.117526	
N2	8.30582e-007	7.196e-007	7.72297e-007	9.70449e-007	1.35023e-006	2.01302e-006	3.16416e-006	5.19623e-006	8.85175e-006	1.55279e-005	2.7828e-005	5.05213e-005	9.21357e-005	0.000167458	0.000301204	0.000532988	0.000923353	0.00156003	0.00256259	0.00408801	0.0063209	0.00945902	0.0136849	0.0191259	0.0258068	0.033605	0.0422209	0.0511757	0.0597639	0.067245	0.0728993	0.0761419	0.0766229	0.0742895	0.0693962	0.0624581	0.0541627	0.045257	0.0364388	0.0282722	0.0211397	0.0152341	0.0105821	0.00708678	0.00457733	0.00284871	0.00170856	0.000987674	0.000550372	0.00029567	0.000153151	7.64975e-005	3.68512e-005	1.71241e-005	7.67746e-006	3.3224e-006	1.38886e-006	5.6197e-007	2.21401e-007	8.64932e-008	3.54378e-008	1.77336e-008	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	6.25344e-013	6.11025e-013	8.02218e-013	1.26607e-012	2.20766e-012	4.06218e-012	7.68827e-012	1.47246e-011	2.82126e-011	5.36469e-011	1.00709e-010	1.86123e-010	3.38359e-010	6.0572e-010	1.07098e-009	1.87952e-009	3.2963e-009	5.82719e-009	1.04894e-008	1.77496e-008	2.87998e-008	4.54054e-008	7.02298e-008	1.07345e-007	1.63009e-007	2.46777e-007	3.728e-007	5.60561e-007	8.77219e-007	1.43115e-006	2.43103e-006	4.28273e-006	7.7783e-006	1.44577e-005	2.72821e-005	5.18437e-005	9.84474e-005	0.000185513	0.000344797	0.000628823	0.00112044	0.00194348	0.0032719	0.00533279	0.00839666	0.0127727	0.0187344	0.0264521	0.0359008	0.0467727	0.058423	0.0698802	0.0799452	0.0873784	0.0911441	0.0906512	0.085914	0.0775739	0.0667609	0.0548303	0.0430561	0.0323751	
N4	5.31585e-012	5.11298e-012	6.44212e-012	9.49096e-012	1.51677e-011	2.54321e-011	4.41064e-011	7.85057e-011	1.4257e-010	2.62787e-010	4.89251e-010	9.1616e-010	1.71934e-009	3.22496e-009	6.03592e-009	1.12687e-008	2.10107e-008	3.9243e-008	7.381e-008	1.33803e-007	2.36278e-007	4.10187e-007	7.05839e-007	1.21217e-006	2.0873e-006	3.60975e-006	6.25799e-006	1.08197e-005	1.8908e-005	3.32008e-005	5.82666e-005	0.000101762	0.000176264	0.000301969	0.000510465	0.000849653	0.00138959	0.00222843	0.00349689	0.00535854	0.0080026	0.0116256	0.0163995	0.0224266	0.0296866	0.0380394	0.04712	0.0563569	0.0650109	0.0722614	0.07733	0.0796161	0.0788137	0.0749772	0.0685193	0.0601389	0.0506994	0.0410857	0.0320745	0.0242394	0.0179019	0.0131249	
N5	6.97073e-009	6.61477e-009	8.12814e-009	1.15835e-008	1.7765e-008	2.83226e-008	4.62089e-008	7.64539e-008	1.27402e-007	2.126e-007	3.53653e-007	5.84601e-007	9.58711e-007	1.55999e-006	2.52392e-006	4.07696e-006	6.61366e-006	1.08499e-005	1.81296e-005	2.94739e-005	4.73136e-005	7.54717e-005	0.000119709	0.000188235	0.000291924	0.000443709	0.000656339	0.000937256	0.0013128	0.00180228	0.00242572	0.00320418	0.00416123	0.00532537	0.00673368	0.00843605	0.0104993	0.0130097	0.0160705	0.0197923	0.0242721	0.0295588	0.0356114	0.0422554	0.0491564	0.056031	0.0622585	0.0671509	0.070077	0.0705908	0.0685305	0.0640579	0.0576274	0.0498952	0.0415946	0.0334137	0.0259019	0.0194232	0.0141558	0.0101267	0.0072625	0.00543951	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	2.0417e-009	1.67347e-009	1.35031e-009	1.18245e-009	2.93996e-009	1.28436e-008	4.40127e-008	1.0612e-007	1.79156e-007	2.11398e-007	1.732e-007	9.77801e-008	3.84396e-008	1.24676e-008	9.00945e-009	1.7654e-008	3.23811e-008	4.65058e-008	7.57667e-008	4.17643e-007	3.6463e-006	2.44103e-005	0.000113844	0.000368014	0.000831247	0.00132015	0.00147666	0.0011923	0.00101515	0.00274377	0.011433	0.0373035	0.0898634	0.16055	0.213249	0.209778	0.151315	0.0788455	0.0292255	0.00766792	0.0014511	0.000204043	2.1972e-005	1.86126e-006	1.26911e-007	7.09538e-009	3.30552e-010	1.30075e-011	4.37378e-013	1.26918e-014	3.20562e-016	7.0998e-018	1.38789e-019	2.40835e-021	3.72854e-023	5.17312e-025	6.45777e-027	7.27875e-029	7.4307e-031	6.8897e-033	5.82136e-035	5.08506e-037	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	2.05677e-010	2.40207e-010	3.67517e-010	6.05891e-010	9.76778e-010	1.48317e-009	2.09543e-009	2.74744e-009	3.34787e-009	3.8052e-009	4.05804e-009	4.10227e-009	4.02265e-009	4.05914e-009	4.78588e-009	7.54814e-009	1.53876e-008	3.472e-008	7.78274e-008	1.65656e-007	3.2898e-007	6.05828e-007	1.03657e-006	1.67648e-006	2.70868e-006	4.93833e-006	1.1523e-005	3.32542e-005	0.000102669	0.00030706	0.000853725	0.00217437	0.00504492	0.0106362	0.0203472	0.0352862	0.055439	0.0788789	0.101615	0.118522	0.125187	0.119779	0.103868	0.0816887	0.058321	0.0377871	0.0222383	0.0118984	0.00579314	0.00256918	0.00103886	0.000383388	0.000129261	3.98548e-005	1.12492e-005	2.90992e-006	6.90842e-007	1.50874e-007	3.04509e-008	5.74087e-009	1.04191e-009	2.17458e-010	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
