NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	7.42753e-021	1.09811e-020	2.12304e-020	4.5848e-020	1.02829e-019	2.33747e-019	5.33459e-019	1.21586e-018	2.75466e-018	6.15845e-018	1.34467e-017	2.83769e-017	5.74736e-017	1.11658e-016	2.88973e-013	9.77563e-013	3.26942e-012	1.09965e-011	3.71816e-011	1.2475e-010	4.07928e-010	1.27787e-009	3.78202e-009	1.04695e-008	2.69281e-008	6.41092e-008	1.41087e-007	2.87261e-007	5.42681e-007	9.55968e-007	1.58214e-006	2.49088e-006	3.80142e-006	5.71564e-006	8.59228e-006	1.30856e-005	2.04053e-005	3.28035e-005	5.44728e-005	9.31585e-005	0.000162929	0.000288679	0.000512928	0.000905214	0.00157354	0.00267588	0.00442784	0.00710032	0.0110004	0.0164299	0.0236214	0.0326601	0.0434095	0.0554657	0.0681667	0.0806682	0.0920824	0.101651	0.108906	0.113768	0.11654	0.117746	
N2	4.00486e-008	3.77021e-008	4.84356e-008	7.96962e-008	1.54505e-007	3.29912e-007	7.38712e-007	1.67947e-006	3.79514e-006	8.41678e-006	1.8174e-005	3.80491e-005	7.70449e-005	0.000150773	0.000285062	0.000520931	0.000920345	0.0015728	0.00259997	0.00415805	0.00643107	0.00961704	0.0138964	0.0193954	0.0261312	0.0339735	0.0426009	0.0515122	0.0600413	0.0674542	0.0730248	0.0761808	0.0765682	0.0741515	0.0691817	0.0621908	0.0538597	0.0449455	0.0361356	0.027997	0.0209002	0.0150375	0.0104259	0.00696812	0.0044884	0.00278761	0.00166887	0.000963622	0.000536461	0.000288167	0.000149289	7.4669e-005	3.60348e-005	1.68041e-005	7.56627e-006	3.29694e-006	1.38936e-006	5.68929e-007	2.27207e-007	9.04727e-008	3.78571e-008	1.95063e-008	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	6.73275e-021	1.30224e-020	4.84233e-020	2.35887e-019	1.24816e-018	6.61893e-018	3.39695e-017	1.66227e-016	7.69986e-016	3.36031e-015	1.37683e-014	5.29296e-014	1.91568e-013	6.57821e-013	2.16451e-012	6.88486e-012	2.12646e-011	6.37301e-011	1.84518e-010	5.13096e-010	1.36273e-009	3.4421e-009	8.24783e-009	1.87367e-008	4.04114e-008	8.30578e-008	1.63671e-007	3.11879e-007	5.80737e-007	1.06865e-006	1.9631e-006	3.62642e-006	6.76321e-006	1.27397e-005	2.41877e-005	4.61113e-005	8.78348e-005	0.000166262	0.000310997	0.000571806	0.00102847	0.00180216	0.00306592	0.00504977	0.0080341	0.012324	0.0181992	0.0258386	0.0352284	0.046074	0.0577427	0.0692731	0.0794703	0.0870922	0.0910919	0.090861	0.0863923	0.0783077	0.0677206	0.055981	0.0443645	0.0338232	
N4	2.91263e-018	4.21765e-018	1.05739e-017	3.5631e-017	1.37864e-016	5.61699e-016	2.30098e-015	9.25903e-015	3.61662e-014	1.36346e-013	4.94915e-013	1.72969e-012	5.82764e-012	1.89568e-011	5.95824e-011	1.80906e-010	5.29968e-010	1.4952e-009	4.05345e-009	1.05364e-008	2.62194e-008	6.24303e-008	1.42377e-007	3.11874e-007	6.5927e-007	1.3534e-006	2.71696e-006	5.36693e-006	1.04731e-005	2.02098e-005	3.85005e-005	7.22019e-005	0.000132953	0.000239837	0.000423086	0.000728925	0.00122535	0.00200818	0.00320592	0.00498098	0.00752396	0.0110373	0.0157054	0.0216512	0.028883	0.0372425	0.0463672	0.0556858	0.0644562	0.071854	0.0770938	0.0795691	0.0789639	0.0753264	0.0690574	0.060851	0.0515593	0.0420671	0.0331451	0.0253778	0.0190947	0.0143905	
N5	2.80987e-014	3.37263e-014	6.68077e-014	1.83258e-013	5.91347e-013	2.02876e-012	7.00922e-012	2.37572e-011	7.80059e-011	2.46737e-010	7.49195e-010	2.17811e-009	6.04631e-009	1.60004e-008	4.03801e-008	9.75299e-008	2.26697e-007	5.10012e-007	1.11516e-006	2.37604e-006	4.93998e-006	1.00328e-005	1.99212e-005	3.86973e-005	7.34938e-005	0.000136174	0.00024519	0.000426993	0.000715745	0.00115055	0.00176975	0.00260614	0.00368658	0.00502737	0.00663485	0.00851462	0.0106824	0.0131829	0.0160971	0.0195487	0.023678	0.0286124	0.0343946	0.0409407	0.0479653	0.0550098	0.0614288	0.0665523	0.0697157	0.0705096	0.0687216	0.0645615	0.0584041	0.0509581	0.0428558	0.0348482	0.0273885	0.0209227	0.0155618	0.0114311	0.00842726	0.00653558	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	2.47423e-022	4.2943e-021	1.18801e-019	3.16265e-018	7.20874e-017	1.35371e-015	1.99837e-014	1.70974e-013	1.76992e-012	1.54521e-011	5.10005e-011	1.38749e-010	1.00511e-009	1.05986e-008	6.8522e-008	2.36852e-007	4.99212e-007	7.09023e-007	7.41525e-007	1.21644e-006	4.06285e-006	1.10042e-005	2.1623e-005	3.2174e-005	3.67292e-005	3.21562e-005	2.43053e-005	5.26155e-005	0.000386956	0.0024541	0.0111908	0.036945	0.0895299	0.160745	0.214413	0.211713	0.153185	0.0800152	0.0297023	0.0077964	0.00147466	0.000207141	2.22722e-005	1.88349e-006	1.28153e-007	7.15231e-009	3.32665e-010	1.30732e-011	4.39014e-013	1.27264e-014	3.21115e-016	7.10778e-018	1.38876e-019	2.41025e-021	3.73332e-023	5.1884e-025	6.49314e-027	7.35326e-029	7.55645e-031	7.08237e-033	6.07292e-035	5.42408e-037	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
