NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.439e-020	2.07277e-020	3.85713e-020	8.00949e-020	1.72756e-019	3.77506e-019	8.28094e-019	1.81474e-018	3.95606e-018	8.52401e-018	1.7997e-017	3.69159e-017	7.31587e-017	1.40057e-016	4.4578e-013	1.49042e-012	4.91929e-012	1.62148e-011	5.32646e-011	1.72399e-010	5.41688e-010	1.62911e-009	4.63614e-009	1.23799e-008	3.08462e-008	7.14874e-008	1.53939e-007	3.0828e-007	5.75722e-007	1.00738e-006	1.66373e-006	2.62552e-006	4.03227e-006	6.12185e-006	9.31597e-006	1.43782e-005	2.27058e-005	3.68664e-005	6.15623e-005	0.000105314	0.00018326	0.000321571	0.000563888	0.000979922	0.00167557	0.00280263	0.00456469	0.00721406	0.0110342	0.0163037	0.0232414	0.0319402	0.042303	0.0540019	0.0664791	0.0790025	0.0907731	0.101063	0.109351	0.115408	0.119296	0.12123	
N2	9.40205e-008	8.76307e-008	1.08446e-007	1.69161e-007	3.09024e-007	6.21529e-007	1.31419e-006	2.8323e-006	6.09223e-006	1.29121e-005	2.67402e-005	5.38654e-005	0.000105239	0.000199198	0.000365043	0.000647768	0.00111307	0.00185271	0.00298723	0.00466617	0.00705918	0.0103416	0.0146636	0.0201185	0.0266947	0.0342464	0.0424591	0.0508655	0.0588601	0.0657869	0.0710012	0.0739965	0.074454	0.0723327	0.0678388	0.0614296	0.0536989	0.0453232	0.0369297	0.0290553	0.0220698	0.0161887	0.0114652	0.00784239	0.00517981	0.00330489	0.00203635	0.00121234	0.000697139	0.000387466	0.000208047	0.000108021	5.42008e-005	2.63166e-005	1.23549e-005	5.61999e-006	2.47562e-006	1.06105e-006	4.44439e-007	1.86135e-007	8.21479e-008	4.42317e-008	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	2.10407e-020	3.85457e-020	1.32094e-019	5.93413e-019	2.91358e-018	1.44286e-017	6.95479e-017	3.21237e-016	1.41106e-015	5.86853e-015	2.30437e-014	8.54079e-014	2.99676e-013	1.00162e-012	3.21355e-012	9.96343e-012	2.99533e-011	8.72698e-011	2.45582e-010	6.645e-010	1.72148e-009	4.25625e-009	1.00254e-008	2.24954e-008	4.81687e-008	9.87956e-008	1.95216e-007	3.74471e-007	7.03596e-007	1.30673e-006	2.41787e-006	4.48271e-006	8.35453e-006	1.56579e-005	2.94583e-005	5.54543e-005	0.000104011	0.000193459	0.000355111	0.000640338	0.0011296	0.00194244	0.00324616	0.00525909	0.00824291	0.012478	0.0182175	0.0256195	0.0346661	0.0450856	0.0563022	0.0674428	0.0774179	0.0850824	0.0894465	0.0898931	0.0863295	0.0792297	0.0695318	0.0584298	0.0471037	0.036492	
N4	8.58869e-018	1.21164e-017	2.88161e-017	9.14242e-017	3.3341e-016	1.28569e-015	5.0079e-015	1.92406e-014	7.20137e-014	2.60956e-013	9.12877e-013	3.08089e-012	1.00361e-011	3.15824e-011	9.60468e-011	2.82199e-010	8.00283e-010	2.18736e-009	5.75249e-009	1.4535e-008	3.52546e-008	8.20961e-008	1.83806e-007	3.96836e-007	8.29779e-007	1.68936e-006	3.36702e-006	6.59873e-006	1.2749e-005	2.42906e-005	4.55761e-005	8.40416e-005	0.000152054	0.000269514	0.000467416	0.000792393	0.00131199	0.00211998	0.00334024	0.00512705	0.00765869	0.0111215	0.015682	0.0214474	0.0284188	0.0364457	0.0451938	0.0541419	0.0626143	0.0698579	0.0751453	0.077899	0.0777899	0.0748106	0.0692738	0.0617721	0.0530666	0.0439798	0.0352579	0.0274975	0.0210645	0.0161003	
N5	6.72141e-014	7.86708e-014	1.4702e-013	3.76519e-013	1.13675e-012	3.66961e-012	1.19981e-011	3.86743e-011	1.21254e-010	3.67448e-010	1.07213e-009	3.00434e-009	8.06667e-009	2.07324e-008	5.10399e-008	1.20741e-007	2.75714e-007	6.10557e-007	1.31553e-006	2.76412e-006	5.67044e-006	1.13673e-005	2.22749e-005	4.26599e-005	7.97405e-005	0.00014512	0.000256206	0.0004371	0.000717933	0.0011323	0.0017126	0.00248703	0.00348053	0.00471254	0.00619892	0.00796102	0.0100343	0.0124826	0.0153997	0.0189101	0.0231397	0.028188	0.0340628	0.040649	0.0476461	0.0546037	0.0609108	0.0659467	0.0691003	0.0699955	0.0684303	0.0645843	0.0587877	0.051682	0.0438534	0.0360122	0.0286117	0.0221061	0.0166431	0.0123758	0.00923186	0.00720424	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	3.99305e-022	6.23242e-021	1.546e-019	3.71298e-018	7.75437e-017	1.35252e-015	1.85582e-014	1.65652e-013	1.7222e-012	1.38254e-011	4.50572e-011	1.35194e-010	1.0459e-009	1.01484e-008	6.0966e-008	2.02969e-007	4.1893e-007	5.89811e-007	6.54487e-007	1.28915e-006	4.39952e-006	1.1621e-005	2.2309e-005	3.25621e-005	3.66662e-005	3.19998e-005	2.58316e-005	6.77933e-005	0.000481803	0.00286486	0.0124146	0.0393889	0.0925238	0.162161	0.212552	0.207723	0.150077	0.0791974	0.0301646	0.00827219	0.00165976	0.000250068	2.90658e-005	2.67184e-006	1.98411e-007	1.21227e-008	6.1877e-010	2.67373e-011	9.88898e-013	3.16177e-014	8.81046e-016	2.15616e-017	4.66286e-019	8.96583e-021	1.54006e-022	2.3755e-024	3.30218e-026	4.15645e-028	4.75e-030	4.95202e-032	4.72413e-034	4.73083e-036	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
