NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.48801e-021	2.07425e-021	3.63551e-021	7.05054e-021	1.41834e-020	2.89265e-020	5.93822e-020	1.22399e-019	2.5294e-019	5.23239e-019	1.08155e-018	2.22947e-018	4.57392e-018	9.3211e-018	1.88353e-017	3.76816e-017	7.45357e-017	1.45613e-016	4.66803e-013	1.68653e-012	5.91724e-012	2.0142e-011	6.64696e-011	2.1253e-010	6.58101e-010	1.97277e-009	5.72323e-009	1.60653e-008	4.36248e-008	1.14581e-007	2.91052e-007	7.14942e-007	1.69816e-006	3.90005e-006	8.66021e-006	1.85926e-005	3.85923e-005	7.74476e-005	0.000150268	0.000281898	0.000511325	0.000896828	0.00152112	0.00249519	0.00395902	0.006077	0.00902613	0.0129759	0.0180612	0.0243504	0.0318159	0.0403126	0.0495731	0.0592234	0.0688201	0.0779047	0.0860643	0.0929866	0.0984948	0.102551	0.105219	0.106578	
N2	3.06889e-006	2.83587e-006	3.13644e-006	4.07018e-006	5.97402e-006	9.54572e-006	1.60843e-005	2.79002e-005	4.8967e-005	8.59046e-005	0.000149379	0.000255984	0.000430595	0.000709069	0.00114097	0.00179173	0.00274357	0.00409391	0.00595062	0.00842283	0.0116074	0.0155715	0.0203327	0.0258399	0.031959	0.0384664	0.0450543	0.0513507	0.0569508	0.061459	0.0645351	0.065936	0.0655477	0.0634006	0.0596654	0.0546308	0.0486664	0.0421782	0.0355634	0.0291718	0.0232784	0.01807	0.0136444	0.0100213	0.00715868	0.0049734	0.00336003	0.00220727	0.00140972	0.000875203	0.00052808	0.000309608	0.000176336	9.75403e-005	5.23931e-005	2.73324e-005	1.38623e-005	6.85725e-006	3.33751e-006	1.63308e-006	8.43145e-007	5.03371e-007	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	6.25647e-022	1.16684e-021	3.90356e-021	1.7e-020	8.12739e-020	3.96118e-019	1.9095e-018	8.99358e-018	4.11832e-017	1.82977e-016	7.88111e-016	3.28943e-015	1.33017e-014	5.21072e-014	1.97719e-013	7.26648e-013	2.5864e-012	8.91525e-012	2.97583e-011	9.61815e-011	3.00995e-010	9.1198e-010	2.67515e-009	7.59668e-009	2.08831e-008	5.55703e-008	1.43137e-007	3.56868e-007	8.61192e-007	2.0115e-006	4.54738e-006	9.94994e-006	2.10716e-005	4.31914e-005	8.56887e-005	0.000164546	0.000305843	0.000550267	0.000958358	0.00161576	0.00263717	0.00416697	0.00637432	0.00944006	0.0135342	0.0187835	0.0252329	0.0328051	0.0412685	0.0502227	0.0591117	0.0672696	0.0739977	0.078663	0.0807988	0.0801873	0.0768996	0.0712847	0.0639035	0.0554259	0.0465132	0.0377169	
N4	2.10039e-018	3.21312e-018	8.17163e-018	2.72698e-017	1.02433e-016	4.00224e-016	1.56682e-015	6.04157e-015	2.27682e-014	8.35649e-014	2.98216e-013	1.03398e-012	3.48179e-012	1.13843e-011	3.61382e-011	1.11363e-010	3.33116e-010	9.67166e-010	2.72539e-009	7.45337e-009	1.97809e-008	5.09432e-008	1.27305e-007	3.08676e-007	7.26164e-007	1.65736e-006	3.66967e-006	7.88214e-006	1.64227e-005	3.31903e-005	6.50606e-005	0.000123694	0.000228076	0.000407845	0.00070725	0.00118932	0.00193932	0.00306629	0.00470083	0.00698743	0.01007	0.0140702	0.0190597	0.0250308	0.0318686	0.039335	0.0470668	0.0545967	0.0613943	0.0669259	0.0707227	0.0724465	0.0719403	0.0692538	0.0646383	0.0585125	0.0514044	0.0438806	0.0364744	0.0296222	0.0236179	0.0185893	
N5	2.69989e-017	4.018e-017	9.94848e-017	3.26087e-016	1.20579e-015	4.62878e-015	1.7754e-014	6.69061e-014	2.45932e-013	8.78953e-013	3.05e-012	1.02689e-011	3.35339e-011	1.06192e-010	3.26046e-010	9.70497e-010	2.80022e-009	7.83119e-009	2.12256e-008	5.57508e-008	1.41893e-007	3.49908e-007	8.35974e-007	1.93484e-006	4.33788e-006	9.4202e-006	1.98136e-005	4.03606e-005	7.96195e-005	0.000152098	0.00028135	0.00050393	0.000873925	0.00146738	0.00238541	0.00375423	0.00572017	0.00843761	0.0120489	0.0166569	0.0222925	0.0288832	0.0362295	0.0439968	0.0517288	0.0588864	0.0649064	0.0692741	0.071596	0.0716582	0.0694587	0.0652076	0.0592941	0.0522289	0.0445738	0.0368714	0.029588	0.0230758	0.0175568	0.0131257	0.00976449	0.00736389	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N6	1.54693e-050	1.64513e-048	2.38585e-046	3.59664e-044	5.31389e-042	7.45085e-040	9.75658e-038	1.18321e-035	1.32212e-033	1.35583e-031	1.27143e-029	1.08625e-027	8.42228e-026	5.90151e-024	3.71992e-022	2.0987e-020	1.05388e-018	4.6814e-017	1.82691e-015	6.21548e-014	1.82768e-012	4.60018e-011	9.80258e-010	1.7468e-008	2.56746e-007	3.06582e-006	2.92684e-005	0.00021986	0.00128169	0.00574569	0.0197481	0.0521157	0.105932	0.166282	0.201764	0.18905	0.136418	0.0755706	0.0320886	0.0104745	0.0026524	0.000528246	8.40623e-005	1.08609e-005	1.15652e-006	1.02894e-007	7.74224e-009	4.98049e-010	2.76529e-011	1.33637e-012	5.66309e-014	2.11826e-015	7.03436e-017	2.08458e-018	5.53759e-020	1.32384e-021	2.85774e-023	5.58596e-025	9.90838e-027	1.59731e-028	2.34731e-030	3.74154e-032	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
