NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.0955855	0.095124	0.0941036	0.0923173	0.0895078	0.0854361	0.0799512	0.0730498	0.0649097	0.0558864	0.0464683	0.0372007	0.0285953	0.0210509	0.0148844	0.0100906	0.00654934	0.00406483	0.00240988	0.00136355	0.000735752	0.000378345	0.000185306	8.64031e-005	3.83381e-005	1.61829e-005	6.49686e-006	2.48037e-006	9.00504e-007	3.10943e-007	1.02167e-007	3.19794e-008	9.49747e-009	2.67626e-009	7.15542e-010	1.8152e-010	4.36909e-011	9.97735e-012	2.16163e-012	4.44294e-013	1.21431e-016	5.22248e-017	2.18763e-017	8.92536e-018	3.54688e-018	1.37295e-018	5.1771e-019	1.90191e-019	6.80843e-020	2.3758e-020	8.08812e-021	2.68219e-021	8.66505e-022	2.72727e-022	8.36371e-023	2.49935e-023	7.27879e-024	2.06607e-024	5.71665e-025	1.54214e-025	4.05692e-026	1.04118e-026	2.60867e-027	6.38962e-028	1.53427e-028	3.63218e-029	8.57536e-030	2.06684e-030	5.39061e-031	1.93663e-031	
N2	0.0301557	0.0326069	0.0354722	0.038692	0.0421531	0.0456938	0.049114	0.0521901	0.0546932	0.0564104	0.0571668	0.0568442	0.0553965	0.0528564	0.0495259	0.0455481	0.0411108	0.0364268	0.031712	0.0271646	0.0228459	0.0188737	0.015326	0.0122424	0.00962875	0.00746455	0.00571074	0.00431765	0.00323149	0.00239926	0.00177202	0.00130665	0.000962513	0.000711884	0.00053169	0.000403275	0.000311973	0.000246583	0.000198825	0.000157128	0.000121357	9.14399e-005	6.71453e-005	4.80255e-005	3.34514e-005	2.26911e-005	1.49929e-005	9.65311e-006	6.05969e-006	3.71193e-006	2.22148e-006	1.29543e-006	7.36612e-007	4.08839e-007	2.21798e-007	1.17848e-007	6.15079e-008	3.16712e-008	1.61904e-008	8.29184e-009	4.30652e-009	2.30113e-009	1.28301e-009	7.54259e-010	4.7004e-010	3.11603e-010	2.21768e-010	1.73325e-010	1.54571e-010	1.64224e-010	
N3	0.00802457	0.00904291	0.0106153	0.012828	0.0157627	0.0194776	0.0239834	0.02922	0.0350378	0.0411888	0.0473324	0.0530586	0.057927	0.0615183	0.0637272	0.0643365	0.0632599	0.060555	0.0564158	0.0511462	0.0450807	0.0386261	0.0321709	0.0260458	0.0204991	0.0156858	0.0116717	0.00844789	0.00594995	0.00408005	0.00272599	0.00177638	0.00112566	0.000693975	0.000416455	0.00024341	0.00013866	7.7044e-005	4.17911e-005	2.21053e-005	1.14066e-005	5.74442e-006	2.82453e-006	1.35657e-006	6.36685e-007	2.92142e-007	1.3112e-007	5.75969e-008	2.47801e-008	1.04527e-008	4.32983e-009	1.75734e-009	6.994e-010	2.73206e-010	1.04864e-010	3.95989e-011	1.47326e-011	5.4084e-012	1.96213e-012	7.04525e-013	2.50687e-013	8.84823e-014	3.09976e-014	1.07815e-014	3.72513e-015	1.28166e-015	4.43446e-016	1.59626e-016	6.62294e-017	4.00274e-017	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00221211	0.00248304	0.00289596	0.00347734	0.00426007	0.00528314	0.00659039	0.00822814	0.0102413	0.0126677	0.0155309	0.0188312	0.0225363	0.026573	0.0309297	0.0354773	0.0400482	0.0444449	0.0484559	0.0518763	0.0544192	0.0559012	0.0562027	0.0552829	0.0531872	0.0500434	0.0460483	0.041446	0.0365022	0.0314777	0.0266049	0.0220706	0.017934	0.0143028	0.0112237	0.00869233	0.00666724	0.00508407	0.00386842	0.00290271	0.00214513	0.00155895	0.00111243	0.000778269	0.000533115	0.000357152	0.000233796	0.000149452	9.32633e-005	5.68204e-005	3.38182e-005	1.96026e-005	1.10715e-005	6.0979e-006	3.27933e-006	1.72515e-006	8.90095e-007	4.52022e-007	2.2699e-007	1.13367e-007	5.66901e-008	2.85809e-008	1.46197e-008	7.62562e-009	4.0722e-009	2.23751e-009	1.27844e-009	7.7941e-010	5.38137e-010	4.70009e-010	
N5	0.000240463	0.000269027	0.000311843	0.000371696	0.000452341	0.000558616	0.000696568	0.000873571	0.00109839	0.0013811	0.00173283	0.00216525	0.00268983	0.00331713	0.00406051	0.00492895	0.00593082	0.00707533	0.00837457	0.00984557	0.0115059	0.013382	0.0155049	0.0179078	0.020622	0.0236718	0.0270674	0.030796	0.0348109	0.0390215	0.0432865	0.0474149	0.0510233	0.0538235	0.0555519	0.056011	0.0551053	0.0528631	0.0494377	0.0450052	0.0398791	0.0344035	0.0289088	0.0236761	0.0189142	0.0147521	0.0112443	0.00838391	0.00612118	0.00438073	0.00307662	0.00211453	0.00142298	0.00093816	0.000606409	0.000384668	0.000239774	0.00014711	8.90173e-005	5.32467e-005	3.15601e-005	1.858e-005	1.08906e-005	6.37287e-006	3.73804e-006	2.21399e-006	1.34388e-006	8.61778e-007	6.19745e-007	5.49677e-007	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	9.74674e-008	2.46326e-007	5.61003e-007	9.74239e-007	1.27701e-006	1.26359e-006	9.42204e-007	5.27834e-007	2.26451e-007	1.00779e-007	1.30611e-007	3.01525e-007	5.82819e-007	8.58264e-007	9.66014e-007	8.61844e-007	8.84968e-007	2.79332e-006	1.42432e-005	5.96892e-005	0.000187174	0.000435923	0.000757408	0.000987717	0.000972798	0.000749523	0.000655034	0.00173252	0.00729623	0.0250873	0.0649129	0.126431	0.186124	0.208214	0.177293	0.114654	0.0559979	0.0205002	0.00559088	0.00113663	0.000174376	2.05857e-005	1.91095e-006	1.42413e-007	8.6814e-009	4.40065e-010	1.88173e-011	6.87303e-013	2.16799e-014	5.96358e-016	1.44354e-017	3.09334e-019	5.90913e-021	1.0127e-022	1.56625e-024	2.19835e-026	2.81525e-028	3.30677e-030	3.58127e-032	3.59523e-034	3.36381e-036	2.9495e-038	2.43711e-040	1.90771e-042	1.42146e-044	1.01217e-046	6.90696e-049	4.52398e-051	2.84787e-053	1.99528e-055	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
