NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.208253	0.193013	0.166935	0.135266	0.102909	0.0735892	0.0494827	0.0312883	0.0185997	0.0103914	0.00545412	0.00268822	0.00124362	0.000539705	0.000219575	8.36833e-005	2.98507e-005	9.95715e-006	3.10295e-006	9.02552e-007	2.44819e-007	6.18781e-008	1.45622e-008	3.18884e-009	6.49388e-010	1.22921e-010	2.16183e-011	3.53134e-012	5.35624e-013	8.57446e-017	3.09983e-017	1.0796e-017	3.62217e-018	1.17071e-018	3.6451e-019	1.09335e-019	3.15955e-020	8.79687e-021	2.35996e-021	6.10092e-022	1.52e-022	3.65009e-023	8.44943e-024	1.88571e-024	4.058e-025	8.42179e-026	1.68586e-026	3.25567e-027	6.06643e-028	1.09089e-028	1.89349e-029	3.17294e-030	5.13409e-031	8.02332e-032	1.21121e-032	1.76665e-033	2.49022e-034	3.39292e-035	4.46941e-036	5.69334e-037	7.01499e-038	8.36269e-039	9.6487e-040	1.078e-040	1.16746e-041	1.22869e-042	1.26573e-043	1.30363e-044	1.42991e-045	2.21306e-046	
N2	0.0437609	0.0502354	0.0572481	0.064765	0.0711852	0.0764167	0.0788505	0.0790872	0.0760332	0.0711531	0.0638434	0.0560135	0.0471723	0.039107	0.0311512	0.0246394	0.0187164	0.0142661	0.0104186	0.00773131	0.0054666	0.00398194	0.00274091	0.00197058	0.00132212	0.000937455	0.000612094	0.000426581	0.000269645	0.000183385	0.000111844	7.39782e-005	4.33384e-005	2.77329e-005	1.56114e-005	9.67711e-006	5.2224e-006	3.12473e-006	1.62222e-006	9.40999e-007	4.68817e-007	2.6241e-007	1.26093e-007	6.85233e-008	3.16212e-008	1.65618e-008	7.38355e-009	3.7561e-009	1.60636e-009	7.85441e-010	3.24542e-010	1.54048e-010	6.09237e-011	2.77134e-011	1.05843e-011	4.67267e-012	1.70417e-012	7.19396e-013	2.53656e-013	1.04205e-013	3.52636e-014	1.39815e-014	4.69936e-015	1.88648e-015	6.64559e-016	2.88724e-016	1.24868e-016	6.95569e-017	4.62252e-017	4.6819e-017	
N3	0.00540235	0.00677364	0.00899331	0.0123369	0.0168252	0.0226501	0.0294988	0.037359	0.0454691	0.0537025	0.0609975	0.067359	0.0716567	0.0741907	0.073963	0.0716686	0.0666817	0.0601463	0.0519217	0.0433594	0.0345628	0.0266265	0.019548	0.0138725	0.00937243	0.0061274	0.00381157	0.0022983	0.00131797	0.000734231	0.000388868	0.000200592	9.83142e-005	4.70631e-005	2.13929e-005	9.5259e-006	4.0237e-006	1.66984e-006	6.56661e-007	2.54448e-007	9.32847e-008	3.37906e-008	1.15642e-008	3.92048e-009	1.25347e-009	3.97955e-010	1.18983e-010	3.5408e-011	9.90627e-012	2.76486e-012	7.24767e-013	1.89993e-013	4.67304e-014	1.15255e-014	2.66847e-015	6.21755e-016	1.36239e-016	3.01956e-017	6.33253e-018	1.35347e-018	2.76748e-019	5.82061e-020	1.19067e-020	2.51975e-021	5.25659e-022	1.12899e-022	2.40844e-023	5.31581e-024	1.2931e-024	5.14581e-025	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0012073	0.00161121	0.00236089	0.00362026	0.00551437	0.00824571	0.0118425	0.0164464	0.0218135	0.0279782	0.0343599	0.0410431	0.0472086	0.0531874	0.057924	0.062031	0.0641596	0.0652988	0.0639721	0.0617205	0.0571501	0.0522947	0.0458648	0.0399941	0.0333895	0.0279167	0.022305	0.0179771	0.0137897	0.0107378	0.00791458	0.00595338	0.00420741	0.00304669	0.00205754	0.00142838	0.000917116	0.000606863	0.000368966	0.000231801	0.000132855	7.8881e-005	4.25333e-005	2.38312e-005	1.20571e-005	6.35758e-006	3.01875e-006	1.49919e-006	6.67134e-007	3.11502e-007	1.30144e-007	5.72692e-008	2.24429e-008	9.29333e-009	3.42659e-009	1.34038e-009	4.64953e-010	1.71763e-010	5.64698e-011	1.99004e-011	6.26538e-012	2.13647e-012	6.67502e-013	2.29967e-013	7.5611e-014	2.78578e-014	1.03968e-014	4.42904e-015	2.15635e-015	1.56221e-015	
N5	9.21239e-006	1.3784e-005	2.41911e-005	4.56272e-005	8.62503e-005	0.000160303	0.00028702	0.000498095	0.000828856	0.00132793	0.00202349	0.00295402	0.00412745	0.00563337	0.00755358	0.010104	0.013401	0.017734	0.0231673	0.0300003	0.0379079	0.0467122	0.0550037	0.0619286	0.065477	0.0655494	0.0613599	0.0547381	0.0463362	0.0385808	0.0318845	0.0275607	0.0249316	0.0242587	0.0242273	0.0249578	0.0250583	0.025116	0.0239042	0.0225241	0.0199409	0.0174932	0.0143351	0.0116734	0.00883476	0.00666174	0.004648	0.00323785	0.002078	0.0013338	0.000786192	0.000464281	0.000251016	0.000136234	6.75855e-005	3.37475e-005	1.53896e-005	7.09181e-006	2.99296e-006	1.28543e-006	5.09884e-007	2.08385e-007	8.03442e-008	3.24861e-008	1.27949e-008	5.36397e-009	2.27871e-009	1.0633e-009	5.6741e-010	4.33685e-010	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.79196e-015	3.78271e-014	8.42021e-013	1.44501e-011	1.75389e-010	1.53229e-009	1.52596e-008	4.9305e-008	1.92256e-007	1.00754e-006	1.7675e-006	2.32405e-006	9.07636e-006	7.36763e-005	0.000317023	0.0006412	0.000779518	0.0006282	0.000354923	0.000397518	0.000864989	0.00137775	0.00158049	0.00135426	0.000865058	0.000415791	0.000245155	0.00106126	0.00668044	0.0281636	0.0789128	0.153689	0.213118	0.216056	0.160075	0.0871102	0.0339662	0.00931749	0.001714	0.000208095	1.7157e-005	1.02286e-006	4.55755e-008	1.58941e-009	4.40802e-011	1.00485e-012	1.89438e-014	3.03136e-016	4.11987e-018	4.86252e-020	4.96976e-022	4.48868e-024	3.56338e-026	2.53578e-028	1.60561e-030	9.2314e-033	4.77674e-035	2.27546e-037	9.88871e-040	4.02916e-042	1.5283e-044	5.57958e-047	1.95074e-049	6.74444e-052	2.28007e-054	7.65923e-057	2.50365e-059	7.97885e-062	2.43445e-064	7.88123e-067	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	4.53971e-009	1.93736e-008	9.41277e-008	4.24953e-007	1.67168e-006	5.47041e-006	1.60945e-005	4.78707e-005	0.000133223	0.000324219	0.000656462	0.00110202	0.00158994	0.00223699	0.00345893	0.0059951	0.0107504	0.0189969	0.0318619	0.0503043	0.0730995	0.0976812	0.117775	0.128718	0.12542	0.110009	0.0855068	0.0597251	0.0368798	0.0204994	0.010072	0.00447235	0.00175722	0.000627353	0.000198521	5.74456e-005	1.47589e-005	3.49124e-006	7.34502e-007	1.43299e-007	2.48959e-008	4.04036e-009	5.84613e-010	7.96091e-011	9.67192e-012	1.11425e-012	1.14615e-013	1.12655e-014	9.88865e-016	8.3576e-017	6.31123e-018	4.62388e-019	3.02652e-020	1.93623e-021	1.10751e-022	6.23862e-024	3.14548e-025	1.57466e-026	7.09112e-028	3.2041e-029	1.31666e-030	5.50604e-032	2.14159e-033	8.59766e-035	3.29519e-036	1.30395e-037	5.01278e-039	1.97961e-040	8.09773e-042	4.37025e-043	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	3.74215e-010	1.59194e-009	8.67345e-009	4.6213e-008	2.19123e-007	8.91502e-007	3.24929e-006	1.11575e-005	3.4712e-005	9.39099e-005	0.000213834	0.000414449	0.00072265	0.00124574	0.00224024	0.00419	0.00787448	0.014547	0.0257881	0.043206	0.0669055	0.094627	0.120087	0.136073	0.135952	0.119943	0.0925166	0.062798	0.0371308	0.0193475	0.00876774	0.0035202	0.00122712	0.000382704	0.000103207	2.53214e-005	5.3158e-006	1.04595e-006	1.71946e-007	2.80017e-008	3.62065e-009	5.1351e-010	5.24329e-011	6.96688e-012	5.64927e-013	7.50427e-014	4.90492e-015	6.58914e-016	3.53824e-017	4.56994e-018	2.05746e-019	2.42142e-020	9.23359e-022	9.54798e-023	3.11893e-024	2.80868e-025	7.88643e-027	6.14837e-028	1.49846e-029	1.01959e-030	2.15902e-032	1.28e-033	2.38011e-035	1.24512e-036	2.03131e-038	9.36737e-040	1.41829e-041	6.61252e-043	1.99667e-044	2.03425e-045	
N9	7.79873e-011	2.24153e-010	9.28642e-010	4.07904e-009	1.70059e-008	6.51065e-008	2.22304e-007	6.89217e-007	2.05001e-006	6.1361e-006	1.80381e-005	4.89031e-005	0.000114778	0.000223375	0.000350948	0.000447504	0.000487653	0.000508956	0.000572716	0.000732151	0.0011046	0.00208227	0.00463247	0.0105963	0.0225684	0.0429754	0.0718408	0.105003	0.133401	0.147594	0.141541	0.118288	0.0857061	0.0543997	0.0300474	0.0147099	0.00631753	0.00245386	0.00084624	0.000271196	7.79714e-005	2.13372e-005	5.23771e-006	1.236e-006	2.58939e-007	5.21049e-008	9.21338e-009	1.5617e-009	2.3152e-010	3.29318e-011	4.09627e-012	4.90604e-013	5.14746e-014	5.22694e-015	4.66067e-016	4.04686e-017	3.0922e-018	2.31759e-019	1.53274e-020	1.00374e-021	5.8325e-023	3.40574e-024	1.79378e-025	9.74225e-027	4.95546e-028	2.68206e-029	1.42179e-030	7.9894e-032	4.49935e-033	3.72142e-034	
Scirpus_mitsukurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
