NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.240996	0.217682	0.179249	0.135356	0.094041	0.0602227	0.0355843	0.019408	0.00977368	0.00454428	0.00195081	0.000773051	0.000282723	9.53878e-005	2.96771e-005	8.5092e-006	2.24721e-006	5.4625e-007	1.2214e-007	2.51042e-008	4.74021e-009	8.21755e-010	1.30722e-010	1.90719e-011	2.55083e-012	3.12634e-013	5.44224e-017	1.74508e-017	5.35433e-018	1.57186e-018	4.4149e-019	1.18636e-019	3.05008e-020	7.50271e-021	1.7659e-021	3.97738e-022	8.5735e-023	1.76892e-023	3.49392e-024	6.60767e-025	1.19673e-025	2.07609e-026	3.45058e-027	5.49584e-028	8.39029e-029	1.22809e-029	1.72389e-030	2.3213e-031	2.99928e-032	3.71954e-033	4.4287e-034	5.06414e-035	5.56298e-036	5.87241e-037	5.95887e-038	5.81416e-039	5.45658e-040	4.92723e-041	4.28224e-042	3.58316e-043	2.88755e-044	2.24185e-045	1.67749e-046	1.21026e-047	8.42446e-049	5.66562e-050	3.69628e-051	2.37439e-052	1.59218e-053	1.50513e-054	
N2	0.051299	0.0597624	0.0686147	0.077323	0.084012	0.0884989	0.0883305	0.0851748	0.0783032	0.0692956	0.0585715	0.0484676	0.038022	0.0294856	0.0219927	0.0161884	0.0114529	0.00824882	0.00557962	0.00389692	0.002594	0.00176173	0.00112687	0.000765577	0.000467885	0.000306815	0.000184409	0.000116043	6.59476e-005	4.1013e-005	2.19948e-005	1.30241e-005	6.81469e-006	3.82181e-006	1.88429e-006	1.04445e-006	4.828e-007	2.5224e-007	1.14468e-007	5.67254e-008	2.41273e-008	1.17526e-008	4.70235e-009	2.16775e-009	8.49377e-010	3.67196e-010	1.35408e-010	5.81963e-011	2.00169e-011	8.03096e-012	2.72797e-012	1.03785e-012	3.28715e-013	1.22855e-013	3.66182e-014	1.29445e-014	3.77604e-015	1.24612e-015	3.4346e-016	1.13483e-016	2.91665e-017	9.01433e-018	2.3486e-018	7.12842e-019	1.87057e-019	6.24141e-020	1.98884e-020	8.4698e-021	4.37369e-021	3.79729e-021	
N3	0.00414974	0.00549921	0.00784003	0.0115042	0.016645	0.0235137	0.0316128	0.0409484	0.0505946	0.0599637	0.0679815	0.0746447	0.0782082	0.079516	0.0776367	0.0730754	0.0658629	0.0574614	0.0475238	0.037942	0.0288292	0.020963	0.0144657	0.00962724	0.00601992	0.00363163	0.00207526	0.00113516	0.000587429	0.000294703	0.000138304	6.30552e-005	2.71938e-005	1.12882e-005	4.42767e-006	1.69871e-006	6.0699e-007	2.12637e-007	7.03369e-008	2.25442e-008	6.8113e-009	2.03081e-009	5.6143e-010	1.53518e-010	3.95266e-011	9.9274e-012	2.34475e-012	5.51226e-013	1.19651e-013	2.59037e-014	5.26962e-015	1.0533e-015	1.97593e-016	3.72137e-017	6.45913e-018	1.12881e-018	1.85583e-019	3.02999e-020	4.67594e-021	7.3641e-022	1.08839e-022	1.66225e-023	2.47723e-024	3.80564e-025	5.82678e-026	9.3159e-027	1.48088e-027	2.43675e-028	4.3094e-029	1.25362e-029	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00149926	0.00210352	0.00326509	0.00523943	0.00823924	0.0125497	0.0180364	0.0248369	0.0324384	0.0404974	0.0481701	0.0555659	0.0610383	0.0655712	0.0680123	0.0688905	0.0674661	0.0653981	0.0605245	0.0555187	0.0490035	0.0423973	0.035103	0.0290006	0.0224379	0.0173814	0.0127702	0.00925807	0.00632377	0.00437536	0.00277516	0.00179163	0.00107888	0.000649201	0.000362638	0.000208795	0.000108181	5.80642e-005	2.87203e-005	1.44102e-005	6.62952e-006	3.19615e-006	1.3705e-006	6.1853e-007	2.54389e-007	1.07328e-007	4.11494e-008	1.67449e-008	5.97203e-009	2.26393e-009	7.74775e-010	2.73991e-010	8.69265e-011	2.95036e-011	8.67993e-012	2.73691e-012	7.70115e-013	2.25216e-013	5.88452e-014	1.66196e-014	4.05049e-015	1.076e-015	2.60987e-016	6.81976e-017	1.69928e-017	4.83907e-018	1.37952e-018	4.58297e-019	1.75356e-019	1.05299e-019	
N5	1.09138e-005	1.77908e-005	3.46628e-005	7.15695e-005	0.000145674	0.000286976	0.000534696	0.000954449	0.00162067	0.0026258	0.00404139	0.00595706	0.00834975	0.0113704	0.0150787	0.0196592	0.0252268	0.0322208	0.0403551	0.0499836	0.0600986	0.0696159	0.0766202	0.0806366	0.079442	0.0750086	0.0673876	0.0584272	0.0488131	0.0402605	0.0317486	0.0247479	0.0185983	0.0137088	0.00980829	0.00713886	0.00507405	0.00376556	0.00280482	0.0021447	0.00161136	0.00124092	0.000896465	0.000653059	0.000447746	0.000301288	0.0001889	0.000118608	6.74907e-005	3.84523e-005	2.02023e-005	1.04158e-005	4.92971e-006	2.34605e-006	9.99606e-007	4.29166e-007	1.68449e-007	6.53951e-008	2.32227e-008	8.40484e-009	2.73776e-009	9.20671e-010	2.91549e-010	9.54566e-011	3.05847e-011	1.05394e-011	3.64864e-012	1.3881e-012	6.02859e-013	3.93921e-013	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	3.49219e-017	1.10447e-015	3.45176e-014	7.65133e-013	1.24534e-011	1.33717e-010	1.17584e-009	5.73717e-009	4.26942e-008	1.39791e-007	3.15391e-007	2.62695e-006	1.51474e-005	2.20656e-005	3.0618e-005	6.39948e-005	0.000250635	0.00151283	0.00498906	0.00410765	0.00094851	0.000224716	0.000704703	0.00732166	0.0548404	0.208861	0.324372	0.229667	0.082638	0.0164344	0.00636865	0.00997808	0.0140686	0.0142612	0.0103711	0.00542073	0.0019639	0.000479964	7.34407e-005	6.57931e-006	3.74901e-007	1.4936e-008	4.3406e-010	9.79285e-012	1.75082e-013	2.55295e-015	3.07812e-017	3.156e-019	2.73081e-021	2.05651e-023	1.34206e-025	7.70525e-028	3.88926e-030	1.76565e-032	7.08095e-035	2.58808e-037	8.52296e-040	2.57462e-042	7.1041e-045	1.8523e-047	4.46612e-050	1.04785e-052	2.37413e-055	5.3404e-058	1.18651e-060	2.64618e-063	5.73221e-066	1.21442e-068	2.46293e-071	5.17929e-074	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
