NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.179821	0.170536	0.153613	0.131575	0.1072	0.083075	0.0612161	0.0428744	0.028531	0.0180318	0.0108211	0.00616407	0.0033326	0.00170968	0.000832221	0.000384309	0.000168357	6.99569e-005	2.75722e-005	1.03064e-005	3.65357e-006	1.22817e-006	3.91475e-007	1.18304e-007	3.38924e-008	9.20344e-009	2.3686e-009	5.77641e-010	1.33471e-010	2.92153e-011	6.0571e-012	1.18928e-012	2.21113e-013	6.56811e-017	2.68122e-017	1.06489e-017	4.11469e-018	1.54673e-018	5.65621e-019	2.01215e-019	6.96325e-020	2.34411e-020	7.67643e-021	2.44544e-021	7.57841e-022	2.2847e-022	6.7007e-023	1.9119e-023	5.30735e-024	1.43343e-024	3.76685e-025	9.63178e-026	2.39654e-026	5.80283e-027	1.36741e-027	3.13616e-028	7.00116e-029	1.52146e-029	3.21898e-030	6.63146e-031	1.33053e-031	2.60078e-032	4.9554e-033	9.21289e-034	1.67482e-034	2.99082e-035	5.30068e-036	9.54329e-037	1.85058e-037	4.98937e-038	
N2	0.0569776	0.0611577	0.0652418	0.0687632	0.071812	0.0739518	0.0740821	0.0726782	0.0697493	0.0647195	0.0586782	0.0520401	0.0445865	0.0374128	0.0308097	0.0245227	0.0191995	0.0148274	0.0110685	0.00817148	0.00598622	0.00423624	0.0029826	0.00209648	0.00141985	0.000962586	0.000655446	0.000427746	0.000280848	0.000186005	0.000117405	7.48231e-005	4.8219e-005	2.94015e-005	1.81668e-005	1.1388e-005	6.69671e-006	4.00053e-006	2.42934e-006	1.37819e-006	7.95518e-007	4.66965e-007	2.54602e-007	1.41738e-007	8.0564e-008	4.21725e-008	2.25797e-008	1.23612e-008	6.22837e-009	3.21061e-009	1.69046e-009	8.15673e-010	4.04269e-010	2.05707e-010	9.50129e-011	4.51407e-011	2.20487e-011	9.81208e-012	4.49242e-012	2.11342e-012	9.06236e-013	4.04281e-013	1.88476e-013	8.13934e-014	3.80488e-014	1.96894e-014	1.06654e-014	7.05294e-015	5.92851e-015	6.45793e-015	
N3	0.0113467	0.0129779	0.0155397	0.0190742	0.0237335	0.0294781	0.0358396	0.0427194	0.0497255	0.0559115	0.0611878	0.0651818	0.0670027	0.0670738	0.0654457	0.0617016	0.0567537	0.0509728	0.0442776	0.0375732	0.0311671	0.0250053	0.0196071	0.0150312	0.0111345	0.00805956	0.00570243	0.00389228	0.00259517	0.00169094	0.00106135	0.000650687	0.000389879	0.000224739	0.000126592	6.97365e-005	3.69128e-005	1.91076e-005	9.68152e-006	4.7097e-006	2.24265e-006	1.04631e-006	4.68253e-007	2.05373e-007	8.83653e-008	3.64321e-008	1.47382e-008	5.85596e-009	2.22842e-009	8.33068e-010	3.06264e-010	1.07791e-010	3.7339e-011	1.27466e-011	4.16732e-012	1.34494e-012	4.29297e-013	1.31771e-013	4.01716e-014	1.22013e-014	3.60097e-015	1.06819e-015	3.19603e-016	9.45002e-017	2.84192e-017	8.69961e-018	2.68701e-018	8.7433e-019	3.29893e-019	1.88473e-019	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00305036	0.00366245	0.00476942	0.00648853	0.00900878	0.0124799	0.0168559	0.0222167	0.0284727	0.0350868	0.0419567	0.0487369	0.0544684	0.0592421	0.0628158	0.0642495	0.0642102	0.0628199	0.0593988	0.055084	0.050191	0.0442444	0.0383725	0.0327975	0.0271094	0.0221037	0.017807	0.0138477	0.0106446	0.00810093	0.00593739	0.0043088	0.00310071	0.00214204	0.00146787	0.00099923	0.000650428	0.000420613	0.000270577	0.000165937	0.000101224	6.14837e-005	3.54795e-005	2.04012e-005	1.17018e-005	6.35062e-006	3.4389e-006	1.85976e-006	9.49727e-007	4.84339e-007	2.46807e-007	1.18424e-007	5.68533e-008	2.73302e-008	1.2323e-008	5.56771e-009	2.52321e-009	1.07346e-009	4.5889e-010	1.97498e-010	8.02266e-011	3.31639e-011	1.40457e-011	5.76505e-012	2.49481e-012	1.15321e-012	5.55385e-013	3.01674e-013	1.95189e-013	1.68605e-013	
N5	1.22412e-005	1.71086e-005	2.8501e-005	5.15169e-005	9.58019e-005	0.000177192	0.000318208	0.000555029	0.000937871	0.00152121	0.00238772	0.00362938	0.00530554	0.00752467	0.0103706	0.0137935	0.0178644	0.0225531	0.027529	0.0327887	0.0381662	0.0430775	0.0476745	0.0518693	0.0549654	0.0573612	0.0589715	0.0589046	0.0577697	0.0555783	0.051627	0.0469405	0.041832	0.0359705	0.0304235	0.0254227	0.0206409	0.0166761	0.0134664	0.0106381	0.00841943	0.00667801	0.00515534	0.00396752	0.00303811	0.00223689	0.00162877	0.00117156	0.000802921	0.000541716	0.000359866	0.000226579	0.000140346	8.56025e-005	4.93265e-005	2.79968e-005	1.56773e-005	8.30083e-006	4.34831e-006	2.26096e-006	1.12087e-006	5.57709e-007	2.80545e-007	1.38253e-007	7.05158e-008	3.76124e-008	2.07607e-008	1.25793e-008	8.85525e-009	8.01075e-009	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	1.84758e-020	4.05145e-019	1.06861e-017	2.41078e-016	4.67937e-015	7.33139e-014	9.51708e-013	9.62124e-012	9.23597e-011	7.8601e-010	4.73232e-009	1.72441e-008	6.11255e-008	3.04563e-007	2.0907e-006	1.22363e-005	4.40937e-005	7.97618e-005	8.24409e-005	0.000103754	0.000211504	0.000547669	0.00259251	0.0142259	0.0571613	0.142881	0.206293	0.174524	0.0924985	0.0366748	0.0247388	0.037141	0.0536578	0.0589403	0.0485379	0.0298418	0.0134892	0.00445336	0.00106039	0.000180166	2.24032e-005	2.09878e-006	1.51237e-007	8.67729e-009	4.05683e-010	1.55991e-011	5.06049e-013	1.40498e-014	3.34075e-016	6.94634e-018	1.27522e-019	2.05766e-021	2.97531e-023	3.88409e-025	4.54171e-027	4.85307e-029	4.772e-031	4.27779e-033	3.57435e-035	2.80533e-037	2.04995e-039	1.42826e-041	9.55147e-044	6.07532e-046	3.74251e-048	2.23245e-050	1.27525e-052	7.02896e-055	3.72433e-057	2.14023e-059	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
