NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	2.79176e-006	3.66864e-006	6.01017e-006	1.14083e-005	2.3517e-005	5.02457e-005	0.000107905	0.000228404	0.000470613	0.000936313	0.00178923	0.00327219	0.00571295	0.00950528	0.0150518	0.0226623	0.032418	0.0440323	0.0567607	0.0694128	0.0805005	0.0885114	0.0922432	0.0910987	0.0852418	0.0755594	0.0634399	0.0504458	0.037987	0.027087	0.0182884	0.0116912	0.00707613	0.00405489	0.00219991	0.00112999	0.000549535	0.000253032	0.000110314	4.55387e-005	1.7801e-005	6.58944e-006	2.31006e-006	7.67007e-007	2.4122e-007	7.18623e-008	2.02818e-008	5.42339e-009	1.37418e-009	3.29967e-010	7.50939e-011	1.61995e-011	3.31296e-012	6.42408e-013	1.60321e-016	6.69525e-017	2.72325e-017	1.07895e-017	4.16452e-018	1.56626e-018	5.74151e-019	2.05243e-019	7.16098e-020	2.44249e-020	8.16848e-021	2.69343e-021	8.84866e-022	2.95971e-022	1.06865e-022	5.12424e-023	
N2	0.000117879	0.000135615	0.000175508	0.000247122	0.00036637	0.000557321	0.000854384	0.00130458	0.00196939	0.00292549	0.00426347	0.00608355	0.00848759	0.0115669	0.0153866	0.019967	0.0252662	0.031165	0.0374605	0.0438688	0.0500417	0.0555947	0.0601455	0.0633571	0.0649788	0.0648788	0.0630613	0.0596669	0.054954	0.0492661	0.0429905	0.0365147	0.0301877	0.0242919	0.0190266	0.0145055	0.0107642	0.00777533	0.00546696	0.00374176	0.00249298	0.00161691	0.00102092	0.000627551	0.000375555	0.000218817	0.000124133	6.85667e-005	3.68787e-005	1.9315e-005	9.85127e-006	4.89317e-006	2.36708e-006	1.11529e-006	5.11853e-007	2.28836e-007	9.96718e-008	4.23021e-008	1.74985e-008	7.05767e-009	2.77743e-009	1.06773e-009	4.01822e-010	1.48598e-010	5.43736e-011	1.99355e-011	7.49619e-012	3.02089e-012	1.41935e-012	8.99881e-013	
N3	0.00143246	0.00157007	0.00186511	0.00235904	0.00311533	0.00421942	0.00577617	0.00790328	0.0107192	0.0143253	0.0187832	0.0240896	0.0301535	0.0367811	0.0436724	0.0504362	0.0566221	0.0617676	0.0654548	0.0673654	0.0673262	0.0653339	0.0615559	0.0563064	0.0500026	0.0431091	0.0360817	0.0293192	0.0231297	0.0177156	0.013174	0.00951204	0.00666871	0.00453985	0.00300119	0.00192673	0.00120129	0.000727443	0.000427862	0.00024445	0.000135671	7.3152e-005	3.83214e-005	1.95058e-005	9.64785e-006	4.63742e-006	2.1664e-006	9.83683e-007	4.34177e-007	1.863e-007	7.77212e-008	3.15275e-008	1.24369e-008	4.77151e-009	1.78068e-009	6.46498e-010	2.28394e-010	7.85322e-011	2.62907e-011	8.57348e-012	2.72531e-012	8.45367e-013	2.5631e-013	7.61631e-014	2.22824e-014	6.47256e-015	1.89991e-015	5.87573e-016	2.12412e-016	1.11957e-016	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	7.9789e-007	1.02084e-006	1.58244e-006	2.76778e-006	5.15526e-006	9.84954e-006	1.88848e-005	3.58864e-005	6.71048e-005	0.000122946	0.000220107	0.000384362	0.000653882	0.00108276	0.00174406	0.00273139	0.00415759	0.00614916	0.00883511	0.0123299	0.0167107	0.0219926	0.0281037	0.0348678	0.0419985	0.0491101	0.0557464	0.0614269	0.0657028	0.0682156	0.0687465	0.0672482	0.0638512	0.0588458	0.0526405	0.0457071	0.0385222	0.0315141	0.0250249	0.0192896	0.0144332	0.0104834	0.00739186	0.00505975	0.00336235	0.00216926	0.00135878	0.00082637	0.000487986	0.000279813	0.000155804	8.42487e-005	4.42436e-005	2.25669e-005	1.11806e-005	5.38121e-006	2.51637e-006	1.1435e-006	5.05121e-007	2.16992e-007	9.07183e-008	3.69542e-008	1.4697e-008	5.72714e-009	2.20089e-009	8.44283e-010	3.31001e-010	1.38901e-010	6.80719e-011	4.46812e-011	
N5	3.77835e-012	6.71891e-012	1.66838e-011	4.75365e-011	1.4165e-010	4.24628e-010	1.2588e-009	3.65885e-009	1.03769e-008	2.86303e-008	7.66925e-008	1.99187e-007	5.01116e-007	1.22035e-006	2.87526e-006	6.55171e-006	1.4434e-005	3.07372e-005	6.32567e-005	0.000125787	0.000241652	0.000448446	0.000803792	0.00139137	0.00232574	0.00375369	0.0058492	0.00879909	0.0127776	0.0179101	0.0242302	0.0316372	0.0398655	0.0484766	0.0568831	0.0644068	0.0703661	0.0741763	0.0754442	0.0740352	0.0700965	0.0640319	0.0564335	0.0479867	0.0393686	0.0311625	0.0237999	0.0175385	0.0124708	0.00855653	0.00566531	0.00361989	0.00223222	0.00132856	0.00076325	0.000423294	0.000226658	0.000117205	5.85458e-005	2.82636e-005	1.31969e-005	5.96732e-006	2.61885e-006	1.11985e-006	4.69902e-007	1.96042e-007	8.33478e-008	3.7816e-008	1.98713e-008	1.36464e-008	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.81002e-050	1.01115e-047	1.57802e-045	2.44462e-043	3.64515e-041	5.13016e-039	6.73364e-037	8.18057e-035	9.15012e-033	9.38252e-031	8.78543e-029	7.4828e-027	5.77371e-025	4.01822e-023	2.51034e-021	1.40048e-019	6.93651e-018	3.03055e-016	1.1595e-014	3.85343e-013	1.10213e-011	2.68442e-010	5.50138e-009	9.35608e-008	1.29974e-006	1.44878e-005	0.000127055	0.000859077	0.00439797	0.0168523	0.0482567	0.103752	0.168528	0.207782	0.194774	0.138583	0.0744933	0.0300641	0.00906684	0.00204656	0.000349741	4.60771e-005	4.77567e-006	3.9712e-007	2.69714e-008	1.51998e-009	7.20644e-011	2.90923e-012	1.01061e-013	3.04894e-015	8.05408e-017	1.87641e-018	3.88054e-020	7.16522e-022	1.18746e-023	1.77471e-025	2.40248e-027	2.95782e-029	3.32442e-031	3.4235e-033	3.24187e-035	2.83331e-037	2.29463e-039	1.73008e-041	1.22134e-043	8.13196e-046	5.15494e-048	3.14758e-050	1.87735e-052	1.28121e-054	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	3.53113e-014	1.4831e-013	8.03634e-013	4.56965e-012	2.60799e-011	1.45379e-010	7.77294e-010	3.94007e-009	1.87962e-008	8.39934e-008	3.50494e-007	1.36281e-006	4.92956e-006	1.65669e-005	5.16731e-005	0.000149441	0.000400396	0.000993088	0.00227853	0.0048329	0.00947094	0.0171388	0.0286265	0.0441146	0.062702	0.0821773	0.0992918	0.11059	0.113539	0.107453	0.0937529	0.0754262	0.0559684	0.0383168	0.024212	0.0141274	0.00761568	0.00379502	0.00174922	0.000746256	0.000294882	0.000108005	3.66953e-005	1.15742e-005	3.39191e-006	9.24338e-007	2.34435e-007	5.53851e-008	1.2199e-008	2.50723e-009	4.8127e-010	8.63557e-011	1.44972e-011	2.27903e-012	3.35791e-013	4.64114e-014	6.02281e-015	7.34481e-016	8.42502e-017	9.09914e-018	9.26312e-019	8.90116e-020	8.08909e-021	6.97269e-022	5.72969e-023	4.52983e-024	3.50647e-025	2.74906e-026	2.32665e-027	2.61771e-028	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	5.54882e-016	2.5647e-015	1.74864e-014	1.321e-013	1.01169e-012	7.50955e-012	5.27604e-011	3.4643e-010	2.11083e-009	1.18846e-008	6.16641e-008	2.94289e-007	1.29e-006	5.18779e-006	1.91216e-005	6.45417e-005	0.000199341	0.000562967	0.00145286	0.00342422	0.00736666	0.0144593	0.0258833	0.0422411	0.0628317	0.0851644	0.105175	0.118336	0.121301	0.11329	0.0964167	0.074789	0.0528889	0.0341095	0.0200698	0.0107785	0.00528613	0.00236878	0.00097045	0.000363716	0.000124791	3.92235e-005	1.13024e-005	2.98803e-006	7.25331e-007	1.61798e-007	3.31933e-008	6.26808e-009	1.09041e-009	1.74901e-010	2.58886e-011	3.5393e-012	4.47294e-013	5.23011e-014	5.66301e-015	5.68301e-016	5.2903e-017	4.57228e-018	3.67217e-019	2.74317e-020	1.9079e-021	1.2369e-022	7.48554e-024	4.23796e-025	2.2529e-026	1.13293e-027	5.48141e-029	2.6606e-030	1.43848e-031	1.19755e-032	
N9	4.94589e-018	2.43775e-017	1.96753e-016	1.70885e-015	1.45397e-014	1.17871e-013	9.00079e-013	6.43775e-012	4.29931e-011	2.67537e-010	1.54885e-009	8.33085e-009	4.15794e-008	1.92331e-007	8.23531e-007	3.2603e-006	1.19199e-005	4.01995e-005	0.000124913	0.000357232	0.000939249	0.00226803	0.00502491	0.010205	0.0189816	0.0323106	0.0502978	0.0715618	0.0930086	0.110383	0.11959	0.118258	0.10673	0.0879208	0.0661196	0.0454083	0.0284897	0.0163386	0.00857016	0.00411455	0.00180952	0.000729617	0.000269978	9.17698e-005	2.86859e-005	8.25487e-006	2.18935e-006	5.35782e-007	1.21126e-007	2.53266e-008	4.90376e-009	8.80262e-010	1.46671e-010	2.27111e-011	3.27198e-012	4.39102e-013	5.49542e-014	6.42112e-015	7.0126e-016	7.16609e-017	6.85944e-018	6.15689e-019	5.18763e-020	4.10783e-021	3.06149e-022	2.15305e-023	1.43812e-024	9.32072e-026	6.42069e-027	7.66293e-028	
Scirpus_mitsukurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
