NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.0783226	0.0792064	0.0804727	0.0815068	0.0817123	0.0806104	0.0779081	0.0735329	0.0676281	0.0605148	0.0526311	0.0444601	0.036462	0.0290209	0.022412	0.0167909	0.012202	0.00860011	0.00587836	0.0038963	0.00250417	0.00156051	0.000942832	0.000552268	0.000313615	0.000172647	9.21351e-005	4.76633e-005	2.39017e-005	1.16185e-005	5.47455e-006	2.50044e-006	1.10702e-006	4.75079e-007	1.97628e-007	7.96902e-008	3.11489e-008	1.18023e-008	4.33492e-009	1.54347e-009	5.32749e-010	1.78266e-010	5.78293e-011	1.81876e-011	5.54585e-012	1.63964e-012	4.70061e-013	1.58555e-016	8.23369e-017	4.21164e-017	2.12261e-017	1.05455e-017	5.16925e-018	2.50426e-018	1.20271e-018	5.75892e-019	2.77782e-019	1.37451e-019	7.19058e-020	4.15818e-020	2.80362e-020	2.29759e-020	
N2	0.00910121	0.011635	0.0151018	0.0196324	0.0252717	0.0319402	0.0394056	0.0472764	0.0550237	0.0620348	0.067689	0.0714468	0.0729318	0.0719898	0.0687123	0.0634191	0.0566049	0.0488618	0.0407945	0.0329451	0.0257379	0.0194532	0.0142258	0.0100664	0.00689307	0.00456808	0.00293003	0.00181913	0.00109331	0.000636131	0.000358353	0.000195466	0.000103244	5.28118e-005	2.61641e-005	1.25553e-005	5.8363e-006	2.6283e-006	1.14678e-006	4.84837e-007	1.98639e-007	7.88737e-008	3.03557e-008	1.1325e-008	4.09607e-009	1.43642e-009	4.88458e-010	1.61086e-010	5.1527e-011	1.59889e-011	4.81391e-012	1.40665e-012	3.99093e-013	1.10028e-013	2.95212e-014	7.73302e-015	1.99121e-015	5.11689e-016	1.3576e-016	4.01043e-017	1.54009e-017	9.79116e-018	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.00113915	0.00158188	0.00234775	0.00357722	0.0054423	0.00813106	0.0118215	0.0166453	0.0226462	0.0297393	0.0376823	0.0460679	0.0543466	0.0618794	0.0680175	0.0721938	0.0740089	0.0732939	0.0701362	0.0648621	0.0579818	0.0501093	0.0418733	0.0338384	0.0264482	0.0199962	0.0146255	0.0103499	0.00708702	0.00469602	0.00301143	0.00186907	0.00112284	0.000652958	0.000367581	0.000200332	0.000105707	5.40064e-005	2.67177e-005	1.27996e-005	5.93837e-006	2.66836e-006	1.16135e-006	4.89628e-007	1.99986e-007	7.91445e-008	3.03531e-008	1.12835e-008	4.06706e-009	1.422e-009	4.82603e-010	1.59136e-010	5.10596e-011	1.59768e-011	4.89217e-012	1.47372e-012	4.40417e-013	1.32425e-013	4.11502e-014	1.40134e-014	5.96456e-015	3.98354e-015	
N4	1.64102e-009	3.44746e-009	9.10269e-009	2.54409e-008	7.06442e-008	1.90912e-007	4.98842e-007	1.25772e-006	3.05798e-006	7.16871e-006	1.62023e-005	3.53035e-005	7.4153e-005	0.00015013	0.000292943	0.000550829	0.000997955	0.00174182	0.0029284	0.00474169	0.00739353	0.0111002	0.0160439	0.0223225	0.0298936	0.0385275	0.0477835	0.0570244	0.065476	0.0723286	0.0768624	0.078572	0.077259	0.0730699	0.0664692	0.0581546	0.0489352	0.0396032	0.0308257	0.023077	0.0166169	0.0115092	0.00766847	0.0049158	0.00303233	0.00180036	0.00102916	0.000566683	0.000300739	0.000153953	7.61056e-005	3.63857e-005	1.68586e-005	7.59106e-006	3.33469e-006	1.43717e-006	6.12989e-007	2.6273e-007	1.16555e-007	5.67857e-008	3.37847e-008	2.809e-008	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N5	7.80918e-029	3.48913e-029	3.09711e-029	1.77458e-028	1.14096e-027	6.03622e-027	2.62667e-026	9.49559e-026	2.87925e-025	7.38445e-025	1.61361e-024	3.06009e-024	8.00261e-024	2.2003e-022	1.29771e-020	7.03094e-019	3.3781e-017	1.42891e-015	5.28145e-014	1.69135e-012	4.64782e-011	1.08388e-009	2.11767e-008	3.41521e-007	4.46829e-006	4.64878e-005	0.000375999	0.00230783	0.0105123	0.0350421	0.0855043	0.153971	0.206513	0.207649	0.156886	0.0888621	0.0374888	0.0116718	0.00265998	0.000443625	5.4907e-005	5.1571e-006	3.76558e-007	2.18641e-008	1.0299e-009	4.0045e-011	1.30455e-012	3.60674e-014	8.55757e-016	1.75958e-017	3.16262e-019	5.00786e-021	7.03654e-023	8.83487e-025	9.98405e-027	1.02381e-028	9.6239e-031	8.40654e-033	6.95072e-035	5.56739e-037	4.4324e-039	4.31935e-041	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
