NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	1.23743e-019	1.48035e-019	2.09365e-019	3.33067e-019	5.68019e-019	1.00773e-018	1.83065e-018	3.37659e-018	6.28982e-018	1.17835e-017	2.21215e-017	4.14822e-017	7.74812e-017	1.4381e-016	3.63716e-013	1.20858e-012	3.92847e-012	1.24679e-011	3.85795e-011	1.16264e-010	3.40954e-010	9.72389e-010	2.69571e-009	7.26171e-009	1.90029e-008	4.82981e-008	1.19206e-007	2.85677e-007	6.6469e-007	1.50142e-006	3.29229e-006	7.00799e-006	1.44802e-005	2.90423e-005	5.65406e-005	0.000106846	0.000195987	0.000348954	0.000603101	0.00101182	0.00164784	0.00260527	0.00399884	0.0059592	0.00862291	0.0121165	0.0165354	0.0219202	0.0282329	0.0353403	0.043007	0.0509054	0.0586414	0.065797	0.0719838	0.0768985	0.0803728	0.0824068	0.0831811	0.0830419	0.0824583	0.0819469	
N2	6.41815e-007	6.09042e-007	7.26765e-007	1.05344e-006	1.7557e-006	3.19461e-006	6.09924e-006	1.18855e-005	2.32094e-005	4.48769e-005	8.52635e-005	0.000158401	0.000286844	0.000505311	0.000864838	0.00143684	0.00231603	0.00362058	0.00548787	0.00806392	0.0114856	0.0158557	0.0212136	0.0275054	0.0345606	0.0420813	0.0496514	0.0567674	0.0628905	0.0675122	0.0702242	0.0707771	0.0691191	0.065403	0.0599638	0.0532682	0.0458493	0.0382364	0.0308955	0.0241871	0.0183456	0.0134813	0.00959771	0.00661948	0.00442262	0.00286225	0.00179422	0.00108928	0.000640395	0.000364532	0.000200874	0.000107129	5.52804e-005	2.75913e-005	1.33157e-005	6.21224e-006	2.8025e-006	1.22488e-006	5.22212e-007	2.21662e-007	9.89665e-008	5.25858e-008	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	4.08459e-018	5.9252e-018	1.46849e-017	4.93126e-017	1.88125e-016	7.44491e-016	2.93751e-015	1.13705e-014	4.28992e-014	1.57349e-013	5.60475e-013	1.93785e-012	6.50216e-012	2.11693e-011	6.68686e-011	2.04915e-010	6.09155e-010	1.75653e-009	4.91283e-009	1.33269e-008	3.5061e-008	8.94528e-008	2.21319e-007	5.30978e-007	1.23524e-006	2.78627e-006	6.09365e-006	1.29211e-005	2.65629e-005	5.29409e-005	0.00010229	0.000191598	0.000347897	0.000612346	0.00104476	0.00172779	0.00276952	0.00430266	0.00647832	0.00945266	0.0133654	0.0183107	0.0243045	0.031252	0.0389248	0.0469539	0.0548463	0.062027	0.067903	0.0719419	0.07375	0.0731348	0.0701387	0.0650371	0.0582988	0.0505186	0.0423355	0.0343501	0.0270569	0.0207977	0.0157403	0.0118786	
N4	2.52426e-019	4.37922e-019	1.37001e-018	5.67646e-018	2.6022e-017	1.21757e-016	5.6264e-016	2.53433e-015	1.10693e-014	4.6781e-014	1.91115e-013	7.54385e-013	2.87634e-012	1.05912e-011	3.76561e-011	1.29253e-010	4.28246e-010	1.3694e-009	4.22566e-009	1.25812e-008	3.6137e-008	1.00123e-007	2.6755e-007	6.89472e-007	1.71324e-006	4.10445e-006	9.47947e-006	2.11037e-005	4.52828e-005	9.36416e-005	0.000186606	0.000358318	0.000662922	0.00118162	0.00202901	0.0033563	0.00534789	0.00820792	0.0121338	0.0172769	0.0236935	0.0312961	0.0398153	0.0487886	0.057585	0.0654703	0.0717053	0.0756597	0.0769177	0.0753506	0.0711382	0.0647352	0.0567903	0.048039	0.039194	0.0308565	0.0234611	0.0172592	0.0123345	0.00863815	0.00603139	0.00432267	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N5	1.89274e-045	8.32887e-044	5.5974e-042	3.96738e-040	2.84033e-038	2.04885e-036	1.48483e-034	1.0569e-032	7.12903e-031	4.40437e-029	2.42943e-027	1.1752e-025	4.91925e-024	1.76174e-022	5.33872e-021	1.35141e-019	2.79775e-018	4.53741e-017	5.49485e-016	6.11674e-015	1.28563e-013	4.08103e-012	1.19478e-010	2.91887e-009	5.81003e-008	9.24033e-007	1.14958e-005	0.000109424	0.000781058	0.00412818	0.0161432	0.0470009	0.102663	0.169164	0.210689	0.197945	0.139508	0.0731953	0.028408	0.00816205	0.00175802	0.000289609	3.73022e-005	3.83637e-006	3.21031e-007	2.22206e-008	1.2904e-009	6.3649e-011	2.6951e-012	9.88763e-014	3.16845e-015	8.93106e-017	2.22816e-018	4.94686e-020	9.81976e-022	1.74997e-023	2.80941e-025	4.07452e-027	5.34972e-029	6.36719e-031	6.88179e-033	7.84245e-035	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
