NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	
N1	0.0800247	0.0807321	0.0816946	0.082347	0.0821419	0.0806455	0.0776032	0.0729689	0.0668992	0.0597149	0.0518421	0.0437441	0.0358581	0.0285459	0.0220639	0.016555	0.0120566	0.00852166	0.00584501	0.00389024	0.00251228	0.00157411	0.000956877	0.000564302	0.000322838	0.000179167	9.64549e-005	5.03696e-005	2.55143e-005	1.25361e-005	5.97452e-006	2.76184e-006	1.23836e-006	5.38581e-007	2.27201e-007	9.29663e-008	3.6898e-008	1.42052e-008	5.30472e-009	1.92158e-009	6.75215e-010	2.30157e-010	7.61057e-011	2.44137e-011	7.59791e-012	2.29415e-012	6.72125e-013	1.9164e-016	1.0067e-016	5.21084e-017	2.65852e-017	1.33761e-017	6.64344e-018	3.26288e-018	1.58985e-018	7.73065e-019	3.79101e-019	1.90943e-019	1.01759e-019	5.99078e-020	4.09784e-020	3.38432e-020	
N2	0.00956345	0.0121576	0.0156704	0.0202209	0.0258418	0.0324434	0.0397889	0.04749	0.0550309	0.0618196	0.067262	0.0708454	0.0722153	0.0712306	0.0679842	0.0627859	0.0561113	0.0485294	0.0406218	0.0329118	0.0258119	0.0195975	0.0144057	0.010253	0.00706636	0.00471626	0.00304856	0.00190863	0.00115748	0.000679997	0.000387022	0.00021342	0.000114036	5.9046e-005	2.96293e-005	1.44102e-005	6.79317e-006	3.10435e-006	1.37532e-006	5.9076e-007	2.46056e-007	9.93836e-008	3.8931e-008	1.47918e-008	5.45173e-009	1.94932e-009	6.76265e-010	2.27659e-010	7.43776e-011	2.35861e-011	7.26124e-012	2.17084e-012	6.30531e-013	1.78077e-013	4.89816e-014	1.31655e-014	3.4827e-015	9.2098e-016	2.52029e-016	7.69682e-017	3.05299e-017	1.98125e-017	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.00127376	0.001753	0.00257124	0.00386967	0.00581828	0.00859924	0.0123802	0.0172784	0.0233208	0.0304061	0.03828	0.0465312	0.0546162	0.0619135	0.0678001	0.0717391	0.0733602	0.0725165	0.0693065	0.0640554	0.0572611	0.0495175	0.0414304	0.0335432	0.0262829	0.0199333	0.0146343	0.0104015	0.00715812	0.00476996	0.00307811	0.0019237	0.00116443	0.000682711	0.00038774	0.000213331	0.000113711	5.87241e-005	2.93848e-005	1.42479e-005	6.69473e-006	3.0486e-006	1.34551e-006	5.75624e-007	2.38727e-007	9.59915e-008	3.74293e-008	1.41559e-008	5.19463e-009	1.85038e-009	6.40259e-010	2.15415e-010	7.05805e-011	2.25726e-011	7.07109e-012	2.18134e-012	6.68261e-013	2.06204e-013	6.58395e-014	2.30679e-014	1.00936e-014	6.86178e-015	
N4	2.38094e-009	4.90111e-009	1.26396e-008	3.45505e-008	9.39733e-008	2.49019e-007	6.38524e-007	1.58088e-006	3.77675e-006	8.70465e-006	1.93541e-005	4.15108e-005	8.58796e-005	0.000171365	0.000329768	0.000611931	0.00109483	0.00188835	0.00313945	0.0050304	0.00776738	0.0115562	0.0165642	0.0228715	0.0304186	0.0389637	0.0480639	0.0570921	0.0652978	0.0719043	0.0762284	0.0777964	0.0764297	0.072278	0.0657927	0.0576457	0.0486146	0.0394618	0.030832	0.0231874	0.016786	0.0116981	0.00784869	0.00507051	0.0031547	0.0018907	0.00109192	0.000607947	0.00032652	0.000169312	8.48579e-005	4.11702e-005	1.93757e-005	8.87011e-006	3.96534e-006	1.74078e-006	7.57076e-007	3.31253e-007	1.50227e-007	7.48897e-008	4.54923e-008	3.82637e-008	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
N5	5.81339e-042	3.4173e-040	2.46709e-038	1.75442e-036	1.18995e-034	7.51326e-033	4.33564e-031	2.2556e-029	1.04676e-027	4.29463e-026	1.54511e-024	4.83658e-023	1.30746e-021	3.03466e-020	6.04984e-019	1.05747e-017	1.75599e-016	3.34448e-015	8.39084e-014	2.37063e-012	6.18933e-011	1.38721e-009	2.61016e-008	4.05937e-007	5.13001e-006	5.16627e-005	0.000405629	0.00242616	0.0108226	0.0355292	0.0858134	0.1536	0.205474	0.206667	0.156625	0.0892488	0.0380076	0.0119951	0.00278518	0.000475929	6.06528e-005	5.8884e-006	4.45693e-007	2.68827e-008	1.31757e-009	5.33713e-011	1.81315e-012	5.23188e-014	1.29648e-015	2.78588e-017	5.23573e-019	8.67332e-021	1.27562e-022	1.67735e-024	1.98633e-026	2.13586e-028	2.10684e-030	1.93251e-032	1.67848e-034	1.41166e-036	1.17819e-038	1.20425e-040	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Trichophorum_alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	2.23718e-008	7.29659e-008	2.83635e-007	1.08864e-006	3.98307e-006	1.37043e-005	4.40117e-005	0.000131342	0.000363157	0.000928428	0.00219118	0.00476786	0.00955446	0.0176161	0.0298586	0.0464905	0.0664539	0.0871575	0.10484	0.115622	0.11688	0.108284	0.0919377	0.0715398	0.0510258	0.0333674	0.0200117	0.0110116	0.00556206	0.00258036	0.00110016	0.000431386	0.00015568	5.17491e-005	1.58578e-005	4.48372e-006	1.1708e-006	2.82613e-007	6.31219e-008	1.3058e-008	2.50446e-009	4.4579e-010	7.37162e-011	1.13358e-011	1.62271e-012	2.16452e-013	2.6931e-014	3.12858e-015	3.39683e-016	3.45032e-017	3.28198e-018	2.9265e-019	2.44895e-020	1.92581e-021	1.42589e-022	9.97251e-024	6.63042e-025	4.24746e-026	2.69751e-027	1.79784e-028	1.38581e-029	1.55915e-030	
Scirpus_radicans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	2.1111e-009	7.34994e-009	3.34287e-008	1.56227e-007	7.02471e-007	2.95905e-006	1.15284e-005	4.12652e-005	0.000135196	0.000404456	0.00110301	0.00273858	0.00618361	0.0126862	0.0236291	0.0399288	0.0611773	0.0849453	0.106845	0.1217	0.125502	0.117157	0.0989983	0.0757249	0.0524391	0.0328826	0.0186765	0.00961177	0.00448413	0.00189732	0.000728515	0.000254008	8.04753e-005	2.31849e-005	6.07876e-006	1.45159e-006	3.15985e-007	6.27572e-008	1.13823e-008	1.88699e-009	2.86213e-010	3.97567e-011	5.06232e-012	5.91469e-013	6.34719e-014	6.26216e-015	5.68571e-016	4.75541e-017	3.66739e-018	2.61045e-019	1.71667e-020	1.04401e-021	5.8779e-023	3.06735e-024	1.48595e-025	6.69889e-027	2.82345e-028	1.12394e-029	4.32862e-031	1.71102e-032	7.9905e-034	6.45145e-035	
N8	5.35866e-016	2.94303e-015	2.28057e-014	1.78998e-013	1.34558e-012	9.55299e-012	6.36287e-011	3.95922e-010	2.29459e-009	1.2358e-008	6.17331e-008	2.85569e-007	1.22144e-006	4.82369e-006	1.75644e-005	5.889e-005	0.00018156	0.000514041	0.00133476	0.00317459	0.0069073	0.0137324	0.0249177	0.0412214	0.0621092	0.0851554	0.106154	0.120233	0.123658	0.115433	0.097772	0.0751266	0.0523666	0.0331167	0.0190056	0.00990227	0.00468636	0.00201592	0.000788836	0.000281037	9.12504e-005	2.70313e-005	7.31406e-006	1.80984e-006	4.10071e-007	8.51894e-008	1.6248e-008	2.84902e-009	4.59907e-010	6.84421e-011	9.40278e-012	1.19418e-012	1.40397e-013	1.53007e-014	1.54783e-015	1.45553e-016	1.27453e-017	1.0423e-018	8.02408e-020	5.99236e-021	4.96655e-022	8.29304e-023	
Scirpus_mitsukurianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Scirpus_polystachyus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
