NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.120043	0.118405	0.11502	0.109659	0.10215	0.0925325	0.0811409	0.0685957	0.0557085	0.0433315	0.0321994	0.022811	0.0153795	0.0098541	0.00599292	0.00345581	0.00188778	0.000976059	0.000477303	0.000220598	9.62977e-05	3.96811e-05	1.54268e-05	5.65565e-06	1.95446e-06	6.36426e-07	1.95214e-07	5.63898e-08	1.53362e-08	3.92631e-09	9.46096e-10	2.14545e-10	4.57823e-11	9.19274e-12	1.73678e-12	3.0874e-13	8.64101e-17	3.42803e-17	1.31922e-17	4.92484e-18	1.78357e-18	6.26659e-19	2.13618e-19	7.06542e-20	2.26757e-20	7.06214e-21	2.13453e-21	6.2617e-22	1.78298e-22	4.92843e-23	1.32257e-23	3.4461e-24	8.71931e-25	2.14258e-25	5.11389e-26	1.18577e-26	2.67168e-27	5.85127e-28	1.24642e-28	2.58548e-29	5.23548e-30	1.04046e-30	2.05273e-31	4.11996e-32	8.92619e-33	2.6902e-33	
N2	0.0300088	0.0336936	0.0381826	0.0434352	0.048939	0.0544578	0.0592921	0.063244	0.0656589	0.0666069	0.0656573	0.0632411	0.0591792	0.0541785	0.0482004	0.0420317	0.0356231	0.0296624	0.0240009	0.0191365	0.0148175	0.0113517	0.00843758	0.00624047	0.00447155	0.00321257	0.00223134	0.00156859	0.00106207	0.000735203	0.000487421	0.000333512	0.000216767	0.000146515	9.32044e-05	6.20216e-05	3.84601e-05	2.50618e-05	1.50934e-05	9.59336e-06	5.59114e-06	3.45354e-06	1.94522e-06	1.16668e-06	6.34205e-07	3.68823e-07	1.9369e-07	1.09385e-07	5.5484e-08	3.04097e-08	1.49367e-08	7.96913e-09	3.79215e-09	1.9693e-09	9.1292e-10	4.648e-10	2.11393e-10	1.06554e-10	4.88929e-11	2.53432e-11	1.24552e-11	7.1477e-12	4.24032e-12	3.08546e-12	2.60823e-12	2.89668e-12	
N3	0.00618973	0.00733498	0.00915322	0.0118057	0.0153593	0.0199289	0.0254249	0.0318061	0.0387207	0.0459444	0.0528825	0.059229	0.0642972	0.0678853	0.0694318	0.0690248	0.066416	0.0620639	0.0560758	0.0491656	0.0416396	0.0342035	0.0271202	0.0208525	0.0154699	0.0111307	0.00772535	0.00520255	0.00337927	0.00213127	0.00129646	0.000766488	0.000437087	0.000242542	0.000129823	6.77202e-05	3.40761e-05	1.67393e-05	7.93237e-06	3.67695e-06	1.64407e-06	7.20656e-07	3.04661e-07	1.26564e-07	5.0693e-08	2.00023e-08	7.60679e-09	2.85739e-09	1.03415e-09	3.7077e-10	1.281e-10	4.39929e-11	1.45767e-11	4.82175e-12	1.54386e-12	4.96274e-13	1.55321e-13	4.91159e-14	1.52446e-14	4.80461e-15	1.49808e-15	4.75733e-16	1.51702e-16	5.10989e-17	1.98543e-17	1.17363e-17	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.000696988	0.000884218	0.00123691	0.0018299	0.00274973	0.00411617	0.00603066	0.00862162	0.0119378	0.0160586	0.0208967	0.0264391	0.0324001	0.038676	0.0447725	0.050566	0.0554231	0.0593485	0.0617092	0.0627919	0.0620765	0.0601783	0.0567011	0.052496	0.0472252	0.0418232	0.0359493	0.030477	0.0250317	0.0203241	0.0159523	0.0124159	0.00931804	0.00696158	0.00500093	0.00359244	0.00247267	0.00170986	0.00112837	0.000751402	0.00047523	0.000304451	0.000184348	0.000113437	6.56398e-05	3.87047e-05	2.13688e-05	1.20531e-05	6.33897e-06	3.41449e-06	1.71005e-06	8.79716e-07	4.19815e-07	2.06551e-07	9.43463e-08	4.46935e-08	1.97542e-08	9.14825e-09	4.01831e-09	1.88186e-09	8.62408e-10	4.31384e-10	2.2174e-10	1.29246e-10	8.60169e-11	7.69491e-11	
N5	3.00214e-06	4.20438e-06	6.91832e-06	1.24177e-05	2.2941e-05	4.24621e-05	7.72351e-05	0.000137444	0.000237523	0.000398994	0.000649174	0.00102757	0.00158275	0.00238803	0.00352928	0.00512851	0.00729869	0.010176	0.0138083	0.0182148	0.0231821	0.0284426	0.0334229	0.0376943	0.0406756	0.0423238	0.0425863	0.0420906	0.0412138	0.040755	0.0408255	0.0417702	0.0430502	0.0445925	0.0454913	0.045803	0.0447213	0.0427591	0.0393604	0.0354472	0.0306366	0.0259708	0.0210916	0.0168679	0.0129017	0.00976003	0.00704591	0.00505107	0.0034456	0.00234193	0.00151027	0.000973386	0.000593978	0.000363542	0.000210787	0.000123268	6.86661e-05	3.89394e-05	2.13217e-05	1.20522e-05	6.72977e-06	3.95182e-06	2.37618e-06	1.56439e-06	1.15784e-06	1.08592e-06	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	7.46267e-17	1.10764e-15	1.95864e-14	2.94059e-13	3.55245e-12	3.61807e-11	2.86417e-10	1.3766e-09	8.66407e-09	3.9126e-08	7.47985e-08	1.75114e-07	1.09764e-06	6.8135e-06	2.41785e-05	4.72372e-05	5.83785e-05	5.12861e-05	5.12224e-05	0.000123127	0.000284242	0.000450558	0.000523003	0.000463629	0.000316872	0.000184031	0.00025861	0.00140458	0.00718227	0.0266378	0.0710195	0.138235	0.198839	0.213724	0.171887	0.103315	0.0458926	0.0148896	0.00347154	0.000580511	7.07e-05	6.46502e-06	4.55799e-07	2.54906e-08	1.15322e-09	4.31202e-11	1.35017e-12	3.59908e-14	8.23934e-16	1.64198e-17	2.86548e-19	4.432e-21	6.10126e-23	7.56361e-25	8.47323e-27	8.68421e-29	8.17152e-31	7.1545e-33	5.84892e-35	4.52394e-37	3.31606e-39	2.32613e-41	1.55781e-43	1.00041e-45	6.13192e-48	4.15019e-50	
Trichophorum_pumilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
