NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.000106537	0.000127818	0.000179578	0.000284427	0.000487564	0.000872431	0.00158341	0.00285303	0.00502479	0.00855443	0.0139651	0.0217339	0.0321063	0.044872	0.0593231	0.0740169	0.0869994	0.0961992	0.0999583	0.09752	0.0892757	0.0764563	0.0612288	0.0458352	0.0320632	0.0209538	0.01279	0.00729062	0.0038805	0.00192847	0.000894798	0.000387649	0.000156818	5.9249e-005	2.0915e-005	6.90322e-006	2.12633e-006	6.11293e-007	1.64043e-007	4.10966e-008	9.61254e-009	2.09943e-009	4.28195e-010	8.15669e-011	1.45137e-011	2.41271e-012	3.74781e-013	1.05233e-016	3.87711e-017	1.38156e-017	4.764e-018	1.58861e-018	5.12344e-019	1.59833e-019	4.82385e-020	1.40868e-020	3.98115e-021	1.08914e-021	2.88544e-022	7.40821e-023	1.84623e-023	4.48284e-024	1.07004e-024	2.5675e-025	6.6039e-026	2.349e-026	
N2	0.000304285	0.000336888	0.000405902	0.000525388	0.000719712	0.00102776	0.00150827	0.00224554	0.00335402	0.00497932	0.00729258	0.0104748	0.0146893	0.0200415	0.0265802	0.03419	0.0425764	0.0512662	0.0596333	0.0669664	0.0725674	0.0757174	0.0760621	0.073558	0.0684817	0.0613796	0.0529712	0.0440279	0.0352579	0.0272195	0.0202755	0.0145826	0.0101408	0.00683147	0.00446964	0.00284995	0.00177487	0.00108475	0.000654207	0.000391607	0.000233927	0.000140017	8.41448e-005	5.07562e-005	3.06634e-005	1.84949e-005	1.1035e-005	6.49178e-006	3.7571e-006	2.13677e-006	1.19429e-006	6.55298e-007	3.53411e-007	1.87665e-007	9.83131e-008	5.09142e-008	2.61127e-008	1.32829e-008	6.70911e-009	3.36897e-009	1.68552e-009	8.44553e-010	4.29206e-010	2.2802e-010	1.35766e-010	1.03896e-010	
N3	0.000886185	0.00100033	0.00124435	0.0016666	0.00234395	0.00338551	0.0049336	0.00715828	0.0102424	0.0143545	0.0196098	0.026024	0.0334681	0.0416366	0.050135	0.0583633	0.0656197	0.0712199	0.0745926	0.0753769	0.0734865	0.068988	0.0623681	0.0543011	0.0455355	0.0367819	0.0286229	0.0214612	0.015507	0.0108	0.00725187	0.00469506	0.00293185	0.00176657	0.00102766	0.000577604	0.000313279	0.000164036	8.29595e-005	4.05465e-005	1.91637e-005	8.76542e-006	3.88344e-006	1.66828e-006	6.95777e-007	2.82141e-007	1.11349e-007	4.28446e-008	1.61055e-008	5.92812e-009	2.14242e-009	7.60766e-010	2.65973e-010	9.17125e-011	3.12328e-011	1.05133e-011	3.49881e-012	1.15082e-012	3.73817e-013	1.19789e-013	3.78355e-014	1.17848e-014	3.64142e-015	1.14571e-015	4.03249e-016	2.06528e-016	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	3.96233e-005	4.43377e-005	5.45644e-005	7.28854e-005	0.00010405	0.000156303	0.000243544	0.000388642	0.00062814	0.0010184	0.0016427	0.00261781	0.00409771	0.00627047	0.0093601	0.0135828	0.0191069	0.0260006	0.0341727	0.043325	0.052936	0.0621744	0.0701701	0.0760728	0.0792005	0.0791705	0.0759779	0.0699996	0.0619208	0.0526054	0.0429432	0.0336861	0.0254108	0.0184519	0.0129162	0.00873237	0.00570416	0.0036096	0.00222001	0.00133223	0.000783596	0.000453952	0.000260294	0.000148386	8.44039e-005	4.80222e-005	2.70364e-005	1.50236e-005	8.21836e-006	4.41594e-006	2.32732e-006	1.19968e-006	6.04597e-007	2.98028e-007	1.43904e-007	6.8243e-008	3.19083e-008	1.47836e-008	6.82513e-009	3.1561e-009	1.46785e-009	6.89378e-010	3.30071e-010	1.66045e-010	9.52178e-011	7.31967e-011	
N5	1.65438e-005	1.85483e-005	2.28488e-005	3.04226e-005	4.30406e-005	6.37113e-005	9.73833e-005	0.000152005	0.000240056	0.000380686	0.000602537	0.000947272	0.00147361	0.00226131	0.00341788	0.00507572	0.00738951	0.0105259	0.0146433	0.0198613	0.026223	0.0336008	0.0417347	0.0501921	0.0583871	0.0656346	0.0712393	0.074604	0.0753349	0.0733184	0.0687483	0.0620899	0.0540089	0.0452534	0.0365374	0.0284457	0.0213325	0.0154261	0.0107711	0.00727556	0.00476588	0.00303728	0.00189083	0.0011555	0.000697043	0.000417493	0.000249137	0.000148577	8.86421e-005	5.28592e-005	3.1438e-005	1.85629e-005	1.08542e-005	6.27696e-006	3.59119e-006	2.0368e-006	1.14916e-006	6.47732e-007	3.66285e-007	2.08517e-007	1.19818e-007	6.97321e-008	4.14375e-008	2.56991e-008	1.75883e-008	1.49206e-008	
N6	3.46766e-005	3.71758e-005	4.19437e-005	4.92042e-005	5.93523e-005	7.3046e-005	9.137e-005	0.000116086	0.000149977	0.000197315	0.000264454	0.000360621	0.000498898	0.000697449	0.000974671	0.00135534	0.001867	0.00253753	0.00339086	0.00444148	0.00568855	0.00715395	0.00882892	0.0107022	0.0127722	0.0150617	0.0176294	0.0205728	0.0240171	0.0280866	0.032861	0.0383221	0.0443108	0.0505026	0.0564194	0.0614845	0.065065	0.0666282	0.0658655	0.062759	0.0575887	0.0508757	0.0432797	0.0354784	0.0280594	0.0214484	0.0158769	0.0114128	0.00799316	0.00547516	0.00368323	0.00243891	0.00159506	0.0010331	0.00066382	0.000423449	0.000268094	0.000168315	0.00010468	6.44617e-005	3.93482e-005	2.39129e-005	1.46295e-005	9.24211e-006	6.37733e-006	5.33169e-006	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	7.06491e-009	1.10561e-008	1.87434e-008	2.45858e-008	2.4549e-008	2.35646e-008	5.60287e-008	2.55355e-007	9.35213e-007	2.31736e-006	3.81446e-006	4.17382e-006	3.03433e-006	1.46306e-006	4.78657e-007	1.32916e-007	8.35713e-008	1.22429e-007	2.76316e-007	1.88352e-006	1.74278e-005	0.000127474	0.000670804	0.00243235	0.00589765	0.00950818	0.0102621	0.00783221	0.00683121	0.0158829	0.0463305	0.103826	0.17139	0.209529	0.190205	0.127723	0.0627062	0.0221576	0.00554154	0.000975151	0.000123222	1.15416e-005	8.27284e-007	4.66747e-008	2.12278e-009	7.9402e-011	2.48433e-012	6.59661e-014	1.50523e-015	2.98418e-017	5.19149e-019	7.988e-021	1.09574e-022	1.34977e-024	1.50327e-026	1.52325e-028	1.41266e-030	1.2057e-032	9.51967e-035	6.98636e-037	4.78629e-039	3.07274e-041	1.85463e-043	1.05533e-045	5.67776e-048	3.30205e-050	
