NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.107182	0.107592	0.107766	0.106722	0.103451	0.0972281	0.087874	0.075861	0.0622234	0.048291	0.0353478	0.0243423	0.0157401	0.00954137	0.00541505	0.00287408	0.00142521	0.000659752	0.000284895	0.000114688	4.30175e-005	1.50269e-005	4.88682e-006	1.47906e-006	4.16526e-007	1.09123e-007	2.65922e-008	6.02722e-009	1.27053e-009	2.49087e-010	4.54179e-011	7.70257e-012	1.21509e-012	1.59849e-016	5.90655e-017	2.10534e-017	7.23953e-018	2.40181e-018	7.68863e-019	2.37515e-019	7.0813e-020	2.03783e-020	5.66128e-021	1.51848e-021	3.9329e-022	9.83762e-023	2.37687e-023	5.54789e-024	1.2512e-024	2.72691e-025	5.74426e-026	1.16975e-026	2.30314e-027	4.38526e-028	8.076e-029	1.43882e-029	2.48033e-030	4.13814e-031	6.68369e-032	1.04555e-032	1.58571e-033	2.33768e-034	3.37499e-035	4.87856e-036	7.56796e-037	1.70746e-037	
N2	0.0167061	0.0201103	0.0250868	0.0316213	0.039311	0.0477603	0.0561463	0.0638859	0.0700188	0.0741747	0.0756605	0.0746586	0.0709608	0.0653203	0.0579137	0.0497796	0.0411861	0.0330782	0.0255494	0.0191987	0.0138621	0.00977491	0.00661826	0.00440339	0.00281066	0.00177883	0.00107852	0.000655953	0.000380962	0.000224822	0.000125933	7.25451e-005	3.92824e-005	2.20801e-005	1.15317e-005	6.29407e-006	3.15326e-006	1.65945e-006	7.93544e-007	4.00608e-007	1.82093e-007	8.78255e-008	3.7892e-008	1.7448e-008	7.13773e-009	3.13461e-009	1.21766e-009	5.11074e-010	1.88583e-010	7.56304e-011	2.65935e-011	1.02277e-011	3.42946e-012	1.2644e-012	4.065e-013	1.4463e-013	4.47957e-014	1.54725e-014	4.72556e-015	1.63648e-015	5.19167e-016	1.92296e-016	7.10864e-017	3.20319e-017	1.67614e-017	1.34004e-017	
N3	0.00382046	0.0047391	0.00626939	0.00860025	0.011886	0.0163057	0.0218919	0.0286555	0.0363341	0.0446609	0.0530223	0.0609286	0.0675645	0.0724653	0.0749431	0.0748966	0.0720992	0.0670038	0.0599176	0.0516851	0.0428653	0.0342775	0.0263398	0.0195137	0.0138882	0.0095318	0.00628409	0.00399717	0.00244241	0.00144102	0.000816842	0.000447569	0.000235666	0.000120115	5.88495e-005	2.7959e-005	1.27728e-005	5.6706e-006	2.4216e-006	1.00757e-006	4.03358e-007	1.57791e-007	5.93965e-008	2.19184e-008	7.78141e-009	2.71716e-009	9.12327e-010	3.02288e-010	9.62275e-011	3.03255e-011	9.17436e-012	2.75699e-012	7.95176e-013	2.28737e-013	6.32586e-014	1.7546e-014	4.70252e-015	1.27384e-015	3.36608e-016	9.06713e-017	2.41098e-017	6.57473e-018	1.79836e-018	5.20008e-019	1.72624e-019	9.09867e-020	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00187258	0.0024522	0.00353417	0.00533272	0.00807493	0.0120214	0.0173142	0.0240532	0.0320342	0.0410126	0.0503002	0.0593683	0.0672057	0.0733525	0.0768606	0.0777674	0.0755373	0.0709175	0.0638599	0.055637	0.0464286	0.0375527	0.0290494	0.0218525	0.0156968	0.011025	0.00738044	0.00487131	0.00305607	0.00191195	0.00113213	0.00067794	0.000381504	0.000220372	0.000118412	6.62129e-005	3.39839e-005	1.83501e-005	8.97068e-006	4.65198e-006	2.15515e-006	1.06573e-006	4.66e-007	2.18695e-007	8.99177e-008	3.98727e-008	1.53971e-008	6.44532e-009	2.33378e-009	9.20448e-010	3.12862e-010	1.16465e-010	3.7139e-011	1.30366e-011	3.91275e-012	1.3012e-012	3.68366e-013	1.16469e-013	3.16212e-014	9.75345e-015	2.65745e-015	8.51371e-016	2.64145e-016	1.02218e-016	4.67121e-017	3.55063e-017	
N5	0.000162119	0.000221341	0.000343383	0.000570501	0.000967082	0.00163153	0.00268973	0.00430867	0.00666131	0.00994468	0.0142908	0.0198144	0.026445	0.0340668	0.0422558	0.0506159	0.0583962	0.0651175	0.06998	0.072792	0.0730301	0.0710371	0.0666718	0.0607602	0.0534008	0.0456365	0.0375637	0.0301293	0.0232381	0.0175357	0.0127049	0.00906919	0.00620576	0.00422801	0.00275462	0.00181095	0.00113303	0.000725244	0.000438087	0.000273793	0.000159559	9.6903e-005	5.41809e-005	3.17021e-005	1.688e-005	9.43175e-006	4.75398e-006	2.52131e-006	1.19787e-006	6.00604e-007	2.68468e-007	1.27108e-007	5.34084e-008	2.38699e-008	9.44363e-009	3.99706e-009	1.49591e-009	6.04529e-010	2.18015e-010	8.66306e-011	3.1773e-011	1.33886e-011	5.66573e-012	2.93133e-012	1.76528e-012	1.56184e-012	
N6	5.99704e-007	9.04045e-007	1.63911e-006	3.2554e-006	6.64466e-006	1.35366e-005	2.7029e-005	5.26199e-005	9.92448e-005	0.000181329	0.000320197	0.000548499	0.000913008	0.00148515	0.00236256	0.00368279	0.00560455	0.00831104	0.0119304	0.0165188	0.0218986	0.0277171	0.0333115	0.0380525	0.0412879	0.0428993	0.043008	0.042375	0.0416564	0.0416964	0.0426621	0.0446656	0.0470027	0.0492793	0.0504736	0.0504928	0.0486303	0.0454762	0.0407313	0.0354704	0.0295418	0.0240364	0.018694	0.0142914	0.0104314	0.00752977	0.00517583	0.00353541	0.00228995	0.00147859	0.000900879	0.000548326	0.000313571	0.000179551	9.64261e-005	5.20744e-005	2.64603e-005	1.36401e-005	6.69962e-006	3.3933e-006	1.68129e-006	8.80964e-007	4.72106e-007	2.80652e-007	1.90129e-007	1.706e-007	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	5.6214e-018	1.03568e-016	2.2288e-015	4.05639e-014	5.90199e-013	7.17842e-012	6.66524e-011	3.44998e-010	2.57746e-009	1.33232e-008	2.56705e-008	6.32026e-008	4.75393e-007	3.4401e-006	1.32408e-005	2.6369e-005	3.25428e-005	2.81654e-005	2.86544e-005	7.70269e-005	0.000184626	0.000295149	0.000342731	0.000301195	0.000201804	0.000113924	0.000180307	0.00116233	0.00658656	0.0260509	0.0720113	0.142333	0.204843	0.217544	0.170956	0.0991275	0.0418384	0.0126249	0.00266077	0.000388285	4.01244e-005	3.04978e-006	1.76303e-007	8.00109e-009	2.91704e-010	8.73619e-012	2.1819e-013	4.6194e-015	8.37437e-017	1.31685e-018	1.80864e-020	2.19379e-022	2.36175e-024	2.28039e-026	1.98288e-028	1.57012e-030	1.1371e-032	7.63125e-035	4.77188e-037	2.82244e-039	1.58737e-041	8.60094e-044	4.49135e-046	2.2731e-048	1.10872e-050	5.94767e-053	
