NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.169985	0.163114	0.150247	0.132428	0.111155	0.0884017	0.0663053	0.0467156	0.0308168	0.0189836	0.0108976	0.00581982	0.00288753	0.00132947	0.000567486	0.00022438	8.21208e-005	2.78024e-005	8.70233e-006	2.51712e-006	6.72534e-007	1.65928e-007	3.77923e-008	7.94452e-009	1.54115e-009	2.75857e-010	4.55572e-011	6.94147e-012	9.75837e-013	1.17958e-016	4.081e-017	1.35638e-017	4.33115e-018	1.32885e-018	3.91784e-019	1.11011e-019	3.02338e-020	7.91568e-021	1.99259e-021	4.8234e-022	1.12297e-022	2.515e-023	5.41935e-024	1.12377e-024	2.24292e-025	4.3097e-026	7.97382e-027	1.42091e-027	2.43916e-028	4.03447e-029	6.43136e-030	9.883e-031	1.46435e-031	2.09254e-032	2.88457e-033	3.83681e-034	4.92549e-035	6.10426e-036	7.30544e-037	8.44608e-038	9.43949e-039	1.02154e-039	1.07612e-040	1.12389e-041	1.24413e-042	2.01887e-043	
N2	0.0261434	0.0318345	0.0395001	0.0487944	0.0587694	0.0685187	0.0764603	0.0819549	0.0839998	0.0825181	0.0775488	0.0701662	0.0606334	0.0505588	0.040423	0.0311615	0.0230367	0.0165582	0.0113574	0.0076152	0.00490464	0.00308939	0.00186789	0.00112663	0.000643882	0.000371483	0.000204749	0.000113644	5.97348e-005	3.24903e-005	1.62603e-005	8.49678e-006	4.10983e-006	2.05132e-006	9.37204e-007	4.54152e-007	1.95239e-007	8.96746e-008	3.69916e-008	1.60943e-008	6.23653e-009	2.62011e-009	9.54822e-010	3.79924e-010	1.33057e-010	5.00569e-011	1.65261e-011	6.03336e-012	1.87581e-012	6.47218e-013	1.94745e-013	6.37681e-014	1.80896e-014	5.74743e-015	1.54275e-015	4.65663e-016	1.21462e-016	3.48661e-017	8.76257e-018	2.52992e-018	6.41039e-019	1.93471e-019	5.81054e-020	2.16541e-020	9.55077e-021	6.90006e-021	
N3	0.00356292	0.00461826	0.00640932	0.00918071	0.0131473	0.0185269	0.0252871	0.0333963	0.0424403	0.0519053	0.060999	0.0690933	0.0750865	0.0786406	0.0791368	0.0765804	0.071137	0.0636108	0.0544492	0.0448277	0.0353691	0.0267766	0.019413	0.0135346	0.00901309	0.00577325	0.00354109	0.00208522	0.00117577	0.000639212	0.000331797	0.000166285	7.9899e-005	3.69952e-005	1.64276e-005	7.07757e-006	2.91167e-006	1.16491e-006	4.47609e-007	1.66767e-007	5.96566e-008	2.08859e-008	6.9713e-009	2.2829e-009	7.1761e-010	2.2017e-010	6.47576e-011	1.87958e-011	5.17891e-012	1.41126e-012	3.68082e-013	9.43464e-014	2.3134e-014	5.6506e-015	1.31022e-015	3.0441e-016	6.82043e-017	1.53227e-017	3.36181e-018	7.56372e-019	1.67824e-019	3.8586e-020	8.96138e-021	2.19264e-021	6.12338e-022	2.82453e-022	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.0035749	0.00478635	0.00696936	0.0104766	0.0156107	0.0226267	0.031364	0.041597	0.0525059	0.0631923	0.0724172	0.0794901	0.0830323	0.0832781	0.0797999	0.0733558	0.0644249	0.0545964	0.0440019	0.0343101	0.0255572	0.0183916	0.0126295	0.00849762	0.00540199	0.00339519	0.00203279	0.00120265	0.000674336	0.000384192	0.0002025	0.000109864	5.55456e-005	2.86708e-005	1.36156e-005	6.81336e-006	3.02646e-006	1.42912e-006	6.05406e-007	2.68761e-007	1.0584e-007	4.49996e-008	1.64576e-008	6.54774e-009	2.27122e-009	8.43514e-010	2.71669e-010	9.6511e-011	2.88383e-011	9.55715e-012	2.7185e-012	8.43212e-013	2.22869e-013	6.61998e-014	1.63099e-014	4.54218e-015	1.07155e-015	2.7995e-016	6.24761e-017	1.61359e-017	3.54585e-018	9.34614e-019	2.38395e-019	7.58205e-020	2.87012e-020	1.93523e-020	
N5	0.000349265	0.000492771	0.000784573	0.00132078	0.00224078	0.00374266	0.0060409	0.0094002	0.0140205	0.0200439	0.0274317	0.0360651	0.0453655	0.0548904	0.0637271	0.0711092	0.076148	0.0786094	0.0776917	0.0740856	0.0678369	0.0598497	0.0507063	0.0416844	0.0327736	0.0251081	0.0185178	0.0133036	0.00920159	0.00630908	0.00412142	0.00269647	0.00169765	0.00106756	0.000642056	0.000396184	0.000227535	0.000135122	7.52744e-005	4.27683e-005	2.25169e-005	1.24018e-005	6.13703e-006	3.19267e-006	1.508e-006	7.37714e-007	3.25238e-007	1.52229e-007	6.25641e-008	2.74405e-008	1.07101e-008	4.40444e-009	1.60278e-009	6.29827e-010	2.14133e-010	7.91085e-011	2.57315e-011	8.99755e-012	2.79399e-012	9.72025e-013	3.0486e-013	1.12199e-013	4.19181e-014	1.93141e-014	1.05877e-014	8.94426e-015	
N6	1.6476e-006	2.62924e-006	5.05966e-006	1.05442e-005	2.22952e-005	4.65144e-005	9.40357e-005	0.00018381	0.000345623	0.000624867	0.00108555	0.00181904	0.00293924	0.00460912	0.0070166	0.0103811	0.0149021	0.0207543	0.027854	0.0360083	0.0445751	0.0527105	0.0594025	0.0640154	0.065831	0.0652356	0.0624965	0.0583568	0.0533799	0.0483596	0.0432077	0.038554	0.0342054	0.0302961	0.0266422	0.0234758	0.0202833	0.0174538	0.0146732	0.0121223	0.00968643	0.00765017	0.00574641	0.00426282	0.00302164	0.00209352	0.00137792	0.000898501	0.000547007	0.000330334	0.000187802	0.000104793	5.4843e-005	2.86265e-005	1.38202e-005	6.68969e-006	3.043e-006	1.38618e-006	6.01574e-007	2.70117e-007	1.18026e-007	5.51355e-008	2.66358e-008	1.43728e-008	9.0063e-009	7.81834e-009	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	1.68663e-018	3.88739e-017	1.00199e-015	2.11198e-014	3.47639e-013	4.57499e-012	4.62238e-011	2.94041e-010	2.25913e-009	1.06514e-008	4.0306e-008	2.67116e-007	1.22818e-006	3.04478e-006	8.67376e-006	2.21279e-005	7.8691e-005	0.000339008	0.000841492	0.000747595	0.000310324	0.000268182	0.00122534	0.00875705	0.0448185	0.129192	0.18496	0.137826	0.0599837	0.02516	0.0344023	0.0639493	0.0898219	0.091901	0.0686869	0.0373821	0.0145433	0.00395097	0.000723327	8.73197e-005	7.21087e-006	4.29098e-007	1.91486e-008	6.66299e-010	1.85457e-011	4.22399e-013	8.00879e-015	1.28674e-016	1.76502e-018	2.09996e-020	2.18076e-022	1.99576e-024	1.61968e-026	1.17953e-028	7.71089e-031	4.59556e-033	2.50759e-035	1.26862e-037	6.00676e-040	2.7138e-042	1.17316e-044	4.94515e-047	2.02942e-049	8.11586e-052	3.14059e-054	1.31982e-056	
