NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	
N1	0.190425	0.180399	0.162052	0.137571	0.109786	0.0819124	0.0568661	0.0365897	0.0217566	0.0119276	0.00601956	0.00279295	0.00119035	0.000465649	0.000167103	5.49812e-005	1.65798e-005	4.58031e-006	1.15885e-006	2.68429e-007	5.69105e-008	1.10409e-008	1.95971e-009	3.18182e-010	4.72513e-011	6.41769e-012	7.97197e-013	9.49095e-017	3.05956e-017	9.43347e-018	2.78219e-018	7.84968e-019	2.11895e-019	5.47335e-020	1.35308e-020	3.20185e-021	7.25393e-022	1.57371e-022	3.26998e-023	6.50929e-024	1.24162e-024	2.26996e-025	3.97856e-026	6.6869e-027	1.07802e-027	1.66745e-028	2.47522e-029	3.52726e-030	4.82663e-031	6.34393e-032	8.01135e-033	9.7233e-034	1.13452e-034	1.273e-035	1.37402e-036	1.42706e-037	1.4266e-038	1.37315e-039	1.27299e-040	1.1371e-041	9.79188e-043	8.13844e-044	6.55286e-045	5.18581e-046	4.28907e-047	5.17902e-048	
N2	0.0282217	0.0350645	0.0443089	0.0552821	0.0668058	0.0775606	0.0853538	0.089613	0.089527	0.0849243	0.0767558	0.0665329	0.0546612	0.0432044	0.0327358	0.0237171	0.0164958	0.011175	0.00717116	0.00451025	0.00274303	0.00161287	0.000916571	0.000522519	0.000278383	0.000150171	7.81403e-005	3.98517e-005	1.94343e-005	9.80154e-006	4.46019e-006	2.11471e-006	9.41772e-007	4.17498e-007	1.72417e-007	7.54968e-008	2.88042e-008	1.17379e-008	4.38918e-009	1.66547e-009	5.75472e-010	2.15472e-010	6.87563e-011	2.39367e-011	7.52352e-012	2.4264e-012	7.04169e-013	2.25723e-013	6.04818e-014	1.79302e-014	4.75543e-015	1.30815e-015	3.20313e-016	8.78061e-017	1.98478e-017	5.03527e-018	1.13341e-018	2.67292e-019	5.63269e-020	1.35963e-020	2.78686e-021	6.81831e-022	1.68444e-022	5.08949e-023	1.87914e-023	1.19597e-023	
N3	0.00282373	0.00381383	0.00557733	0.00840012	0.0125882	0.0184241	0.0258683	0.0348975	0.0450592	0.0555381	0.0654975	0.0741331	0.0800244	0.082947	0.0824105	0.0782784	0.0712219	0.062225	0.0517822	0.0413342	0.0315665	0.0229858	0.0159944	0.0106737	0.00676151	0.00410705	0.00238484	0.00131912	0.000697388	0.000354642	0.000170968	7.9368e-005	3.53123e-005	1.49995e-005	6.10758e-006	2.40884e-006	8.99778e-007	3.26063e-007	1.13615e-007	3.79199e-008	1.2163e-008	3.80921e-009	1.1267e-009	3.25854e-010	9.0719e-011	2.42628e-011	6.23884e-012	1.578e-012	3.75362e-013	8.79449e-014	1.98253e-014	4.31243e-015	9.02169e-016	1.87325e-016	3.65723e-017	7.12239e-018	1.34613e-018	2.50307e-019	4.57725e-020	8.58258e-021	1.58306e-021	3.04472e-022	5.98386e-023	1.22957e-023	2.86352e-024	1.12564e-024	
Blysmus_compressus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N4	0.00367781	0.00510516	0.00775046	0.0120582	0.0184402	0.0271621	0.0378242	0.0499811	0.0624755	0.0737257	0.0824372	0.0878699	0.0884239	0.0850873	0.0780845	0.0681574	0.0567904	0.0456362	0.0346199	0.0254119	0.017886	0.0120354	0.00776051	0.00492278	0.00291615	0.00171279	0.000966691	0.000527231	0.000274745	0.000145612	6.9967e-005	3.44958e-005	1.60464e-005	7.32718e-006	3.12513e-006	1.39739e-006	5.43883e-007	2.23816e-007	8.44184e-008	3.19408e-008	1.09702e-008	4.05311e-009	1.26661e-009	4.29641e-010	1.30495e-010	4.05085e-011	1.11972e-011	3.41421e-012	8.59865e-013	2.39864e-013	5.90416e-014	1.51004e-014	3.38964e-015	8.56193e-016	1.7516e-016	4.04603e-017	8.16599e-018	1.73105e-018	3.21775e-019	6.8943e-020	1.21738e-020	2.57412e-021	5.34936e-022	1.3492e-022	4.14461e-023	2.39859e-023	
N5	0.000318805	0.000471442	0.000795612	0.00141244	0.00250821	0.0043444	0.0071944	0.0113945	0.0171896	0.0246314	0.0336085	0.0438224	0.0542778	0.0643729	0.0730375	0.0791047	0.082042	0.081874	0.0777776	0.0711721	0.0625523	0.0525772	0.0424411	0.033261	0.0247192	0.0179058	0.0125324	0.00843432	0.00548403	0.00354536	0.00215153	0.00130788	0.000770504	0.000441305	0.0002435	0.000137409	7.08011e-005	3.75188e-005	1.89245e-005	9.38998e-006	4.39433e-006	2.14444e-006	9.28888e-007	4.22326e-007	1.78504e-007	7.54007e-008	2.93954e-008	1.21871e-008	4.38436e-009	1.68499e-009	5.90645e-010	2.10279e-010	6.79275e-011	2.37575e-011	7.06642e-012	2.28406e-012	6.67128e-013	2.00453e-013	5.46716e-014	1.66242e-014	4.44088e-015	1.38874e-015	4.48716e-016	1.75845e-016	8.48378e-017	6.62503e-017	
N6	1.0315e-006	1.77355e-006	3.7445e-006	8.49408e-006	1.93508e-005	4.30349e-005	9.17559e-005	0.000187673	0.000367203	0.000685689	0.00122517	0.00210069	0.00344566	0.00544117	0.00827701	0.0121238	0.0171616	0.0235471	0.0311345	0.0398045	0.0490175	0.0578571	0.0655499	0.0715171	0.0746766	0.0753324	0.0733779	0.068732	0.0620841	0.0543181	0.0454105	0.036876	0.0291069	0.0223628	0.0169573	0.0129454	0.00975551	0.00747273	0.00574253	0.00436756	0.00327663	0.00245487	0.00174514	0.00122699	0.000831666	0.000540585	0.000336158	0.000206287	0.000117032	6.55025e-005	3.48385e-005	1.77487e-005	8.56246e-006	4.10076e-006	1.79752e-006	7.85453e-007	3.25868e-007	1.31797e-007	5.12384e-008	2.0524e-008	7.93046e-009	3.28466e-009	1.42681e-009	6.88234e-010	3.92352e-010	3.21938e-010	
Trichophorum_cespitosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	8.19038e-020	2.46907e-018	8.1043e-017	2.12258e-015	4.32141e-014	6.78191e-013	7.53549e-012	6.71257e-011	5.99161e-010	2.75735e-009	1.5144e-008	1.34214e-007	6.65305e-007	1.21326e-006	2.72422e-006	9.06378e-006	5.42313e-005	0.000298211	0.000846128	0.000722233	0.00023138	0.000157878	0.000979095	0.00916568	0.0575228	0.19135	0.28718	0.208824	0.0815378	0.0205761	0.0132367	0.0225322	0.0315925	0.0319061	0.0232638	0.012194	0.00448711	0.00112548	0.000183085	1.84813e-005	1.23003e-006	5.7808e-008	2.00959e-009	5.4149e-011	1.16447e-012	2.03892e-014	2.97174e-016	3.6712e-018	3.85944e-020	3.5201e-022	2.80571e-024	1.96263e-026	1.21856e-028	6.79488e-031	3.38776e-033	1.5413e-035	6.43782e-038	2.48523e-040	9.02634e-043	3.15045e-045	1.05598e-047	3.48584e-050	1.13097e-052	3.58301e-055	1.10272e-057	3.63955e-060	
