NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	1.34115e-009	1.38137e-009	1.44015e-009	1.49433e-009	1.52603e-009	1.52983e-009	1.5165e-009	1.51294e-009	1.56248e-009	1.73491e-009	2.16182e-009	3.13025e-009	5.17585e-009	9.48629e-009	6.95668e-008	3.02774e-007	9.96642e-007	2.69624e-006	6.17838e-006	1.21381e-005	2.06089e-005	3.05127e-005	3.98397e-005	4.64895e-005	4.92133e-005	4.80314e-005	4.39644e-005	3.84073e-005	3.25904e-005	2.7359e-005	2.32347e-005	1.66338e-005	1.33458e-005	1.27471e-005	1.45844e-005	1.89084e-005	2.57529e-005	3.47609e-005	4.50066e-005	5.51107e-005	6.35653e-005	6.91205e-005	7.11276e-005	6.97575e-005	6.60241e-005	6.16233e-005	5.87967e-005	6.06792e-005	7.3055e-005	0.000109924	0.00018718	0.000384358	0.000840603	0.00178333	0.00348867	0.00616564	0.00981458	0.0141647	0.0187648	0.0232202	0.0275065	0.0322593	0.0389326	0.0497416	0.067188	0.0926642	0.123975	0.153445	0.169768	0.164343	
N2	4.84401e-009	1.02705e-009	1.42323e-009	2.33951e-009	4.42944e-009	9.15738e-009	1.98721e-008	4.4248e-008	9.92653e-008	2.19767e-007	4.69718e-007	9.50333e-007	1.79351e-006	3.12229e-006	4.97983e-006	7.25015e-006	9.58549e-006	1.15245e-005	1.26441e-005	1.27302e-005	1.18511e-005	1.02999e-005	8.45882e-006	6.67212e-006	5.17942e-006	4.10829e-006	3.50143e-006	3.35877e-006	3.68196e-006	4.50477e-006	5.88945e-006	7.86455e-006	1.04233e-005	1.34311e-005	1.6543e-005	1.92981e-005	2.12728e-005	2.22665e-005	2.24306e-005	2.22961e-005	2.2758e-005	2.52174e-005	3.22825e-005	4.97538e-005	9.12494e-005	0.00018785	0.000405821	0.000872909	0.00180366	0.00349893	0.0063639	0.0106561	0.0165826	0.0242899	0.0341041	0.0466866	0.0627583	0.0821872	0.102777	0.119736	0.126901	0.119773	0.0987018	0.0696129	0.0411101	0.0198277	0.00760716	0.00229239	0.00058308	0.000169212	
N3	9.45802e-007	4.14041e-007	5.63146e-007	7.49903e-007	9.66296e-007	1.18933e-006	1.38171e-006	1.50112e-006	1.51599e-006	1.4199e-006	1.23558e-006	1.00581e-006	7.77196e-007	5.84196e-007	4.39693e-007	3.56825e-007	3.30208e-007	3.61653e-007	4.61804e-007	6.51556e-007	9.54743e-007	1.39661e-006	1.97818e-006	2.66829e-006	3.40158e-006	4.09724e-006	4.69208e-006	5.17224e-006	5.5913e-006	6.0843e-006	6.92162e-006	8.82449e-006	1.33463e-005	2.53366e-005	5.89225e-005	0.000153478	0.00040882	0.00104954	0.00251783	0.00556538	0.0112738	0.0208953	0.0354234	0.0549099	0.0777522	0.1004	0.117953	0.125741	0.121289	0.10557	0.0835662	0.0589895	0.0372545	0.0210043	0.0105525	0.00471819	0.00187758	0.000666981	0.000213414	6.27807e-005	1.76395e-005	4.99227e-006	1.48522e-006	4.64527e-007	1.47314e-007	4.55778e-008	1.34398e-008	3.73819e-009	9.77289e-010	2.40193e-010	
N4	4.09424e-007	3.36346e-008	3.14234e-008	3.06813e-008	3.30785e-008	4.0896e-008	5.7668e-008	8.87567e-008	1.41511e-007	2.24721e-007	3.47569e-007	5.18886e-007	7.48028e-007	1.0438e-006	1.39569e-006	1.81407e-006	2.27223e-006	2.74614e-006	3.25851e-006	4.00174e-006	5.7344e-006	1.15104e-005	3.38771e-005	0.000120666	0.000428956	0.00138853	0.00395811	0.00983367	0.0212573	0.0400451	0.0659233	0.096395	0.123115	0.138458	0.137489	0.12085	0.0942366	0.0653212	0.0403207	0.0221995	0.0109187	0.00480473	0.00189497	0.000671432	0.000214545	6.2243e-005	1.66013e-005	4.16285e-006	1.01695e-006	2.52837e-007	6.64355e-008	1.81412e-008	5.02497e-009	1.36227e-009	3.52703e-010	8.60997e-011	1.97087e-011	4.22311e-012	8.47194e-013	1.59326e-013	2.816e-014	4.69595e-015	7.42854e-016	1.12187e-016	1.62749e-017	2.27793e-018	3.0806e-019	4.01886e-020	5.0402e-021	6.05751e-022	
N5	3.19381e-007	5.22011e-008	7.69714e-008	1.1735e-007	1.79911e-007	2.70526e-007	3.90757e-007	5.32785e-007	6.75798e-007	7.89991e-007	8.55687e-007	9.05285e-007	1.12073e-006	2.31845e-006	9.28489e-006	5.11404e-005	0.000269127	0.00118647	0.004256	0.0124222	0.0297159	0.0587598	0.0968342	0.133993	0.15673	0.155902	0.132591	0.0968817	0.061086	0.0333694	0.0158513	0.00662735	0.0024053	0.000766276	0.000215341	5.37912e-005	1.21081e-005	2.51926e-006	5.06038e-007	1.03839e-007	2.26375e-008	5.1847e-009	1.1893e-009	2.60848e-010	5.31585e-011	9.92603e-012	1.68842e-012	2.61168e-013	3.67491e-014	4.71365e-015	5.56231e-016	6.01937e-017	6.13398e-018	6.1e-019	6.24394e-020	6.91394e-021	8.34308e-022	1.0533e-022	1.31957e-023	1.57846e-024	1.76313e-025	1.81696e-026	1.71644e-027	1.48234e-028	1.17105e-029	8.50044e-031	5.71918e-032	3.61282e-033	2.1766e-034	1.27132e-035	
N6	4.96505e-008	3.77034e-008	5.02951e-008	5.58775e-008	5.3276e-008	5.88887e-008	2.34395e-007	3.20229e-006	4.20565e-005	0.000372895	0.00223201	0.00940138	0.0289305	0.067014	0.117967	0.16446	0.183413	0.165721	0.12262	0.0749864	0.0382027	0.0163288	0.00589265	0.00180623	0.000473278	0.0001069	2.11147e-005	3.75681e-006	6.39867e-007	1.14731e-007	2.32197e-008	5.16776e-009	1.14423e-009	2.37174e-010	4.45986e-011	7.51713e-012	1.13182e-012	1.52166e-013	1.82806e-014	1.96459e-015	1.89377e-016	1.64509e-017	1.30188e-018	9.62429e-020	7.00646e-021	5.45825e-022	4.85513e-023	4.82655e-024	4.95318e-025	4.91391e-026	4.57164e-027	3.90043e-028	3.05006e-029	2.18385e-030	1.43256e-031	8.63628e-033	4.8145e-034	2.50939e-035	1.24449e-036	6.01119e-038	2.89241e-039	1.40062e-040	6.76649e-042	3.19297e-043	1.44109e-044	6.14161e-046	2.4629e-047	9.32173e-049	3.34815e-050	1.14719e-051	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	9.14414e-016	5.50625e-017	6.13029e-018	4.8962e-019	0.00302657	0.0477545	0.181703	0.296154	0.261475	0.142167	0.0516087	0.0132232	0.00249031	0.000355608	3.93068e-005	3.4815e-006	2.50283e-007	1.49443e-008	7.64694e-010	3.51059e-011	1.44586e-012	5.94416e-014	2.42078e-015	9.55043e-017	3.52123e-018	1.17984e-019	3.53804e-021	9.43613e-023	2.23542e-024	4.70969e-026	8.84847e-028	1.49114e-029	2.24789e-031	3.08471e-033	3.92827e-035	4.78992e-037	5.83964e-039	7.39742e-041	9.81361e-043	1.18688e-044	1.49209e-046	1.78319e-048	1.99178e-050	2.06142e-052	1.96983e-054	1.73681e-056	1.41459e-058	1.06697e-060	7.48193e-063	4.9045e-065	3.0302e-067	1.76642e-069	9.87236e-072	5.33757e-074	2.80797e-076	1.43997e-078	7.18052e-081	3.46395e-083	1.60726e-085	7.14329e-088	3.03051e-090	1.22507e-092	4.71511e-095	1.7276e-097	6.02809e-100	2.00514e-102	6.37116e-105	1.94043e-107	5.69475e-110	1.62287e-112	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
