NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.215324	0.220689	0.205487	0.161027	0.103976	0.0554864	0.02474	0.00930307	0.00295798	0.000792409	0.000177779	3.32205e-005	5.15084e-006	6.61008e-007	6.99586e-008	6.16062e-009	4.51435e-010	2.75076e-011	1.3913e-012	6.52894e-017	1.21329e-017	2.04407e-018	3.11701e-019	4.29677e-020	5.35014e-021	6.01553e-022	6.1086e-023	5.60562e-024	4.65293e-025	3.49774e-026	2.38472e-027	1.47701e-028	8.32513e-030	4.27821e-031	2.00842e-032	8.64138e-034	3.40899e-035	1.23548e-036	4.12149e-038	1.26799e-039	3.60446e-041	9.48481e-043	2.31455e-044	5.24713e-046	1.10698e-047	2.17695e-049	3.99718e-051	6.86346e-053	1.10378e-054	1.66503e-056	2.3593e-058	3.1447e-060	3.94817e-062	4.67526e-064	5.22833e-066	5.52843e-068	5.53404e-070	5.25036e-072	4.72639e-074	4.04145e-076	3.28602e-078	2.54316e-080	1.87533e-082	1.31887e-084	8.85418e-087	5.67948e-089	3.4839e-091	2.04559e-093	1.15307e-095	7.46902e-098	
N2	0.223653	0.231738	0.197865	0.150734	0.0960299	0.055225	0.0264673	0.0117676	0.00430774	0.00155914	0.000453761	0.000148272	3.62817e-005	1.16727e-005	2.52076e-006	8.07478e-007	1.49803e-007	4.28061e-008	6.77255e-009	1.74432e-009	2.23606e-010	4.78533e-011	5.29041e-012	1.082e-012	9.61496e-014	1.59852e-014	1.30739e-015	2.28804e-016	1.50158e-017	2.0303e-018	1.34965e-019	2.1073e-020	1.46915e-021	2.21505e-022	2.86008e-023	3.15905e-024	2.40056e-025	1.76256e-026	1.06102e-027	6.23086e-029	2.90446e-030	1.33311e-031	5.09033e-033	2.07802e-034	6.45049e-036	2.35824e-037	6.85658e-039	3.02031e-040	7.56327e-042	3.00708e-043	7.61418e-045	3.6123e-046	7.46156e-048	2.91654e-049	6.46242e-051	3.21544e-052	5.1032e-054	1.72535e-055	2.85385e-057	1.25949e-058	1.63632e-060	5.67717e-062	9.43166e-064	4.4709e-065	5.92331e-067	2.36185e-068	7.79951e-070	4.93218e-071	2.63826e-072	2.07466e-073	
N3	0.254043	0.25031	0.197527	0.138015	0.0814571	0.0441554	0.0205291	0.00895026	0.00332609	0.0011871	0.000357112	0.000107609	2.66606e-005	6.995e-006	1.45918e-006	3.44187e-007	6.12455e-008	1.28754e-008	1.96467e-009	3.68806e-010	4.73937e-011	7.69501e-012	8.49224e-013	1.23288e-013	1.14813e-014	1.43664e-015	1.17616e-016	1.35243e-017	9.47538e-019	9.459e-020	6.12124e-021	5.93936e-022	3.66079e-023	3.3887e-024	2.4995e-025	2.09655e-026	1.25116e-027	7.96265e-029	4.01421e-030	2.13571e-031	8.82163e-033	3.85151e-034	1.36084e-035	5.31094e-037	1.57627e-038	5.40047e-040	1.44787e-041	4.94108e-043	1.15202e-044	3.56996e-046	7.9057e-048	2.53745e-049	4.91783e-051	1.40268e-052	2.65037e-054	7.87947e-056	1.26763e-057	3.17897e-059	4.99946e-061	1.31564e-062	1.7974e-064	4.11672e-066	5.86485e-068	1.49522e-069	2.1508e-071	5.80156e-073	1.45998e-074	5.28194e-076	1.78112e-077	8.37866e-079	
N4	0.257314	0.252963	0.198456	0.137403	0.0799064	0.0425019	0.0192064	0.00807945	0.00285422	0.00095738	0.000265714	7.26151e-005	1.59949e-005	3.63772e-006	6.47541e-007	1.26185e-007	1.84349e-008	3.07305e-009	3.73367e-010	5.38203e-011	5.37947e-012	6.53966e-013	5.49715e-014	5.82872e-015	4.06415e-016	3.64692e-017	2.19463e-018	1.77046e-019	9.02334e-021	6.27184e-022	2.92431e-023	1.9477e-024	8.67202e-026	5.48373e-027	2.80515e-028	1.57802e-029	6.47039e-031	2.76167e-032	9.41249e-034	3.33164e-035	9.28931e-037	2.71664e-038	6.4904e-040	1.70148e-041	3.45184e-043	8.0149e-045	1.47257e-046	3.36752e-048	5.42255e-050	1.1305e-051	1.72137e-053	3.65629e-055	4.92181e-057	9.39014e-059	1.22385e-060	2.39229e-062	2.6986e-064	4.54341e-066	4.9842e-068	8.65981e-070	8.39865e-072	1.29913e-073	1.31569e-075	2.2546e-077	2.4466e-079	4.60485e-081	8.17044e-083	1.92808e-084	4.2739e-086	1.27009e-087	
N5	0.233878	0.240365	0.201142	0.148831	0.0910169	0.0497858	0.0221943	0.00889548	0.00282403	0.0008284	0.000188374	4.21364e-005	7.03646e-006	1.25257e-006	1.59479e-007	2.36833e-008	2.34538e-009	2.86969e-010	2.26761e-011	2.34064e-012	1.45571e-013	1.21799e-014	6.22211e-016	4.51787e-017	1.84676e-018	1.09424e-019	3.8337e-021	2.07898e-022	5.96597e-024	2.68252e-025	7.1783e-027	3.26026e-028	8.83196e-030	3.93441e-031	1.45833e-032	5.24904e-034	1.33125e-035	3.31554e-037	6.63282e-039	1.33111e-040	2.10805e-042	3.41893e-044	4.5567e-046	6.64889e-048	7.37464e-050	9.51222e-052	9.58893e-054	1.28604e-055	1.11155e-057	1.34428e-059	1.11631e-061	1.46005e-063	1.04054e-065	1.18593e-067	8.45864e-070	1.05748e-071	6.17764e-074	6.18547e-076	3.60701e-078	4.0048e-080	1.98177e-082	1.87329e-084	1.02079e-086	1.15126e-088	6.21691e-091	7.23971e-093	7.54103e-095	1.19248e-096	1.68694e-098	3.03776e-100	
N6	0.158406	0.191838	0.200549	0.182946	0.131546	0.0794247	0.0362727	0.013898	0.00392653	0.000978299	0.000178318	3.15861e-005	3.96771e-006	5.40167e-007	4.99416e-008	5.53224e-009	3.8533e-010	3.39635e-011	1.84073e-012	1.34179e-013	5.60312e-015	3.25812e-016	1.11368e-017	5.69443e-019	1.54947e-020	6.43917e-022	1.52479e-023	5.96476e-025	1.15807e-026	3.7238e-028	6.96469e-030	2.34064e-031	4.64761e-033	1.54326e-034	4.3336e-036	1.11207e-037	2.03312e-039	3.55828e-041	5.0615e-043	7.06901e-045	7.897e-047	8.85358e-049	8.24054e-051	8.28207e-053	6.40542e-055	5.7613e-057	4.10356e-059	3.9858e-061	2.46196e-063	2.17651e-065	1.31109e-067	1.27937e-069	6.58416e-072	5.58314e-074	2.92719e-076	2.81275e-078	1.18909e-080	8.98738e-083	3.85696e-085	3.3443e-087	1.21726e-089	9.00524e-092	3.76273e-094	3.42455e-096	1.44274e-098	1.35259e-100	1.11465e-102	1.37449e-104	1.49929e-106	2.0288e-108	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.00640407	0.0317906	0.119287	0.286522	0.339902	0.171698	0.0389625	0.00503638	0.000376607	1.98956e-005	6.94104e-007	1.968e-008	3.91241e-010	7.00926e-012	9.03907e-014	1.14313e-015	1.03456e-017	9.72702e-020	6.53252e-022	4.79066e-024	2.44489e-026	1.41233e-028	5.71769e-031	2.73222e-033	8.84695e-036	3.46984e-038	9.41208e-041	3.21069e-043	7.27789e-046	2.11162e-048	4.2981e-051	1.15729e-053	2.1965e-056	5.46076e-059	1.10038e-061	2.42436e-064	4.00939e-067	6.87489e-070	9.49005e-073	1.34979e-075	1.53117e-078	1.80478e-081	1.75064e-084	1.83529e-087	1.52056e-090	1.41662e-093	1.06273e-096	9.61841e-100	6.40493e-103	5.32786e-106	3.3463e-109	2.7815e-112	1.56383e-115	1.18132e-118	6.37456e-122	4.83218e-125	2.30544e-128	1.54627e-131	7.14489e-135	4.84541e-138	2.03192e-141	1.26168e-144	5.55989e-148	3.77901e-151	1.88447e-154	1.42973e-157	1.03605e-160	9.12966e-164	7.61519e-167	6.8628e-170	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
