NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.221593	0.210115	0.184622	0.146644	0.103872	0.0653446	0.036551	0.0182334	0.00813019	0.00324111	0.00115314	0.000365098	0.00010255	2.54851e-005	5.59197e-006	1.08171e-006	1.84257e-007	2.76116e-008	3.63654e-009	4.20478e-010	4.26299e-011	3.7843e-012	2.93694e-013	4.0416e-017	9.82068e-018	2.22631e-018	4.70585e-019	9.27051e-020	1.70159e-020	2.90958e-021	4.63486e-022	6.87923e-023	9.5163e-024	1.22744e-024	1.47694e-025	1.6589e-026	1.7405e-027	1.70708e-028	1.56646e-029	1.34598e-030	1.08394e-031	8.18894e-033	5.80918e-034	3.87338e-035	2.42984e-036	1.43552e-037	7.99485e-039	4.20159e-040	2.08567e-041	9.78884e-043	4.34798e-044	1.82949e-045	7.29901e-047	2.7637e-048	9.94031e-050	3.39919e-051	1.10609e-052	3.42771e-054	1.01244e-055	2.85255e-057	7.67216e-059	1.97127e-060	4.84197e-062	1.13775e-063	2.55918e-065	5.51399e-067	1.13874e-068	2.25633e-070	4.32522e-072	1.05678e-073	
N2	0.209505	0.20952	0.181642	0.145408	0.102744	0.0682033	0.0400988	0.0225109	0.0111183	0.00538888	0.00227334	0.000990614	0.00036569	0.000150664	5.05268e-005	2.07052e-005	6.38294e-006	2.55058e-006	7.22006e-007	2.75539e-007	6.913e-008	2.38594e-008	5.36262e-009	1.72451e-009	3.3677e-010	9.62686e-011	1.71137e-011	4.71994e-012	7.31814e-013	1.79289e-013	2.63148e-014	6.49168e-015	8.28195e-016	1.76538e-016	2.18993e-017	4.7888e-018	5.12863e-019	9.49443e-020	1.00855e-020	1.9414e-021	1.75086e-022	2.77848e-023	2.49481e-024	4.17358e-025	3.19561e-026	4.43957e-027	3.45186e-028	5.1421e-029	3.3274e-030	3.96775e-031	2.58827e-032	3.3516e-033	1.839e-034	1.94815e-035	1.11764e-036	1.31302e-037	6.08846e-039	5.50298e-040	2.62745e-041	2.67418e-042	1.06457e-043	8.78897e-045	3.83751e-046	3.62526e-047	1.26205e-048	9.18258e-050	4.27132e-051	4.60046e-052	4.33218e-053	9.03709e-054	
N3	0.219091	0.215873	0.182794	0.142348	0.0982093	0.0638963	0.037333	0.0209123	0.0105301	0.00515923	0.00226301	0.000984814	0.000379316	0.000148798	5.10042e-005	1.84093e-005	5.66364e-006	1.89375e-006	5.27597e-007	1.64444e-007	4.12235e-008	1.18025e-008	2.67134e-009	7.05546e-010	1.4257e-010	3.41488e-011	6.2376e-012	1.37977e-012	2.25184e-013	4.51161e-014	6.72249e-015	1.25626e-015	1.67646e-016	2.83203e-017	3.48553e-018	5.54153e-019	6.11669e-020	8.76887e-021	9.00738e-022	1.22442e-022	1.12401e-023	1.36743e-024	1.17449e-025	1.3629e-026	1.04621e-027	1.08562e-028	7.86122e-030	7.84277e-031	5.05606e-032	4.47976e-033	2.73811e-034	2.34898e-035	1.28338e-036	9.8219e-038	5.14246e-039	3.84689e-040	1.79282e-041	1.18675e-042	5.32412e-044	3.46933e-045	1.39671e-046	8.14105e-048	3.22306e-049	1.89549e-050	7.14866e-052	4.12721e-053	2.05162e-054	1.52118e-055	1.10923e-056	1.37656e-057	
N4	0.232329	0.225898	0.186747	0.140734	0.0932952	0.0579316	0.032121	0.0169529	0.00799743	0.00363611	0.00147128	0.000582546	0.000203049	7.06541e-005	2.13987e-005	6.64014e-006	1.75737e-006	4.89199e-007	1.14129e-007	2.87364e-008	5.89571e-009	1.33118e-009	2.41399e-010	4.91106e-011	7.81057e-012	1.41327e-012	1.99221e-013	3.2532e-014	4.03279e-015	5.86555e-016	6.51239e-017	8.64437e-018	8.4929e-019	1.00823e-019	8.986e-021	9.85849e-022	7.82869e-023	7.7122e-024	5.62552e-025	5.17691e-026	3.37327e-027	2.78349e-028	1.68057e-029	1.30542e-030	7.06477e-032	4.92868e-033	2.49357e-034	1.65049e-035	7.48077e-037	4.4336e-038	1.88966e-039	1.06987e-040	4.10331e-042	2.09003e-043	7.60668e-045	3.73361e-046	1.22125e-047	5.37362e-049	1.67697e-050	7.16335e-052	2.02534e-053	7.84037e-055	2.16542e-056	8.39343e-058	2.27368e-059	8.93849e-061	3.15872e-062	1.55023e-063	7.52221e-065	5.73882e-066	
N5	0.230376	0.22551	0.188108	0.142887	0.09483	0.0585266	0.0317487	0.0161847	0.00717788	0.00302069	0.00109096	0.000381694	0.000112444	3.31576e-005	8.07928e-006	2.05869e-006	4.19232e-007	9.31131e-008	1.6087e-008	3.15345e-009	4.60719e-010	7.84668e-011	9.81307e-012	1.47135e-012	1.55826e-013	2.01486e-014	1.84877e-015	2.1294e-016	1.66909e-017	1.66869e-018	1.15741e-019	1.05533e-020	6.30923e-022	5.01562e-023	2.70993e-024	2.00801e-025	9.42862e-027	6.11023e-028	2.64583e-029	1.62629e-030	6.11991e-032	3.26497e-033	1.1469e-034	5.87092e-036	1.80033e-037	8.01745e-039	2.32892e-040	1.00742e-041	2.54356e-043	9.48083e-045	2.28212e-046	8.34545e-048	1.76002e-049	5.60098e-051	1.14408e-052	3.6205e-054	6.4325e-056	1.74858e-057	3.02044e-059	8.24589e-061	1.2541e-062	2.99132e-064	4.52921e-066	1.10911e-067	1.52694e-069	3.47078e-071	6.29531e-073	1.90603e-074	5.46279e-076	2.5123e-077	
N6	0.188126	0.19724	0.183189	0.156571	0.11563	0.077543	0.0440657	0.022618	0.00962448	0.00373767	0.00118762	0.000356262	8.60741e-005	2.06525e-005	3.92459e-006	7.8643e-007	1.20253e-007	2.03702e-008	2.56152e-009	3.72077e-010	3.8374e-011	4.69909e-012	4.05473e-013	4.29457e-014	3.07539e-015	2.76413e-016	1.70127e-017	1.36335e-018	7.10458e-020	4.91143e-021	2.27526e-022	1.45056e-023	5.76512e-025	3.17951e-026	1.15236e-027	5.99128e-029	1.87764e-030	8.44581e-032	2.46333e-033	1.06137e-034	2.6693e-036	9.84969e-038	2.32893e-039	8.33481e-041	1.70943e-042	5.27339e-044	1.03426e-045	3.14425e-047	5.31901e-049	1.37814e-050	2.2438e-052	5.80442e-054	8.24085e-056	1.84391e-057	2.57452e-059	5.85315e-061	7.04882e-063	1.35888e-064	1.61388e-066	3.19642e-068	3.32824e-070	5.72055e-072	6.05273e-074	1.09216e-075	1.03491e-077	1.69327e-079	2.14797e-081	4.77247e-083	9.86949e-085	3.22425e-086	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.0246008	0.0623679	0.145845	0.2466	0.261608	0.171919	0.0668051	0.0170542	0.00282546	0.000343048	2.9375e-005	2.01497e-006	1.02699e-007	4.50066e-009	1.5151e-010	4.65425e-012	1.11185e-013	2.54188e-015	4.55033e-017	8.1086e-019	1.12263e-020	1.59409e-022	1.76032e-024	2.04945e-026	1.83142e-028	1.76337e-030	1.30973e-032	1.07306e-034	6.67207e-037	4.65537e-039	2.48884e-041	1.52337e-043	6.98856e-046	3.71385e-048	1.50219e-050	7.15576e-053	2.52622e-055	1.05826e-057	3.35514e-060	1.28017e-062	3.57634e-065	1.20788e-067	3.0698e-070	9.56291e-073	2.16041e-075	6.0053e-078	1.24945e-080	3.24263e-083	6.02605e-086	1.39998e-088	2.41899e-091	5.30099e-094	8.24503e-097	1.62989e-099	2.38356e-102	4.49159e-105	5.92808e-108	1.00799e-110	1.26093e-113	2.06174e-116	2.35398e-119	3.52254e-122	3.93562e-125	5.89862e-128	6.67238e-131	1.04044e-133	1.50851e-136	2.81397e-139	5.09694e-142	1.07674e-144	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_squarrosa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_ovata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0745478	0.0935824	0.113606	0.130825	0.133094	0.125778	0.105307	0.0827503	0.0575471	0.0378304	0.021975	0.0122392	0.00601618	0.00288862	0.00122	0.000511161	0.000185242	6.7176e-005	2.06816e-005	6.42471e-006	1.65599e-006	4.34798e-007	9.37015e-008	2.0861e-008	3.75709e-009	7.09523e-010	1.08514e-010	1.77307e-011	2.32415e-012	3.30932e-013	3.80923e-014	4.85197e-015	4.94048e-016	5.64665e-017	5.2255e-018	5.53399e-019	4.70531e-020	4.66447e-021	3.80054e-022	3.68673e-023	2.89104e-024	2.70352e-025	2.05257e-026	1.84664e-027	1.29437e-028	1.06236e-029	6.83207e-031	5.14515e-032	2.93307e-033	1.95547e-034	1.00684e-035	6.11384e-037	2.78117e-038	1.49609e-039	6.18393e-041	3.05343e-042	1.12007e-043	4.92055e-045	1.65693e-046	6.75915e-048	2.05259e-049	7.60475e-051	2.21654e-052	8.07022e-054	2.40908e-055	9.15991e-057	3.30975e-058	1.41332e-059	5.90416e-061	3.53932e-062	
Bulbostylis_barbata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N9	0.002199	0.00589198	0.0160432	0.0376586	0.0663635	0.104091	0.14522	0.178966	0.156932	0.109832	0.067343	0.0433227	0.0259216	0.0178069	0.0108554	0.00675286	0.00301232	0.0012825	0.000362767	0.000107503	2.41447e-005	7.46283e-006	1.92652e-006	6.31185e-007	1.39152e-007	3.61066e-008	6.42225e-009	1.61638e-009	3.68511e-010	1.52935e-010	4.98208e-011	2.16369e-011	5.63233e-012	1.83871e-012	3.65747e-013	9.36565e-014	1.34447e-014	2.49309e-015	2.75185e-016	4.04406e-017	3.20988e-018	3.38587e-019	2.10366e-020	1.79489e-021	8.15415e-023	5.08241e-024	1.86859e-025	9.73896e-027	2.66286e-028	1.02707e-029	2.34209e-031	7.82641e-033	1.37153e-034	3.51273e-036	5.34584e-038	1.23163e-039	1.45908e-041	2.59076e-043	2.72775e-045	4.49021e-047	3.79527e-049	4.98838e-051	3.90689e-053	4.94011e-055	3.22462e-057	3.4644e-059	2.79485e-061	3.81237e-063	4.71066e-065	8.4957e-067	
