NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.295105	0.293553	0.225125	0.121982	0.0473102	0.0134939	0.00289505	0.000471666	5.85725e-005	5.52813e-006	3.95724e-007	2.13783e-008	8.67924e-010	2.63523e-011	5.96514e-013	2.33492e-017	2.61632e-018	2.53347e-019	2.1239e-020	1.54504e-021	9.77967e-023	5.40319e-024	2.61485e-025	1.11262e-026	4.17842e-028	1.39012e-029	4.11111e-031	1.08411e-032	2.55616e-034	5.40212e-036	1.02561e-037	1.75297e-039	2.70306e-041	3.76837e-043	4.76003e-045	5.45996e-047	5.7e-049	5.42825e-051	4.72653e-053	3.77151e-055	2.76413e-057	1.86483e-059	1.16065e-061	6.67824e-064	3.55969e-066	1.76123e-068	8.1041e-071	3.47442e-073	1.39034e-075	5.20196e-078	1.82278e-080	5.99111e-083	1.84991e-085	5.37398e-088	1.4708e-090	3.79759e-093	9.26242e-096	2.13669e-098	4.66746e-101	9.66587e-104	1.89979e-106	3.5476e-109	6.30055e-112	1.06528e-114	1.71636e-117	2.6376e-120	3.86948e-123	5.42405e-126	7.27712e-129	1.04469e-131	
N2	0.27974	0.294005	0.217536	0.125764	0.0545422	0.0208477	0.00563192	0.00152642	0.000320455	7.13665e-005	1.10962e-005	2.77058e-006	3.10077e-007	6.16467e-008	6.34368e-009	1.02254e-009	7.21114e-011	1.14759e-011	5.97972e-013	7.89623e-014	3.98465e-015	3.38462e-016	1.37625e-017	1.72156e-018	4.30671e-020	2.84764e-021	9.25328e-023	6.31614e-024	1.18131e-025	7.1239e-027	1.18944e-028	7.42288e-030	1.07574e-031	3.40568e-033	4.85177e-035	2.99629e-036	2.469e-038	6.50463e-040	8.20526e-042	2.98693e-043	2.17482e-045	6.12611e-047	3.91036e-049	1.14083e-050	8.05098e-053	1.26741e-054	9.98604e-057	3.76642e-058	1.45213e-060	1.89004e-062	1.07839e-064	2.03078e-066	7.77816e-069	1.60608e-070	6.47552e-073	1.3967e-074	4.60427e-077	4.2392e-079	1.66609e-081	3.70672e-083	8.21156e-086	7.95657e-088	3.85428e-090	5.67196e-092	1.14835e-094	1.10038e-096	2.3995e-099	3.2759e-101	2.44574e-103	8.33836e-105	
N3	0.304234	0.300564	0.206263	0.113139	0.049011	0.0191079	0.0056616	0.00157501	0.000356303	7.37988e-005	1.20515e-005	2.21327e-006	2.6379e-007	3.75526e-008	3.82481e-009	4.27808e-010	3.16e-011	3.26323e-012	1.78332e-013	1.43337e-014	7.03703e-016	4.26883e-017	1.6309e-018	1.03553e-019	2.88245e-021	1.31935e-022	3.80413e-024	1.48166e-025	3.07386e-027	1.16832e-028	2.00558e-030	6.56245e-032	1.06825e-033	2.51283e-035	3.53066e-037	1.05019e-038	1.06275e-040	2.07608e-042	2.43456e-044	4.67799e-046	4.0364e-048	7.31315e-050	5.41147e-052	9.00726e-054	6.9242e-056	8.15467e-058	5.68028e-060	9.53133e-062	4.70056e-064	4.85117e-066	2.88125e-068	3.06102e-070	1.39e-072	1.56175e-074	6.38161e-077	6.46826e-079	2.6068e-081	1.80103e-083	7.04441e-086	7.21895e-088	2.00679e-090	1.32214e-092	5.16405e-095	3.64016e-097	9.50817e-100	6.41387e-102	1.79244e-104	1.52529e-106	1.24583e-108	2.22119e-110	
N4	0.292392	0.295589	0.209762	0.119365	0.053353	0.0211829	0.00624992	0.00167703	0.000353468	6.52981e-005	9.23124e-006	1.38037e-006	1.3396e-007	1.45849e-008	1.14667e-009	9.39346e-011	5.2226e-012	3.78698e-013	1.53028e-014	8.45287e-016	2.99351e-017	1.2453e-018	3.39913e-020	1.42261e-021	2.85936e-023	8.79943e-025	1.78111e-026	4.59745e-028	6.84911e-030	1.72021e-031	2.11423e-033	4.51105e-035	5.26825e-037	8.37622e-039	8.37291e-041	1.59535e-042	1.18466e-044	1.56442e-046	1.30167e-048	1.63857e-050	1.03497e-052	1.25049e-054	6.77912e-057	7.41924e-059	4.16101e-061	3.36595e-063	1.68725e-065	1.82031e-067	6.75864e-070	4.83327e-072	2.1005e-074	1.4922e-076	5.08958e-079	3.82735e-081	1.16577e-083	7.82773e-086	2.39339e-088	1.16303e-090	3.38019e-093	2.27529e-095	4.89979e-098	2.25902e-100	6.45355e-103	3.05533e-105	6.21232e-108	2.92908e-110	6.50831e-113	3.92396e-115	2.41122e-117	2.86297e-119	
N5	0.226472	0.26687	0.22994	0.155218	0.0774813	0.03231	0.00907479	0.00219318	0.000378606	5.53097e-005	5.60967e-006	6.33286e-007	3.97507e-008	3.07146e-009	1.5044e-010	8.40359e-012	2.71807e-013	1.33544e-014	2.99952e-016	1.09981e-017	2.16079e-019	5.62836e-021	8.41054e-023	2.39918e-024	2.47656e-026	4.7402e-028	5.30079e-030	8.83452e-032	6.72415e-034	1.08552e-035	6.89535e-038	9.86688e-040	5.87417e-042	5.60359e-044	2.94671e-046	3.93031e-048	1.41156e-050	1.12254e-052	4.97595e-055	4.19843e-057	1.30228e-059	9.93743e-062	2.67288e-064	1.95101e-066	5.52128e-069	2.65589e-071	7.09922e-074	5.54398e-076	9.71198e-079	4.08215e-081	9.15969e-084	4.27949e-086	7.09628e-089	3.55679e-091	5.44481e-094	2.52312e-096	3.71053e-099	1.05831e-101	1.58731e-104	7.65589e-107	7.66307e-110	2.14622e-112	3.37334e-115	1.10269e-117	1.04445e-120	3.03632e-123	3.0477e-126	1.12054e-128	3.49291e-131	2.66984e-133	
N6	0.110265	0.186364	0.240933	0.227316	0.143853	0.0675784	0.0189167	0.00411482	0.000587202	6.76522e-005	5.13621e-006	4.38935e-007	1.96586e-008	1.11475e-009	3.82253e-011	1.54029e-012	3.43304e-014	1.21751e-015	1.88229e-017	5.02299e-019	6.89898e-021	1.29882e-022	1.37498e-024	2.97072e-026	2.15844e-028	3.05679e-030	2.47833e-032	3.14142e-034	1.7134e-036	2.09436e-038	9.6877e-041	1.07814e-042	4.66098e-045	3.3827e-047	1.32057e-049	1.40329e-051	3.70145e-054	2.27163e-056	7.64573e-059	5.16061e-061	1.20081e-063	7.30104e-066	1.48303e-068	8.72755e-071	1.89744e-073	7.26157e-076	1.53264e-078	1.00603e-080	1.35018e-083	4.53613e-086	7.96865e-089	3.07435e-091	3.96109e-094	1.65448e-096	2.00987e-099	7.91448e-102	9.09474e-105	2.12268e-107	2.53954e-110	1.04511e-112	8.23715e-116	1.92254e-118	2.47742e-121	6.98989e-124	5.23789e-127	1.26743e-129	1.01374e-132	3.16514e-135	8.00336e-138	5.19943e-140	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.00113232	0.0127998	0.0802402	0.295404	0.463968	0.133973	0.0119184	0.000549878	1.38253e-005	2.32718e-007	2.51691e-009	2.42792e-011	1.42372e-013	8.28159e-016	3.3855e-018	1.32209e-020	3.5479e-023	1.12994e-025	2.11206e-028	4.92469e-031	7.76112e-034	1.34626e-036	1.60801e-039	2.6688e-042	2.36583e-045	2.93267e-048	2.51961e-051	2.57533e-054	1.66396e-057	1.63244e-060	8.66736e-064	7.13461e-067	3.58651e-070	2.28288e-073	9.74768e-077	6.99687e-080	2.29823e-083	1.21056e-086	4.291e-090	2.08349e-093	5.79658e-097	2.74426e-100	6.55372e-104	2.76194e-107	6.77348e-111	2.21484e-114	4.78986e-118	1.93044e-121	3.24716e-125	9.4142e-129	1.78081e-132	4.93318e-136	7.54155e-140	2.19266e-143	2.97159e-147	7.65108e-151	1.05054e-154	2.08789e-158	2.66267e-162	6.72211e-166	6.66943e-170	1.24078e-173	1.521e-177	2.77866e-181	2.60356e-185	4.93303e-189	5.26131e-193	1.30786e-196	3.481e-200	1.35434e-203	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
