NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.317893	0.302338	0.216805	0.109767	0.0399171	0.0107244	0.00217637	0.000335983	3.93358e-005	3.4615e-006	2.27062e-007	1.1007e-008	3.91673e-010	1.01798e-011	1.92901e-013	1.18192e-017	1.19096e-018	1.0317e-019	7.71633e-021	5.00418e-022	2.82513e-023	1.39318e-024	6.0183e-026	2.2829e-027	7.62037e-029	2.24295e-030	5.83328e-032	1.34337e-033	2.7459e-035	4.99416e-037	8.10364e-039	1.17636e-040	1.53209e-042	1.79544e-044	1.89873e-046	1.81727e-048	1.57862e-050	1.2481e-052	9.00568e-055	5.94603e-057	3.60153e-059	2.00616e-061	1.03012e-063	4.88702e-066	2.14674e-068	8.7499e-071	3.31578e-073	1.17048e-075	3.85597e-078	1.18758e-080	3.42519e-083	9.26625e-086	2.35502e-088	5.6312e-091	1.26866e-093	2.69664e-096	5.41507e-099	1.02858e-101	1.85035e-104	3.15613e-107	5.11012e-110	7.86233e-113	1.15071e-115	1.60367e-118	2.13016e-121	2.69938e-124	3.26634e-127	3.77735e-130	4.18129e-133	4.92657e-136	
N2	0.291154	0.301669	0.213444	0.120502	0.0492229	0.0179302	0.00456413	0.00122457	0.000226534	5.29568e-005	7.30729e-006	1.82901e-006	1.82088e-007	3.58097e-008	3.02525e-009	5.20809e-010	3.01852e-011	4.24993e-012	1.97235e-013	2.75771e-014	1.04385e-015	8.77956e-017	2.95072e-018	3.69619e-019	7.69206e-021	4.56275e-022	1.06171e-023	8.11368e-025	1.15589e-026	5.5915e-028	7.92617e-030	5.05361e-031	5.06984e-033	1.42851e-034	1.47582e-036	7.82415e-038	5.03814e-040	1.18544e-041	1.12589e-043	4.53171e-045	2.35161e-047	4.9108e-049	2.55351e-051	7.47423e-053	3.3752e-055	5.43713e-057	3.67294e-059	1.36169e-060	4.28964e-063	4.91336e-065	2.01693e-067	4.17654e-069	1.15024e-071	1.82916e-073	7.4187e-076	1.85379e-077	4.43752e-080	3.72152e-082	1.08781e-084	2.19017e-086	3.93834e-089	3.59407e-091	1.33764e-093	2.42831e-095	3.76496e-098	2.61557e-100	4.61401e-103	6.22607e-105	3.50226e-107	1.08215e-108	
N3	0.311032	0.304749	0.203315	0.110786	0.0462306	0.0173464	0.00489989	0.00131097	0.000266736	5.33857e-005	7.78359e-006	1.33261e-006	1.4087e-007	1.89043e-008	1.60031e-009	1.74272e-010	1.06749e-011	9.71533e-013	4.53726e-014	3.41294e-015	1.30652e-016	7.38728e-018	2.29445e-019	1.31922e-020	3.03913e-022	1.2407e-023	2.7313e-025	1.05327e-026	1.72142e-028	5.552e-030	8.02504e-032	2.51724e-033	3.06089e-035	6.6263e-037	7.33809e-039	1.92321e-040	1.5881e-042	2.78171e-044	2.51301e-046	4.85882e-048	3.21898e-050	4.82594e-052	2.98329e-054	4.71087e-056	2.59629e-058	2.89741e-060	1.64878e-062	2.54974e-064	1.02033e-066	9.24634e-069	4.13614e-071	4.37541e-073	1.49457e-075	1.36197e-077	4.87791e-080	5.01999e-082	1.47861e-084	9.31993e-087	2.83834e-089	2.6086e-091	5.88016e-094	3.50028e-096	1.04946e-098	8.01657e-101	1.61218e-103	8.66795e-106	1.99924e-108	1.58992e-110	1.05051e-112	1.66802e-114	
N4	0.292599	0.297074	0.208748	0.120475	0.0529177	0.0205189	0.00582432	0.00150219	0.000284194	5.00408e-005	6.2636e-006	8.58744e-007	7.33444e-008	7.4256e-009	4.85519e-010	3.82071e-011	1.77006e-012	1.13122e-013	3.91819e-015	2.01219e-016	5.63081e-018	2.18207e-019	4.88881e-021	1.85298e-022	3.11619e-024	8.6378e-026	1.36331e-027	3.46807e-029	4.15169e-031	9.01145e-033	9.44248e-035	1.9301e-036	1.72817e-038	2.55783e-040	2.05849e-042	3.48737e-044	2.14948e-046	2.57009e-048	1.6761e-050	2.1075e-052	1.04367e-054	1.06556e-056	4.87849e-059	5.06659e-061	2.0925e-063	1.60734e-065	6.63765e-068	6.61807e-070	2.01759e-072	1.28406e-074	4.29063e-077	3.02826e-079	7.93998e-082	4.9555e-084	1.32222e-086	8.92397e-089	2.03779e-091	9.14233e-094	2.11221e-096	1.28545e-098	2.2764e-101	9.53957e-104	2.12138e-106	1.0695e-108	1.70309e-111	6.56982e-114	1.22016e-116	6.8471e-119	3.46963e-121	3.69793e-123	
N5	0.22143	0.266558	0.23057	0.15968	0.0788159	0.0320729	0.00856991	0.00196422	0.000295112	4.07474e-005	3.55522e-006	3.66172e-007	1.97871e-008	1.42455e-009	5.63677e-011	3.07958e-012	8.09042e-014	3.45721e-015	6.59613e-017	2.28428e-018	3.43487e-020	8.38533e-022	1.01359e-023	2.66827e-025	2.27764e-027	3.91855e-029	3.31576e-031	5.72794e-033	3.43248e-035	4.71423e-037	2.56772e-039	3.66466e-041	1.62125e-043	1.44574e-045	6.00721e-048	7.17691e-050	2.12661e-052	1.54038e-054	5.29007e-057	4.67697e-059	1.1118e-061	6.97181e-064	1.58197e-066	1.1258e-068	2.24668e-071	1.0501e-073	2.32739e-076	1.72414e-078	2.4614e-081	9.13503e-084	1.5306e-086	7.37323e-089	9.09192e-092	3.68503e-094	5.12353e-097	2.5353e-099	2.71152e-102	7.10324e-105	8.23202e-108	3.61151e-110	2.94524e-113	7.62341e-116	9.30223e-119	3.47896e-121	2.54417e-124	5.785e-127	4.82004e-130	1.70685e-132	4.25606e-135	2.95086e-137	
N6	0.103397	0.182861	0.240283	0.235085	0.148555	0.0678751	0.0178314	0.00361944	0.000441592	4.7896e-005	3.10847e-006	2.43726e-007	9.42758e-009	5.00972e-010	1.39088e-011	5.51986e-013	1.00164e-014	3.0889e-016	4.08635e-018	1.04663e-019	1.1034e-021	1.97583e-023	1.71298e-025	3.48845e-027	2.12659e-029	2.73983e-031	1.69242e-033	2.26986e-035	9.85781e-038	1.02897e-039	4.13473e-042	4.64058e-044	1.50102e-046	1.02324e-048	3.16051e-051	3.01708e-053	6.60286e-056	3.72774e-058	9.81122e-061	7.07446e-063	1.26568e-065	6.32586e-068	1.09109e-070	6.35092e-073	9.71897e-076	3.67893e-078	6.54203e-081	4.12996e-083	4.5641e-086	1.3615e-088	1.79056e-091	7.19474e-094	6.89603e-097	2.31821e-099	2.59962e-102	1.10678e-104	9.28354e-108	1.99447e-110	1.84324e-113	6.87445e-116	4.43369e-119	9.57513e-122	9.561e-125	3.10726e-127	1.80325e-130	3.38041e-133	2.23925e-136	6.71189e-139	1.34023e-141	7.88593e-144	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.000930629	0.0114253	0.0709946	0.296158	0.483292	0.12682	0.0099644	0.000406045	8.58072e-006	1.29072e-007	1.18538e-009	1.00202e-011	5.05191e-014	2.64369e-016	8.92203e-019	3.24677e-021	7.26746e-024	2.01994e-026	3.2418e-029	6.93435e-032	8.78728e-035	1.41512e-037	1.40951e-040	2.1077e-043	1.59373e-046	1.7906e-049	1.23301e-052	1.22318e-055	6.52367e-059	5.60064e-062	2.57362e-065	2.00698e-068	7.99986e-072	4.77527e-075	1.68505e-078	1.08181e-081	3.02233e-085	1.45915e-088	4.17059e-092	2.00692e-095	4.5384e-099	1.87057e-102	3.87199e-106	1.55678e-109	2.95409e-113	9.28173e-117	1.69971e-120	6.36669e-124	9.12096e-128	2.41835e-131	3.67784e-135	1.01449e-138	1.25315e-142	3.12938e-146	3.78648e-150	9.71439e-154	1.04692e-157	1.97301e-161	2.09103e-165	4.857e-169	4.1292e-173	7.13194e-177	7.05989e-181	1.35583e-184	1.04164e-188	1.69493e-192	1.57219e-196	3.69031e-200	8.53195e-204	3.07552e-207	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
