NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	
N1	0.00387729	0.00421014	0.00491212	0.00605477	0.00773868	0.010083	0.0132096	0.0172208	0.0221722	0.0280422	0.0347041	0.0419068	0.0492725	0.0563158	0.062488	0.0672422	0.07011	0.0707751	0.0691287	0.0652929	0.059605	0.0525673	0.0447706	0.0368097	0.029207	0.0223587	0.0165096	0.0117559	0.00807092	0.00534148	0.00340726	0.00209457	0.00124073	0.000708118	0.000389352	0.00020623	0.000105221	5.17095e-005	2.44756e-005	1.11577e-005	4.89864e-006	2.07124e-006	8.43389e-007	3.30722e-007	1.24892e-007	4.54194e-008	1.59069e-008	5.365e-009	1.74262e-009	5.45123e-010	1.6423e-010	4.76532e-011	1.33177e-011	3.58489e-012	9.29514e-013	2.53623e-016	1.24407e-016	5.98968e-017	2.83064e-017	1.31315e-017	5.98048e-018	2.67446e-018	1.17491e-018	5.07557e-019	2.16163e-019	9.13351e-020	3.88932e-020	1.73345e-020	8.78322e-021	5.83237e-021	
N2	0.0130581	0.0138369	0.0153185	0.0175028	0.0203763	0.0239029	0.0280132	0.0325955	0.0374893	0.0424847	0.0473284	0.0517388	0.0554276	0.0581272	0.0596197	0.0597635	0.0585121	0.0559225	0.0521505	0.0474339	0.0420656	0.0363615	0.0306282	0.0251342	0.0200902	0.0156389	0.0118539	0.00874773	0.00628428	0.00439441	0.00299083	0.00198107	0.00127701	0.000801045	0.000488952	0.000290409	0.000167832	9.43745e-005	5.16348e-005	2.74877e-005	1.42377e-005	7.17544e-006	3.51861e-006	1.67885e-006	7.79437e-007	3.52117e-007	1.54789e-007	6.62151e-008	2.75644e-008	1.11669e-008	4.40281e-009	1.68949e-009	6.31004e-010	2.29395e-010	8.11778e-011	2.79658e-011	9.37978e-012	3.06331e-012	9.74327e-013	3.01898e-013	9.11731e-014	2.68584e-014	7.72916e-015	2.17857e-015	6.04432e-016	1.66666e-016	4.65842e-017	1.37833e-017	4.77844e-018	2.43015e-018	
N3	0.0408061	0.0415606	0.0427802	0.0443939	0.0462945	0.0483419	0.0503706	0.0521994	0.0536442	0.0545333	0.0547229	0.0541116	0.0526512	0.0503522	0.047284	0.0435677	0.0393643	0.0348586	0.0302421	0.025696	0.0213774	0.0174093	0.0138762	0.0108233	0.00826031	0.00616788	0.00450553	0.00321956	0.00225044	0.00153864	0.00102895	0.000673018	0.000430551	0.000269391	0.000164852	9.86646e-005	5.77536e-005	3.30635e-005	1.85128e-005	1.0138e-005	5.42986e-006	2.8444e-006	1.45734e-006	7.30311e-007	3.5796e-007	1.71613e-007	8.04754e-008	3.69131e-008	1.65619e-008	7.26884e-009	3.12071e-009	1.31064e-009	5.38484e-010	2.16436e-010	8.51074e-011	3.2742e-011	1.23244e-011	4.53917e-012	1.63602e-012	5.7714e-013	1.99344e-013	6.74586e-014	2.23947e-014	7.31258e-015	2.36164e-015	7.6328e-016	2.53194e-016	9.09243e-017	3.92323e-017	2.39688e-017	
N4	0.0882442	0.0878295	0.0864419	0.0840916	0.0808082	0.0766484	0.071701	0.0660903	0.0599732	0.0535323	0.0469648	0.0404684	0.0342271	0.028398	0.0231025	0.0184204	0.0143897	0.0110099	0.0082485	0.00604971	0.00434287	0.00305094	0.00209722	0.00141045	0.000927969	0.000597217	0.000375944	0.000231463	0.000139374	8.20745e-005	4.72653e-005	2.66178e-005	1.46583e-005	7.89356e-006	4.15651e-006	2.14016e-006	1.07751e-006	5.30461e-007	2.55352e-007	1.20192e-007	5.53185e-008	2.48955e-008	1.09555e-008	4.71415e-009	1.98356e-009	8.16131e-010	3.28363e-010	1.29192e-010	4.97067e-011	1.87024e-011	6.88162e-012	2.47633e-012	8.71486e-013	2.99956e-013	1.00975e-013	3.32463e-014	1.07069e-014	3.37286e-015	1.0394e-015	3.13382e-016	9.24671e-017	2.67144e-017	7.56503e-018	2.10457e-018	5.77969e-019	1.58337e-019	4.42702e-020	1.32802e-020	4.76376e-021	2.52438e-021	
N5	0.116493	0.114607	0.110238	0.103671	0.0953164	0.0856687	0.075259	0.0646097	0.054194	0.0444039	0.0355306	0.027758	0.0211676	0.0157522	0.0114365	0.00809888	0.00559294	0.00376569	0.00247146	0.00158082	0.000985275	0.000598286	0.000353892	0.000203886	0.000114394	6.24984e-005	3.32462e-005	1.72181e-005	8.68084e-006	4.26031e-006	2.03516e-006	9.46254e-007	4.28205e-007	1.88587e-007	8.08308e-008	3.37159e-008	1.36861e-008	5.40634e-009	2.07828e-009	7.7747e-010	2.83036e-010	1.00273e-010	3.4571e-011	1.15994e-011	3.78764e-012	1.2037e-012	3.72301e-013	1.12077e-013	3.28396e-014	9.36606e-015	2.60023e-015	7.02718e-016	1.84879e-016	4.73535e-017	1.18086e-017	2.86715e-018	6.77853e-019	1.56055e-019	3.49873e-020	7.63948e-021	1.62474e-021	3.36623e-022	6.79652e-023	1.33829e-023	2.57527e-024	4.87019e-025	9.19845e-026	1.81845e-026	4.30005e-027	1.68148e-027	
N6	0.132346	0.129377	0.12287	0.113361	0.101595	0.0884282	0.074734	0.0613093	0.0488058	0.0376876	0.0282191	0.0204804	0.0144019	0.00980897	0.00646835	0.0041284	0.00254947	0.0015229	0.00087969	0.00049127	0.000265187	0.000138339	6.97314e-005	3.39583e-005	1.59753e-005	7.25943e-006	3.18622e-006	1.35068e-006	5.52989e-007	2.1866e-007	8.35047e-008	3.08001e-008	1.09726e-008	3.77575e-009	1.25505e-009	4.03004e-010	1.25022e-010	3.74741e-011	1.08539e-011	3.03804e-012	8.21872e-013	2.14916e-013	5.43304e-014	1.32794e-014	3.1386e-015	7.17422e-016	1.58619e-016	3.39265e-017	7.02089e-018	1.40598e-018	2.72501e-019	5.11238e-020	9.2857e-021	1.63309e-021	2.78152e-022	4.5888e-023	7.33383e-024	1.13567e-024	1.70423e-025	2.47879e-026	3.49507e-027	4.77812e-028	6.3349e-029	8.14809e-030	1.01754e-030	1.23676e-031	1.47574e-032	1.7871e-033	2.50126e-034	6.30466e-035	
Fimbristylis_autumnalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fimbristylis_complanata	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N7	0.14404	0.143368	0.139989	0.132271	0.119083	0.100708	0.0790848	0.0571832	0.0378527	0.0228575	0.0125664	0.00628498	0.00285967	0.00118443	0.000447018	0.000153928	4.84319e-005	1.39464e-005	3.68167e-006	8.92555e-007	1.99066e-007	4.09167e-008	7.76439e-009	1.36262e-009	2.21535e-010	3.34225e-011	4.6868e-012	6.11852e-013	7.4477e-014	8.46559e-015	8.9988e-016	8.95813e-017	8.36275e-018	7.33084e-019	6.04206e-020	4.6879e-021	3.42808e-022	2.36539e-023	1.54175e-024	9.50281e-026	5.54454e-027	3.0654e-028	1.60745e-029	8.00245e-031	3.78558e-032	1.70312e-033	7.2933e-035	2.97527e-036	1.15716e-037	4.29392e-039	1.52135e-040	5.15029e-042	1.66709e-043	5.16303e-045	1.53091e-046	4.34878e-048	1.1842e-049	3.09303e-051	7.75345e-053	1.86643e-054	4.31712e-056	9.60114e-058	2.05471e-059	4.2364e-061	8.43316e-063	1.62786e-064	3.07561e-066	5.80178e-068	1.14272e-069	3.25592e-071	
Fimbristylis_aestivalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
