NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.215389	0.198545	0.170107	0.136057	0.10178	0.0712231	0.0465747	0.0284089	0.0161278	0.00850287	0.0041555	0.00187986	0.000786353	0.000303918	0.000108459	3.57172e-05	1.08476e-05	3.03641e-06	7.82853e-07	1.85793e-07	4.05665e-08	8.14495e-09	1.50324e-09	2.54961e-10	3.97334e-11	5.68923e-12	7.48492e-13	9.19568e-17	3.06547e-17	9.79879e-18	3.00392e-18	8.83354e-19	2.49239e-19	6.74904e-20	1.75442e-20	4.37948e-21	1.05012e-21	2.41952e-22	5.35838e-23	1.14105e-23	2.33718e-24	4.60634e-25	8.73882e-26	1.5964e-26	2.80922e-27	4.76371e-28	7.78724e-29	1.22761e-29	1.867e-30	2.74026e-31	3.88297e-32	5.31404e-33	7.02636e-34	8.97924e-35	1.10946e-35	1.32586e-36	1.53304e-37	1.71568e-38	1.85907e-39	1.95115e-40	1.98415e-41	1.95578e-42	1.86946e-43	1.73384e-44	1.56164e-45	1.36822e-46	1.17057e-47	9.87304e-49	8.41139e-50	7.67996e-51	9.51188e-52	
N2	0.00105915	0.00155285	0.00256023	0.00438814	0.00729461	0.0116676	0.0175507	0.0251619	0.0338916	0.0437087	0.0534271	0.0633257	0.0718983	0.0797139	0.0844721	0.0867903	0.0840907	0.078139	0.0676674	0.0559006	0.0427533	0.0311949	0.0210072	0.013539	0.00803582	0.00458561	0.00240592	0.00122007	0.000567547	0.000256548	0.000106153	4.29104e-05	1.58299e-05	5.73366e-06	1.89087e-06	6.1525e-07	1.81705e-07	5.31888e-08	1.41066e-08	3.72529e-09	8.88931e-10	2.12126e-10	4.56954e-11	9.88817e-12	1.92706e-12	3.78825e-13	6.70532e-14	1.20234e-14	1.93697e-15	3.17328e-16	4.67256e-17	7.02494e-18	9.47254e-19	1.30877e-19	1.62383e-20	2.07273e-21	2.37275e-22	2.80586e-23	2.98927e-24	3.31026e-25	3.32154e-26	3.49615e-27	3.40333e-28	3.52107e-29	3.4658e-30	3.64969e-31	3.765e-32	4.08585e-33	4.38215e-34	5.01614e-35	8.97396e-36	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.157561	0.167431	0.162284	0.146107	0.119969	0.0915789	0.0636775	0.0413092	0.0243608	0.013483	0.00676002	0.0032135	0.00137536	0.000567965	0.000209331	7.66705e-05	2.46751e-05	8.23597e-06	2.36047e-06	7.38465e-07	1.90761e-07	5.61197e-08	1.3089e-08	3.58111e-09	7.42507e-10	1.83541e-10	3.36326e-11	7.47643e-12	1.19489e-12	2.34736e-13	3.3025e-14	5.84229e-15	7.1618e-16	1.12087e-16	1.22428e-17	1.7584e-18	1.68484e-19	2.15165e-20	1.87354e-21	2.24379e-22	1.72178e-23	1.82543e-24	1.2938e-25	1.30251e-26	8.12681e-28	7.17108e-29	4.17403e-30	3.5182e-31	1.79014e-32	1.30566e-33	6.22047e-35	4.35364e-36	1.81013e-37	1.09431e-38	4.29173e-40	2.51163e-41	8.56514e-43	4.30359e-44	1.39054e-45	6.82373e-47	1.92571e-48	8.16468e-50	2.21212e-51	9.30204e-53	2.2158e-54	8.16674e-56	2.05705e-57	8.74926e-59	3.08917e-60	1.88107e-61	1.45042e-62	
N4	0.154474	0.165024	0.161291	0.146514	0.121259	0.0931225	0.0650104	0.0422559	0.0249135	0.0137637	0.00686909	0.00324882	0.00137714	0.00056448	0.000204628	7.43491e-05	2.3276e-05	7.73056e-06	2.11718e-06	6.6635e-07	1.60171e-07	4.84245e-08	1.01657e-08	2.96438e-09	5.30911e-10	1.4634e-10	2.21644e-11	5.87505e-12	7.32867e-13	1.83992e-13	1.91558e-14	4.81264e-15	4.05145e-16	9.74691e-17	6.98239e-18	1.75591e-18	1.01796e-19	2.37577e-20	1.23744e-21	3.08194e-22	1.30511e-23	2.79722e-24	1.13305e-25	2.63228e-26	8.5907e-28	1.59217e-28	5.24434e-30	1.08929e-30	2.80652e-32	4.32588e-33	1.17551e-34	2.13172e-35	4.38825e-37	5.57205e-38	1.27083e-39	2.0391e-40	3.3474e-42	3.46942e-43	6.65593e-45	9.50823e-46	1.25343e-47	1.07509e-48	1.78733e-50	2.37582e-51	2.49328e-53	1.7493e-54	2.50541e-56	3.1061e-57	3.11257e-59	3.14884e-60	5.6598e-61	
N5	0.119851	0.134275	0.141883	0.141415	0.12884	0.108808	0.0830449	0.0588441	0.0375198	0.022452	0.0120225	0.00617075	0.00279867	0.00126442	0.000492997	0.000204936	7.0078e-05	2.8096e-05	8.62054e-06	3.43509e-06	9.45908e-07	3.63203e-07	8.94646e-08	3.23356e-08	6.95396e-09	2.24929e-09	4.26643e-10	1.26147e-10	2.05733e-11	5.30121e-12	7.69772e-13	1.85278e-13	2.29408e-14	4.7413e-15	5.35402e-16	1.08144e-16	1.03081e-17	1.74883e-18	1.57414e-19	2.7434e-20	2.0419e-21	2.86233e-22	2.06778e-23	3.07602e-24	1.8074e-25	2.09287e-26	1.2248e-27	1.5399e-28	7.1859e-30	6.77962e-31	3.17939e-32	3.30814e-33	1.24088e-34	9.69783e-36	3.74385e-37	3.28992e-38	9.99553e-40	6.40195e-41	1.99954e-42	1.46139e-43	3.6541e-45	1.99642e-46	5.32154e-48	3.39664e-49	7.04276e-51	3.21362e-52	7.25345e-54	4.2102e-55	1.19677e-56	9.75277e-58	1.07429e-58	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.107732	0.123068	0.134092	0.138358	0.13049	0.113871	0.0896171	0.0653553	0.0428261	0.0263134	0.0144449	0.00760203	0.00352288	0.00163162	0.000646397	0.000276368	9.50362e-05	3.95633e-05	1.19843e-05	5.05239e-06	1.33663e-06	5.57662e-07	1.28025e-07	5.22395e-08	1.01262e-08	3.83995e-09	6.39044e-10	2.33602e-10	3.23294e-11	1.06377e-11	1.29346e-12	4.22605e-13	4.23555e-14	1.19012e-14	1.09823e-15	3.21666e-16	2.39984e-17	5.63177e-18	4.10592e-19	1.07038e-19	6.04665e-21	1.15206e-21	6.70813e-23	1.5153e-23	6.54294e-25	1.00136e-25	4.70139e-27	9.17013e-28	3.0294e-29	3.67913e-30	1.3779e-31	2.2906e-32	5.8645e-34	5.77373e-35	1.77912e-36	2.60949e-37	5.18481e-39	4.09312e-40	1.01511e-41	1.2895e-42	2.03632e-44	1.35332e-45	2.89125e-47	3.3655e-48	4.20979e-50	2.2597e-51	3.88726e-53	3.93279e-54	5.19575e-56	4.49529e-57	6.79993e-58	
N7	0.0528538	0.0651456	0.080502	0.0969832	0.108786	0.114494	0.110065	0.0992731	0.0815385	0.0637128	0.0452383	0.0313929	0.0196451	0.0126149	0.00718229	0.00454015	0.00243953	0.00158942	0.000823492	0.000553251	0.000271532	0.000178691	8.17335e-05	5.15887e-05	2.1438e-05	1.25165e-05	4.76541e-06	2.6401e-06	9.00594e-07	4.54958e-07	1.43645e-07	7.05322e-08	1.98458e-08	8.75929e-09	2.33387e-09	1.03086e-09	2.42867e-10	9.40063e-11	2.14268e-11	8.4487e-12	1.67308e-12	5.59136e-13	1.08101e-13	3.71956e-14	6.20042e-15	1.78838e-15	2.95211e-16	8.89952e-17	1.2534e-17	3.10816e-18	4.34553e-19	1.13831e-19	1.35896e-20	2.93568e-21	3.53457e-22	8.18211e-23	8.24983e-24	1.52573e-24	1.54215e-25	3.08105e-26	2.62554e-27	4.26234e-28	3.7586e-29	6.72623e-30	4.86906e-31	6.79741e-32	5.32586e-33	9.12595e-34	9.95538e-35	2.49754e-35	9.37612e-36	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0347791	0.0443704	0.0579567	0.0746127	0.0901093	0.102558	0.107217	0.105341	0.0948142	0.0810292	0.063411	0.0480709	0.0332579	0.023087	0.0144952	0.00967639	0.00568916	0.00382922	0.00215669	0.00149626	0.000801819	0.000560199	0.000281817	0.000194999	8.99777e-05	5.97091e-05	2.53132e-05	1.63115e-05	6.22565e-06	3.7563e-06	1.32233e-06	7.80565e-07	2.45904e-07	1.32986e-07	3.95073e-08	2.13606e-08	5.6625e-09	2.739e-09	7.0547e-10	3.5152e-10	8.00136e-11	3.46792e-11	7.85955e-12	3.61327e-12	7.15178e-13	2.79359e-13	5.60963e-14	2.38367e-14	4.07477e-15	1.41472e-15	2.46491e-16	9.48035e-17	1.37807e-17	4.21992e-18	6.34866e-19	2.20899e-19	2.68849e-20	7.11328e-21	9.02299e-22	2.77904e-22	2.83755e-23	6.59963e-24	7.26749e-25	2.0293e-25	1.74046e-26	3.48609e-27	3.32179e-28	8.62338e-29	1.0137e-29	3.72391e-30	2.40228e-30	
N9	0.016193	0.0210059	0.0285838	0.0393503	0.0519522	0.0657377	0.0774527	0.0866845	0.0897875	0.0889794	0.0815516	0.072825	0.0600716	0.0498384	0.0379563	0.0305935	0.0221353	0.0181721	0.0128283	0.0111245	0.00773707	0.00705783	0.0048423	0.00457957	0.0030434	0.00286537	0.00183203	0.00170384	0.00101879	0.000897995	0.000507041	0.000435515	0.000226061	0.000180772	8.98175e-05	7.19464e-05	3.30145e-05	2.46455e-05	1.12323e-05	8.80735e-06	3.72949e-06	2.70529e-06	1.17423e-06	9.24708e-07	3.69096e-07	2.61928e-07	1.08086e-07	8.37531e-08	3.07365e-08	2.04798e-08	7.695e-09	5.57348e-09	1.82308e-09	1.10823e-09	3.72327e-10	2.46918e-10	7.06512e-11	3.81142e-11	1.1165e-11	6.6072e-12	1.65058e-12	7.97848e-13	2.08051e-13	1.12012e-13	2.46081e-14	1.06651e-14	2.59724e-15	1.42799e-15	5.04186e-16	4.58515e-16	6.12155e-16	
N10	0.00368059	0.0048759	0.00693328	0.0102106	0.0147907	0.0209587	0.0283118	0.0369333	0.0457869	0.0548153	0.0620159	0.0674188	0.0688226	0.0678864	0.063477	0.0589193	0.0529656	0.0486874	0.0435287	0.0402055	0.0354548	0.0323791	0.027561	0.0244123	0.0196514	0.0165565	0.0124054	0.00979607	0.00675381	0.0049549	0.00315196	0.00217033	0.00129544	0.000857583	0.000497931	0.000329598	0.000191679	0.000129425	7.68566e-05	5.36573e-05	3.23731e-05	2.30097e-05	1.39688e-05	1.00034e-05	5.95663e-06	4.17923e-06	2.42371e-06	1.66346e-06	9.2109e-07	6.04232e-07	3.20946e-07	2.03205e-07	1.01811e-07	6.0858e-08	2.90928e-08	1.66976e-08	7.48651e-09	4.03251e-09	1.72499e-09	8.93332e-10	3.59264e-10	1.75523e-10	6.83978e-11	3.29226e-11	1.26707e-11	6.1959e-12	2.71344e-12	1.57099e-12	9.20598e-13	7.09052e-13	7.11649e-13	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.0232933	0.0289416	0.0368574	0.0471973	0.0584556	0.0701428	0.0798711	0.0873084	0.090278	0.0895577	0.0839745	0.0754355	0.0637938	0.0515055	0.0389394	0.0280425	0.0188332	0.0120584	0.00718504	0.0040982	0.00217307	0.00111055	0.000527432	0.000243643	0.000104511	4.40761e-05	1.72464e-05	6.71493e-06	2.42157e-06	8.79995e-07	2.95905e-07	1.01566e-07	3.2189e-08	1.05323e-08	3.1732e-09	9.95169e-10	2.85272e-10	8.54542e-11	2.32026e-11	6.59414e-12	1.68011e-12	4.4844e-13	1.06527e-13	2.65649e-14	5.84623e-15	1.35401e-15	2.7582e-16	5.93506e-17	1.11619e-17	2.22475e-18	3.87286e-19	7.17522e-20	1.15436e-20	1.98298e-21	2.96081e-22	4.74083e-23	6.55852e-24	9.76305e-25	1.25963e-25	1.75857e-26	2.12161e-27	2.78989e-28	3.22404e-29	4.12522e-30	4.7756e-31	6.24679e-32	7.86508e-33	1.11126e-33	1.56319e-34	2.48818e-35	6.36959e-36	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	0.00069291	0.00116815	0.00229497	0.00459714	0.00867143	0.0153738	0.0249884	0.0372715	0.0499986	0.0625777	0.0747957	0.0889835	0.102083	0.111732	0.110972	0.100392	0.0793791	0.056023	0.0339688	0.0184458	0.00867818	0.00382693	0.00157023	0.000697971	0.000337103	0.000196176	0.000116633	7.42993e-05	4.2752e-05	2.5147e-05	1.28489e-05	6.70558e-06	2.98427e-06	1.36361e-06	5.25841e-07	2.09463e-07	6.96733e-08	2.40793e-08	6.91614e-09	2.0792e-09	5.1528e-10	1.34647e-10	2.89553e-11	6.62751e-12	1.2382e-12	2.48382e-13	4.06843e-14	7.23389e-15	1.04012e-15	1.63804e-16	2.09188e-17	2.95883e-18	3.35441e-19	4.24425e-20	4.32927e-21	4.97729e-22	4.54967e-23	4.7119e-24	3.9177e-25	3.72165e-26	2.79899e-27	2.41741e-28	1.68796e-29	1.37325e-30	9.17344e-32	7.30829e-33	5.26322e-34	4.55461e-35	3.81959e-36	3.69638e-37	5.32459e-38	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.104898	0.117172	0.124445	0.126714	0.120741	0.108758	0.090708	0.0711546	0.0514408	0.0350335	0.0219298	0.0130185	0.00707792	0.00370134	0.00176426	0.000831295	0.000353804	0.000155609	6.07354e-05	2.59184e-05	9.45539e-06	3.96068e-06	1.35246e-06	5.4848e-07	1.72359e-07	6.56722e-08	1.88184e-08	6.67098e-09	1.72283e-09	5.5948e-10	1.3112e-10	3.95384e-11	8.34434e-12	2.30357e-12	4.46207e-13	1.16281e-13	2.04009e-14	4.88212e-15	8.00416e-16	1.84512e-16	2.745e-17	5.77267e-18	8.13774e-19	1.66915e-19	2.12252e-20	3.9161e-21	4.75492e-22	8.60758e-23	9.3261e-24	1.49354e-24	1.54989e-25	2.44628e-26	2.25303e-27	3.1233e-28	2.77282e-29	3.81645e-30	2.99008e-31	3.58084e-32	2.715e-33	3.25332e-34	2.18044e-35	2.27754e-36	1.49392e-37	1.58043e-38	9.18555e-40	8.52612e-41	5.25371e-42	5.58244e-43	4.63259e-44	6.57556e-45	1.49333e-45	
N14	0.0159374	0.0214112	0.0305439	0.0438251	0.0596437	0.0767694	0.091194	0.101648	0.104366	0.100995	0.0902222	0.0765291	0.0599953	0.0450464	0.0312317	0.0209562	0.0129307	0.00782209	0.00432061	0.00237678	0.00117928	0.000592345	0.000264204	0.000121101	4.82831e-05	2.00077e-05	7.08318e-06	2.63209e-06	8.20012e-07	2.70463e-07	7.39898e-08	2.16537e-08	5.18361e-09	1.34066e-09	2.82381e-10	6.5058e-11	1.20526e-11	2.46736e-12	4.06155e-13	7.48074e-14	1.09247e-14	1.79972e-15	2.36142e-16	3.53314e-17	4.14326e-18	5.56865e-19	5.92041e-20	7.27862e-21	6.94544e-22	7.6846e-23	6.69086e-24	6.81125e-25	5.33972e-26	4.90423e-27	3.52936e-28	3.00209e-29	1.95102e-30	1.50145e-31	9.01471e-33	6.47417e-34	3.531e-35	2.31121e-36	1.18252e-37	7.37808e-39	3.57964e-40	2.16494e-41	1.13902e-42	7.6603e-44	4.96142e-45	3.9624e-46	4.6049e-47	
N15	1.95631e-05	4.4732e-05	0.00012577	0.000349255	0.000881354	0.00203878	0.00425269	0.00800401	0.0133518	0.0204547	0.0296139	0.0428773	0.0613846	0.0854314	0.109107	0.126862	0.129785	0.118768	0.0946598	0.067522	0.0418508	0.0233689	0.011341	0.0050097	0.00192456	0.000681526	0.000210034	6.04826e-05	1.51415e-05	3.58769e-06	7.37792e-07	1.45269e-07	2.47432e-08	4.07585e-09	5.79594e-10	8.04688e-11	9.61709e-12	1.13231e-12	1.14703e-13	1.15542e-14	9.99326e-16	8.67263e-17	6.46631e-18	4.88364e-19	3.16171e-20	2.09164e-21	1.18752e-22	6.95173e-24	3.48201e-25	1.81223e-26	8.08466e-28	3.77703e-29	1.5068e-30	6.33321e-32	2.27941e-33	8.69803e-35	2.8298e-36	9.80616e-38	2.91189e-39	9.26751e-41	2.52497e-42	7.42816e-44	1.90676e-45	5.36486e-47	1.35773e-48	3.83481e-50	1.0343e-51	3.08375e-53	9.00189e-55	2.77495e-56	1.11784e-57	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
