NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.313019	0.263752	0.19139	0.120006	0.0647773	0.0299191	0.0117685	0.00392709	0.00111034	0.000265926	5.40031e-05	9.30965e-06	1.36425e-06	1.70126e-07	1.80733e-08	1.63702e-09	1.26547e-10	8.35644e-12	4.71913e-13	3.80268e-17	7.74286e-18	1.46098e-18	2.55682e-19	4.15404e-20	6.27191e-21	8.8094e-22	1.15238e-22	1.40555e-23	1.60032e-24	1.7029e-25	1.69555e-26	1.58155e-27	1.38362e-28	1.13662e-29	8.77768e-31	6.37962e-32	4.36859e-33	2.82155e-34	1.72066e-35	9.91764e-37	5.40841e-38	2.79321e-39	1.36751e-40	6.35263e-42	2.80266e-43	1.17535e-44	4.68945e-46	1.78156e-47	6.44996e-49	2.22712e-50	7.34002e-52	2.31073e-53	6.9538e-55	2.00184e-56	5.51665e-58	1.45633e-59	3.6853e-61	8.94535e-63	2.08406e-64	4.66315e-66	1.0027e-67	2.07317e-69	4.1241e-71	7.89764e-73	1.45676e-74	2.58983e-76	4.44125e-78	7.36058e-80	1.18844e-81	1.96041e-83	4.55003e-85	
N2	0.000134014	0.000324632	0.0008655	0.00214506	0.00469093	0.00926012	0.0162007	0.0261528	0.0385151	0.0523544	0.0655703	0.0787065	0.0884342	0.0975009	0.102179	0.10167	0.0925946	0.0791845	0.0585967	0.0398375	0.0235149	0.0124087	0.00561518	0.00235814	0.000820032	0.000266771	7.42848e-05	1.89399e-05	4.10991e-06	8.6089e-07	1.47861e-07	2.47623e-08	3.54006e-09	4.80551e-10	5.56135e-11	6.47754e-12	6.1491e-13	5.91643e-14	4.87966e-15	3.95019e-16	2.72449e-17	1.95495e-18	1.14392e-19	7.00614e-21	3.67526e-22	1.93605e-23	8.72999e-25	4.21356e-26	1.64688e-27	6.89313e-29	2.47987e-30	9.15704e-32	2.87933e-33	9.89441e-35	2.75195e-36	8.37685e-38	2.17687e-39	5.89508e-41	1.36505e-42	3.5199e-44	7.27752e-46	1.67509e-47	3.33153e-49	7.07561e-51	1.31539e-52	2.87717e-54	5.80477e-56	1.45334e-57	3.84523e-59	1.15169e-60	4.90491e-62	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.194505	0.227252	0.213695	0.165671	0.104711	0.0563804	0.0245199	0.00929789	0.00292469	0.000809577	0.000184267	4.14713e-05	7.08101e-06	1.31935e-06	1.89934e-07	3.02741e-08	3.37923e-09	4.94845e-10	4.21534e-11	4.99575e-12	3.55746e-13	3.27743e-14	1.79112e-15	1.53118e-16	6.29348e-18	4.08738e-19	1.54158e-20	8.51507e-22	2.41349e-23	1.19817e-24	2.78759e-26	1.20653e-27	2.50027e-29	7.88458e-31	1.3734e-32	4.87374e-34	6.33056e-36	1.54111e-37	2.04938e-39	4.88233e-41	4.83267e-43	9.64976e-45	8.34833e-47	1.60201e-48	1.25443e-50	1.69185e-52	1.20914e-54	2.06543e-56	1.09327e-58	1.1981e-60	6.90311e-63	7.94553e-65	3.48652e-67	3.60862e-69	1.48824e-71	1.52821e-73	5.67871e-76	3.88746e-78	1.38801e-80	1.3046e-82	3.43717e-85	2.09777e-87	6.92961e-90	4.77854e-92	1.10856e-94	6.29914e-97	1.4112e-99	8.66658e-102	2.6447e-104	2.35044e-106	3.54003e-108	
N4	0.188696	0.223618	0.21409	0.168505	0.107688	0.0583132	0.0254234	0.00961009	0.00300301	0.000821623	0.00018356	4.05269e-05	6.64331e-06	1.21013e-06	1.62718e-07	2.55387e-08	2.52105e-09	3.85642e-10	2.67614e-11	3.57059e-12	1.97581e-13	2.19482e-14	8.20902e-16	1.04488e-16	2.48469e-18	2.77533e-19	6.22478e-21	6.46867e-22	8.69347e-24	1.01153e-24	1.02773e-26	1.23662e-27	1.18872e-29	8.6793e-31	6.45775e-33	7.56504e-34	3.58183e-36	2.42869e-37	1.5972e-39	1.17195e-40	4.18751e-43	2.39898e-44	8.44616e-47	6.34752e-48	2.09096e-50	6.02998e-52	1.93662e-54	1.51938e-55	2.55575e-58	6.5408e-60	2.44702e-62	1.06375e-63	1.45043e-66	4.08644e-68	7.41066e-71	4.26958e-72	6.10811e-75	6.3426e-77	1.32492e-79	8.29654e-81	5.98597e-84	6.5089e-86	2.13835e-88	7.1867e-90	4.43815e-93	5.97119e-95	6.54747e-98	2.75608e-99	2.06386e-102	2.06058e-104	9.24404e-106	
N5	0.131717	0.176189	0.199605	0.18716	0.141087	0.0895222	0.0449316	0.0196932	0.00703758	0.00226978	0.000580538	0.000165807	3.13729e-05	8.18359e-06	1.33825e-06	3.17483e-07	3.83036e-08	8.78537e-09	7.79104e-10	1.46498e-10	1.09725e-11	1.51084e-12	8.59699e-14	1.24255e-14	4.96989e-16	4.79167e-17	1.98647e-18	1.83043e-19	4.94934e-21	3.82125e-22	8.85409e-24	7.10371e-25	1.39753e-26	6.07764e-28	1.07813e-29	7.69559e-31	8.59989e-33	2.90429e-34	4.04302e-36	1.85464e-37	1.57558e-39	4.60576e-41	3.72454e-43	1.36734e-44	9.38722e-47	1.69567e-48	1.23909e-50	4.4579e-52	1.91934e-54	2.73103e-56	1.52854e-58	3.23018e-60	1.18382e-62	1.95598e-64	7.70594e-67	1.58294e-68	4.76596e-71	4.16927e-73	1.41941e-75	2.75032e-77	5.64221e-80	4.72848e-82	1.75633e-84	2.51687e-86	4.54838e-89	3.68422e-91	6.85167e-94	7.48963e-96	1.6192e-98	2.04089e-100	5.2037e-102	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.114344	0.15999	0.192083	0.190567	0.1515	0.100896	0.0531194	0.0242969	0.00906501	0.00303419	0.000805226	0.000237047	4.57651e-05	1.2366e-05	2.00231e-06	5.02804e-07	5.66313e-08	1.48315e-08	1.13399e-09	2.65097e-10	1.6683e-11	2.99793e-12	1.32596e-13	2.83397e-14	8.21027e-16	1.22579e-16	3.93455e-18	5.48671e-19	1.02087e-20	1.26429e-21	2.00961e-23	2.71187e-24	3.69624e-26	2.27671e-27	2.75159e-29	3.40631e-30	2.25506e-32	1.07124e-33	1.11819e-35	8.21242e-37	3.86757e-39	1.55707e-40	7.87609e-43	5.30513e-44	2.11989e-46	4.02823e-48	1.94197e-50	1.35876e-51	2.75998e-54	4.21154e-56	1.84966e-58	6.67543e-60	1.10152e-62	2.15507e-64	4.81985e-67	1.91635e-68	2.68996e-71	2.07529e-73	4.58926e-76	1.7333e-77	1.46892e-80	1.10783e-82	3.02528e-85	7.32236e-87	5.14085e-90	4.23465e-92	4.16903e-95	8.32509e-97	6.31014e-100	5.65973e-102	1.39964e-103	
N7	0.0437597	0.0725892	0.111894	0.148538	0.163083	0.154625	0.119535	0.0832351	0.0492555	0.0275353	0.0129712	0.00723783	0.00290466	0.00164539	0.000640275	0.000350541	0.000111913	6.14712e-05	1.5894e-05	7.71296e-06	1.83042e-06	7.2197e-07	1.43707e-07	6.41725e-08	9.97754e-09	3.28939e-09	5.50442e-10	1.80112e-10	2.18162e-11	6.27824e-12	6.64931e-13	1.91626e-13	1.76522e-14	3.16668e-15	2.58851e-16	6.40569e-17	3.5943e-18	4.98852e-19	3.14124e-20	5.082e-21	2.15591e-22	2.51436e-23	9.54458e-25	1.19032e-25	3.96551e-27	2.88261e-28	9.51363e-30	1.12641e-30	2.3413e-32	1.3002e-33	3.19707e-35	2.17255e-36	3.67108e-38	2.15689e-39	3.70095e-41	2.37547e-42	3.28252e-44	1.06852e-45	1.51596e-47	8.70287e-49	8.12204e-51	2.46043e-52	3.53218e-54	1.51588e-55	1.23965e-57	3.41049e-59	2.79105e-61	9.58989e-63	9.43122e-65	4.02544e-66	3.34098e-67	
