NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.388009	0.292512	0.177891	0.0888061	0.036397	0.0121813	0.00331552	0.000733728	0.000132344	1.95069e-05	2.35198e-06	2.3178e-07	1.86342e-08	1.22002e-09	6.49895e-11	2.81738e-12	9.95338e-14	1.22592e-17	1.88495e-18	2.62794e-19	3.32842e-20	3.83746e-21	4.03585e-22	3.87988e-23	3.41665e-24	2.76171e-25	2.05321e-26	1.40679e-27	8.90029e-29	5.20926e-30	2.82577e-31	1.42317e-32	6.66615e-34	2.90881e-35	1.18433e-36	4.50626e-38	1.60472e-39	5.35614e-41	1.67795e-42	4.94046e-44	1.36895e-45	3.57429e-47	8.8045e-49	2.04855e-50	4.50727e-52	9.38834e-54	1.85327e-55	3.4707e-57	6.17249e-59	1.04351e-60	1.67854e-62	2.5714e-64	3.75489e-66	5.23106e-68	6.95841e-70	8.84532e-72	1.07533e-73	1.25121e-75	1.39445e-77	1.48961e-79	1.52631e-81	1.50111e-83	1.41799e-85	1.28736e-87	1.12402e-89	9.44405e-92	7.64095e-94	5.959e-96	4.49679e-98	3.39149e-100	3.58399e-102	
N2	7.36264e-05	0.000224819	0.000693555	0.00190049	0.00437845	0.00898794	0.0164115	0.0273223	0.0399998	0.0529548	0.0608926	0.0662751	0.073359	0.0903788	0.107986	0.12046	0.111838	0.0918242	0.0607816	0.0358756	0.0168349	0.00716862	0.00240225	0.000746045	0.00018024	4.12201e-05	7.29754e-06	1.25265e-06	1.6535e-07	2.16387e-08	2.18144e-09	2.23413e-10	1.75393e-11	1.42666e-12	8.94159e-14	5.93554e-15	3.01567e-16	1.64732e-17	6.93889e-19	3.20259e-20	1.12826e-21	4.39933e-23	1.32253e-24	4.47459e-26	1.15105e-27	3.35397e-29	7.52571e-31	1.94357e-32	3.79392e-34	8.55414e-36	1.48107e-37	3.00949e-39	4.5919e-41	8.23724e-43	1.13082e-44	1.8555e-46	2.26779e-48	3.31092e-50	3.68329e-52	4.97723e-54	4.97556e-56	6.03245e-58	5.56543e-60	6.35668e-62	5.43055e-64	5.86666e-66	5.41918e-68	6.98092e-70	9.38739e-72	1.61994e-73	3.87286e-75	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.229258	0.270455	0.22921	0.151639	0.0755608	0.0309282	0.00965811	0.00263008	0.00053731	0.000106021	1.4945e-05	2.43177e-06	2.4902e-07	3.47922e-08	2.64624e-09	3.11212e-10	1.69007e-11	1.4701e-12	5.81751e-14	4.14389e-15	1.1698e-16	5.98347e-18	1.31895e-19	6.37122e-21	1.03707e-22	3.438e-24	4.74071e-26	1.66994e-27	1.71632e-29	3.87838e-31	3.6033e-33	9.34509e-35	6.33597e-37	9.73348e-39	6.00699e-41	1.09264e-42	4.98937e-45	5.53275e-47	2.47304e-49	3.54299e-51	1.14701e-53	9.14963e-56	2.8302e-58	2.95711e-60	6.85323e-63	4.39274e-65	1.12655e-67	1.06823e-69	1.9226e-72	9.14244e-75	1.64343e-77	1.11334e-79	1.50536e-82	6.28469e-85	1.05494e-87	7.0797e-90	7.94289e-93	2.44945e-95	2.83884e-98	1.3121e-100	1.1493e-103	3.30807e-106	3.85633e-109	1.8533e-111	1.3838e-114	2.89582e-117	2.27597e-120	7.44838e-123	6.15675e-126	2.49872e-128	1.83961e-130	
N4	0.222989	0.267084	0.230759	0.155107	0.078316	0.0322431	0.0100979	0.00272848	0.000551137	0.000106041	1.44219e-05	2.24757e-06	2.1276e-07	2.8608e-08	1.88443e-09	2.22952e-10	9.59222e-12	9.20171e-13	2.55285e-14	2.3637e-15	3.94772e-17	3.24067e-18	3.54566e-20	3.68691e-21	2.43646e-23	2.06666e-24	1.07403e-26	1.22838e-27	4.19854e-30	2.96049e-31	9.64816e-34	9.52104e-35	2.03884e-37	9.77528e-39	2.18336e-41	1.63593e-42	2.34499e-45	7.51247e-47	1.27101e-49	8.22522e-51	7.98254e-54	1.65015e-55	2.1036e-58	1.16922e-59	7.88222e-63	1.11775e-64	1.32203e-67	7.98749e-69	3.76618e-72	3.33627e-74	3.12428e-77	1.70572e-78	6.00588e-82	4.03796e-84	4.36908e-87	2.52205e-88	6.78816e-92	2.99282e-94	2.21606e-97	1.04091e-98	2.28601e-102	9.3148e-105	8.646e-108	3.90951e-109	6.94431e-113	1.93174e-115	9.94489e-119	3.43899e-120	5.43945e-124	2.7024e-126	6.57244e-128	
N5	0.155564	0.217677	0.230414	0.190579	0.116729	0.0581378	0.0215678	0.00713047	0.00168429	0.000429564	6.83385e-05	1.68103e-05	1.88017e-06	4.3825e-07	3.52287e-08	7.19684e-09	3.95849e-10	5.62069e-11	2.26794e-12	2.88775e-13	7.91591e-15	6.27614e-16	1.41724e-17	1.39e-18	2.09168e-20	1.02885e-21	1.45967e-23	1.17881e-24	1.07687e-26	3.54407e-28	3.41606e-30	2.16416e-31	1.26955e-33	2.75809e-35	1.69069e-37	7.33736e-39	2.87025e-41	4.52092e-43	2.09456e-45	7.36541e-47	1.99009e-49	2.12671e-51	6.146e-54	1.4447e-55	2.7578e-58	2.51003e-60	7.07307e-63	1.67721e-64	2.38729e-67	1.42867e-69	2.20183e-72	3.2223e-74	3.33462e-77	2.05828e-79	4.09357e-82	7.06951e-84	5.96117e-87	2.21693e-89	2.05787e-92	2.04212e-94	1.28359e-97	5.74358e-100	8.32559e-103	1.04315e-104	5.67855e-108	1.40282e-110	8.45057e-114	5.79199e-116	2.99978e-119	1.86625e-121	2.46326e-123	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.136235	0.201017	0.226846	0.199323	0.129527	0.0680582	0.026729	0.00923715	0.00230032	0.000600626	9.92463e-05	2.44065e-05	2.72508e-06	6.51561e-07	4.84674e-08	1.09812e-08	5.1093e-10	9.12526e-11	2.8159e-12	5.11234e-13	9.92863e-15	1.27649e-15	1.96433e-17	3.30914e-18	3.31742e-20	2.95051e-21	2.84452e-23	4.05784e-24	2.36311e-26	1.30238e-27	8.18619e-30	8.90175e-31	2.97468e-33	9.26196e-35	3.5387e-37	2.674e-38	5.24655e-41	9.89959e-43	2.72709e-45	1.75187e-46	2.10367e-49	2.33894e-51	4.04705e-54	1.92375e-55	1.51864e-58	1.24393e-60	2.10118e-63	9.6446e-65	5.25525e-68	2.66919e-70	2.47712e-73	7.7689e-75	3.13058e-78	1.46203e-80	1.70768e-83	5.26045e-85	1.58378e-88	4.53321e-91	2.41502e-94	4.81659e-96	1.15542e-99	3.5886e-102	2.97758e-105	6.26112e-107	1.15898e-110	2.07635e-113	6.50394e-117	8.43221e-119	1.39862e-122	5.45866e-125	6.48763e-127	
N7	0.0508587	0.0937494	0.144965	0.183501	0.178812	0.146864	0.0941649	0.0565619	0.0261101	0.0140484	0.00526073	0.00318592	0.00101607	0.00061925	0.000162416	9.23165e-05	1.86527e-05	8.23903e-06	1.35073e-06	6.10734e-07	7.87217e-08	2.65086e-08	3.29773e-09	1.54593e-09	1.51913e-10	4.11629e-11	3.77227e-12	1.39082e-12	8.55361e-14	1.48196e-14	8.38493e-16	2.0535e-16	7.30585e-18	7.47298e-19	2.38035e-20	3.54044e-21	7.382e-23	5.02328e-24	1.11124e-25	1.2865e-26	1.73583e-28	7.45334e-30	9.63752e-32	6.99521e-33	6.11154e-35	2.1693e-36	2.64503e-38	1.89135e-39	1.26831e-41	2.88494e-43	1.99191e-45	8.65846e-47	4.2449e-49	9.70995e-51	7.94676e-53	4.07632e-54	1.78646e-56	2.80671e-58	1.34158e-60	4.29811e-62	1.46366e-64	2.4556e-66	1.45392e-68	5.45163e-70	1.57441e-72	1.64316e-74	5.04216e-77	1.07445e-78	2.9214e-81	6.12761e-83	2.70134e-84	
Oreobolus_pectinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N8	0.0298572	0.0600689	0.10479	0.151918	0.172895	0.165491	0.126163	0.0871439	0.0484507	0.0280282	0.0125483	0.00729544	0.00275894	0.00163934	0.000515645	0.00030613	7.61425e-05	4.02112e-05	8.02521e-06	4.43383e-06	7.3157e-07	3.77272e-07	6.17253e-08	4.13861e-08	5.57024e-09	2.61089e-09	3.16044e-10	1.7377e-10	1.42691e-11	4.216e-12	3.11289e-13	1.16812e-13	5.43089e-15	9.3061e-16	3.97536e-17	9.74169e-18	2.59811e-19	2.76349e-20	7.69703e-22	1.47153e-22	2.43792e-24	1.69583e-25	3.16636e-27	4.93846e-28	6.51334e-30	4.49401e-31	9.76507e-33	1.97771e-33	2.51481e-35	1.47016e-36	2.30307e-38	3.42638e-39	3.18031e-41	1.5435e-42	2.2252e-44	2.94114e-45	1.93546e-47	5.88114e-49	4.68931e-51	3.84167e-52	1.82047e-54	4.87263e-56	3.97105e-58	3.06746e-59	1.06948e-61	1.76341e-63	7.4272e-66	3.46592e-67	1.05583e-69	3.08936e-71	2.11089e-72	
N9	0.010564	0.0226909	0.0451722	0.0783169	0.110366	0.134412	0.134386	0.124116	0.0948357	0.0756791	0.0479591	0.0395714	0.021737	0.0204248	0.0102296	0.0111358	0.0050847	0.00537271	0.00219716	0.00235434	0.000860405	0.000885096	0.000372044	0.000542897	0.000214036	0.000234296	8.78512e-05	0.000124055	3.29833e-05	2.52984e-05	6.38931e-06	7.13015e-06	1.17489e-06	5.86453e-07	9.33477e-08	7.31587e-08	7.68832e-09	2.65467e-09	2.99525e-10	1.8673e-10	1.47659e-11	4.32282e-12	4.63765e-13	3.37594e-13	3.37349e-14	1.34419e-14	1.82454e-15	1.50455e-15	1.24726e-16	3.58127e-17	3.07289e-18	1.65494e-18	9.56807e-20	2.3268e-20	1.8904e-21	9.79898e-22	4.15496e-23	6.3391e-24	2.78804e-25	8.60937e-26	2.5504e-27	3.72998e-28	1.8475e-29	6.08409e-30	1.39478e-31	1.19511e-32	2.87094e-34	5.3487e-35	1.15583e-36	2.27e-37	1.15404e-37	
N10	0.00130979	0.00297869	0.00672068	0.0139973	0.0253384	0.0405808	0.0555654	0.0710474	0.0850548	0.0995061	0.104402	0.105182	0.0890863	0.0713519	0.0456072	0.0318851	0.0214099	0.0206676	0.0181605	0.0203248	0.0166217	0.0168914	0.0116756	0.0104773	0.00592757	0.00438453	0.00198795	0.00119219	0.000410725	0.000183585	4.87138e-05	1.74174e-05	3.55974e-06	9.9325e-07	1.7366e-07	4.67768e-08	8.16993e-09	2.6859e-09	7.53077e-10	4.42372e-10	1.59369e-10	9.60418e-11	3.41664e-11	2.13005e-11	6.45164e-12	3.28759e-12	9.22754e-13	4.78813e-13	1.11819e-13	4.48913e-14	9.6977e-15	3.91262e-15	6.99887e-16	2.17577e-16	3.66172e-17	1.14925e-17	1.58187e-18	3.70178e-19	4.69066e-20	1.08667e-20	1.12859e-21	2.01078e-22	1.96615e-23	3.55036e-24	2.83755e-25	3.86814e-26	2.9966e-27	4.62449e-28	4.99313e-29	1.38698e-29	6.92169e-30	
Schoenus_brevifolius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Schoenus_nigricans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gahnia_aspera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N11	0.00860388	0.0178819	0.0351238	0.0618288	0.0928546	0.122691	0.139134	0.140355	0.123861	0.099333	0.0699981	0.0445988	0.0243743	0.0119154	0.00488708	0.00180652	0.000552018	0.000155754	3.585e-05	7.874e-06	1.38195e-06	2.39122e-07	3.23795e-08	4.46768e-09	4.70968e-10	5.20805e-11	4.34155e-12	3.91458e-13	2.61403e-14	1.93582e-15	1.06075e-16	6.65669e-18	3.06584e-19	1.67258e-20	6.91141e-22	3.61034e-23	1.4648e-24	7.88003e-26	3.34897e-27	1.87988e-28	7.70704e-30	4.00413e-31	1.49427e-32	7.09586e-34	2.29694e-35	9.40654e-37	2.68863e-38	9.98429e-40	2.46156e-41	7.84841e-43	1.72523e-44	5.05224e-46	9.6498e-48	2.43699e-49	4.20972e-51	9.9228e-53	1.50006e-54	3.05432e-56	4.22203e-58	8.11965e-60	9.89832e-62	1.65514e-63	1.87137e-65	3.00585e-67	3.03831e-69	4.3295e-71	4.4772e-73	7.30138e-75	1.12031e-76	2.6602e-78	9.3206e-80	
Tetraria_capillaris	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N12	4.74604e-05	0.000199156	0.000839806	0.00300331	0.00839211	0.0222038	0.05427	0.108729	0.147606	0.125408	0.0873638	0.0850324	0.0949767	0.0969896	0.0769867	0.0509867	0.0243713	0.00955236	0.00244119	0.000520532	7.02493e-05	9.06194e-06	7.92325e-07	8.01193e-08	8.44717e-09	2.64643e-09	9.49729e-10	4.37479e-10	1.32812e-10	4.77239e-11	1.10245e-11	3.10245e-12	5.35636e-13	1.14117e-13	1.48363e-14	2.47168e-15	2.35509e-16	2.88082e-17	2.05638e-18	1.96963e-19	1.02126e-20	7.04468e-22	2.80541e-23	1.56677e-24	4.66483e-26	1.92013e-27	4.61567e-29	1.62243e-30	3.02531e-32	8.06523e-34	1.26485e-35	3.01163e-37	3.78451e-39	7.04373e-41	7.72642e-43	1.33971e-44	1.20428e-46	1.65352e-48	1.32853e-50	1.75061e-52	1.17521e-54	1.25045e-56	7.73757e-59	8.19901e-61	4.29408e-63	3.68035e-65	1.88919e-67	1.82558e-69	1.32999e-71	1.93253e-73	3.99594e-75	
Machaerina_articulata	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Machaerina_mariscoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N13	0.120396	0.17192	0.19879	0.191147	0.146326	0.0933777	0.0475016	0.0206198	0.00705746	0.00218354	0.000520938	0.000129794	2.32416e-05	5.32636e-06	7.57797e-07	1.62017e-07	1.78442e-08	3.15662e-09	2.67924e-10	3.99613e-11	2.57371e-12	2.98844e-13	1.55036e-14	1.67484e-15	6.79444e-17	5.57202e-18	1.96655e-19	1.73009e-20	4.79753e-22	2.94483e-23	7.56534e-25	5.49069e-26	1.07456e-27	4.87139e-29	8.95498e-31	4.99989e-32	6.96052e-34	2.38075e-35	3.2695e-37	1.46343e-38	1.49875e-40	3.84106e-42	3.83249e-44	1.3122e-45	9.97699e-48	2.07302e-49	1.70579e-51	5.18856e-53	3.11154e-55	4.97843e-57	3.01221e-59	6.97562e-61	3.22325e-63	4.58231e-65	2.59254e-67	5.98423e-69	2.32099e-71	2.51829e-73	1.01322e-75	1.70437e-77	5.22197e-80	5.45478e-82	2.27608e-84	4.09047e-86	1.09493e-88	8.44149e-91	2.39274e-93	3.02523e-95	9.12219e-98	1.39193e-99	3.47041e-101	
N14	0.00662745	0.0164548	0.037805	0.0731974	0.113552	0.149883	0.163202	0.154913	0.120832	0.0831223	0.0455996	0.0223282	0.00837835	0.00299305	0.000811335	0.000234966	5.04664e-05	1.25619e-05	2.20019e-06	4.613e-07	6.24954e-08	1.0254e-08	1.05087e-09	1.36422e-10	1.0431e-11	1.03436e-12	6.09162e-14	4.93664e-15	2.21942e-16	1.37986e-17	4.97363e-19	2.63191e-20	7.36236e-22	2.96517e-23	6.83443e-25	2.41944e-26	4.3735e-28	1.18306e-29	1.81636e-31	4.5046e-33	5.48693e-35	1.03811e-36	1.09842e-38	1.9678e-40	1.67941e-42	2.3337e-44	1.79785e-46	2.47862e-48	1.55785e-50	1.64255e-52	9.45745e-55	1.00659e-56	4.80117e-59	4.00191e-61	1.82508e-63	1.60491e-65	6.07394e-68	4.04633e-70	1.45939e-72	1.02172e-74	3.10363e-77	1.71427e-79	5.18632e-82	3.14018e-84	7.92065e-87	3.60887e-89	9.21744e-92	4.90924e-94	1.71785e-96	1.33601e-98	1.4611e-100	
N15	7.99742e-07	5.18761e-06	3.15789e-05	0.000153636	0.000527041	0.00160262	0.00478436	0.0114081	0.0210896	0.0301829	0.0291392	0.0261768	0.0404717	0.0848824	0.144634	0.192419	0.180372	0.131426	0.0656631	0.026217	0.007002	0.0015516	0.000227903	2.92278e-05	2.49352e-06	1.96025e-07	1.0421e-08	5.39476e-10	1.90216e-11	6.85044e-13	1.70367e-14	4.54494e-16	8.33114e-18	1.69848e-19	2.40857e-21	3.95195e-23	4.4435e-25	5.89326e-27	5.45464e-29	6.12279e-31	4.68291e-33	4.35967e-35	2.8393e-37	2.30212e-39	1.26359e-41	8.62027e-44	4.11166e-46	2.50034e-48	1.01752e-50	5.26226e-53	1.89059e-55	8.89778e-58	2.75929e-60	1.11717e-62	3.11147e-65	1.17196e-67	2.84722e-70	9.28398e-73	2.05572e-75	6.34647e-78	1.23884e-80	3.33809e-83	6.04951e-86	1.57694e-88	2.5639e-91	5.96561e-94	1.00736e-96	2.73913e-99	7.06497e-102	2.78187e-104	1.32756e-106	
Dulichium_arundinaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
