NODE	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	
N1	0.101488	0.100314	0.0979904	0.0945007	0.0898237	0.0839759	0.0770445	0.0692075	0.0607329	0.0519584	0.0432546	0.0349807	0.0274415	0.0208553	0.0153382	0.0109062	0.00749142	0.00496755	0.003178	0.00196055	0.00116582	0.00066797	0.000368654	0.000195933	0.000100259	4.93852e-05	2.3413e-05	1.0682e-05	4.68972e-06	1.98109e-06	8.05196e-07	3.14865e-07	1.18459e-07	4.28769e-08	1.49313e-08	5.00266e-09	1.61267e-09	5.00203e-10	1.49289e-10	4.28758e-11	1.18503e-11	3.15219e-12	8.07033e-13	1.86214e-16	9.06996e-17	4.33469e-17	2.03278e-17	9.35463e-18	4.22466e-18	1.87245e-18	8.14544e-19	3.47802e-19	1.45781e-19	5.99868e-20	2.42353e-20	9.61467e-21	3.7462e-21	1.4339e-21	5.39335e-22	1.9944e-22	7.25555e-23	2.59936e-23	9.18408e-24	3.20709e-24	1.1103e-24	3.82757e-25	1.32178e-25	4.61049e-26	1.64837e-26	6.3309e-27	3.17944e-27	
N2	0.00625854	0.00719698	0.00868739	0.0108256	0.0137051	0.0173959	0.0219204	0.0272302	0.0331877	0.0395587	0.0460185	0.0521739	0.0575996	0.0618849	0.0646833	0.0657575	0.0650108	0.0624999	0.0584266	0.0531097	0.0469429	0.0403466	0.0337205	0.0274059	0.0216606	0.0166491	0.0124457	0.00904845	0.00639846	0.0044009	0.00294438	0.00191625	0.00121322	0.000747276	0.000447814	0.000261105	0.000148136	8.1782e-05	4.39376e-05	2.29734e-05	1.1691e-05	5.7909e-06	2.79217e-06	1.31059e-06	5.98907e-07	2.6647e-07	1.15443e-07	4.87032e-08	2.00101e-08	8.0072e-09	3.12097e-09	1.18499e-09	4.38326e-10	1.57971e-10	5.54748e-11	1.89846e-11	6.33212e-12	2.05871e-12	6.52561e-13	2.01711e-13	6.08243e-14	1.79023e-14	5.14798e-15	1.44867e-15	4.00129e-16	1.09082e-16	2.96792e-17	8.25119e-18	2.47221e-18	9.01432e-19	5.03811e-19	
Chrysitrix_capensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Lepironia_articulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N3	0.066057	0.0709124	0.0754314	0.0792209	0.0817954	0.0826798	0.0815177	0.0781581	0.072699	0.0654804	0.0570293	0.0479729	0.0389408	0.0304785	0.0229865	0.0166952	0.0116715	0.00785015	0.00507765	0.00315734	0.00188673	0.00108318	0.000597285	0.00031627	0.000160786	7.84653e-05	3.67527e-05	1.65209e-05	7.12645e-06	2.94968e-06	1.17143e-06	4.46358e-07	1.63179e-07	5.72347e-08	1.92606e-08	6.21874e-09	1.92651e-09	5.72658e-10	1.6334e-10	4.47085e-11	1.1744e-11	2.96073e-12	7.16429e-13	1.66408e-13	3.71051e-14	7.94302e-15	1.63253e-15	3.2217e-16	6.10484e-17	1.11081e-17	1.94082e-18	3.25606e-19	5.24499e-20	8.11172e-21	1.20439e-21	1.71666e-22	2.34889e-23	3.08566e-24	3.89276e-25	4.7188e-26	5.50179e-27	6.18048e-28	6.70882e-29	7.07136e-30	7.29889e-31	7.48797e-32	7.83983e-33	8.76393e-34	1.11881e-34	1.77356e-35	4.38852e-36	
N4	0.0639746	0.068912	0.0737427	0.0780243	0.0811938	0.0826869	0.0820634	0.0791082	0.0738851	0.0667318	0.0582011	0.0489639	0.0397	0.0310002	0.0232988	0.0168449	0.0117101	0.00782393	0.00502218	0.00309605	0.00183246	0.00104099	0.000567462	0.000296759	0.000148855	7.16052e-05	3.30278e-05	1.46056e-05	6.1918e-06	2.51616e-06	9.80067e-07	3.65888e-07	1.30919e-07	4.48961e-08	1.47559e-08	4.64812e-09	1.4033e-09	4.06066e-10	1.12624e-10	2.99419e-11	7.63059e-12	1.86422e-12	4.36643e-13	9.80565e-14	2.11144e-14	4.35984e-15	8.63341e-16	1.63964e-16	2.98673e-17	5.21858e-18	8.7466e-19	1.40628e-19	2.16897e-20	3.20917e-21	4.55494e-22	6.20179e-23	8.10018e-24	1.0149e-24	1.21992e-25	1.407e-26	1.55761e-27	1.65615e-28	1.6932e-29	1.6679e-30	1.58896e-31	1.47455e-32	1.3522e-33	1.26251e-34	1.28044e-35	1.63812e-36	3.96596e-37	
N5	0.0460064	0.0506989	0.0564764	0.0628858	0.0692388	0.0747216	0.0785337	0.0800283	0.0788299	0.0749015	0.0685492	0.0603608	0.0510956	0.0415523	0.0324447	0.0243117	0.0174752	0.0120447	0.0079577	0.00503798	0.00305549	0.00177479	0.000987081	0.000525546	0.000267818	0.000130608	6.09451e-05	2.72079e-05	1.16197e-05	4.74682e-06	1.85476e-06	6.93153e-07	2.47749e-07	8.46891e-08	2.76868e-08	8.65661e-09	2.58858e-09	7.40331e-10	2.02515e-10	5.29877e-11	1.32619e-11	3.17522e-12	7.27302e-13	1.5939e-13	3.34237e-14	6.70704e-15	1.28806e-15	2.36766e-16	4.16608e-17	7.018e-18	1.13197e-18	1.74842e-19	2.58651e-20	3.66528e-21	4.97626e-22	6.47425e-23	8.07365e-24	9.65325e-25	1.10705e-25	1.21837e-26	1.28771e-27	1.30839e-28	1.27994e-29	1.20817e-30	1.1039e-31	9.80709e-33	8.52335e-34	7.30541e-35	6.25476e-36	5.62976e-37	7.98792e-38	
Lagenocarpus_guianensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
N6	0.0392466	0.0437042	0.0495703	0.0564443	0.0636714	0.0704294	0.0758483	0.0791485	0.0797746	0.0774953	0.0724459	0.0651014	0.0561856	0.0465384	0.0369735	0.0281606	0.0205528	0.0143684	0.00961838	0.00616334	0.00377945	0.00221733	0.0012443	0.000667768	0.000342652	0.00016809	7.88185e-05	3.53234e-05	1.51286e-05	6.19158e-06	2.42123e-06	9.0465e-07	3.22934e-07	1.10134e-07	3.58836e-08	1.11695e-08	3.32151e-09	9.43641e-10	2.56127e-10	6.64196e-11	1.64568e-11	3.89603e-12	8.81356e-13	1.90528e-13	3.93616e-14	7.7719e-15	1.46675e-15	2.64604e-16	4.56341e-17	7.52446e-18	1.18631e-18	1.78858e-19	2.57901e-20	3.55698e-21	4.693e-22	5.92403e-23	7.15555e-24	8.27167e-25	9.15253e-26	9.69541e-27	9.83471e-28	9.55512e-29	8.89457e-30	7.93602e-31	6.79081e-32	5.57854e-33	4.40982e-34	3.37965e-35	2.58503e-36	2.23325e-37	3.65602e-38	
N7	0.0148698	0.0172374	0.0209456	0.0259865	0.0322362	0.039437	0.0471896	0.0549649	0.0621419	0.0680726	0.0721656	0.0739739	0.0732689	0.0700822	0.0647042	0.057638	0.0495196	0.0410197	0.0327515	0.0251988	0.0186786	0.0133364	0.0091705	0.00607217	0.00387114	0.00237595	0.00140379	0.000798377	0.000437052	0.000230284	0.000116786	5.70052e-05	2.67814e-05	1.21102e-05	5.27089e-06	2.20822e-06	8.9052e-07	3.45709e-07	1.29201e-07	4.64879e-08	1.6105e-08	5.37228e-09	1.72573e-09	5.33874e-10	1.59073e-10	4.56553e-11	1.26231e-11	3.36254e-12	8.63073e-13	2.1348e-13	5.08923e-14	1.16948e-14	2.59085e-15	5.53441e-16	1.14014e-16	2.26565e-17	4.34392e-18	8.03821e-19	1.43615e-19	2.47876e-20	4.13615e-21	6.67984e-22	1.04582e-22	1.59129e-23	2.3621e-24	3.44078e-25	4.96453e-26	7.20912e-27	1.08801e-27	1.86089e-28	5.02441e-29	
